alè	دم
destinatari	آخذ.
compassió	دردمندی
mostassa	خردل.
mostassa	سرسوں
alcohòlic	شرابی.
ginger	تحرک
ginger	جذبہ.
ginger	جوش
austera	ّکٹر.
austera	متقی
escindir	چپکا
escindir	چمٹارہنا
chin	زنخداں
chin	ٹھوڑی
chin	ذقن
chin	زنخداں
chin	ٹھوڑی
julivert	پودینہ
julivert	اجمود
orgullós	مفتخر.
orgullós	مسرور
orgullós	مطمئن.
orgullós	شاندار
rústic	گنوار
rústic	بھدّا.
rústic	پینڈو.
rústic	گھسیٹ
rústic	شکستہ
rústic	گنوارو.
rústic	گنوار
rústic	بھدّا.
rústic	پینڈو.
rústic	گھسیٹ
rústic	شکستہ
rústic	دیہی
rústic	گنوارو.
locus	محل
locus	حیّز
embut	قیف.
criança	پرورش.
criança	اٹھان
gong	بِلّا.
gong	تمغا
panxa	پیٹ
panxa	شکم
panxa	ابھراہونا.
sawyer	آراکش
consuelo	تسلی
consuelo	ہمدم
consuelo	تشفّی
consuelo	دلاسا
càmping	ڈیرا
càmping	پڑاؤ
brúixola	احاطہ.
brúixola	میدان
brúixola	محیط
brúixola	کمپاس
brúixola	گھومنا
brúixola	دائرہ
plorar	پکار
plorar	للکار
plorar	بھونک.
plorar	فریاد.
plorar	آوازہ.
plorar	انوروں
plorar	پکار
plorar	للکار
plorar	بھونک.
plorar	فریاد.
plorar	رونا
plorar	آوازہ.
plorar	انوروں
glorieta	مکان
ark	پیٹی.
ark	صندوق
rosca	موڑنا
rosca	کسنا.
rosca	جوڑنا.
rosca	کمینہ
caporal	جسمانی
epíleg	ایزادیہ
irritació	اشتعال
aromàtiques	چرپری
camuflatge	کیموفلاژ.
camuflatge	طیاروں
camuflatge	تلبیس
trencats	شکستہ
trencats	خراب-
trencats	ناہموار
trencats	ٹوٹی
obscur	مخفی
obscur	ناصاف.
obscur	تاریک.
obscur	مبہم
obscur	دُھندلا
fragilitat	کمزوری
fragilitat	نازکی
arrendament	اجارہ
arrendament	پٹّے
sionisme	صیہونیت
absoluts	مطلق
absoluts	آخری
absoluts	کامل
absoluts	مکمل
absoluts	ناطق.
incorrectes	انداز
incorrectes	(وضع
incorrectes	معیوب.
incorrectes	انداز
incorrectes	(وضع
incorrectes	غلط
incorrectes	معیوب.
vaginal	مہبلی
vaginal	غلفی
eradicar	استیصال
exempts	آزاد.
foli	کاغذ
clavegueram	نالیوں
esfondrament	موقوف
esfondrament	ٹوٹنا
esfondrament	سقوط
esfondrament	تعطل
esfondrament	گرانا
esfondrament	شکستگی
esfondrament	انہدام
esfondrament	توڑنا
perfeccionament	تخلیص
perfeccionament	چترائی.
perfeccionament	شائستہ
perfeccionament	ترقی
castedat	پاکدامنی
castedat	عصمت
castedat	عفت
castedat	بِکر
woo	(شہرت
absolutes	مطلق
absolutes	آخری
absolutes	کامل
absolutes	مکمل
absolutes	ناطق.
quiet	قیمتوں
colossal	نمایاں
dilema	تعطّل
malson	ہول
malson	ہراس
malson	دہشت.
seqüencial	تسلسلی
memorables	معروف
doom	آخرت
doom	فرمان.
doom	ضابطہ
doom	تباہی.
doom	ملامت
doom	پھٹکار
aplicables	موزوں
aplicables	لاگو.
aplicables	مناسب
aplicables	برمحل.
guru	استاد
nominatiu	اسم
führer	قائد
ídem	مثنیٰ.
fermesa	پختگی
fermesa	استحکام
fermesa	استواری
vesícula	بِذری.
vesícula	بِذری.
vesícula	منوی
acomiadament	موقوفی
acomiadament	برخاستگی
acomiadament	موقوفی
aliè	بھلکّڑ.
cuixa	ران.
picó	اچھلنا
picó	ٹیس.
picó	عضو
malversació	غبن
expressiu	بالکل
expressiu	واضح
expressiu	بیّن
moralitat	اخلاق
vale	الوداعیہ.
vale	الوداع.
vale	الوداعیہ.
vale	وادی
vale	الوداع.
muses	موسیقی
beneïda	مردود
beneïda	مرحوم
beneïda	ملعون
beneïda	مقّدس.
beneïda	مغفور
ajuts	معاونت-
ajuts	معاونت-
ajuts	مدد
milloren	مفید.
milloren	سنوارنا
milloren	مفید.
gaudi	عیش
gaudi	لطف
imant	مقناطیس
corretja	تسمہ
corretja	کسنا.
corretja	دستکہ.
polaritat	قطبیت
polaritat	تضاد
juniperus	اردج
juniperus	دفران.
cherry	بکارت
cherry	دوشیزہ
cherry	دوشیزگی
religiositat	چٹیک
quilla	ڈھانا.
mostela	(بعدہ
mostela	on
mostela	نیولا
mostela	(بعدہ
mostela	on
designen	معیّن
designen	القاب
expropiació	قبضہ
expropiació	غصب
expropiació	ضبطی
rehabilitar	مراعات
regionalisme	علاقائیت
fullatge	برگ
fullatge	پتّے
voltor	گدھ
voltor	کرگس.
parry	طرح
parry	جھکائی.
noguer	اخروٹ.
segregar	اکیلا
calaix	دراز
llançadora	نال
carisma	وجاہت
carisma	جاذبیت
trauma	دہاکا
trauma	بپتا.
trauma	مصیبت
tolerant	روادار.
tolerant	متّحمل
cosir	جوڑنا
cosir	in
cosir	کپڑا
cosir	سینا.
cosir	ٹانکنا
cosir	لباس
indiferent	ادنیٰ.
gravitació	تجاذب.
canonada	(موسیقی
canonada	صفیر.
canonada	on
canonada	دھات
productius	خلّاق
productius	(بعدہ
entresòl	دوچھتی
gelada	سرد
gelada	ناکامی.
solidesa	درستی
solidesa	صلابت
cremallera	زپ.
degudament	بجا
degudament	درست
eslovena	سلووینیا
pinzell	نقّاشی
pinzell	طرہ
pinzell	معرکہ
pinzell	برش
pinzell	رگڑائی
pinzell	گچھا.
flaix	شوخ
flaix	جھپکی
flaix	نقلی
flaix	بہنا.
flaix	بھڑکیلا
analista	محلل
màniga	آستین.
aconsellat	مناسب
aconsellat	معقول
infinits	لاتعداد.
infinits	کامل.
infinits	زبردست
infinits	عظیم
infinits	لامحدود
infinits	لاتعداد.
infinits	کامل.
infinits	زبردست
infinits	عظیم
desitjable	مطلوب
desitjable	پسندیدہ
desitjable	مرغوب
aturats	نٹھلّا.
pernil	چوتڑ
desfavorable	مخاصمانہ
desfavorable	مخالفانہ.
desfavorable	ناموافق
humilitat	پستی
humilitat	عاجزی
humilitat	فروتنی.
humilitat	انکسار
thrash	around
thrash	لکڑی
thrash	چھٹپٹانا.
fidelment	وفادارانہ.
xicot	دوست
xicot	رفیق
xicot	مرد
revisa	جائزہ.
