singular	tunggal
recenzie	tinjauan
recenzie	review
recenzie	tinjau
recenzie	ulasan
recenzie	ulas
recenzie	meninjau
pierdută	kalah
pierdută	tersesat
pierdută	kehilangan
pierdută	lost
pierdută	hilang
stewart	stewart
trimisă	dikirim
trimisă	terkirim
trimisă	dikirimkan
aveyron	aveyron
obținută	diperoleh
adâncimea	kedalaman
adâncimea	mendalam
chelsea	chelsea
unire	gabung
unire	gabungkan
unire	menggabungkan
unire	penggabungan
unire	ikatan
întâlnirea	rapat
întâlnirea	meeting
întâlnirea	pertemuan
panzer	panzer
cursa	balapan
cursa	race
cursa	perlombaan
cursa	ras
cursa	lomba
doctoratul	doktor
catalogul	katalog
catalogul	katalog
publicitate	periklanan
publicitate	mengiklankan
publicitate	iklan
publicitate	beriklan
vânt	angin
vânt	wind
blocarea	memblokir
blocarea	pemblokiran
blocarea	blokir
obiectivul	obyektif
obiectivul	tujuan
obiectivul	objektif
regilor	kings
spirituale	spiritual
spirituale	rohani
ing	ing
elevii	pelajar
elevii	santri
elevii	mahasiswa
elevii	murid
elevii	siswa
elevii	pupil
determinarea	tekad
determinarea	penentuan
frumoasa	beautiful
frumoasa	cantiknya
frumoasa	cantik
frumoasa	indah
mobilă	mobile
mobilă	seluler
mobilă	ponsel
mobilă	handphone
mobilă	perabotan
mobilă	mebel
mobilă	perabot
mobilă	furnitur
mobilă	furniture
potter	potter
anonim	anonim
anonim	ikang
anonim	anonymous
plumb	memimpin
plumb	prospek
plumb	pimpin
plumb	lead
localizat	berlokasi
localizat	bertempat
localizat	terletak
kır	kır
side	sisi
side	side
side	samping
toplam	toplam
efortul	usaha
efortul	upaya
navală	naval
cartoon	kartun
cartoon	cartoon
pânză	kanvas
pânză	canvas
necunoscută	bruk
doctrina	doktrin
doctrina	ajaran
senatul	senat
concentrat	terkonsentrasi
concentrat	konsentrasi
concentrat	konsentrat
concentrat	berkonsentrasi
concentrat	fokus
concentrat	terfokus
stars	bintang
stars	stars
lipsesc	hilang
catalog	katalog
catalog	katalog
diesel	diesel
toronto	toronto
darwin	darwin
teolog	teolog
rey	rey
rey	juragan
cadre	bingkai
cadre	frame
cadre	framework
așteptat	diduga
