فرس	tamma
الذئاب	susia
الذئاب	susien
الذئاب	sudet
المواصفات	määritykset
كيب	kip
زر	painike
زر	painiketta
زر	nappi
القبلية	heimojen
القبلية	heimo
الطيبة	ystävällisyyttä
جوقة	kuoron
جوقة	kuoro
موانئ	satamia
موانئ	satamien
موانئ	satamat
شعور	fiilis
شعور	tunne
شعور	olo
العملاق	jättiläinen
ريفية	maaseudun
ريفية	maaseutu
ليلا	laila
ليلا	öitä
ليلا	yötä
ليلا	night
ليلا	ilta
ليلا	yö
العجز	vammaisuuden
العجز	vamma
العجز	vaje
العجز	alijäämä
الانتقام	kostoa
الانتقام	kostaa
الانتقام	koston
الانتقام	kosto
جرام	gram
بولونيا	bolognan
نيكولا	nicola
الضابط	upseeri
الضابط	virkailija
الضابط	konstaapeli
الفاكهة	hedelmä
الفاكهة	hedelmät
الفاكهة	hedelmiä
الكود	koodi
حريق	tuli
حريق	tulipalo
شواطئ	rantoja
شواطئ	rannoilla
شواطئ	rannat
الخلط	sekoittaminen
الخلط	hämmennystä
الخلط	sekaannusta
الخلط	sekaannus
الخلط	sekavuus
الخلط	hämmentynyt
الخلط	sekava
الخلط	sekaisin
الزهراء	zahra
زمان	zaman
المقابر	hautausmaa
المقابر	hautausmaan
المقابر	hautausmaalle
تصريح	valtuutus
تصريح	lupa
تصريح	valtuudet
تصريح	lupa
دلالة	merkitys
دلالة	merkityksen
دلالة	merkitystä
منفصل	erotettu
منفصل	erikseen
منفصل	erilliset
منفصل	erillinen
هود	hood
هود	huppu
بديلة	vaihtoehtoinen
بديلة	vaihtoehtoiset
بديلة	vaihtoehtoisia
بديلة	vaihtoehto
بديلة	varajäsen
بديلة	vaihtoehtoinen
ذروة	huippu
الشهادات	todistusta
الشهادات	todistus
الشهادات	todistuksen
الشهادات	lausuntoja
الشهادات	kokemuksia
الشهادات	todistusten
الشهادات	todistukset
الشهادات	todistuksia
التنبؤ	ennuste
التنبؤ	ennusteen
التنبؤ	ennustus
المشرف	moderaattori
المشرف	valvoja
المشرف	esimies
المشرف	ylläpitäjä
المشرف	ylläpitäjän
المشرف	ylläpito
المشرف	ylläpitäjä
ترميز	koodaus
ترميز	koodaus
هيلين	helena
هيلين	elli
هيلين	helen
يفتح	avautuu
يفتح	aukeaa
مثبطات	estäjät
مثبطات	estäjien
الحمد	kiitosta
الحمد	ylistys
الصيانة	huolto
الصيانة	kunnossapito
الصيانة	ylläpito
الانتقالية	siirtymäkauden
الانتقالية	siirtymä
التبغ	tupakka
التبغ	tupakan
التبغ	tupakkaa
اصدار	painos
اصدار	versio
اصدار	version
اصدار	versiota
اصدار	liikkeeseen
ليلي	lilyn
ليلي	lily
فيشر	fisher
كول	cole
صغار	nuori
صغار	nuoret
صغار	youngin
صغار	young
راسل	russell
صديقة	tyttöystävä
صديقة	tyttöystävää
صديقة	tyttöystävän
شتات	diaspora
الجمجمة	kallo
الجمجمة	kallon
الكبريت	rikkiä
الكبريت	rikki
الكبريت	rikki
الظل	varjot
الظل	varjojen
الظل	varjoja
الظل	varjon
الظل	varjo
الظل	varjo
الظل	varjoa
الظل	sävy
يختار	valitsee
يختار	valitsee
كارتر	carter
نيفادا	nevadan
القلم	kynän
القلم	kynä
التقديرات	arvio
التقديرات	arvioi
التقديرات	arvion
التقديرات	arvioita
التقديرات	arviot
تدرج	kaltevuus
مواصلة	jatkoa
مواصلة	jatkaminen
مواصلة	jatko
مواصلة	jatkaa
مواصلة	jatkakaa
مواصلة	jatka
مواصلة	jatkuu
كاي	kai
كاي	kay
التنين	lohikäärme
التنين	lohikäärmeen
التنين	dragon
تغيرت	muutettu
تغيرت	muuttunut
تغيرت	muutti
تغيرت	vaihdettu
النضال	kamppailu
النضال	kamppailua
القيروان	kairouan
اريد	haluu
هول	sali
هول	halliin
هول	hall
هول	halli
هول	howl
مشارك	osallistujaa
مشارك	osallistujan
مشارك	osallistuja
مشارك	osallistujat
الطقوس	rituaali
الطقوس	rituaaleja
الفطر	sienet
الفطر	sieniä
المعتقدات	uskomuksia
دل	del
جرذ	rat
جرذ	rotta
سكاي	taivas
سكاي	taivaan
سكاي	sky
ثمان	kahdeksan
مشاركات	osuudet
مشاركات	osakkeita
مشاركات	osakkeet
باعتبار	harkitaan
باعتبار	harkitsee
الناجحة	menestys
الناجحة	onnistui
الناجحة	menestynyt
الناجحة	onnistunut
السجل	levy
السجل	kirjataan
السجل	ennätys
السجل	rekisteriin
السجل	rekisteröi
السجل	rekisteri
السجل	rekisteröityä
السجل	kirjaudu
السجل	loki
السجل	tukki
السجل	rekisterin
السجل	rekisteri
موحدة	yhtenäinen
موحدة	standardoitu
موحدة	yhdenmukainen
موحدة	univormu
التحدي	haaste
التحدي	haastaa
التحدي	haasteet
سونغ	sung
سونغ	biisi
سونغ	song
سونغ	laulua
سونغ	laulu
سونغ	kappale
محاضرة	luento
محاضرة	luennon
النانو	nano
الالكترونية	sähköiset
الالكترونية	sähköisen
الالكترونية	sähköinen
الالكترونية	elektroninen
الالكترونية	elektroniset
هوليوود	hollywoodiin
هوليوود	hollywood
هوليوود	hollywoodin
هوليوود	hollywoodissa
بوير	boyer
البقرة	lehmän
البقرة	lehmä
الديناصورات	dinosaurukset
الديناصورات	dinosauruksia
الديناصورات	dinosaurus
شمسي	auringon
شمسي	aurinko
كركوك	kirkukin
اربع	nelonen
اربع	neljä
الحافة	reuna
الحافة	edge
الحافة	reunan
خريف	syksyllä
خريف	syksy
خريف	syksyn
فرح	iloa
فرح	ilon
فرح	ilo
فرح	farah
صناعات	toimialat
الخبرات	asiantuntemusta
الخبرات	asiantuntemus
الخبرات	kokemusten
الخبرات	kokemuksia
الخبرات	kokemukset
الخبرات	kokemukset
الخبرات	kokemus
الخبرات	kokemuksen
الخبرات	kokemuksia
الخبرات	kokemusta
المدار	kiertoradalta
المدار	kiertoradalle
متسابق	racer
التشريح	anatomian
التشريح	ruumiinavaus
التشريح	ruumiinavauksen
تشي	che
ظاهر	näkyvä
ظاهر	näkyvissä
ظاهر	näkyy
ظاهر	näkyvät
ظاهر	ilmeistä
ظاهر	ilmeinen
دفعة	mainosta
دفعة	mainostaa
دفعة	edistä
دفعة	mainostaminen
دفعة	erä
دفعة	erän
دفعة	maksu
دفعة	maksaminen
النسوية	feminismi
النسوية	feministi
لوح	lauta
لوح	johtokunta
لوح	laudan
لوح	johtokunnan
لوح	tabletti
لوح	tabletit
لوح	aallon
لوح	aalto
عينات	näytteiden
عينات	näytteitä
عينات	näytteet
الميل	kilometrin
الميل	mailin
الميل	mailia
مزايا	edut
مزايا	etuja
مغلقة	kiinni
مغلقة	suljettu
منصات	alustat
المدرج	kiitorata
المليون	miljoona
المليون	miljoonaa
تقليد	perinteitä
تقليد	perinteet
تقليد	perinne
ميكانيكية	mekaanisen
ميكانيكية	mekaaninen
ميكانيكية	mekaaniset
السعة	kapasiteetti
السعة	valmius
السعة	kapasiteetin
السعة	valmiudet
السعة	amplitudi
التهديد	uhkaus
التهديد	uhkaa
التهديد	uhka
الموانئ	satamia
الموانئ	satamien
الموانئ	satamat
عقل	aivoja
عقل	aivo
عقل	aivot
عقل	mielen
عقل	mieli
دنيا	vähintään
دنيا	minimi
الطلاق	avioero
الطلاق	eroa
الطلاق	avioeron
خفيف	kevyt
خفيف	valoa
خفيف	valo
خفيف	light
مونتريال	montrealin
الكومنولث	yhteisö
جلدية	nahkaa
جلدية	nahka
جلدية	nahan
الفائزين	voittajia
الفائزين	voittajat
المرجح	painotettu
بطليموس	ptolemaios
تهديد	uhkaavat
تهديد	uhkaava
تهديد	uhkaa
تهديد	uhkailee
تهديد	uhkaus
تهديد	uhkaa
تهديد	uhka
المعيار	kriteeri
المعيار	peruste
المعيار	kriteerin
المعيار	standardin
المعيار	normi
المعيار	standard
المعيار	standardi
المعيار	vakio
الهياكل	rakenteita
الهياكل	rakenteet
الهياكل	rakenteiden
المنفى	maanpaossa
تشابه	samankaltaisuus
الرباعي	kvartetin
المصلحة	etua
المصلحة	korko
المصلحة	korot
المصلحة	kiinnostus
مجلدات	kansiot
مجلدات	kansioita
الحفظ	suojelu
الحفظ	säilyttäminen
الحفظ	pelastaminen
الحفظ	säästöt
الحفظ	pelastaa
الحفظ	säästää
الحفظ	tallennetaan
الحفظ	säilytys
الحفظ	säilyminen
الحفظ	säilyttäminen
باراغواي	paraguayn
استخدامات	käyttää
استخدامات	käyttötarkoitukset
يوميات	aikajanalla
يوميات	aikajanan
يوميات	aikajana
يوميات	päiväkirja
يوميات	lehti
يوميات	päiväkirja
يوميات	päiväkirjaa
يوميات	päiväkirjan
فرديناند	ferdinand
تعليقات	kommentit
تعليقات	kommentteja
تعليقات	huomautuksia
تعليقات	huomautukset
المهن	ammattien
المهن	uran
المهن	ura
المهن	uraa
المهن	ammateissa
تلفاز	tv
تلفاز	televisio
السلبي	passiivinen
السلبي	passiivisen
قيود	rajoitukset
قيود	rajoitteet
قيود	rajoituksia
قيود	rajoitukset
قيود	rajoituksia
قيود	rajoitteet
جيب	taskuun
جيب	taskussa
حقن	injektio
ساوث	etelä
ساوث	etelään
البطالة	työttömyysaste
البطالة	työttömyyttä
البطالة	työttömyys
تجهيز	jalostus
تجهيز	käsittelyä
تجهيز	käsittely
الجلسة	istunto
الجلسة	istunnon
الجلسة	istuntoa
الجلسة	tapaaminen
الجلسة	kokous
الحريات	vapaudet
الحريات	vapauksia
تغلب	hakata
تغلب	hakkaa
احداث	kertomuksia
احداث	tarinat
احداث	tarinoita
احداث	tarinoiden
احداث	tapahtumat
احداث	tapahtumien
احداث	tapahtumia
ركوب	ratsastus
ركوب	ratsastaa
ركوب	kyyti
ركوب	kyytiä
ركوب	ratsastaa
نمر	tiger
نمر	tiikeri
نمر	leopardi
الخريف	syksyllä
الخريف	syksy
الخريف	syksyn
الخريف	pudota
الخريف	syksy
الخريف	kaatuu
الخريف	kaadu
شمسية	sateenvarjo
شمسية	auringon
شمسية	aurinko
النجار	carpenter
النهج	lähestymistavat
النهج	lähestymistapoja
النهج	lähestymistapa
النهج	lähestymistavan
جامايكا	jamaika
جامايكا	jamaikalainen
روضة	lastentarhan
تدمر	tuhota
تدمر	tuhoa
تدمر	tuhotaan
الكثيرون	monet
الكثيرون	monia
الكثيرون	monta
الكثيرون	moni
التوجهات	suuntauksia
التوجهات	suuntaukset
تقاطع	risteys
تقاطع	risteyksessä
نشيد	hymni
تاريخيا	historiallisesti
عنف	väkivaltaista
عنف	väkivaltainen
عنف	väkivalta
عنف	väkivaltaa
عنف	väkivaltaisuudet
المناظر	nähtävyydet
المناظر	nähtävyyksiä
شيد	vajaan
وين	wayne
وين	wen
تدهور	heikkeneminen
تدهور	hajoaminen
تدهور	hajoamista
الصراعات	ristiriitoja
الصراعات	konfliktien
الصراعات	ristiriidat
الصراعات	konflikteja
الصراعات	konfliktit
الصراعات	konflikti
الصراعات	selkkaus
الصراعات	konfliktin
الصراعات	ristiriita
الصراعات	konfliktit
بيانو	piano
بيانو	pianoa
بيانو	pianon
تتطور	kehittyvä
تتطور	kehittyy
تتطور	kehittymässä
تتطور	kehittyvät
تتطور	muuttuva
مسافات	tilat
مسافات	etäisyydet
اخذ	vietiin
اخذ	ottaa
