در	ドア
رده	階級
رده	クラス
از	から
که	who
این	この
این	これ
را	メイク
را	make
یک	一つ
یک	one
یک	一人
یک	ワン
سال	年数
سال	サル
سال	イヤー
آن	アン
ایران	イラン
برای	for
اهل	ahl
شهرستان	カウンティ
آمریکا	アメリカ
فهرست	カタログ
فهرست	リスト
فهرست	カタログ
بود	was
دارد	has
او	彼女
او	his
او	him
تا	メイ
تا	五月
تا	until
تا	まで
تا	まで
وابسته	形容詞
وابسته	依存
فوتبال	サッカー
فوتبال	フットボール
ساعت	時間
ساعت	時間
ساعت	クロック
ساعت	時計
پایه	基底
پایه	財団
پایه	ファンデーション
پایه	ファウンデーション
پایه	塩基
پایه	base
پایه	ベース
پایه	基本
پایه	ベーシック
پایه	basic
نام	名前
نام	氏名
نام	名称
استان	リージョン
استان	地域
شهر	タウン
شهر	シティ
شهر	都市
ملی	国民
ملی	ナショナル
کشور	国名
کشور	カントリー
تاریخ	デート
تاریخ	日付
تاریخ	履歴
تاریخ	由緒
تاریخ	歴史
تاریخ	沿革
فیلم	映画
فیلم	ムービー
فیلم	映画
فیلم	フィルム
فیلم	映画
بخش	部署
بخش	学科
بخش	部門
بخش	セクター
بخش	セクション
بخش	地区
بخش	ディストリクト
جمعیت	群衆
جمعیت	群集
جمعیت	群衆
جمعیت	群集
جمعیت	人混み
جمعیت	人口
دو	二つ
دو	二人
اثر	エフェクト
اثر	効果
پس	それから
یکی	誰か
یکی	一つ
یکی	one
یکی	一人
یکی	ワン
بازیکنان	選手
بازیکنان	プレイヤー
آثار	アーティファクト
آثار	エフェクト
آثار	効果
وی	wii
روستاهای	村落
دیگر	もっと
دیگر	その他
دیگر	他の
دیگر	その他
می	メイ
می	五月
عنوان	キャプション
پیوند	リンク
پیوند	結合
پیوند	ボンド
پیش	以前
بحث	話し合い
بحث	ディスカッション
بیرون	アウト
افراد	ピープル
دوره	コース
دوره	紀元
دوره	エポック
دوره	期間
دوره	ピリオド
متر	メートル
متر	メートル
متر	メートル
متر	メーター
متر	メーター
کاربر	ユーザー
کاربر	ユーザ
مناطق	ディストリクト
هر	any
باشگاه	クラブ
باشگاه	棍棒
باشگاه	体育館
باشگاه	ジム
