και	és
το	az
από	től
από	tól
από	from
με	with
που	ami
που	melyik
που	mely
που	amely
για	for
κατηγορία	kategória
τους	ők
τους	őket
ήταν	volt
ένα	egy
ότι	ez
μια	egy
θα	will
θα	fog
θα	akarat
αλλά	de
μετά	akkor
μετά	aztán
μετά	után
μετά	after
μετά	miután
μετά	utána
επίσης	szintén
επίσης	egyben
επίσης	úgyszintén
όπως	mint
όπως	like
όπως	tetszik
είχε	volt
ενώ	miközben
ενώ	mialatt
ενώ	míg
ενώ	amíg
δύο	kettő
αυτό	ezt
αυτό	ez
αυτό	ez
όπου	akárhol
όπου	bárhol
όπου	hol
όπου	ahol
όταν	mikor
όταν	amikor
μία	egy
μπορεί	tud
μπορεί	can
μπορεί	lehet
ομάδα	brigád
ομάδα	osztag
ομάδα	csoport
ομάδα	csoportban
ομάδα	csapat
ομάδα	team
θέση	állás
θέση	pozíció
θέση	álláspont
μεταξύ	között
χρόνια	krónikus
χρόνια	évek
χρόνια	év
πρώτη	először
πρώτη	első
πιο	több
πιο	more
πιο	további
πιο	tobb
ένας	egy
πόλη	városban
πόλη	town
πόλη	város
πόλη	city
πόλη	városi
πόλη	város
σύνδεσμοι	linkek
σύνδεσμοι	hivatkozások
σύνδεσμοι	kapcsolatok
μόνο	csak
μόνο	kizárólag
έγινε	kész
πολύ	nagyon
κάθε	minden
κάθε	mindegyik
περιοχή	régió
περιοχή	régiók
περιοχή	terület
περιοχή	környék
αιώνα	évszázad
αιώνα	század
αθήνα	athéni
περίοδο	időszak
περίοδο	időtartam
περίοδο	periódus
τότε	akkor
τότε	aztán
όνομα	neve
όνομα	név
ελλάδα	görögország
μέρος	részben
μέρος	rész
μέρος	része
μέρος	hely
σήμερα	ma
μέσα	belül
πως	hogyan
μαζί	együtt
διάρκεια	időtartam
διάρκεια	időtartama
ιστορία	sztori
ιστορία	történet
ιστορία	story
ιστορία	története
ιστορία	mese
ιστορία	történelme
ιστορία	előzmények
ιστορία	történelem
πρωτάθλημα	league
πρωτάθλημα	liga
πρωτάθλημα	bajnokság
αργότερα	később
νέα	újdonság
νέα	új
νέα	hírek
νέα	hír
περίπου	kb
περίπου	nagyjából
περίπου	körülbelül
περίπου	megközelítőleg
περίπου	hozzávetőleg
περίπου	körülbelül
αυτά	ezek
αυτά	ezeket
πριν	előtte
πριν	előtt
πριν	mielőtt
χωρίς	nélkül
χωρίς	anélkül
εθνική	nemzeti
εθνική	országos
εθνική	national
συζήτηση	társalgás
συζήτηση	beszélgetés
συζήτηση	beszélgetést
συζήτηση	vita
συζήτηση	megbeszélés
συζήτηση	beszélgetés
συζήτηση	vita
αρχείο	archívum
αρχείο	fájl
αρχείο	file
αρχείο	akta
πρέπει	kell
φορά	ideje
φορά	időpont
φορά	idő
πάνω	fent
έλληνες	görögök
ομάδες	csoportok
ομάδες	csoportoknak
ομάδες	csapatok
πρώτο	először
πρώτο	első
έργο	projekt
έργο	project
έργο	munkahelyi
έργο	munka
κυρίως	főként
κυρίως	főleg
κυρίως	elsősorban
κυρίως	leginkább
κυρίως	főleg
κυρίως	főként
κυρίως	többnyire
όχι	nem
ελληνική	görög
μεγάλη	nagyok
μεγάλη	nagy
υπό	alatt
υπό	alatta
υπό	alá
ποδοσφαιριστές	focisták
ταινία	filmet
ταινία	mozi
ταινία	film
ταινία	szalag
ταινία	kazetta
ταινία	fólia
ταινία	film
άλλα	egyéb
άλλα	más
άλλα	másoknak
άλλα	egyéb
άλλα	mások
άλλα	egyebek
τμήμα	részleg
τμήμα	megye
τμήμα	részleg
τμήμα	szakasz
τμήμα	szekció
σαν	mint
σαν	like
σαν	tetszik
εκεί	ott
ωστόσο	mindamellett
ωστόσο	mindazonáltal
ωστόσο	azonban
άλλες	egyéb
άλλες	más
τέλος	végre
τέλος	befejezés
τέλος	vége
τέλος	vég
σειρά	sorozat
σειρά	megrendelés
σειρά	rendelés
σειρά	rend
σειρά	parancs
σειρά	sort
σειρά	sor
στοιχεία	elemei
στοιχεία	elemek
στοιχεία	adatok
στοιχεία	adat
στοιχεία	adatforgalom
εκτός	hacsak
