őrgróf	markgraf
filmeket	filme
filmeket	filmele
filmeket	pelicule
filmeket	filme
mesterek	masterat
mesterek	masters
mesterek	stăpâni
mesterek	stăpânii
anita	anita
lausanne	lausanne
készülék	dispozitivul
készülék	dispozitiv
készülék	aparate
készülék	aparat
hétvégén	weekenduri
hétvégén	weekendul
hétvégén	weekend
házas	căsătorită
házas	măritată
házas	casatorit
házas	căsătorit
extrém	extremă
extrém	extrem
extrém	extrema
extrém	extreme
aug	aug
márka	brand
márka	marca
márka	marcă
terra	terra
sawyer	sawyer
birkózó	wrestling
birkózó	lupte
birkózó	luptătorul
birkózó	luptător
vladimir	vladimir
vincze	vincze
atom	atomice
atom	atomic
atom	atomică
atom	atomica
atom	atom
menő	fain
menő	misto
hotspur	hotspur
basszusgitáros	basistul
janus	janus
szabványos	standardul
szabványos	standard
októberi	octombrie
arabul	araba
arabul	arabă
milliméter	milimetri
kábel	cablu
büntetést	pedepsit
büntetést	pedepsită
nyak	gât
nyak	gat
nyak	gâtul
légitársaság	airlines
érsekség	arhiepiscopia
többségi	majoritate
többségi	majoritatea
spears	spears
univerzum	univers
univerzum	universul
indulás	plecare
indulás	plecarea
indulás	plecări
kenny	kenny
jakob	jakob
műholdas	satelitul
műholdas	satelit
cső	pipe
cső	conductă
cső	pipa
cső	pipă
cső	tub
cső	tubul
könyvtárosok	bibliotecari
gyümölcs	fructul
gyümölcs	fructe
gyümölcs	fructele
gyümölcs	fruct
gyümölcs	fructe
gyümölcs	fructele
model	model
model	modelul
model	fotomodel
szociológiai	sociologic
elisabeth	elisabeth
elisabeth	elisabeta
specifikus	specific
specifikus	specifică
specifikus	specifice
természettudós	naturalist
diktatúra	dictatură
diktatúra	dictatura
ömlik	țâșnește
házassági	matrimoniale
rachel	rachel
projektek	proiectele
projektek	proiecte
viselkedése	comportamentul
viselkedése	comportament
montréal	montréal
oldódik	solubil
firenzei	florentine
#fff	#fff
holló	crow
holló	cioara
holló	corb
holló	cioară
holló	corbul
holló	corb
holló	raven
anti	anti
hírességek	celebritate
hírességek	celebritatea
hírességek	vedete
auguste	auguste
werder	werder
térbeli	spațial
térbeli	spațială
térbeli	spațiale
hetente	săptămânale
hetente	săptămânală
hetente	săptămânal
köd	ceață
köd	ceață
köd	ceata
köd	ceată
köd	nebuloasa
köd	nebuloasă
tang	tang
demográfiai	demografice
demográfiai	demografică
demográfiai	demografice
értékelte	apreciată
értékelte	apreciat
értékelte	apreciate
baptista	baptist
mostanában	recent
kompatibilis	compatibile
kompatibilis	compatibilă
kompatibilis	compatibil
edge	marginea
edge	edge
edge	margine
edge	muchie
fokozott	crescută
fokozott	majorat
jam	jam
jam	gem
creek	pârâu
creek	creek
ajánlom	recomandă
ajánlom	recomanda
ajánlom	recomand
sarki	polar
sarki	polare
sarki	polară
figyelmeztetés	avertizare
figyelmeztetés	avertisment
figyelmeztetés	alertă
figyelmeztetés	alert
figyelmeztetés	avertismente
figyelmeztetés	avertismentele
narancssárga	orange
narancssárga	portocală
narancssárga	portocaliu
narancssárga	portocalie
meggyilkolták	ucis
meggyilkolták	ucisă
meggyilkolták	omorât
scooby	scooby
lent	dedesubt
boldogság	fericirea
boldogság	fericire
boldogság	fericita
boldogság	fericită
boldogság	happy
boldogság	fericit
szög	unghii
szög	unghiilor
szög	unghie
szög	unghi
szög	unghiul
megválasztott	aleși
időszakos	periodic
időszakos	periodică
időszakos	periodice
időszakos	intermitent
julian	julian
biológus	biolog
vienne	vienne
trombita	trompetă
