ジオン	dione
遭難	marabahaya
オファー	promo
オファー	menawarkan
オファー	penawaran
オファー	tawarkan
オファー	tawaran
トランスフォーマー	transformer
トランスフォーマー	transformers
線形	linier
線形	linear
神楽	kagura
リプレイ	replay
コンチネンタル	continental
コンチネンタル	kontinental
コンチネンタル	benua
ウズベキスタン	uzbekistan
北島	kitajima
釈放	rilis
釈放	melepaskan
釈放	lepaskan
エッジ	edge
エッジ	tepi
エッジ	tepian
エッジ	pinggir
エッジ	tepi
エッジ	pinggiran
豊後	bungo
メイ	may
メイ	mei
高額	mahalnya
高額	mahal
ディビジョン	divisi
ディビジョン	pembagian
ディビジョン	division
骨格	rangka
骨格	skeleton
骨格	kerangka
安部	abe
御所	gōshō
王族	royalty
王族	royalti
不当	nisa
不当	zalim
本間	honma
本間	homma
非公開	swasta
非公開	privat
非公開	private
非公開	pribadi
非公開	swasta
非公開	pribadi
埠頭	dermaga
水族館	aquarium
水族館	akuarium
水族館	akuarium
ロスト	kalah
ロスト	tersesat
ロスト	kehilangan
ロスト	lost
ロスト	hilang
執事	steward
大通り	boulevard
フライング	terbang
フライング	flying
フライング	menerbangkan
木曽	kiso
平等	persamaan
平等	kesetaraan
日吉	hiyoshi
混雑	kemacetan
ブラウザ	peramban
ブラウザ	browser
うさぎ	usagi
うさぎ	kelinci
うさぎ	bunny
うさぎ	kelinci
うさぎ	rabbit
仕上げ	menyelesaikan
仕上げ	finishing
蓄積	akumulasi
特色	karakteristik
牛乳	susu
牛乳	susunya
進入	dekati
進入	pendekatan
ロータリー	rotary
宮古	miyako
春樹	haruki
御殿	goten
多項式	polinomial
多項式	polynomials
プラズマ	plasma
ルーツ	akar
ダイジェスト	mencerna
ダイジェスト	digest
ダイジェスト	intisari
育つ	tumbuh
クルス	cruz
辰巳	tatsumi
十字軍	expedisi
チョコ	choco
去る	meninggalkan
去る	leaving
独身	single
独身	lajang
独身	jomblo
独身	tunggal
独身	bachelor
独身	bujangan
独身	sarjana
ラベル	label
ラベル	label
ファンド	fund
ファンド	dana
スピーカー	loudspeaker
スピーカー	speaker
スピーカー	pembicara
スピーカー	speaker
スピーカー	pembicara
玲子	reiko
出羽	dewa
ファミコン	famicom
半田	handa
ディフェンス	defense
ディフェンス	pembela
ディフェンス	pertahanan
ディフェンス	pembela
ディフェンス	pertahanan
診療所	klinik
診療所	klinik
ミッドナイト	midnight
真夜中	midnight
ピック	plektrum
ピック	pick
かおる	kaoru
セルゲイ	sergei
セルゲイ	sergius
軍曹	sersan
アルジェリア	aljazair
アルジェリア	aljazair
ハブ	hub
名物	spesialisasi
ドラッグ	obat
ドラッグ	narkoba
ドラッグ	drag
ドラッグ	seret
ドラッグ	menyeret
ドラッグ	obat
ドラッグ	narkoba
ミャンマー	myanmar
カウントダウン	countdown
欲望	desire
欲望	keinginan
欲望	hasrat
欲望	keinginan
欲望	hasrat
狭山	sayama
ホルモン	hormon
ホルモン	hormon
ゾンビ	zombie
ゾンビ	zombi
ゾンビ	zombie
ゾンビ	zombi
ゾンビ	zombies
右京	ukyo
浜崎	hamasaki
星雲	nebula
星雲	nebula
マクロ	makro
マクロ	macro
マクロ	makro
マクロ	macro
黒崎	kurosaki
敗者	merugi
敗者	pecundang
敗者	pecundang
敗者	loser
休憩	istirahat
休憩	break
休憩	istirahatnya
ノイズ	noise
ノイズ	bising
ノイズ	kebisingan
ノイズ	derau
生理学	fisiologi
スケッチ	sketsa
スケッチ	sketch
スケッチ	sketsa
ミハイル	mikhail
内山	uchiyama
ワット	watt
ワット	wat
ブンデスリーガ	bundesliga
雅子	masako
ウルグアイ	uruguay
ウルグアイ	uruguay
学習院	gakushuin
自慢	membanggakan
自慢	bermegah
自慢	membual
自慢	bangga
自慢	proud
自慢	membual
屋内	indoor
許し	pengampunan
許し	ampunan
三鷹	mitaka
コマーシャル	komersial
コマーシャル	komersial
コマーシャル	komersil
匿名	anonimitas
匿名	anonim
匿名	ikang
匿名	anonymous
速い	fast
速い	cepat
速い	puasa
メドレー	medley
新庄	shinjō
新庄	shinjo
松前	matsumae
明日香	asuka
ジョーダン	jordan
ジョーダン	yordania
博之	hiroyuki
村井	murai
飛騨	hida
あした	ashita
あした	besok
あした	esok
あした	tomorrow
行進	prosesi
坂東	bando
落ちる	fall
落ちる	jatuh
ワルツ	waltz
土岐	toki
クタ	kuta
コンソール	konsol
コンソール	konsol
反逆	pengkhianatan
反逆	penghianatan
反逆	berkhianat
ドバイ	dubai
裏切り	pengkhianatan
裏切り	pengkhianatan
裏切り	penghianatan
えみ	emi
クーパー	cooper
溝口	mizoguchi
部数	salinan
トーン	nada
トーン	tone
笠間	kasama
部署	departemen
ライム	kapur
ライム	limau
ライム	lime
ニコラス	nicholas
エイリアン	alien
エイリアン	alien
エイリアン	aliens
家庭教師	pengajar
家庭教師	tutor
カスティーリャ	kastilia
ロイド	lloyd
ロイド	llyod
同性愛	homoseksualitas
トレイ	nampan
トレイ	baki
中身	mengisi
スバル	subaru
ウィズ	wiz
アクティブ	active
アクティブ	aktif
アクティブ	mengaktifkan
アクティブ	aktifkan
シオン	sion
シオン	zion
シオン	sion
岸田	kishida
矢島	yajima
矢島	yashima
いちばん	ichiban
カノン	canon
カノン	kanon
怖い	menakutkan
怖い	menyeramkan
怖い	scary
怖い	seram
怖い	takut
怖い	ketakutan
ジャマイカ	jamaika
ジャマイカ	jamaica
ジャマイカ	jamaika
小平	kodaira
行進曲	march
行進曲	maret
盆地	cekungan
奉仕	altruisme
罰金	didenda
軽い	cahaya
軽い	lampu
軽い	light
軽い	terang
軽い	ringan
アンコール	encore
アンコール	angkor
フェルト	merasa
フェルト	dirasakan
転移	peralihan
転移	transisi
ストリーム	aliran
ストリーム	stream
ストリーム	aliran
ストリーム	arus
ストリーム	stream
ストリーム	streaming
馬鹿	idiot
馬鹿	goblok
馬鹿	bodoh
馬鹿	tolol
近所	tetangga
近所	lingkungan
近所	tetangga
トロフィー	trophy
トロフィー	piala
トロフィー	trofi
トロフィー	trofi
奇数	aneh
奇数	ganjil
なかよし	nakayoshi
千尋	chihiro
ティーン	teen
ティーン	remaja
ラット	rat
ラット	tikus
横手	yokote
コイ	carp
ペンギン	pinguin
ペンギン	penguins
ペンギン	penguin
ペンギン	pinguin
ペンギン	penguin
ルクセンブルク	luksemburg
ルクセンブルク	luxembourg
クレーン	bangau
クレーン	bangau
クレーン	derek
クレーン	crane
シャワー	shower
シャワー	pancuran
シャワー	mandi
シャワー	mandi
マヌエル	manuel
彫刻家	pematung
ペリー	perry
野中	nonaka
有線	kabel
被告	terdakwa
被告	terdakwa
ジャガー	jaguar
楽しみ	kenikmatan
イヴァン	ivan
キラー	killer
キラー	pembunuh
フィルター	filter
フィルター	penyaring
フィルター	saring
フィルター	saringan
フィルター	filter
フィルター	penyaring
フィルター	saringan
村松	muramatsu
津島	tsushima
ブダペスト	budapest
ヘクタール	hektar
ヘクタール	hektar
酒田	sakata
安井	yasui
給与	gaji
十字架	salib
十字架	lintas
十字架	cross
十字架	palang
シンシナティ	cincinnati
アトラクション	attraction
アトラクション	atraksi
アトラクション	dkk
アトラクション	atraksi
フィレンツェ	florence
クリーン	bersihkan
クリーン	bersih
クリーン	clean
こんにちは	hallo
こんにちは	helo
こんにちは	hello
こんにちは	halo
ナース	perawat
ナース	nurse
ナース	suster
アラバマ	alabama
オーロラ	aurora
恵比寿	ebisu
真空	vakum
略奪	penjarahan
略奪	menjarah
発現	manifestasi
北山	kitayama
田舎	pedesaan
上川	kamikawa
デュアル	dual
キャッチフレーズ	slogan
賃貸	sewa
つばさ	tsubasa
版画	hanga
ミッキー	mickey
ミッキー	micky
変態	cabul
変態	mesum
変態	metamorfosis
ルーズベルト	roosevelt
反転	kebalikan
反転	membalik
反転	balikkan
反転	flip
ナナ	nana
塩基	dasar
塩基	pangkalan
塩基	base
塩基	markas
塩基	basis
祖国	motherland
福知山	fukuchiyama
シャフト	poros
マスト	mast
マスト	tiang
モーション	gerakan
モーション	motion
モーション	gerak
モーション	mosi
天理	tenri
哲夫	tetsuo
運ぶ	carry
キン肉マン	kinnikuman
パイレーツ	pembajak
パイレーツ	pirates
パイレーツ	perompak
封鎖	blokade
鋳造	pengecoran
鋳造	casting
岩本	iwamoto
コンサルティング	konsultasi
コンサルティング	konsultan
マウンテン	gunung
マウンテン	mountain
マウンテン	pegunungan
七尾	nanao
リナ	rina
リナ	lina
ストーム	badai
ストーム	storm
火薬	mesiu
バロック	barok
緊張	gugup
緊張	grogi
緊張	tegang
緊張	menegangkan
緊張	ketegangan
イアン	ian
増やす	naikkan
増やす	tingkatkan
増やす	meningkat
増やす	meningkatkan
増やす	peningkatan
たばこ	tembakau
黒沢	kurosawa
堤防	tanggul
哺乳類	mamalia
哺乳類	mamalia
長島	nagashima
ロペス	lópez
ロペス	lopes
ロペス	lopez
正樹	masaki
名声	ketenaran
名声	fame
クモ	laba
クモ	spider
離れる	tinggalkan
離れる	meninggalkan
樹脂	getah
樹脂	resin
コスモ	cosmo
エステ	este
アドバイザー	penasihat
アドバイザー	penasehat
アドバイザー	penasihat
アドバイザー	penasehat
原点	origin
原点	asal
グリー	glee
徳永	tokunaga
ウィル	will
ウィル	akan
尾上	onoe
断片	fragmen
武者	musha
公家	kuge
大樹	taiki
ヨハネス	johannes
利点	keuntungan
利点	keunggulan
利点	kelebihan
利点	keuntungan
利点	keunggulan
指針	pedoman
指針	panduan
破棄	dibatalkan
破棄	dicabut
破棄	mencabut
ロイ	roy
若葉	wakaba
おじさん	paman
レッズ	reds
レッズ	merah
スワン	swan
スワン	angsa
野沢	nozawa
肥後	higo
甲賀	koga
沈黙	keheningan
沈黙	diam
沈黙	hening
ユタ	utah
東西線	tozai
ケント	kent
三宮	sannomiya
ヤクザ	yakuza
おっ	whoa
コープ	mengatasinya
東野	higashino
東名	tomei
マヤ	maya
呼び出し	pemanggilan
囚人	tawanan
囚人	tahanan
