oli	бе
hän	тя
vuonna	година
vuonna	годината
myös	също
joka	кой
joka	което
joka	която
kello	гледай
kello	гледайте
kello	часовник
että	че
ovat	са
mutta	но
kanssa	със
hänen	неговият
hänen	неговата
hänen	му
hänen	неговия
hänen	нея
jälkeen	след
suomen	финландски
vuoden	година
vuoden	годината
muualla	другаде
kun	когато
kun	кога
kuin	като
kuin	like
ole	оле
mukaan	със
jonka	което
jonka	която
jossa	къде
voi	май
voi	могат
voi	can
noin	относно
eli	илай
vain	само
vain	единствено
vain	просто
vain	само
olivat	бяха
lisäksi	също
lisäksi	плюс
jotka	което
jotka	която
tavua	срички
tavua	байтове
kaksi	двама
kaksi	две
hänet	него
tuli	огън
tuli	пожар
tuli	дойде
yksi	една
yksi	един
yksi	едно
voitti	победена
voitti	победени
voitti	победен
voitti	уон
voitti	спечели
tulos	резултати
tulos	развръзка
tulos	изход
tulos	резултат
tulos	резултат
tulos	резултата
suomalainen	финландски
suomalainen	фин
kuten	като
kuten	like
toimi	действия
toimi	действие
toimi	екшън
toimi	act
toimi	акт
wikipedia	уикипедия
ensimmäinen	първи
ensimmäinen	първо
ennen	преди
tämä	това
tämän	това
osa	част
osa	някои
tammikuuta	януари
yhteensä	общо
yhteensä	общ
yhteensä	обща
php	php
syyskuuta	септември
vastaan	срещу
vastaan	против
eri	различна
eri	различно
eri	различни
eri	различен
eri	еми
eri	emi
keskustelu	разговор
keskustelu	разговори
keskustelu	беседа
keskustelu	дискусия
keskustelu	обсъждания
keskustelu	дискусии
keskustelu	обсъждане
keskustelu	разискване
keskustelu	разисквания
keskustelu	дебат
keskustelu	дебати
keskustelu	чата
keskustelu	чат
koska	защото
maaliskuuta	март
huhtikuuta	април
huhtikuuta	ейприл
huhtikuuta	април
elokuuta	август
elokuuta	аугуст
kesäkuuta	джун
kesäkuuta	юни
toukokuuta	май
joulukuuta	декември
heinäkuuta	юли
helmikuuta	февруари
koko	цялата
koko	цяла
koko	цял
koko	цялото
koko	размери
koko	големина
koko	размер
marraskuuta	ноември
olisi	би
vielä	още
diff	разлики
diff	разлика
kaikki	всичко
kaikki	всички
kaikki	всичко
kaikki	всички
kaikki	всеки
pelasi	играха
pelasi	играл
yli	над
helsingin	хелзинки
toinen	второ
toinen	втора
toinen	втори
