হর্ন	แตร
বার্গার	burger
অলিম্পিয়ান	โอลิมปิค
টেস্টিং	ทดสอบ
খেমার	เขมร
অগ্রগণ্য	กรรมสิทธิ์
বাঁদিকে	ซ้าย
বাঁদিকে	เหลือ
সাম্প্রতিকতম	ล่าสุด
এনটিভি	ntv
স্টলম্যান	stallman
ফোয়ারা	น้ำพุ
বাইসাইকেল	จักรยาน
বাইসাইকেল	จักรยาน
অন্ত্রের	ลำไส้
অন্ত্রের	ลำไส้เล็ก
এলোমেলো	บ้า
এলোমেলো	เพี้ยน
এলোমেলো	มั่ว
এলোমেলো	สุ่ม
আইডিয়া	แนวคิด
ব্রাসেলস	บรัสเซลส์
অন্তর্দৃষ্টি	insight
এক্সট্রিম	xtreme
চড়া	ขี่
আটকানো	ตอก
ন্যায্য	แฟร์
ন্যায্য	ยุติธรรม
থার্মোমিটার	เทอร์โมมิเตอร์
খুঁজুন	หา
খুঁজুন	ค้นหา
খুঁজুন	สำรวจ
বানায়	ทำให้
ডাইরেক্ট	ตรง
ডাইরেক্ট	โดยตรง
ডাইরেক্ট	direct
কার্লো	คาโล
কার্লো	คาร์โล
মেইনফ্রেম	เมนเฟรม
ডেজ	งุนงง
পেশি	กล้าม
পেশি	กล้าม
কোনে	kone
কয়লার	ถ่าน
কয়লার	ถ่านหิน
সুগন্ধ	กลิ่น
কিডনি	ไต
কিডনি	ไต
যুবতী	ยัง
পুরোদমে	สมบูรณ์
পুরোদমে	ครบ
টালি	กระเบื้อง
হজ্জ্ব	haj
হুড	hood
আর্চ	อาร์ช
ভরসা	พึ่งพา
মন্ত্রিসভার	ตู้
ডকুমেন্টারি	สารคดี
মোটরসাইকেল	มอเตอร์ไซค์
দেখাও	แสดง
যোশী	joshi
কান্না	ร้องไห้
কান্না	ร้องไห้
আসগর	asghar
বার্তাবাহক	messenger
কাঠবিড়ালি	กระรอก
পাইক	ไพก์
পাইক	ไพค์
কাঁদতে	ร้องไห้
ট্রিবিউন	ทริบูน
সালাদ	สลัด
অ্যাংকর	นคร
ধারণাগুলি	แนวคิด
ধারণাগুলি	concepts
অগ্ন্যুৎপাত	ปะทุ
কসম	สาบาน
ছাঁচ	หน้ากาก
করুণা	สงสาร
করুণা	เมตตา
করুণা	ปราณี
হাতুড়ি	ค้อน
গ্লেজার	glazer
সাবরি	sabri
কাকে	ผู้
কাকে	ใคร
শুকনা	ผอม
হোপ	โฮป
হোপ	หวัง
সৌজন্যে	มารยาท
থাকুন	อยู่
পূর্বনির্ধারিত	ปริยาย
সাক্ষাতকার	สัมภาษณ์
ভোঁদড়	นาก
সূর্যালোক	แดด
সূর্যালোক	แสงแดด
সাদী	sadi
সিমুলেশন	จำลอง
বস্টন	บอสตัน
বস্টন	boston
বেলো	เบลโล
চুল্লী	ปฏิกรณ์
আউটডোর	outdoor
বৈশিষ্ট্যগুলি	คุณสมบัติ
গোর	กอร์
দেরী	ดึก
দেরী	ช้า
দেরী	สาย
প্লেসিস	plessis
অর্নিথিস্কিয়া	ornithischia
বেটে	bethe
ইবাদত	บูชา
ইবাদত	นมัสการ
আত্মিক	กายสิทธิ์
চেয়েছিল	ต้องการ
ভেলা	แพ
ভেলা	vela
জ্যোতিষশাস্ত্র	โหราศาสตร์
বোনদের	สองพี่น้อง
লিজ	ลิส
লিজ	ลิซ
লিজ	เช่า
খোঁজা	สำรวจ
রাশ	รัช
রাশ	รัส
আগার	agar
রিক্সা	ตุ๊ก
ড্রাইভিং	ขับ
ড্রাইভিং	ขับขี่
স্ফীত	ป่อง
কিংস্টন	คิงสตัน
দিনগুলি	วัน
সঞ্চালনের	ประหาร
বৌদ্ধরা	พุทธ
ভেজে	ทอด
মূত্র	ปัสสาวะ
পাউলিং	pauling
ঝুড়ি	ตะกร้า
সর্বনাম	สรรพนาม
খ্রীষ্টান	คริสเตียน
খ্রীষ্টান	คริสเตียน
টিপ	ทิป
আয়নার	กระจกเงา
আয়নার	กระจก
বেতের	เฆี่ยน
বিঘ্নিত	ขัดจังหวะ
একাত্মতা	สามัคคี
জিহ্বা	ลิ้น
জিমেইল	gmail
ব্যারেল	อวย
ব্যারেল	ถัง
জিল	จิล
জর্জীয়	จอร์เจีย
ভাইরাল	ไวรัส
হোসনি	hosni
পরি	เทวดา
পরি	นางฟ้า
ছেলেটি	บอย
ফেইসবুক	facebook
ট্র্যাজেডি	โศกนาฏกรรม
এন্ড্রয়েড	android
ভ্যালেন্টাইন	วาเลนไทน์
এন্ট্রি	รายการ
গ্যাংস্টার	มาเฟีย
গ্যাংস্টার	นักเลง
লজ্জা	ละอาย
লজ্জা	เสียดาย
প্রতিষেধক	ถอนพิษ
মিক	มิค
মিক	มิก
নৃশংস	โหด
প্যাক	แพ็ค
প্যাক	pac
প্যাক	แพ็คเกจ
প্যাক	แพ็ค
প্যাক	ฝูง
প্যাক	แพค
নরফোক	นอร์ฟอล์ค
বার্ক	เห่า
ধুয়ে	เกย
ক্যাট	แคท
কিট	คิคิ
কিট	คิ
কিট	คิท
কিট	คิต
ফড়িং	แมลงปอ
গর্বিত	ภูมิใจ
গর্বিত	proud
পেট্রোল	น้ำมัน
মস	mos
মস	moss
দেহরক্ষী	bodyguard
দূর্নীতি	บ่อน
নীরবতা	เงียบ
হুন	ฮุน
চিংড়ির	กุ้ง
হাসিনার	hasina
হ্যাকিং	แฮ็ก
কও	กู
কল্যাণের	สวัสดิการ
কল্যাণের	สวัสดิภาพ
স্যান্ডউইচ	แซนด์วิช
স্যান্ডউইচ	แซนด์วิช
প্যাড	ผัด
প্যাড	pad
