relevant	relevantní
unicode	unicode
musée	musée
raam	rámec
raam	rám
raam	rámeček
draad	kabelové
draad	nitě
draad	vlákno
draad	nit
netwerke	sítě
venster	okénko
venster	okno
flank	křídlo
interstellêre	mezihvězdné
kiel	keel
fouché	fouché
golwende	vlnité
fleur	fleur
newfoundland	newfoundlandu
gesteel	ukradené
gesteel	ukradená
gesteel	ukradeno
gesteel	ukradl
gesteel	ukradený
que	uhlíky
daargestel	zřízený
daargestel	zavedených
daargestel	stanovena
daargestel	zavedené
versierings	minimalizace
versierings	dekorace
ketting	řetězu
ketting	řetízek
ketting	řetěz
ketting	řetězec
tacitus	tacitus
passiewe	pasivní
gaius	gaius
versailles	versailles
wingerde	vinic
wingerde	vinice
besoeker	návštěva
besoeker	návštěvník
mons	mons
huishouding	domácností
huishouding	domácnost
huishouding	domácnosti
komposisie	složení
noot	bill
noot	bille
maori	maori
skoot	zastřelen
skoot	střelen
skoot	střela
skoot	zastřelil
skoot	výstřel
katoliek	katolická
katoliek	katolické
katoliek	katolík
katoliek	katolický
nero	nero
morris	morris
morris	morrise
massas	masy
kriminele	kriminálník
kriminele	kriminální
kriminele	zločinec
kriminele	trestní
gavin	gavin
adjunk	zástupce
adjunk	zástupkyně
adjunk	náměstek
proklamasie	vyhlášení
wasili	vasilij
akwitanië	aquitaine
volgehoue	pokračoval
volgehoue	pokračovalo
volgehoue	pokračovala
volgehoue	pokračování
kolonisasie	plantáž
inskrywings	položky
inskrywings	zápisy
inskrywings	záznamy
languedoc	languedoc
geldige	platné
geldige	platná
geldige	platný
hot	horko
hot	sexy
hot	hot
hot	horké
missouri	missouri
organe	orgánů
organe	orgány
commander	velitel
commander	veliteli
sekuriteit	bezpečnostní
sekuriteit	ochranka
sekuriteit	jistota
sekuriteit	bezpečnost
sekuriteit	zabezpečení
sekuriteit	tajný
sekuriteit	tajná
sekuriteit	tajemství
sekuriteit	tajné
reykjavik	reykjavíku
virgin	panenské
virgin	panic
virgin	panna
maritieme	námořní
harald	harald
klinker	samohláska
tier	tiger
tier	tygří
tier	tygr
evangeliese	evangelické
onvoldoende	nedostatečná
onvoldoende	nedostatečné
onvoldoende	nedostatečný
skat	odhad
skat	odhadnout
aanpas	přizpůsobit
much	moc
much	mnoho
napier	napier
mes	nůž
koeie	krav
koeie	krávy
isolasie	izolace
isolasie	izolaci
lloyd	lloyd
altaar	ara
grace	grace
grace	milost
ballet	baletu
ballet	balet
ballet	baletní
sebastian	sebastian
sebastian	sebastiana
honda	honda
khmer	khmer
romantiek	romantismu
basketbal	basket
basketbal	basketbal
nood	potřebovat
nood	potřebuji
nood	potřebují
nood	potřeba
kuiper	kuiper
uitdagings	výzev
uitdagings	výzvy
slim	chytrá
slim	chytré
slim	smart
slim	chytrý
insert	přerušení
insert	přerušit
plastiek	plastů
plastiek	plasty
plastiek	plastové
plastiek	plast
plastiek	plasty
ergste	nejhorší
registreer	přihlásit
registreer	odebírat
registreer	registr
registreer	registrovat
registreer	zaregistrovat
kognitiewe	kognitivní
kognitiewe	poznávací
isabel	isabel
kassel	kassel
halley	halley
yorkshire	yorkshire
malcolm	malcolm
malcolm	malcolma
bees	skot
bees	dobytek
linde	linde
maui	maui
zealand	zéland
zealand	zélandu
essex	essex
blaar	list
herinneringe	vzpomínky
martha	marta
martha	martha
onsuksesvol	neúspěšný
onsuksesvol	neúspěšné
gareth	gareth
kaliningrad	kaliningradu
diana	diana
eben	eben
fame	sláva
fame	slávy
fame	slávu
cole	cole
cole	cola
fernando	fernando
oost	oost
sosialisme	socialismus
pool	tyč
pool	pól
pool	polák
pool	sloup
pool	pólu
bsg	bsg
liberalisme	liberalismus
rosa	rosa
lone	mzdu
lone	mzda
mann	mann
huxley	huxley
frances	frances
innerlike	vnitřní
mondelinge	orální
mondelinge	perorální
mondelinge	ústní
afgekeur	zastaralé
afgekeur	odmítnuto
afgekeur	zamítnuto
afgekeur	zamítnuta
afgekeur	odmítnut
reservoir	přehrada
reservoir	nádrž
vierkantige	náměstí
vierkantige	čtverec
binnekort	brzo
binnekort	brzy
were	byli
were	byly
koch	koch
pisa	pise
hoofweg	dálnici
hoofweg	dálnice
oorlewendes	přeživší
gade	manželka
gade	choť
sluipmoord	zavraždění
sluipmoord	atentát
mandaat	mandát
mandaat	pověření
alexandra	alexandra
bestuurders	ovladače
bestuurders	řidiče
bestuurders	řidiči
bestuurders	manažeři
bestuurders	manažery
plasing	post
plasing	pošta
plasing	příspěvek
plasing	zveřejnit
plasing	umístění
vissery	rybolov
realiteit	skutečnost
realiteit	reality
realiteit	realita
wense	přání
wense	přeje
vervanging	nahrazení
vervanging	substituční
sigma	sigma
doeltreffendheid	efektivita
doeltreffendheid	účinnost
doeltreffendheid	efektivnost
doeltreffendheid	efektivita
doeltreffendheid	účelnost
doeltreffendheid	účinnost
doeltreffendheid	efektivnost
monarge	monarchové
vasco	vasco
alliance	spojenectví
alliance	aliance
napoleontiese	napoleonských
kronieke	chronicle
gereageer	jednala
gereageer	jednal
gereageer	zareagoval
gereageer	reagovala
gereageer	reagoval
gereageer	odpověděl
gereageer	reagoval
geraamde	odhad
geraamde	odhadované
geraamde	odhadovaná
honger	hladová
honger	hladový
honger	hlad
ape	opice
ape	opic
jemen	jemenu
laos	laosu
niggie	sestřenice
niggie	bratranec
niggie	neteř
kronberg	kronberg
omskakeling	přepočet
omskakeling	přeměna
omskakeling	konverze
tennessee	tennessee
dokumentêr	dokumentární
dokumentêr	dokument
telefoon	telefonní
telefoon	telefon
orlando	orlando
skakering	tón
holden	holden
linda	linda
linda	lindu
linda	lindo
reims	reims
hertogin	vévodkyně
gespesifiseer	specifikované
gespesifiseer	uvedené
kroeë	hospody
kroeë	bary
kroeë	mříže
kroeë	barech
kroeë	barů
kroeë	tyče
seekoei	hroch
funksionele	funkční
kelly	kelly
kelly	kellyho
harder	hlasitější
harder	těžší
habana	habana
sous	omáčku
sous	omáčka
weeklikse	týdenní
weeklikse	týdně
robbie	robbieho
robbie	robbie
estniese	estonské
nevada	nevadě
aantreklike	přitažlivé
aantreklike	přitažlivý
aantreklike	atraktivní
aantreklike	přitažlivá
wright	wright
krities	kritický
krities	kritická
krities	kritické
nigel	nigel
nacional	nacional
magiese	kouzelná
magiese	magický
magiese	kouzelný
magiese	magické
magiese	kouzelné
magiese	mýtické
frase	fráze
horus	horus
stempel	známka
stempel	razítko
christ	kristus
christ	kriste
leningrad	leningradu
staaf	tyč
staaf	rod
staaf	prut
earl	earl
earl	earle
search	hledej
search	vyhledat
search	hledání
search	hledat
search	vyhledávání
morfologie	morfologie
seleksie	výběr
stelle	sady
stelle	soupravy
stelle	nastavuje
jordan	jordan
afgelaai	stáhli
afgelaai	stažené
afgelaai	stáhla
afgelaai	staženo
afgelaai	stahování
afgelaai	stažení
vrylik	svobodně
vrylik	volně
picasso	picasso
opinie	názor
opinie	stanovisko
rjoerik	rurik
operasionele	operační
operasionele	operativní
operasionele	provozní
waarborg	záruční
waarborg	záruku
waarborg	záruka
waarborg	garance
waarborg	ručení
waarborg	záruka
hellings	svahy
skoene	boty
skoene	obuv
skoene	botky
skoene	obuv
skoene	obuvi
brandewyn	brandy
vaardigheid	dovednost
vaardigheid	dovednosti
bemarking	marketing
natuurlewe	divočina
oortreding	faul
ambassade	ambasády
ambassade	velvyslanectví
ambassade	ambasáda
myspace	myspace
skuins	kurzíva
château	zámek
château	château
herzegowina	hercegovina
base	základna
base	základ
base	báze
base	základnu
bryan	bryan
hek	vrata
hek	brány
hek	bránu
hek	gate
hek	brána
geïnterpreteer	vykládat
zambezi	zambezi
nommers	čísla
omsluit	uzavřených
omsluit	přiložené
omsluit	uzavřené
umeå	umeå
novelle	novella
geestelik	duchovní
geestelik	duševní
geestelik	spirituální
gauliga	gauliga
onse	uncí
wenke	tipy
wenke	tipů
wenke	náznaky
gutenberg	gutenberg
okt	říjen
baanbreker	průlom
louvre	louvre
plata	plata
els	eis
africanus	africanus
afwesig	chybí
afwesig	chybějící
nuwer	novější
icd	icd
alfonso	alfonso
milner	milner
orion	orion
dialoog	dialog
ogg	ogg
movement	hnutí
movement	pohybu
movement	pohyb
movement	pohyby
scotia	scotia
molekule	molekuly
alba	alba
mini	mini
johns	johns
kabel	kabel
kabel	kabely
kabel	kabelová
kabel	kabelové
igor	igor
voorvaders	předky
voorvaders	předků
voorvaders	předci
voorvaders	předkové
knope	uzlů
knope	uzly
eksklusiewe	výhradní
eksklusiewe	výlučné
eksklusiewe	exkluzivní
wallace	wallace
ontvoer	unesl
ontvoer	unesena
ontvoer	unesen
beampte	strážník
beampte	důstojník
sparta	sparta
konsentrasies	koncentrace
schmidt	schmidt
erectus	erectus
kapitalisme	kapitalismus
slawiërs	slované
speaker	řečník
speaker	mluvčí
kubrick	kubrick
yslands	islandském
yslands	islandské
jeff	jeffa
jeff	jeff
voorvoegsel	prefix
osiris	osiris
onvoltooide	nedokončené
pot	hrnec
pot	trávu
pot	tráva
brasília	brasília
luigi	luigi
muir	muir
philips	philips
argaïese	archaické
walvis	velryba
namibia	namibie
behulpsaam	užitečná
behulpsaam	užitečný
behulpsaam	užitečné
sleutels	klíče
sleutels	klávesy
sleutels	klíčky
rebels	rebelové
rebels	povstalci
rebels	rebely
zanzibar	zanzibar
kirchner	kirchner
julia	julie
julia	julii
julia	julia
hardeware	hardware
hardeware	železářství
anas	anas
imperial	císařský
imperial	císařské
imperial	imperiální
imperial	imperial
voorgeskryf	předepsané
voorgeskryf	předepsáno
uitdaging	výzvu
uitdaging	výzva
emmanuel	emmanuel
gelykheid	rovnost
dale	dale
balkan	balkán
balkan	balkánu
jeffrey	jeffrey
modernisme	modernismu
parade	průvod
parade	přehlídka
bain	bain
detroit	detroitu
detroit	detroit
hun	hun
algoritme	algoritmus
palm	dlaní
palm	palm
palm	dlaň
bosbou	lesnictví
uitgeput	vyčerpaná
uitgeput	vyčerpaný
uitgeput	vyčerpaná
realistiese	reálné
realistiese	realistické
realistiese	realistický
ajax	ajax
foster	fosterová
foster	foster
pype	potrubí
pype	trouby
pype	trubky
pype	ohňostroj
pype	ohňostroje
battista	battista
urban	městský
urban	městská
urban	městské
opgelaai	nahrál
opgelaai	nahráli
opgelaai	nahrané
opgelaai	nahraný
zur	zur
ontspanning	rekreační
promosie	promo
promosie	propagace
promosie	povýšení
promosie	propagaci
acrocephalus	acrocephalus
robin	robin
fortuin	jmění
fortuin	štěstěna
monopolie	monopol
monopolie	monopoly
diamond	diamantový
diamond	diamond
diamond	diamantové
diamond	diamant
etiese	etické
etiese	etický
brandwag	sentinel
oudio	zvuk
oudio	audio
lama	láma
mig	mib
vergroting	rostoucí
vergroting	pěstování
vergroting	roste
vergroting	rostou
geraas	šum
geraas	hluku
geraas	hluk
romp	trup
romp	trupu
neurenberg	norimberku
tekening	kreslení
tekening	kresba
tekening	losování
lawa	láva
swembad	kulečník
