ロブ	robb
平衡	ewewig
ダーウィン	darwin
粘土	clay
占有	besit
モナ	mona
追及	gekompliseerd
肝臓	lewer
アンゴラ	angola
ノック	knock
ノック	klop
ノック	nok
ジェシカ	jess
ジェシカ	jessica
真ん中	middelste
真ん中	midde
ペイント	verf
ピーチ	perske
滑らか	glad
ハイランド	highland
完備	voltooi
完備	afgehandel
白血病	leukemie
白血病	bloedkanker
アングル	angle
アングル	hoek
冷たい	cold
冷たい	koue
冷たい	koud
ホノルル	honolulu
ハンプトン	hampton
ラウンジ	sitkamer
ラウンジ	sitkamers
ディーラー	dealer
デーモン	bediener
除隊	ontslag
除隊	ontlaai
ナイス	lekker
ナイス	oulike
ナイス	nice
ケヴィン	kevin
信条	creed
入札	aanbod
入札	bod
台帳	grootboek
台帳	lêer
エディンバラ	edinburgh
中性子	neutron
処方	voorskryf
パノラマ	panorama
クルト	kurt
反復	iterasies
ネイティブ	inheemse
ネイティブ	plaaslik
ヴィレッジ	village
ヴィレッジ	dorpie
ロジャース	rodgers
ロジャース	rogers
バレンタイン	valentyn
バレンタイン	valentine
ボルドー	bordeaux
ヴァンパイア	vampire
受け取り	ontvang
風刺	satire
仲裁	arbitrasie
顕微鏡	mikroskoop
検察官	agterstand
ボトル	bottel
ダイハツ	daihatsu
神風	kamikaze
クォーター	kwart
クォーター	kwartaal
グリッド	rooster
リチウム	lithium
ラバー	rubber
インタラクティブ	interaktiewe
フェルナンデス	fernández
フェルナンデス	fernandez
フェルナンデス	fernandes
用紙	papier
パラオ	palau
ミナ	mina
快楽	plesier
ヒール	heel
均衡	ewewig
きれい	skoon
気球	ballon
ディラン	dylan
メンフィス	memphis
フィルタ	filter
フィルタ	filtreer
ヴォルフガング	wolfgang
チコ	chico
蒸発	verdamping
ココ	coco
スクリュー	skroef
祈祷	gebed
募金	skenking
募金	skenk
募金	skenkings
オリエント	orient
オーランド	orlando
パウンド	pond
パウンド	pound
シャーロック	sherlock
スタッド	stade
スタッド	stud
リッター	ritter
村人	villagers
トカゲ	lizard
トカゲ	akkedis
参道	benadering
飢饉	hongersnood
ピストル	pistool
ブランチ	tak
別館	byvoegsel
聖歌	hymn
聖歌	hymns
漁師	vissermanne
ガーナ	ghana
ミレニアム	millenium
ミレニアム	millennium
なぜなら	want
塩素	chloor
釈迦	shaka
ジェニファー	jennifer
クレイグ	craig
パッチ	verbeteringe
パッチ	lappe
パッチ	lap
アイザック	isaac
美学	estetika
死別	weduwee
死別	wewenaar
筆記	geskryf
セバスチャン	sebastian
レコーダー	opnemer
ダイアナ	diana
リハビリ	rehabilitasie
バーゼル	basel
苦情	klagtes
苦情	klagte
二階	upstairs
代名詞	voornaamwoord
静脈	aar
チューン	tune
ノルマンディー	normandië
開示	bekendmaking
エデン	eden
デザート	nagereg
デザート	woestyn
デザート	nageregte
デザート	woestyn
デザート	nageregte
リバイバル	herlewing
リバイバル	revival
動脈	arteries
大文字	hoofletters
ツイッター	twitter
発熱	koors
リュック	luc
織物	tekstiel
織物	weef
織物	tekstiele
ペスト	plaag
ペスト	pest
ボンド	bind
グロス	walglik
グロス	bruto
ヴィーナス	venus
ゴリラ	gorilla
ゴリラ	gorillas
フリッツ	fritz
ブランコ	blanco
ジュゼッペ	giuseppe
竜巻	tornado
健治	kenji
ダイヤル	dial
ダイヤル	bel
苦悩	agony
ゴリ	gori
ゴア	goa
ゴア	gore
ネブラスカ	nebraska
ポロ	polo
日没	sonsondergang
山東省	shandong
ミュラー	müller
ミュラー	muller
ディナー	aandete
白金	platinum
パラグアイ	paraguay
ジェシー	jesse
オオカミ	wolf
コンタクト	kontak
ザルツブルク	salzburg
特製	spesialiteit
快感	plesier
叔母	tannie
空想	spoggerige
空想	fancy
空想	deftige
パーソナル	persoonlik
パーソナル	persoonlike
段落	paragraaf
段落	paragrawe
ハーモニー	harmonie
やっと	uiteindelik
アイディア	idee
アイディア	idees
タイラー	tiaan
タイラー	tyler
タイラー	temba
宝物	treasures
宝物	treasure
マルクス主義	marxisme
サーブ	dien
サーブ	bedien
イワン	ivan
イワン	iwan
ギフト	geskenke
ギフト	geskenk
理性	rede
ビスマルク	bismarck
構文	sintaks
光景	besienswaardighede
光景	sight
アインシュタイン	einstein
申し立て	betwis
申し立て	dispuut
申し立て	geskil
エミリー	emily
安い	goedkoop
スラッシュ	slash
ハーレム	harlem
サンズ	sands
ガイ	guy
プラット	platt
プラット	pratt
プラット	platte
矯正	korrektiewe
バタフライ	skoenlapper
修業	leerling
最小限	minimum
最小限	minimale
エレナ	elena
クイーンズ	queens
コサック	kosakke
コサック	cossack
スペル	spelling
チャレンジャー	challenger
ホワイトハウス	whitehouse
プロポーズ	propose
パラレル	parallel
パラレル	parallelle
ゴマ	sesame
サザン	suidelike
図形	afmetings
図形	meetkunde
図形	vorm
ゲノム	genome
ドッキング	dock
