hän	她
vuonna	年度
vuonna	年份
vuonna	年
myös	還
myös	也
joka	誰
kello	觀看
kello	手錶
kello	鐘
kello	鍾
kello	時鐘
että	那個
mutta	但
mutta	不過
mutta	但是
hänen	他的
hänen	她的
jälkeen	後
jälkeen	之後
vuoden	年度
vuoden	年份
vuoden	年
kun	當
kuin	讚
kuin	就像
kuin	像
kuin	喜歡
kuitenkin	然而
voi	may
voi	梅
voi	五月份
voi	五月
noin	關於
eli	eli
vain	只
vain	只有
vain	只是
vain	只要
lisäksi	還
lisäksi	也
lisäksi	加上
lisäksi	加
tavua	音節
kaksi	兩
kaksi	兩個
kaksi	二
tuli	消防
tuli	火
tuli	火焰
tuli	火災
yksi	一
yksi	one
yksi	一個
voitti	元
tulos	成果
tulos	結果
tulos	成果
tulos	結果
tulos	結果
suomalainen	finn
kuten	讚
kuten	就像
kuten	像
kuten	喜歡
myöhemmin	後來
myöhemmin	稍後
myöhemmin	以後
toimi	動作
toimi	行動
toimi	act
ensimmäinen	首先
ensimmäinen	第一
ennen	以前
ennen	前
ennen	之前
tämä	這
tämä	這個
tämän	這
tämän	這個
osa	一些
osa	有些
tammikuuta	一月
yhteensä	共計
yhteensä	總計
php	php
syyskuuta	九月份
syyskuuta	九月
eri	不同
eri	惠美
eri	emi
keskustelu	對話
keskustelu	辯論
keskustelu	聊
keskustelu	聊天
koska	因為
koska	原因
maaliskuuta	三月
huhtikuuta	四月
huhtikuuta	四月份
elokuuta	八月
elokuuta	八月份
kesäkuuta	六月份
kesäkuuta	六月
toukokuuta	may
toukokuuta	梅
toukokuuta	五月份
toukokuuta	五月
joulukuuta	十二月
heinäkuuta	七月
heinäkuuta	七月份
helmikuuta	二月
koko	大小
koko	體積
koko	尺寸
marraskuuta	十一月
vielä	仍然
vielä	依然
vielä	然而
diff	diff
kaikki	一切都
kaikki	一切
kaikki	全部
kaikki	所有
kaikki	all
kaikki	大家
kaikki	每個人
helsingin	赫爾辛基
toinen	第二
toinen	秒
kauden	季
kauden	季節
vaikka	儘管
vaikka	雖然
vaikka	雖然
nimi	名字
nimi	名稱
nimi	姓名
vuotta	歲月
vuotta	年份
seura	幫會
seura	club
seura	俱樂部
seura	公司
hyvin	非常
sijaitsee	位於
kolme	三
kolme	三個
usein	常常
usein	經常
usein	頻繁
usein	時常
usein	常常
usein	經常
kuva	像片
kuva	照片
kuva	影象
kuva	影像
kuva	圖片
kuva	照片
kuva	圖片
mukana	伴隨
alus	船隻
alus	船
alus	船隻
alus	艦
alus	船舶
kautta	通過
kautta	經由
kautta	透過
kautta	通過
itse	自我
itse	自己
yleensä	通常
yleensä	一般
yleensä	通常
sitten	那
sitten	然後
sitten	那麼
suurin	最大值
suurin	最大限度
uusi	新
uusi	新的
ajan	時光
ajan	時間
saa	獲取
saa	獲得
saa	得到
pinta	表面
pinta	地面
pinta	地表
helsinki	赫爾辛基
venäjän	俄語
venäjän	俄文
venäjän	俄
venäjän	俄國
venäjän	俄羅斯
pohjois	北方
pohjois	北
pohjois	北部
pohjois	北方
pohjois	北部
useita	多重
useita	多種
useita	多個
maalit	油漆
maalit	顏料
maalit	目標
maalit	畫
maalit	油漆
maalit	顏料
jpg	jpg
yhdessä	在一起
yhdessä	一起
näyttelijä	女主角
näyttelijä	女演員
näyttelijä	演員
näyttelijä	男主角
näyttelijä	演員
aina	始終
aina	永遠
aina	總是
maan	地球
maan	大地
maan	國家
kerran	一次
kerran	一旦
elokuva	電影
elokuva	影片
elokuva	電影
elokuva	膠片
elokuva	影片
elokuva	電影院
elokuva	電影
elokuva	戲院
saksan	德文
saksan	德語
saksan	德國
kaupunki	城鎮
kaupunki	鎮
kaupunki	城市
kaupunki	市
kaupunki	城
etelä	南方
etelä	南部
etelä	南
etelä	南方
etelä	南部
euroopan	歐洲
euroopan	歐洲
nyt	現在
katso	見
katso	觀看
katso	手錶
muita	其他
käyttää	使用
käyttää	利用
käyttää	使用
kertaa	時代
kertaa	times
kertaa	時報
muut	其他
muut	其他
yhden	一
yhden	one
yhden	一個
syntyi	生於
syntyi	誕生
syntyi	出生
syntyi	天生
vuodet	歲月
vuodet	年份
lopulta	最終
suomi	芬蘭
neljä	四個
neljä	四
neljä	四名
alueen	區域
john	john
yhtye	樂團
yhtye	樂隊
ranskan	法文
ranskan	法語
ranskan	法國
näin	鋸
näin	鋸子
paras	best
paras	最好
toimii	工程
toimii	作品
pelaaja	球員
pelaaja	玩家
pelaaja	玩家
lähes	幾乎
taas	再次
albumi	相簿
albumi	專輯
pitää	讚
metriä	公尺
metriä	米
metriä	公尺
alle	下方
alle	以下
laulu	歌聲
