から	od
日本	japan
日本	nippon
この	ove
まで	do
また	također
また	takođe
もの	stvari
大学	univerzitetima
大学	univerziteti
大学	univerzitet
大学	fakultet
大学	koledž
大学	koledža
大学	fakultete
テレビ	televizija
放送	emitovanje
放送	emitovati
放送	emitiranje
東京	tokio
より	nego
削除	deleted
削除	brisanje
削除	delecija
削除	uklanjanju
削除	ukloni
削除	izbrisati
現在	trenutna
現在	trenutno
現在	prisutan
学校	škole
学校	škola
これ	ove
世界	world
世界	svjetski
世界	svijet
アメリカ	amerika
でも	ali
について	oko
作品	radovi
作品	funkcioniše
作品	radi
時代	eru
時代	ere
時代	era
映画	film
映画	kino
映画	kinematografija
映画	cinema
映画	film
映画	filmovi
映画	filmova
監督	režiser
監督	direktor
監督	nadzorom
鉄道	željeznice
鉄道	pruga
鉄道	željeznice
鉄道	željeznica
鉄道	željeznice
鉄道	željeznički
使用	koristimo
使用	upotreba
使用	iskoristi
使用	koristi
使用	koriste
出演	pojavljivanja
出演	izgled
時間	sati
時間	sat
時間	vrijeme
開始	počinju
開始	početak
開始	start
開始	početka
シリーズ	serija
シリーズ	seriji
のみ	samo
記事	članak
記事	priča
記事	priče
記事	price
記事	članaka
記事	članci
活動	aktivnosti
選手	igrači
選手	sportista
選手	sportisti
しかし	ali
研究	studijama
研究	proučavanja
研究	studije
研究	istraživanje
研究	istraživanja
会話	razgovor
会話	razgovori
大阪	osaka
大会	konvenciji
大会	konvencija
大会	konvenciju
チーム	timovi
チーム	ekipe
チーム	tim
チーム	ekipa
存在	postojanja
存在	postojanje
優勝	osvojivši
優勝	pobjednički
優勝	dobijanje
作詞	teksta
作詞	tekstova
作詞	tekstove
作詞	lirika
作詞	stihovima
所属	pripadnost
所属	pripadaju
国際	međunarodno
国際	međunarodni
国際	international
一部	neki
一部	delimično
一部	djelimično
結果	rezultat
結果	rezultati
アルバム	album
アルバム	albuma
バス	autobus
バス	bas
バス	autobusa
ゲーム	igra
ゲーム	igara
ゲーム	igre
ゲーム	igrama
問題	problem
問題	problemi
リーグ	liga
開発	razvoj
事業	poslovni
事業	poslovanje
決定	odlukom
決定	odluka
決定	odluke
決定	odlukama
決定	odluka
音楽	muzika
転送	napred
転送	naprijed
転送	transfer
転送	prijenos
転送	prenosi
情報	info
情報	informacija
公式	formula
公式	zvanična
公式	zvaničnik
公式	zvanične
公式	zvanični
公式	službeni
参加	učešće
地域	regije
地域	regija
変更	promjene
変更	promjena
変更	izmjena
変更	promjene
変更	promjeni
変更	promene
変更	promena
編曲	aranžman
サイト	sajtu
サイト	sajt
サイト	sajtova
サイト	sajtovi
記録	snimanje
記録	rekord
記録	rekordno
記録	bilježe
記録	rekordnih
関係	odnosu
関係	odnosi
クラブ	kluba
クラブ	klubovi
クラブ	klubova
中央	central
中央	centralni
中央	centralna
中央	centar
中央	centar
同じ	ista
同じ	isti
同じ	isto
設立	ustanovljen
設立	uspostavljena
設立	ustanovljene
設立	ustanovljena
設立	osnivanje
考え	misleći
考え	misli
教育	obrazovanje
プロ	pro
設置	instalacija
設置	instalaciju
発表	hadis
発表	najavama
小学校	elementarna
編集	uredi
編集	uređivanje
編集	edits
シーズン	sezona
シーズン	sezona
ファイル	datoteka
ファイル	dosije
ファイル	datoteka
ファイル	arhiva
ファイル	file
フランス	francuska
都市	grad
都市	gradovi
出版	izdavač
出版	izdavačka
出版	izdavačke
出版	izdavačkom
出版	objavljivanja
出版	objavljivanje
会社	firma
会社	kompanija
会社	kompanije
世紀	vijekova
世紀	vijekovima
世紀	vijek
ノート	napomena
ノート	bilježnice
ノート	note
ノート	nota
ノート	notebook
京都	kyoto
社会	društvo
社会	društvima
社会	društva
社会	društava
ドイツ	njemačka
開催	održano
開催	držala
開催	održana
開催	održan
シングル	single
センター	centar
センター	centar
終了	završiti
終了	kraj
終了	završila
終了	završio
終了	završeno
終了	izlaz
終了	exit
中心	centar
中心	centar
内容	sadržaj
内容	sadržaja
内容	sadržaj
文化	kultura
イギリス	engleska
ドラマ	drama
さらに	dalje
さらに	daljnje
中国	kina
撮影	kinematografija
撮影	fotografija
選手権	prvenstava
選手権	championship
選手権	šampionat
選手権	prvenstvo
野球	bejzbol
指定	navesti
位置	pozicija
位置	položaj
以下	ispod
マン	men
卒業	diplomirao
卒業	matura
人物	osoba
人物	osobe
公開	javni
公開	javnost
公開	javna
公開	javno
北海道	hokaido
最終	last
最終	poslednji
最終	poslednja
最終	posljednja
最終	zadnja
最終	posljednji
