algeriet	algeria
mus	soareci
mus	mouse
virkelighed	realitate
virkelighed	realitatea
über	über
grundloven	constitutia
grundloven	constitutie
grundloven	constitutie
grundloven	constitutia
cleveland	cleveland
kemiker	chimist
beretninger	rapoarte
beretninger	rapoartele
planerne	planurile
planerne	planuri
juventus	juventus
gravsted	mormant
gravsted	mormant
ingrid	ingrid
vanskelig	dificil
vanskelig	dificile
vanskelig	dificila
holmes	holmes
anbefalede	recomandat
anbefalede	recomandate
anbefalede	recomandata
skyldig	vinovat
skyldig	vinovata
teknikker	tehnici
marker	domenii
marker	campuri
marker	campurile
marker	colete
marker	parcele
marker	marcu
marker	marcheaza
marker	marca
marker	mark
baseball	baseball
fabrikant	producator
fabrikant	producatorul
fabrikant	producator
fabrikant	producatorului
boldklubben	boldklubben
ted	ted
tree	pom
tree	arbore
tree	copac
tree	copacul
tree	arborele
tree	tre
reducere	reduce
porto	timbre
porto	porto
porto	oporto
enkel	simplu
enkel	simple
enkel	simpla
balkan	balcani
balkan	balcanii
balkan	balcani
balkan	balcanic
balkan	balcanica
balkan	balcanice
tilbagevendende	recurente
tilbagevendende	recurente
svaret	raspuns
svaret	raspunde
svaret	raspunde
edgar	edgar
angels	ingeri
angels	ingerii
angels	angels
angels	ingeri
angels	ingerii
dæk	anvelope
dæk	pneuri
dæk	cauciucuri
dæk	punte
dæk	puntea
dæk	acoperi
dæk	acopera
dæk	coperta
dæk	coperta
dæk	cover
dæk	acoperire
dæk	anvelope
dæk	pneuri
dæk	cauciucuri
dæk	pneu
dæk	anvelopa
nhl	nhl
metropolitan	metropolitana
metropolitan	metropolitan
drømme	visul
drømme	vis
drømme	viseaza
drømme	viseaza
drømme	visele
drømme	dreams
drømme	visuri
drømme	vise
drømme	visand
drømme	visez
kanten	marginea
kanten	edge
kanten	margine
kanten	muchie
neil	neil
discipliner	discipline
duo	duo
hjulpet	ajutat
hjulpet	ajutata
hjulpet	ajutat
opdeling	detaliere
opdeling	divizia
opdeling	divizare
opdeling	diviziunea
opdeling	diviziune
opdeling	divizie
kansler	cancelarul
kansler	cancelar
kaffe	cafea
kaffe	cafeaua
registrerede	inregistrate
registrerede	inregistrata
