the	az
and	és
was	volt
for	for
that	ez
with	with
from	től
from	tól
from	from
this	ezt
this	ez
utc	utc
not	nem
talk	beszélni
talk	beszélgetés
which	ami
which	melyik
which	mely
which	amely
also	szintén
also	egyben
also	úgyszintén
were	voltak
but	de
have	van
one	egy
new	újdonság
new	új
first	először
first	első
page	oldalt
page	oldal
you	te
they	ők
had	volt
article	árucikk
article	cikk
who	ki
who	aki
all	mindegyik
all	mind
all	minden
there	ott
made	készítette
made	készült
made	tett
people	emberek
may	may
may	május
may	májusi
may	májusban
after	után
after	after
after	miután
after	utána
other	egyéb
other	más
should	kéne
should	kellene
two	kettő
score	pontszám
can	tud
can	can
can	lehet
would	volna
would	lenne
more	több
more	more
more	további
more	tobb
about	kb
about	nagyjából
about	körülbelül
when	mikor
when	amikor
time	ideje
time	időpont
time	idő
team	csapat
team	team
american	amerikai
such	ilyen
discussion	vita
discussion	megbeszélés
discussion	beszélgetés
links	linkek
links	hivatkozások
links	kapcsolatok
only	csak
only	kizárólag
some	néhány
see	lásd
united	united
united	egyesült
years	évek
years	év
school	iskolában
school	iskola
school	suli
world	világ
world	world
world	vilag
university	university
university	egyetem
during	során
out	ki
state	állapot
state	állami
state	állam
states	államok
states	államokat
national	nemzeti
national	országos
national	national
wikipedia	wikipédia
year	évjárat
year	éve
year	évi
year	év
most	legtöbb
city	city
city	városi
city	város
used	használt
used	felhasznált
then	akkor
then	aztán
county	megyei
county	megye
external	külső
where	hol
where	ahol
will	will
will	fog
will	akarat
delete	törlése
delete	töröld
delete	törlés
any	bármelyik
any	bármely
any	bármilyen
these	ezek
these	ezeket
january	januári
january	január
january	januárban
march	március
march	márciusi
august	augusztusban
august	august
august	augusztus
july	júliusban
july	júliusi
july	július
being	lenni
film	fólia
film	film
him	őt
him	neki
many	sok
many	sokan
south	dél
south	délre
south	déli
september	szeptemberben
september	szeptember
september	szeptemberi
like	mint
like	like
like	tetszik
between	között
october	októberi
october	októberben
october	október
three	három
june	júniusi
june	june
june	június
june	júniusban
well	hát
use	használat
use	használata
use	felhasználás
use	használni
war	háború
under	alatt
under	alatta
under	alá
them	ők
them	őket
april	april
april	április
april	áprilisi
april	áprilisban
born	született
born	megszületett
december	december
december	decemberi
december	decemberben
link	hivatkozás
link	kapcsolat
link	link
link	linket
link	hivatkozást
while	miközben
while	mialatt
while	míg
while	amíg
later	később
part	részben
part	rész
part	része
november	november
november	novemberi
november	novemberben
players	játékosok
players	szereplők
list	jegyzék
list	lista
please	kérem
please	kérlek
following	követni
following	követem
following	követi
february	februárban
february	februári
february	február
known	ismeretes
known	ismertek
known	ismert
second	másodszor
second	másodperc
second	második
name	neve
name	név
group	csoport
group	csoportban
history	történelme
history	előzmények
history	történelem
series	sorozat
just	csak
north	észak
north	északi
north	északra
work	munkahelyi
work	munka
before	előtte
before	előtt
before	mielőtt
since	azóta
since	mióta
since	mivel
since	óta
season	szezont
season	idény
season	évszak
season	évad
season	szezon
both	mindkettő
both	mindketten
high	high
high	magas
high	magasan
through	keresztül
through	át
district	körzet
district	járás
district	kerület
now	most
comments	megjegyzések
comments	hozzászólás
comments	megjegyzés
comments	hozzászólások
comments	észrevételek
because	mert
football	foci
football	football
football	futball
music	zene
diff	diff
century	évszázad
century	század
league	league
league	liga
edits	módosítások
edits	módosításai
edits	módosításokkal
debate	vita
title	cím
title	címe
title	beosztás
articles	árucikkek
articles	cikkek
john	john
john	jános
same	ugyanez
same	ugyanaz
including	beleértve
could	lehetne
english	angolul
english	angol
album	album
number	szám
number	száma
against	ellene
against	ellen
family	családi
family	családtag
family	család
user	felhasználó
user	felhasználói
based	alapú
based	alapozott
area	terület
area	környék
york	yorkban
york	york
york	yorki
life	élet
life	életem
life	life
british	britek
british	angol
british	brit
international	international
international	nemzetközi
game	játék
game	game
game	meccs
above	fölötte
above	felett
above	fölött
above	fent
above	fenti
above	felette
club	klub
club	club
early	korán
early	korai
best	legjobbak
best	legjobb
best	best
west	nyugat
west	nyugati
house	house
house	ház
house	házon
company	társaság
company	vállalat
company	cég
company	század
general	általános
general	tábornok
left	bal
left	balra
very	nagyon
here	itt
don	don
living	élni
living	élő
day	nap
day	napon
day	nappal
day	napot
several	számos
place	hely
party	party
party	buli
party	parti
college	kollégium
college	főiskola
college	egyetem
result	eredmény
appropriate	helyénvaló
appropriate	megfelelő
four	négy
even	még
class	óra
class	osztály
government	kormány
government	kormányzat
how	hogyan
called	hívott
did	tette
each	mindegyik
found	megtalált
found	megtaláltam
found	talált
center	középre
center	központ
center	center
per	per
style	stílus
com	com
long	hosszú
country	ország
country	országban
back	vissza
www	www
modify	módosítható
modify	módosítani
modify	módosítás
end	befejezés
end	vége
end	vég
public	nyilvános
public	nyilvánosság
public	nyilvánosan
public	publikus
played	játszott
played	játszottam
won	nyert
added	hozzáadott
added	felvéve
support	támogatás
support	támogatást
games	játék
games	játékok
former	korábbi
those	azok
films	filmek
films	filmeket
church	templom
church	egyház
east	keletre
