han	han
har	gavo
men	bet
sig	pasakyti
score	balu
score	balai
hvor	kur
hans	hans
hans	jo
dansk	dansk
mod	drąsos
mod	drąsa
hun	ji
hun	jai
denne	šio
fik	gavo
del	dalies
del	dalis
del	akcija
del	dalintis
mellem	eurus
flere	daugiau
dette	šio
danmark	danija
danmark	danijoje
danmark	danijos
mange	daug
team	komanda
kun	tik
dog	tačiau
tidligere	ankstesnė
tidligere	ankstesnis
tidligere	ankstesnių
skal	turėtų
skal	shell
skal	apvalkalas
skal	turi
have	sode
have	sodas
mere	daugiau
store	didelių
store	dideli
store	didelis
store	didelės
store	dideli
store	didysis
store	didelis
meget	labai
meget	daug
vil	bus
vil	nori
vil	norit
seed	sėkla
seed	sėklos
ham	jį
omkring	apie
københavn	kopenhagos
københavn	kopenhaga
kom	ateik
kom	atėjau
kom	atėjo
skulle	turėtų
and	and
and	antis
tre	tre
disse	šių
dag	dag
her	čia
her	cia
kommune	savivaldybė
død	mirtis
død	mirties
død	miręs
dem	jais
dem	jas
dem	joms
dem	jiems
dem	jomis
dem	juos
findes	egzistuoti
gang	laiko
gang	laikas
tid	laiko
tid	laikas
både	abi
både	abu
stor	didelių
stor	dideli
stor	didelis
stor	didelės
stor	dideli
stor	didysis
stor	didelis
stor	puikiai
stor	puiku
stor	puiki
usa	amerikoje
usa	amerika
usa	amerikos
hold	komandos
hold	komandas
hold	komanda
juni	birželis
juni	birželio
kendt	žymi
sogn	parapija
april	balandis
juli	juli
række	eilutės
derfor	todėl
style	stilius
ville	būtų
mål	tikslai
mål	tikslai
mål	tikslų
mål	tikslas
mål	taikiniai
film	filmų
film	filmai
film	filmuose
film	filmai
film	filmus
film	filmas
film	plėvelė
film	filmas
film	filmai
blive	tapti
februar	vasaris
vandt	laimėjo
mindre	nedideli
største	didžiausias
hjemmeside	svetainė
cet	cet
alt	viskuo
alt	visko
alt	viską
alt	viskas
søn	sūnus
tog	traukiniai
amerikansk	amerikos
lille	lilio
hvad	kas
hvad	ko
hvad	kokie
nord	nord
kort	trumpa
kort	trumpi
kort	trumpai
kort	trumpas
kort	žemėlapiai
kort	korteles
kort	kortos
kort	kortelės
kort	kortelė
udgivet	išleistas
gamle	senas
isbn	isbn
gange	kartus
bedste	geriausi
bedste	geriausia
bedste	aukščiausia
bedste	geriausios
bedste	geriausias
døde	miręs
amerikanske	amerikos
meter	metras
meter	metrų
meter	metrai
meter	metrų
tyskland	vokietija
lige	tiesus
lige	tiesiai
