кънектикът	connecticut
созопол	sozopol
попадения	aciertos
попадения	hits
попадения	éxitos
пророк	profeta
предаден	traicionado
предаден	traicionaron
предаден	traicionó
съдба	destino
съдба	destiny
съдба	destino
краища	aristas
краища	bordes
жива	living
жива	vivir
жива	viviendo
жива	viva
жива	live
жива	vivir
жива	vive
жива	viva
жива	vivos
жива	vivo
жива	alive
въоръжен	armada
въоръжен	armados
въоръжен	armadas
въоръжен	armado
гамбия	gambia
мобилни	movil
мобилни	celulares
мобилни	móvil
мобилни	celular
мобилни	móviles
украса	decoración
украса	adornos
украса	condecoraciones
украса	decoración
украса	adornos
украса	decoraciones
издаване	cuestión
издаване	sorteo
увеличи	incremento
увеличи	aumento
увеличи	aumentar
увеличи	aumenta
увеличи	aumentan
увеличи	magnificar
съществуващи	existente
съществуващи	existentes
оцелелите	sobrevivientes
оцелелите	sobreviviente
оцелелите	supervivientes
глен	glen
глен	cañada
глен	glenn
четиридесет	cuarenta
четиридесет	forty
особеност	característica
особеност	rasgo
особеност	largometraje
романя	romaña
тъкани	tejidos
тъкани	tejido
тъкани	tejidos
тъкани	tejido
тъкани	telas
тъкани	tejidos
решаване	resolviendo
решаване	resolver
решаване	resolver
решаване	resolverlo
решаване	resuelva
решаване	solucionar
решаване	resolver
решаване	resuelve
суха	secos
суха	seca
суха	secar
суха	seco
обратна	inverso
обратна	inversa
обратна	reversa
обратна	inversa
обратна	reverso
обратна	revés
обратна	invertir
обратна	revertir
оод	ood
оод	ooo
оод	ltd
цветен	color
цветен	color
символизира	simboliza
символизира	simboliza
кафява	brown
кафява	moreno
кафява	marrones
кафява	marrón
приключенски	aventura
приключенски	aventuras
приключенски	aventurera
приключенски	aventurero
приключенски	aventureros
вестниците	diarios
вестниците	prensa
вестниците	periódicos
опашка	cola
опашка	rabo
опашка	cola
бронзова	bronce
осъществяване	implementación
осъществяване	aplicación
лейк	lagos
лейк	lago
лейк	laguna
моника	monica
моника	mónica
моника	monika
никозия	nicosia
прованс	provence
прованс	provenza
хюстън	houston
посолството	embajada
посолството	embajadas
робин	robin
джеф	jeff
йоахим	joachim
йоахим	joaquín
референдум	referéndum
референдум	plebiscito
референдум	referendo
референдум	referendos
справка	consultar
справка	consulta
булевард	boulevard
булевард	bulevar
учения	enseñanzas
подобри	mejore
подобри	mejorar
подобри	mejora
присъдата	sentencia
присъдата	sentencias
електронен	electrónicos
електронен	electrónico
електронен	electrónica
електронен	electrónicas
електронен	electronic
лотус	lotus
лотус	loto
ело	elo
терминология	terminología
командири	comandantes
правопис	ortografía
правопис	deletrear
чай	tea
чай	té
завършили	titulados
завършили	graduados
завършили	egresados
завършили	licenciados
британско	británico
британско	británicos
британско	británica
бактерии	bacteria
бактерии	bacterias
бактерии	bacteria
гледка	vistas
гледка	vista
гледка	view
гледка	ver
царевица	maíz
царевица	maiz
царевица	maíz
царевица	maiz
купола	dome
купола	cúpula
купола	domo
колело	rueda
колело	bici
колело	bicicletas
колело	moto
колело	bike
колело	bicicleta
колело	bici
колело	bicicletas
колело	bicicleta
инвестиции	inversiones
инвестиции	inversion
инвестиции	inversiones
инвестиции	invertir
инвестиции	inversión
гърди	tórax
гърди	cofre
гърди	pecho
гърди	tetas
гърди	pechos
гърди	senos
гърди	mama
гърди	pechuga
гърди	seno
гърди	pecho
гърди	pechos
гърди	senos
органични	orgánica
органични	orgánicos
органични	orgánicas
органични	orgánico
райън	ryan
медия	media
медия	medios
гордън	gordon
монтирани	montadas
монтирани	montada
монтирани	montados
монтирани	montado
раса	race
раса	carrera
раса	raza
димитриос	dimitrios
сараево	sarajevo
уелски	welsh
уелски	galés
майер	meier
майер	mayer
майер	meyer
франко	franco
франко	franko
мощ	fortaleza
мощ	fuerza
мощ	potencia
мощ	power
мощ	poder
клисура	barranco
дарения	donaciones
дарения	donativos
отвън	fuera
отвън	afuera
отвън	exterior
мериленд	maryland
черта	rasgo
болни	enfermo
болни	enfermas
болни	enferma
болни	enfermos
крайната	ultimate
редовна	regulares
редовна	regular
редовна	regularidad
палермо	palermo
грузински	georgiano
грузински	georgianos
поставено	colocada
поставено	colocados
поставено	colocado
кастро	castro
таблици	mesas
таблици	tablas
таблици	cuadros
обещава	promesas
сюжет	trama
сюжет	argumento
сюжет	complot
сюжет	parcela
пропуска	extraña
пропуска	falla
майчина	materno
майчина	maternal
майчина	materna
барон	barón
барон	baron
барон	barron
психолог	psicólogo
психолог	psicóloga
отстранен	suspendida
отстранен	suspendido
отстранен	suspendidos
монасите	monje
монасите	monjes
подпомагане	apoyo
подпомагане	soporte
наркотици	fármacos
наркотици	droga
наркотици	medicamentos
наркотици	drogas
наркотици	fármaco
