dhe	e
një	unha
një	un
nga	de
nga	da
nga	do
nga	dende
nga	de
nga	por
nga	pola
nga	polo
për	para
për	por
është	está
është	é
edhe	nin
edhe	incluso
edhe	aínda
edhe	mesmo
edhe	sequera
tij	o
tij	seu
tij	súa
tij	seus
tij	a
nuk	non
ishte	era
ishte	estaba
ishte	foi
janë	son
janë	hai
janë	están
duke	de
duke	por
duke	pola
duke	polo
duke	ter
duke	tendo
duke	a
shumë	moi
por	pero
por	mais
pas	tras
pas	de
pas	despois
pas	logo
pas	seguir
pas	seguindo
pas	seguintes
pas	seguinte
këtë	isto
këtë	esta
këtë	este
parë	ver
parë	viron
parë	visto
parë	vin
parë	vira
parë	viches
tyre	seus
tyre	as
tyre	súas
tyre	os
tyre	seu
tyre	súa
tyre	eles
tyre	os
tyre	deles
mund	podía
mund	podería
mund	poden
mund	podo
mund	podes
mund	podemos
mund	pode
mund	non
ose	ou
gjatë	longo
gjatë	longa
gjatë	moito
gjatë	tempo
disa	algúns
disa	algunhas
disa	algo
disa	de
disa	un
lidhje	enlaces
lidhje	ligazóns
lidhje	relación
lidhje	conexión
lidhje	enlace
kjo	isto
kjo	esta
kjo	este
kjo	que
kjo	iso
kur	cando
kur	se
mbi	por
mbi	de
mbi	sobre
mbi	ascende
mbi	por
mbi	riba
mbi	da
mbi	enriba
mbi	arriba
deri	ata
deri	que
deri	até
deri	a
deri	ata
deri	que
deri	até
saj	seus
saj	súas
saj	seu
saj	o
saj	súa
saj	a
saj	ela
saj	a
saj	seu
saj	súa
kishte	tiña
kishte	que
kishte	tiven
ajo	ela
ajo	que
ajo	é
vetëm	soa
vetëm	só
vetëm	sós
vetëm	soas
vetëm	en
vetëm	paz
vetëm	único
vetëm	só
vetëm	única
vetëm	de
vetëm	só
ata	eles
ata	os
ata	deles
ata	eses
ata	esas
ata	os
ata	que
ata	eles
tjera	outra
tjera	outros
tjera	outro
tjera	outras
pjesë	partes
pjesë	parte
atë	el
atë	o
atë	lle
atë	é
sipas	segundo
sipas	acordo
sipas	de
sipas	as
sipas	acorde
sipas	coas
sipas	atendendo
sipas	home
madhe	grande
madhe	grandes
madhe	gran
rreth	sobre
rreth	de
rreth	redor
rreth	arredor
rreth	por
rreth	aquí
para	cartos
para	diñeiro
para	os
para	xiro
para	diñeiro
para	en
para	efectivo
para	contado
para	cartos
para	suficiente
para	cobro
para	cobrar
para	de
para	antes
ishin	eran
ishin	estaban
ishin	foron
per	sobre
per	de
per	para
per	por
këto	estas
këto	estes
apo	ou
banorë	habitantes
banorë	residentes
komuna	concello
cila	que
cila	cal
nje	unha
nje	un
kundër	mostrador
kundër	en
kundër	contra
kundër	os
madh	inmensa
lista	lista
lista	listaxe
qenë	foi
gjithashtu	tamén
ndërsa	mentres
ndërsa	tempo
cilat	que
cilat	cal
ndryshme	diferentes
ndryshme	distintas
ndryshme	distinto
ndryshme	distintos
ndryshme	diferente
etj	etc
duhet	precisamos
duhet	necesitamos
duhet	que
duhet	preciso
duhet	debo
duhet	que
duhet	debe
duhet	debemos
duhet	deben
duhet	hai
sipërfaqe	superficie
ato	eles
ato	os
ato	deles
ato	que
ato	eles
ato	eses
ato	esas
ato	os
përgjithshëm	xeral
përgjithshëm	xeneral
përgjithshëm	o
tjetër	outra
tjetër	outros
tjetër	outro
tjetër	outras
tjetër	próxima
tjetër	ao
tjetër	seguinte
tjetër	lado
tjetër	próximo
tjetër	o
njohur	familiar
njohur	familiarizados
njohur	familiares
njohur	coñeces
njohur	recoñeceu
njohur	coñecido
njohur	coñecidos
njohur	de
style	estilo
dytë	segundo
dytë	segunda
mirë	bo
mirë	ben
mirë	boa
mirë	boas
mirë	bos
fundit	último
fundit	últimos
fundit	pasado
fundit	última
fundit	o
fundit	onte
fundit	últimos
fundit	último
fundit	últimas
pasi	tras
pasi	de
pasi	despois
pasi	logo
shiko	ver
shiko	vexo
shiko	mira
nën	na
nën	debaixo
nën	por
nën	baixo
nën	abaixo
nën	embaixo
nën	seccionada
nën	baixo
nën	debaixo
nën	de
herë	as
herë	veces
herë	times
herë	tempos
viti	ano
sot	hoxe
sot	día
çdo	os
çdo	as
çdo	todos
çdo	cada
çdo	todas
çdo	calquera
çdo	máis
çdo	ningún
lartë	instituto
lartë	altos
lartë	alto
lartë	alta
popullsi	poboación
popullsi	mundial
komunë	concello
jetë	vida
jetë	a
president	presidente
president	vicepresidente
president	o
bërë	fixen
bërë	feito
bërë	fixemos
bërë	facer
bërë	fixeches
eshte	está
eshte	é
mes	media
mes	medio
mes	oriente
mes	entre
mes	os
vonë	tarde
vend	país
vend	lugar
vend	casa
vend	sitio
pak	pouco
pak	algo
pak	pequeno
pak	pequena
pak	lixeiramente
francë	francia
francë	franza
fshat	campo
fshat	aldea
fshat	da
fshat	pobo
fshat	vila
zyrtare	oficial
kryetari	♪
kryetari	falante
kryetari	presidente
vendosur	atópanse
pasur	tiña
pasur	que
pasur	tiven
pasur	ricos
pasur	rica
pasur	rico
sepse	porque
sepse	por
sepse	porque
sepse	causa
sepse	causar
kishin	tiña
kishin	que
kishin	tiven
vitet	anos
tre	tres
tre	3
fund	saia
fund	final
fund	fin
fund	final
tjerë	aos
tjerë	outros
tjerë	demais
tjerë	outras
harta	mapa
mbreti	king
mbreti	rei
mbreti	o
mbreti	xurxo
midis	entre
midis	os
vogël	diminutos
vogël	pequena
vogël	pequenos
vogël	diminuto
vogël	pequeno
vogël	minúsculas
vogël	diminuta
vogël	pequenas
vjet	anos
pastaj	logo
pastaj	despois
pastaj	entón
pastaj	e
pastaj	daquela
shtetit	estado
nëse	se
kombëtare	nacional
kombëtare	nacionais
kombëtare	national
emrin	nome
emrin	se
mori	recibín
mori	recibiron
mori	recibimos
mori	recibiu
filloi	comecei
filloi	a
filloi	comezamos
filloi	empecei
filloi	comezou
mars	marzo
mars	de
mars	marcha
mars	marte
presidenti	presidente
presidenti	vicepresidente
presidenti	o
lindur	nacín
lindur	naceu
lindur	nacer
lindur	naciches
lindur	nacen
lindi	a
lindi	luz
lindi	nacemento
lindi	orixe
lindi	de
kryesore	principal
kryesore	importante
aktualisht	estamos
aktualisht	actualmente
aktualisht	neste
aktualisht	momento
qyteti	cidade
qyteti	pobo
qyteti	vila
qyteti	aldea
qyteti	city
qyteti	cidade
qyteti	da
politike	políticas
politike	políticos
politike	político
politike	política
qershor	xuño
pse	por
pse	que
pse	iso
maj	poden
maj	pode
maj	maio
maj	que
maj	podo
vetë	eu
vetë	presente
nëntor	novembro
nëntor	de
janar	xaneiro
janar	de
thotë	di
thotë	que
thotë	dixo
shtator	setembro
shtator	de
vet	o
vet	seu
vet	súa
vet	seus
vet	a
brenda	dentro
brenda	interior
shteteve	unidos
shteteve	ee
shteteve	estados
shteteve	uu
shteteve	eua
kryesisht	principalmente
kryesisht	maioría
kryesisht	sobre
kryesisht	todo
kryesisht	maiormente
kryesisht	maioritariamente
prill	abril
prill	de
ditë	días
ditë	día
ditë	días
tetor	outubro
tetor	de
shkurt	febreiro
shkurt	de
shkurt	pouco
shkurt	curto
shkurt	curta
shkurt	curtas
bëhet	nunha
bëhet	ser
bëhet	en
bëhet	se
bëhet	convértese
bëhet	en
bëhet	se
bëhet	vólvese
bëhet	é
vjetër	anos
vjetër	vellos
vjetër	vello
vjetër	vella
bën	que
bën	fai
bën	non
bën	fai
bën	que
kodi	código
kodi	code
dhjetor	decembro
dhjetor	de
mbret	king
mbret	rei
mbret	o
mbret	xurxo
aktuale	actual
aktuale	actuais
aktuale	que
aktuale	súa
