קית	keith
נלהב	欣喜若狂
נלהב	熱心
נלהב	激情
מקסימלי	最大值
מקסימלי	最大限度
מסגרות	幀
מסגרות	框架
מסגרות	框
דקדוק	文法
דקדוק	語法
אלקטרוניקה	電子
נאש	nash
אפריקני	非洲
צמיחה	成長
צמיחה	增長
שוחט	屠夫
הרצף	連續
רוזה	rosa
הפסנתר	鋼琴
פקיד	辦事員
פקיד	書記
פקיד	職員
פקיד	法警
להירשם	註冊
להירשם	登記
שפם	鬍鬚
שפם	鬍子
שפם	鬍鬚
שפם	鬍子
שפם	鬍鬚
נכשלה	失敗
רומנטית	浪漫
תו	字元
תו	人物
תו	角色
תו	性格
תו	品格
ברונו	bruno
אדגר	edgar
סידן	鈣
סימטריה	對稱
שפיגל	spiegel
צעירות	年輕
צעירות	young
מושלמת	完美
יומני	日記
עמוקים	深
עמוקים	深層
ספורטאי	運動員
ספין	旋轉
כחולה	blue
כחולה	藍
כחולה	藍色
חדירה	滲透
לירי	抒情
תצלומים	照片
תצלומים	像片
גרייס	恩典
גרייס	grace
מיושב	定居
ירוקה	綠色
ירוקה	綠
ירוקה	綠地
ירוקה	格林
נאצי	納粹
לחלץ	提取
לחלץ	萃取
לחלץ	摘錄
מאכלים	食物
מאכלים	食品
מסוכנים	危險
מסוכנים	危險性
עתידי	今後
עתידי	將來
עתידי	未來
ימני	右
גרילה	游擊
גרילה	游擊隊
תם	譚
תם	潭
להיטים	命中
האשים	被告
שמיעה	聽證會
שמיעה	聽力
שמיעה	聽覺
מיגל	miguel
וויליאם	威廉
יואן	袁
יואן	元
כת	崇拜
כת	邪教
שמיים	天空
שמיים	sky
שמיים	天空
משולבים	結合
תסמינים	症狀
נכנע	投降
נכנע	交出
נכנע	當量
נכנע	產量
נכנע	屈服
שחיינים	泳者
הבגרות	成年
החלום	夢
החלום	夢幻
החלום	夢境
החלום	做夢
החלום	夢想
חרושת	廠
חרושת	工廠
התבוסה	敗
תאוצה	加速度
תאוצה	加速
בהתנדבות	自願
בהתנדבות	自願性
מפורש	明示
מפורש	明文
גולגולת	骷髏
גולגולת	頭顱
גולגולת	頭骨
אופיינית	典型
קניין	買主
מוטל	汽車旅館
מלצר	侍者
סוציולוגיה	社會學
מנות	配給
מנות	口糧
מנות	菜
מנות	劑量
הבעלות	所有權
הבעלות	擁有權
קירוב	近似
פרוסט	frost
פרוסט	霜
פרוסט	冰霜
פטיש	錘
פטיש	錘子
פטיש	槌
עורק	動脈
עורק	動脈
אלימה	暴力
מעריך	估計
מעריך	欣賞
משמעותיות	有意義
מכריז	宣告
מכריז	申報
מקלדת	鍵盤
הקוסם	巫師
הקוסם	魔法師
נטלי	natalie
מיומנויות	技能
מפתחות	按鍵
מפתחות	鍵
צב	海龜
צב	烏龜
צב	龜
מסוקים	菜刀
מסוקים	直升機
מסוקים	直升飛機
קומנדו	突擊隊
טד	ted
סולימאן	suleiman
אליסון	alison
מודעת	自覺
סטארק	starck
סטארק	stark
לינוקס	linux
נוצות	羽毛
צמחייה	植被
מתנות	禮物
מתנות	送禮
מתנות	禮品
מודול	單元
מודול	模組
המלצה	推薦
המלצה	建議
המצאות	發明
מילולי	字面
מילולי	口頭
מפרק	關節
מפרק	聯合
לקות	殘疾
לקות	殘障
לקות	傷殘
בלוטת	腺
המגזר	部門
סון	太陽
סון	孫
סון	珊
סון	陽光
הנוסע	乘客
הנוסע	旅客
רובר	rover
מטענים	充電器
סצנות	場景
הקבינט	內閣
רך	軟軟
רך	柔軟
רך	柔和
רך	軟
סטן	stan
לסבול	受苦
נחשים	蛇
מסתיימת	末端
נאצר	nasser
נאצר	納賽爾
מועמדויות	提名
ונוס	維納斯
ונוס	金星
רגיש	敏感
רגיש	敏感性
רגיש	敏感度
ראס	ras
מדגיש	突顯
עליות	ups
הצבת	放置
מגיש	投手
נזירים	僧侶
נזירים	和尚
פנימיות	內部
פיצול	分裂
פיצול	分水嶺
פיצול	鴻溝
פיצול	分化
פיצול	分裂
פיצול	分割
פיצול	分裂
גייס	招募
גייס	新兵
קרוז	cruz
האשמות	指控
האשמות	指稱
האשמות	指控
לאם	林
משקעים	殘留物
משקעים	殘餘物
משקעים	殘留
משקעים	殘渣
משקעים	降水
משקעים	降水量
משוכנע	深信
יהלום	金剛石
יהלום	鑽石
יהלום	鑽石
ורן	verne
ורן	vern
מיוצר	製造
מדורג	評分
מדורג	排名
כור	核反應堆
כור	反應堆
גמישות	靈活
גמישות	靈活性
גמישות	彈性
גמישות	彈性
קירור	冷卻
קירור	制冷
קירור	冷藏
קירור	制冷
מרוצה	滿意
מרוצה	開心
מרוצה	快樂
מרוצה	高興
מרוצה	幸福
מרוצה	happy
אוסטין	austin
אוסטין	奧斯汀
פאי	餡餅
פאי	派
פאוול	鮑威爾
אייזק	isaac
עגול	圓
עגול	輪
צלעות	肋骨
צלעות	排骨
הליבה	核心
הליבה	core
אהב	讚
התגובות	評論
התגובות	意見
טיולים	trips
טיולים	遠足
טיולים	登山
התמוטטות	明細
התמוטטות	擊穿
התמוטטות	折疊
התמוטטות	崩潰
התמוטטות	倒塌
מלזיה	馬來西亞
קמפוס	校區
קמפוס	校園
הלפרין	halperin
אומן	阿曼
אומן	工匠
אומן	技工
אומן	藝術家
אומן	藝人
שליטים	統治者
שנתית	每年
מעוז	據點
מעוז	要塞
מוטה	mota
מוטה	motta
מוטה	傾斜
עליונות	至高無上
עליונות	優越
עליונות	上級
עליונות	優越感
עליונות	優越性
עליונות	優越
עליונות	優勢
סינטרה	sinatra
שחיתות	腐敗
שחיתות	腐敗
קמח	麵粉
ידיד	朋友
ידיד	好友
לגיטימי	合法
וורד	ward
וורד	病房
נמכרה	賣
נמכרה	售出
הבחין	斑點
תיאום	協調
תיאום	協調
תיאום	協調
הוספה	加上
הוספה	加
לונג	久
לונג	長
מטבח	飲食
מטבח	料理
מטבח	美食
מטבח	菜
מטבח	廚房
נענע	奶媽
נענע	薄荷
מעטפת	貝殼
מעטפת	shell
מעטפת	殼
מעטפת	信封
הביוגרפיה	傳記
הביוגרפיה	自傳
תרזה	teresa
תרזה	theresa
נועה	noa
אתלטיקה	田徑
החלקה	滑冰
החלקה	溜冰
החלקה	平滑
ידיעת	明知
חכמה	明智
חכמה	英明
חכמה	聰明
חכמה	smart
חכמה	智慧
חתולים	貓
פרגוואי	巴拉圭
ההבנה	實現
ההבנה	理解
ההבנה	諒解
מפרט	規格
מפרט	規格
מפרט	規格
לוגי	邏輯
זוחלים	爬蟲類
זוחלים	爬蟲類
הגדר	設
הגדר	集
הגדר	設定
הגדר	配置
הגדר	籬笆
הגדר	柵欄
הגדר	圍牆
הגדר	界定
הגדר	定義
הפצה	分布
הפצה	分配
הפצה	分銷
מכובד	可敬
כופר	贖金
מאסטר	主人
