और	та
से	від
है	гаї
है	хай
एक	одна
एक	one
एक	одне
एक	один
श्रेणी	категорія
श्रेणी	серія
श्रेणी	серії
श्रेणी	ряд
श्रेणी	ряди
श्रेणी	категорії
भी	навіть
भी	даже
भी	також
भी	теж
भी	надто
भी	занадто
यह	цей
यह	ця
किया	рахував
किया	зробили
किया	вчинили
किया	робили
किया	зроблено
किया	закінчили
किया	виконано
किया	готово
किया	done
इस	цей
इस	ця
हैं	надаються
कि	той
भारत	індію
भारत	індія
भारत	індії
जो	джо
जो	хто
जो	who
ही	хі
रूप	форму
रूप	форма
रूप	вигляд
कर	податкова
कर	податки
कर	податок
कर	податки
नहीं	не
नहीं	not
नहीं	ні
नहीं	неа
उत्तराखण्ड	уттаракханд
गया	поїхала
गया	ходив
गया	поїхав
साथ	вздовж
साथ	уздовж
साथ	разом
पूर्व	схід
पूर्व	колишні
पूर्व	колишній
होता	would
बाद	згодом
बाद	пізніше
बाद	потому
बाद	після
तक	доки
तक	до
तक	поки
तक	доки
तक	till
तक	поки
तक	tak
अपने	власне
अपने	власні
अपने	власний
अपने	твій
अपने	твоя
अपने	твої
अपने	твоє
अपने	ваша
अपने	ваші
जिले	райони
था	мали
था	мав
था	був
था	була
था	було
राज्य	стани
राज्य	штати
राज्य	стан
राज्य	держава
बाहरी	надворі
बाहरी	зовнішнє
बाहरी	зовнішнє
बाहरी	зовнішні
बाहरी	зовнішній
बाहरी	зовнішня
कुछ	дехто
कुछ	деякі
कुछ	якесь
कुछ	якийсь
कुछ	трохи
कुछ	щось
कुछ	дещо
कुछ	чимось
ईसा	ісус
गाँव	село
सरकार	шкірі
सरकार	правління
सरकार	уряд
कड़ियाँ	ланцюги
कड़ियाँ	лінки
कड़ियाँ	посилання
कड़ियाँ	посиланнями
कड़ियाँ	посилань
प्रदेश	ділянку
प्रदेश	регіон
इसके	свої
इसके	його
दिया	вказаний
दिया	дано
दिया	надано
दिया	даного
दिया	дали
दिया	віддала
दिया	дав
दिया	віддали
दिया	дала
अन्य	інший
अन्य	інша
अन्य	інші
अन्य	інше
अन्य	інших
अन्य	інших
अन्य	інші
अन्य	іншими
वर्ष	роки
वर्ष	рік
समय	тайм
समय	час
नाम	назва
वे	вони
प्रकार	добрі
प्रकार	вид
प्रकार	різновид
प्रकार	типу
प्रकार	тип
प्रकार	типи
भारतीय	індійська
भारतीय	індійський
किसी	кимось
किसी	когось
किसी	хтось
क्षेत्र	область
क्षेत्र	ділянка
क्षेत्र	площа
क्षेत्र	місцевість
क्षेत्र	ділянку
क्षेत्र	регіон
क्षेत्र	області
क्षेत्र	ділянки
क्षेत्र	територіях
क्षेत्र	площі
क्षेत्र	районів
अधिक	більше
कई	багато
कई	багатьох
कई	декілька
स्थित	розташовані
स्थित	знаходиться
स्थित	розташовано
स्थित	розташований
मण्डल	зона
आधिकारिक	офіційні
आधिकारिक	офіційна
आधिकारिक	офіційний
आधिकारिक	офіційне
कारण	причини
कारण	причина
कारण	привід
कारण	спричинити
कारण	причина
कारण	причиною
कारण	причинами
कारण	причини
होने	проводиться
होने	будучи
होने	буття
जैसे	подобається
जैसे	зразок
जैसे	like
करता	робить
उनके	своїх
उनके	їхньому
उनके	свої
उनके	їхнє
उनके	їх
उनके	їм
उनके	комплектів
सबसे	найцікавіше
सबसे	більшість
हिन्दी	хінді
बहुत	дуже
पहले	перед
पहले	before
पहले	ago
पहले	тому
पहले	раніше
पहले	перше
पहले	перша
पहले	перший
अपनी	власне
अपनी	власні
अपनी	власний
दो	два
दो	дві
दो	двоє
दो	двох
दो	двійка
