iugoslávia	יוגוסלביה
lloyd	לויד
currículo	קורות
visuais	חזותיים
visuais	ויזואלי
visuais	חזותי
warren	וורן
conquistado	כבש
cuidados	אכפת
barras	ברים
barras	סורגים
barras	בארים
premio	פרס
slam	סלאם
núcleos	ליבות
mudando	משתנה
arsenal	ארסנל
respectivos	בהתאמה
antigamente	לשעבר
turcos	הטורקים
turcos	טורקית
turcos	טורקי
colina	היל
colina	גבעת
colina	גבעה
colina	כולין
farol	מגדלור
farol	המגדלור
farol	משואת
farol	משואה
conselhos	מועצות
conselhos	עצות
conselhos	עצה
marítima	ימית
parou	הפסיק
parou	נעצרה
parou	עצר
bombas	משאבות
bombas	פצצות
visa	ויזה
equipas	קבוצות
equipas	צוותי
equipas	צוותים
escocês	סקוטית
escocês	סקוטי
acusação	תביעה
acusação	התביעה
investigações	חקירות
adequada	נאות
adequada	יאה
adequada	הולם
adequada	הולמת
adequada	מתאים
adequada	מתאימה
misericórdia	רחמים
misericórdia	מרסי
misericórdia	חסד
mínimos	מינימום
mínimos	המינימום
mínimos	מינימלי
mínimos	מינימלית
válidos	תקף
válidos	בתוקף
válidos	תקפה
assumindo	בהנחה
guiana	גיאנה
guiana	גיאנה
make	הפוך
esquadrão	טייסת
registo	רשום
registo	להירשם
registo	רישום
registo	רישום
registo	הרשמה
registo	להרשמה
governante	שליט
governante	סרגל
piratas	פירטים
piratas	פיראטים
piratas	פיראט
piratas	הפיראט
kids	ילדים
corredor	ראנר
corredor	אצן
corredor	רץ
corredor	המסדרון
corredor	מסדרון
corredor	מסדרון
kingdom	ממלכה
kingdom	הממלכה
vizinho	שכנה
vizinho	שכן
vizinho	שכנה
vizinho	שכן
vizinho	השכן
vestígios	עקבות
vestígios	טרייס
sandra	סנדרה
profundo	עמוקים
profundo	עמוקה
profundo	עמוק
profundo	עמוקה
profundo	מעמיק
profundo	עמוק
clipes	מחסניות
clipes	קליפים
tanques	טנק
tanques	מיכל
tanques	מיכלי
tanques	טנקים
ideologia	אידיאולוגיה
arnold	ארנולד
implica	מרמז
implica	מרמזת
gerente	מנהל
reconhecer	מזהה
reconhecer	מזהה
reconhecer	להכיר
atrações	אטרקציות
adotou	מאומץ
adotou	אימוץ
adotou	מאומצת
imposto	מס
prazer	העונג
prazer	הנאה
prazer	תענוג
prazer	עונג
avisado	הזהיר
rené	רנה
rené	רנה
actor	שחקן
actor	השחקן
assinar	מנוי
assinar	חותם
assinar	חתימה
assinar	חתום
assinar	סימן
assinar	שלט
ofereceu	מוצעת
intelectuais	אינטלקטואלים
intelectuais	אינטלקטואלי
intelectuais	אינטלקטואלית
caridade	צדקה
integrada	משולב
integrada	משולבת
carvão	פחם
carvão	פחם
pistas	המדרונות
pistas	רמזים
cordilheira	טווח
cordilheira	הקורדילרה
presa	תקועים
presa	תקועה
presa	תקוע
presa	נתקע
presa	נעצרו
presa	נעצרה
presa	נעצר
presa	טרף
noites	לילות
noites	הלילות
departamentos	מחלקות
barcos	סירות
malta	מלטה
oponente	היריב
oponente	יריב
básicos	בסיסי
básicos	בסיסיים
básicos	בסיסית
básicos	בסיסיות
raymond	ריימונד
dublagem	דיבוב
hunter	הנטר
hunter	האנטר
hunter	צייד
iniciando	התחלה
iniciando	ההתחלה
iniciando	מתחילה
iniciando	מתחיל
iniciando	החל
forest	יער
forest	היער
consideração	התחשבות
consideração	שיקול
episcopal	האפיסקופלית
visitou	ביקרת
visitou	ביקר
visitou	ביקור
visitou	ביקרה
visitou	ביקרו
salva	חוסך
salva	מציל
salva	מרווה
salva	שמרי
salva	שמור
salva	להציל
salva	נשמר
salva	שמורים
salva	שמורה
salva	הציל
extensa	נרחב
extensa	נרחבת
her	שלה
her	בה
her	לה
her	עליה
her	אותה
justo	צדיק
justo	צדיקים
justo	הוגן
justo	הוגנת
justo	יריד
anéis	טבעות
humberto	הומברט
humberto	אומברטו
humberto	הוברט
átomos	אטום
átomos	אטומים
ernst	ארנסט
vanessa	וונסה
vanessa	ונסה
comunistas	קומוניסטים
comunistas	הקומוניסטים
comunistas	הקומוניסטית
comunistas	קומוניסטית
comunistas	קומוניסט
transmitir	לשדר
transmitir	שדר
sepultado	קבורה
sepultado	נקבר
sepultado	קבורים
sepultado	קבור
inspirada	בהשראת
inspirada	השראה
absurdo	האבסורד
absurdo	אבסורדי
absurdo	אבסורד
absurdo	הבלים
