минг	மிங்
грејс	கருணை
грејс	கிரேஸ்
грејс	அருளும்
стрипови	காமி
стрипови	காமிக்ஸ்
заслуга	கிரெடிட்
заслуга	கடன்
сајмон	சைமன்
крие	மறைத்தல்
сантјаго	சான்டியாகோ
губат	இழப்பது
губат	இழக்க
губат	தோல்வி
дијалог	டயலாக்
дијалог	வசனம்
дијалог	உரையாடல்
филипс	ஃபிலிப்ஸ்
картер	கார்டர்
картер	கார்ட்டர்
елементот	உறுப்பு
колумбо	கொலம்பஸ்
тигри	புலிகள்
умрела	இறந்து
умрела	இறந்தார்கள்
умрела	இறந்தார்
терористи	பயங்கரவாதிகள்
терористи	தீவிரவாதிகள்
парламентарни	நாடாளுமன்ற
парламентарни	பாராளுமன்ற
рој	ராய்
рој	மந்தை
стебло	மரம்
стебло	கிளை
затвори	மூடு
затвори	மூடவும்
затвори	மூடப்பட்ட
затвори	மூடிய
затвори	மூடியது
затвори	மூடப்பட்டது
затвори	மூடப்பட்டுள்ளது
вакуум	வெற்றிடம்
студентски	மாணவன்
студентски	மாணவர்
братучед	உறவினர்
земјоделско	விவசாய
присуствуваат	கலந்து
присуствуваат	பங்கேற்பு
одигран	விளையாடிய
одигран	விளையாடியது
спротивност	எதிர்புறம்
спротивност	எதிர்
продуценти	தயாரிப்பாளர்கள்
заминување	புறப்பாடு
заминување	புறப்படும்
миле	மைல்
фасо	ஃபாசோ
клас	வகுப்பு
сена	சேனா
сена	சென்னா
полови	பாலினம்
непријателот	எதிரி
вотсон	வாட்சன்
научи	கற்று
научи	கற்க
научи	அறிக
тропска	வெப்பமண்டல
серверот	சேவையகம்
серверот	வழங்கி
серверот	சேவகன்
релативна	உறவினர்
релативна	சார்ந்த
томи	டாமி
развивањето	வளரும்
духовни	ஆன்மீக
духовни	ஆன்மீகம்
духовни	ஆன்ம
духовни	சந்தேகங்களும்
безбедно	பாதுகாப்பான
безбедно	பாதுகாப்பாக
безбедно	பாதுகாப்பானது
безбедно	பத்திரமாக
безбедно	பாதுகாப்பு
безбедно	பத்திரமாக
безбедно	பாதுகாப்பாக
постигнато	வளங்களும்
намерата	உள்நோக்கம்
преостанатите	மீதம்
преостанатите	மீதமுள்ள
велосипеди	சைக்கிள்கள்
велосипеди	பைக்குகள்
ископувања	அகழ்வாராய்ச்சி
ископувања	excavations
олга	ஓல்கா
стандардно	முன்னிருப்பு
стандардно	இயல்பிருப்பு
стандардно	முன்னிருந்த
стандардно	இயல்புநிலை
стандардно	வழக்கமானது
стандардно	நிலையானது
стандардно	நிலையான
американец	அமெரிக்கன்
американец	அமெரிக்கர்
американец	அமெரிக்க
домаќини	படைகளும்
домаќини	புரவலன்
домаќини	வழங்குபவர்
контраст	வேறுபாடு
контраст	வித்தியாசம்
поен	புள்ளிகள்
поен	மதிப்பெண்
поен	ஸ்கோர்
поен	மதிப்பெண்கள்
задачата	பணி
данлоп	டன்லப்
лоренцо	லாரென்சோ
топки	பந்துகள்
тргување	வர்த்தகம்
мој	என்னுடையது
мој	என்னுடைய
испратена	அனுப்பிய
испратена	அனுப்பி
испратена	அனுப்பப்பட்டது
испратена	அனுப்பியது
туркменистан	துர்க்மெனிஸ்தான்
гледачите	பார்வையாளர்கள்
бизмарк	பிஸ்மார்க்
регистрација	பதிவுசெய்தல்
регистрација	பதிவு
фатен	கைப்பற்றிய
фатен	கைப்பற்றி
голдман	கோல்ட்மேன்
пожарот	கொழுந்து
хелиум	ஹீலியம்
несреќи	விபத்துக்கள்
апарати	உபகரணங்கள்
верниците	நம்பிக்கை
верниците	நம்பிக்கையாக
верниците	ஈமான்
царица	பேரழகி
издавачки	வெளியீட்டுக்
издавачки	பதிப்பகம்
издавачки	வெளியிடுகிறது
духовна	ஆன்மீக
духовна	ஆன்மீகம்
духовна	ஆன்ம
духовна	சந்தேகங்களும்
организаторите	ஏற்பாட்டாளர்கள்
балкан	balkans
балкан	பால்க்கன்
слог	syllable
придавки	adjectives
тенки	மெல்லிய
претворање	மாற்றப்படுகிறது
топење	உருக்கி
странска	அன்னிய
странска	வெளிநாட்டு
глобална	உலகம்
глобална	உலக
глобална	உலகளாவிய
никеја	nicaea
другар	தோழர்
другар	தோழன்
другар	துணையை
другар	நண்பா
спорови	மோதல்கள்
подароци	பரிசுகள்
кривично	கிரிமினல்
кривично	குற்றவியல்
трендови	போக்குகள்
комерцијална	வணிக
комерцијална	வணிகம்
билки	தாவரங்கள்
билки	செடிகள்
билки	செடி
билки	மூலிகைகள்
семитски	செமிடிக்
буркина	புர்க்கினா
соломон	சாலமன்
сликање	ஓவியத்தை
сликање	ஓவியம்
освојувања	conquests
металика	மெட்டாலிக்கா
вулкански	வல்கன்
ферер	ஃபெரர்
дебелината	பருமன்
дик	டிக்
олимпик	ஒலிம்பிக்கில்
олимпик	ஒலிம்பிக்
камерун	கேமரூன்
нелсон	நெல்சன்
кандидатите	வேட்பாளர்கள்
одвоени	தனி
одвоени	பிரிக்கவும்
камата	வட்டி
камата	ஆர்வம்
ѓаволот	பிசாசு
ѓаволот	பேய்
ѓаволот	சைத்தான்
поморска	கடல்சார்
дипломатија	சாதுரியம்
пабло	பாப்லோ
свирел	விளையாடிய
свирел	விளையாடியது
лесни	எளிதானது
лесни	சுலபம்
лесни	எளிது
лесни	எளிதான
лесни	எளிதில்
лесни	எளிதாக
единствени	தனித்துவம்
единствени	தனிப்பட்ட
вебер	வெபர்
бранител	பண்டிதர்
ураниум	யுரேனியம்
приврзаниците	பக்தர்கள்
потешки	ஈயத்தை
фебруари	பெப்ரவரி
фебруари	பிப்ரவரி
аматерски	அமெச்சூர்
функционална	செயற்பட
ракети	ஏவுகணைகள்
ракети	ராக்கெட்டுகள்
штити	பாதுகாக்க
штити	பாதுகாக்கவும்
штити	பாதுகாக்கிறது
штити	பாதுகாக்கும்
штити	பாதுகாக்கும்
емерсон	எமர்சன்
пустина	பாலைவனத்தில்
пустина	பாலைவனம்
хромозоми	chromosomes
основачи	நிறுவனர்கள்
тесен	இறுக்கமான
тесен	இறுக்கமாக
тесен	குறுகலான
приватно	தனியார்
приватно	தனிப்பட்ட
приватно	தனிப்பட்டது
приватно	தனி
приватно	தனிப்பட்டதாக
интересен	சுவாரஸ்யமான
