забите	denti
верона	verona
перо	pero
перо	piuma
перо	piume
перо	quill
илјада	mille
илјада	migliaia
кејт	kate
геометриски	geometrica
геометриски	geometrico
геометриски	geometriche
авторите	autori
коле	kole
коле	massacra
непозната	sconosciuto
непозната	sconosciuti
непозната	sconosciuta
ранет	ferito
ранет	feriti
дарко	darko
дефиниции	definizioni
ресторан	diner
ресторан	ristorante
вили	willy
вили	willie
вили	ville
развод	divorzio
развод	divorzi
електроника	elettronica
предок	antenati
предок	antenato
подготовки	preparazione
подготовки	preparativi
подготовки	preparati
подготовки	preparazioni
гугл	google
кабли	cavi
конрад	corrado
конрад	conrad
конрад	corrado
алт	alt
подарок	presenti
подарок	presente
подарок	dono
подарок	regalo
предлага	suggerisci
предлага	suggerire
предлага	suggerisce
предлага	proporre
предлага	proponendo
предлага	propone
промет	circolazione
промет	tiratura
промет	fatturato
нега	care
нега	cura
интересни	interessanti
интересни	interessante
михајло	mihailo
михајло	mihajlo
предложени	suggerita
предложени	consigliato
предложени	suggerite
предложени	suggeriti
предложени	suggerito
предложени	proposti
предложени	proposto
распространета	diffuse
распространета	diffusi
распространета	diffuso
распространета	diffusa
пирс	pierce
пирс	piers
интерпретација	interpretazione
беј	baia
беј	bay
сведоци	testimoni
астон	aston
ројал	royal
ројал	regio
ројал	reale
претседателски	presidenziali
претседателски	presidenziale
дишење	respiro
дишење	respirare
дишење	respirazione
дишење	respirazione
стенли	stanley
сиера	sierra
секторот	borough
четириесет	quaranta
четириесет	forty
постојаните	incessante
опфатени	coperti
опфатени	coperto
волфганг	wolfgang
возачите	autisti
возачите	conducenti
возачите	driver
возачите	automobilisti
тунел	tunnel
освоен	conquistato
освоен	conquistata
освоен	conquistati
дијана	diana
дијана	diane
виртемберг	württemberg
молитва	orazione
молитва	preghiera
посетеност	presenze
посетеност	partecipazione
признае	riconoscere
признае	riconosci
признае	riconoscere
признае	riconoscono
динамика	dinamica
динамика	dinamici
динамика	dynamic
динамика	dinamico
динамика	dinamiche
динамика	dinamica
динамика	dinamiche
динамика	dinamismo
динамика	slancio
огледало	specchio
огледало	mirror
дигитален	digitali
дигитален	digitale
дигитален	digital
узбекистан	uzbekistan
видеа	video
видеа	filmati
пустината	deserto
дигитална	digitali
дигитална	digitale
дигитална	digital
остри	tagliente
остри	sharp
остри	taglienti
остри	affilato
остри	duro
остри	aspro
остри	dura
сексуални	sessuale
сексуални	sessualità
обновен	rinnovate
обновен	rinnovato
обновен	rinnovati
обновен	rinnovata
обновен	restaurata
обновен	ripristinato
обновен	ripristinata
обновен	restaurato
аргументи	argomenti
аргументи	argomentazioni
бојан	bojan
полинезиски	polinesiana
полинезиски	polinesia
понеделник	lunedi
понеделник	lunedì
партнерство	partnership
партнерство	partenariato
напуштат	abbandonate
напуштат	abbandona
напуштат	abbandonare
напуштат	abbandoni
напуштат	fuggite
напуштат	fuggi
американците	americani
дефиниран	definita
дефиниран	definiti
дефиниран	definite
дефиниран	definito
дефиниран	aps
воведени	introdotte
воведени	introdotta
воведени	introdotto
воведени	introdusse
воведени	introdotti
лесен	facile
лесен	facilità
лесен	easy
низи	corde
низи	stringhe
глобално	globalmente
глобално	globali
глобално	global
глобално	globale
екологија	ecologia
надминува	superi
надминува	supera
даглас	douglas
тото	totò
тото	toto
даг	scavata
даг	scavato
даг	doug
лок	lok
лок	locke
започнување	lancio
сиетл	seattle
вектор	vettoriale
вектор	vettore
пиво	birra
пиво	birre
метју	mathew
метју	matteo
метју	mater
аеродроми	aeroporti
одбивање	rifiuto
одбивање	rifiuto
одбивање	rigetto
стомакот	pancia
стомакот	ventre
стомакот	belly
стомакот	addome
хормони	ormone
хормони	ormoni
хормони	ormoni
микеланџело	michelangelo
шок	shock
шок	choc
тенис	tennis
емил	emile
