epitsenter	epicenter
samoa	samoe
seksuaalne	spolno
seksuaalne	spolna
juurdepääs	dostop
juurdepääs	dostopnost
juurdepääs	dostopnosti
igavene	večno
igavene	večen
igavene	večni
igavene	večna
ootamatu	nepričakovan
ootamatu	nepričakovana
ootamatu	nepričakovano
ootamatu	nepričakovane
bayern	bayern
rääkides	govorjenje
madu	kača
madu	kačo
madu	kače
tükk	kos
tükk	delček
tükk	košček
tükk	kosa
tasakaal	ravnotežje
tasakaal	ravnovesje
tasakaal	tehtnica
tasakaal	bilanca
tasakaal	ravnotežje
tasakaal	ravnovesje
ühised	pogosti
ühised	pogosto
olend	bitje
neutraalne	nevtralno
neutraalne	nevtralni
neutraalne	nevtralen
inspiratsiooni	navdih
inspiratsiooni	navdiha
discovery	odkritje
discovery	discovery
omavalitsused	občin
omavalitsused	občine
petri	petri
sööt	krma
sööt	krmo
sööt	vabe
sööt	vabo
sööt	vaba
piero	piero
tüür	krmilo
liitrit	litrov
liitrit	liter
mootorid	motorji
mootorid	motorje
mootorid	motorji
läbipaistev	prosojna
läbipaistev	pregledno
läbipaistev	pregledna
läbipaistev	pregleden
läbipaistev	prozorna
potentsiaali	potencialno
potentsiaali	potencial
leslie	leslie
keiserlik	cesarski
keiserlik	carski
keiserlik	imperial
lineaarne	linearni
lineaarne	linearno
lineaarne	linearna
illustratsioonid	ilustracije
traadita	brezžični
traadita	brezžično
muda	blato
muda	blata
muda	blato
muda	blata
mõõtmine	merjenje
mõõtmine	meritev
mõõtmine	meritve
mõõtmine	merjenje
mõõtmine	meritev
mõõtmine	meritve
lõhna	voh
lõhna	vonj
lõhna	dišava
lõhna	dišave
õnnetus	nesreča
õnnetus	nesreče
suurused	velikosti
kommunismi	komunizem
babüloonia	babilonski
semper	semper
tragöödia	tragedije
tragöödia	tragedijo
tragöödia	tragedija
meeli	čutila
meeli	čute
eeldused	predpostavke
eeldused	domneve
václav	václav
valdkond	področje
valdkond	območje
valdkond	površina
valdkond	področje
konkurentsi	konkurenca
konkurentsi	tekmovanje
konkurentsi	natečaj
vulgaris	vulgaris
vicente	vicente
liu	liu
johansson	johansson
jälgib	monitorji
jälgib	monitorje
jälgib	zasloni
marge	marge
stein	stein
pen	pen
pen	pero
arendab	razvije
ungarlased	madžari
germain	germain
kommentaar	komentar
sean	sean
shanghai	šanghaju
shanghai	šanghaj
armastaja	ljubimec
orange	oranžno
orange	oranžni
orange	pomaranča
orange	oranžne
orange	oranžna
sõnaraamat	slovar
tuld	ogenj
tuld	požar
viimasena	zadnji
viimasena	nazadnje
viimasena	poslednje
viimasena	zadnje
viimasena	zadnja
ilmaliku	posvetni
odavam	ceneje
odavam	cenejši
odavam	cenejše
odavam	cenejša
edge	robu
edge	rob
edge	ostrino
individuaalne	individualna
individuaalne	posamezna
individuaalne	posamezno
individuaalne	individualno
individuaalne	posamezni
individuaalne	posameznik
myspace	myspace
robot	robota
robot	robot
geneetiliselt	gensko
geneetiliselt	genetsko
pilv	oblak
pilv	cloud
autosid	avte
autosid	avtomobili
autosid	avti
autosid	avtomobile
litsents	dovoljenje
litsents	licenca
litsents	dovoljenje
litsents	licenco
litsents	licenca
kristlus	krščanstvo
java	java
opel	opel
esinemise	pojav
nero	nero
pakkumise	ponudba
säilitab	ohranja
säilitab	vzdržuje
thorpe	thorpe
konsul	konzul
rõõm	užitek
rõõm	zadovoljstvo
rõõm	veselje
rõõm	radost
rõõm	radosti
rõõm	joy
olümpia	olimpijski
olümpia	olympic
dünaamiline	dinamika
dünaamiline	dinamična
dünaamiline	dinamični
dünaamiline	dinamično
dünaamiline	dinamičen
owen	owen
järg	nadaljevanje
seen	glivice
thor	tor
thor	thor
agentuuri	agencija
sang	pel
terav	ostri
terav	oster
terav	ostra
terav	ostro
terav	sharp
foorum	forum
luuletus	pesem
õpetab	uči
õpetab	poučuje
väidetud	trdil
orto	orto
traditsioonilised	tradicionalna
traditsioonilised	tradicionalni
traditsioonilised	tradicionalne
traditsioonilised	tradicionalen
traditsioonilised	tradicionalno
sõnumid	sporočil
sõnumid	sporočila
timothy	timothy
cat	mačji
cat	muca
cat	maček
cat	mačka
cat	cat
kajastab	odseva
kajastab	odraža
gnu	gnu
faktid	dejstva
faktid	dejstev
täpsed	točen
täpsed	natančen
täpsed	natančni
täpsed	natančna
pete	pete
diameeter	premera
diameeter	premer
gloria	gloria
kursused	tečaje
kursused	tečaji
suomen	suomen
constantin	constantin
horisontaalselt	horizontalno
horisontaalselt	vodoravno
suurenemine	povečanje
suurenemine	zvišanje
suurenemine	povišanje
triinu	ella
vassiljev	vasiljev
léon	léon
strauss	strauss
institutsioonid	institucije
institutsioonid	nosilci
institutsioonid	ustanove
romantiline	romantično
romantiline	romantičen
romantiline	romantična
uhke	ponosna
uhke	ponosen
uhke	ponosni
uhke	razkošno
uhke	nobel
kirjutades	tipkanje
haruldased	redki
haruldased	redko
vista	vista
kohvi	kavo
kohvi	kava
marianne	marianne
tegija	stvarnik
tegija	izdelovalec
jeemeni	jemen
jeemeni	jemnu
omar	omarja
omar	omar
pinnas	prsti
pinnas	zemlja
pinnas	umazanija
kodakondsus	državljanstvo
kodakondsus	državljanstvo
ajavahemik	obdobje
giulio	giulio
standardid	standarde
standardid	standardi
allveelaev	podmornico
allveelaev	podmornica
albumid	albume
albumid	albumov
pühendunud	vdan
pühendunud	predan
pühendunud	namenski
pühendunud	namenske
pühendunud	posvečena
pühendunud	predan
pühendunud	posvečeno
pühendunud	predano
