και	och
το	de
το	den
από	från
με	med
που	vilka
που	vilket
που	vilken
που	som
για	för
κατηγορία	kategori
κατηγορία	kategorin
τους	dem
τους	dom
ήταν	var
ένα	en
ένα	ett
ένα	one
ότι	att
μια	en
μια	ett
μια	one
έχει	har
θα	will
θα	kommer
αλλά	men
μετά	sedan
μετά	sen
μετά	då
μετά	efteråt
μετά	after
μετά	efter
επίσης	också
επίσης	även
όπως	gilla
όπως	gillar
όπως	som
όπως	like
είχε	had
είχε	hadde
είχε	hade
είχε	haft
ενώ	medan
δύο	två
αυτό	denna
αυτό	detta
αυτό	att
αυτή	hon
αυτή	she
όπου	varhelst
όπου	var
όπου	där
όπου	vart
όταν	när
μέχρι	tills
μία	en
μία	ett
μία	one
μπορεί	kan
μπορεί	can
ομάδα	truppen
ομάδα	trupp
ομάδα	squad
ομάδα	gruppen
ομάδα	grupp
ομάδα	gruppera
ομάδα	laget
ομάδα	lag
ομάδα	team
θέση	ställning
θέση	position
θέση	ståndpunkt
θέση	befattning
μεταξύ	emellan
μεταξύ	mellan
χρόνια	kronisk
χρόνια	kroniskt
χρόνια	kroniska
χρόνια	years
χρόνια	åratal
χρόνια	åren
χρόνια	år
πρώτη	först
πρώτη	första
πιο	mera
πιο	more
πιο	fler
πιο	mer
ένας	en
ένας	ett
ένας	one
πόλη	town
πόλη	stad
πόλη	staden
πόλη	staden
πόλη	city
πόλη	ort
πόλη	stad
πόλη	orten
σύνδεσμοι	anknyter
σύνδεσμοι	länkar
μόνο	bara
μόνο	enbart
μόνο	endast
έγινε	avklarat
έγινε	done
έγινε	gjort
έγινε	färdig
πολύ	mycket
κάθε	varenda
κάθε	varje
κάθε	varje
κάθε	vardera
περιοχή	region
περιοχή	regionen
περιοχή	area
περιοχή	område
περιοχή	området
περιοχή	yta
αιώνα	sekel
αιώνα	århundrade
αιώνα	århundradet
αθήνα	aten
περίοδο	perioden
περίοδο	period
περίοδο	tidsperiod
τότε	sedan
τότε	sen
τότε	då
όνομα	namnge
όνομα	namn
όνομα	name
ελλάδα	grekland
μέρος	delen
μέρος	del
μέρος	ställe
μέρος	place
μέρος	placera
μέρος	plats
σήμερα	idag
μέσα	inside
μέσα	inomhus
μέσα	inne
μέσα	insidan
μέσα	inuti
πως	hur
μαζί	tillsammans
διάρκεια	löptid
διάρκεια	längd
διάρκεια	varaktighet
ιστορία	berättelse
ιστορία	händelse
ιστορία	story
ιστορία	historia
ιστορία	historia
ιστορία	historik
ιστορία	historiken
πρωτάθλημα	ligan
πρωτάθλημα	league
