pablo	pablo
nomura	nomura
cuarteto	kvartett
estivesen	ők
estivesen	voltak
corría	futás
corría	fut
corría	futó
corría	futok
corría	volt
ensino	tanítsd
ensino	tanítson
ensino	tanítani
ensino	tanít
ensino	tanítani
ensino	tanítás
informática	számítógép
informática	komputer
informática	computer
técnicas	technikák
veterinarios	állatorvosok
confesión	vallomás
loitan	harcok
loitan	harc
loitan	harcol
loitan	küzdelem
loitan	verekedés
loitan	harcolni
loitan	harc
loitan	harcolni
medicinas	orvosság
medicinas	gyógyszert
medicinas	gyógyszer
medicinas	orvostudomány
perden	veszteni
perden	veszíteni
culturas	kultúrák
interpretación	értelmezés
interpretación	értelmezése
escoitan	figyelsz
dinámica	dinamikus
dinámica	dynamics
populares	népszerű
populares	népszerűek
aumenta	will
aumenta	fog
aumenta	akarat
aumenta	növekedés
aumenta	növelése
aumenta	emelkedés
aumenta	növelje
sida	aids
similar	hasonló
similar	hasonlóak
similar	hasonlók
espectadores	nézők
saibas	te
garantía	garancia
garantía	kezesség
garantía	biztosíték
ken	ken
ken	kene
bambú	bambusz
falsos	hamis
sexades	te
pensaban	hittem
pensaban	gondoltam
pensaban	gondolat
pensaban	ők
pódense	tud
pódense	can
pódense	lehet
coñecida	ismeretes
coñecida	ismertek
coñecida	ismert
emocionante	izgalmas
emocionante	izgalmas
xulgado	bíróság
xulgado	udvar
xulgado	court
xulgado	számvevőszék
extensión	meghosszabbítás
extensión	kiterjesztés
extensión	kiterjesztése
extensión	bővítés
expansión	terjeszkedés
expansión	bővítés
azar	esélyt
azar	chance
azar	esély
necesitan	kell
necesitan	szükséges
necesitan	ők
senon	de
organizacións	szervezetek
individual	egyén
individual	egyéni
web	weboldal
web	honlap
web	webhely
web	web
web	háló
web	webes
novamente	újra
intres	pillanatai
intres	pillanatok
específico	specifikus
específico	konkrét
ordenadores	számítógép
ordenadores	számítógépek
ordenadores	számítógép
ordenadores	komputer
ordenadores	computer
estatísticas	statisztika
estatísticas	statisztikák
fiel	hűségesek
fiel	hűséges
capturado	elfogott
capturado	elfogták
trece	tizenhárom
trece	thirteen
características	funkciók
características	jellemzők
características	jellemzői
características	mutatók
características	jellemzők
características	jellemzői
características	tulajdonságok
residencia	tartózkodási
residencia	lakóhely
paran	ők
pensara	hittem
pensara	gondoltam
pensara	gondolat
calefacción	hőség
calefacción	hő
calefacción	fűtés
calefacción	fűtési
calefacción	fűtés
respondeu	válaszolt
décadas	évtizedek
enfermos	beteg
enfermos	betegek
compartimos	részesedése
compartimos	megosztás
compartimos	részesedés
compartimos	közös
compartimos	osztott
compartimos	megosztotta
compartimos	megosztott
compartimos	megosztva
redución	csökkentést
redución	csökkentése
redución	csökkenés
redución	csökkentés
arder	égető
arder	égő
arder	égés
arder	égni
volcán	vulkán
kg	font
oriental	kelet
oriental	keleti
oriental	keleti
violín	hegedű
sufriu	szenvedett
roubei	ellopta
usado	használt
usado	felhasznált
explorar	felfedezés
explorar	felfedezése
explorar	felfedezés
explorar	felfedezni
explorar	felfedező
xeralmente	általánosságban
xeralmente	általában
teléfonos	okostelefonok
teléfonos	telefonok
estruturas	struktúrák
estruturas	szerkezetek
fusión	fúzió
fusión	fúziós
suma	összeg
mentais	mentális
mentais	szellemi
tanque	tartály
tanque	tank
eventos	események
eventos	esemény
eventos	rendezvények
america	amerika
america	america
axenda	menetrend
axenda	napirend
bancos	banks
bancos	bankokkal
bancos	bankok
pensaron	hittem
pensaron	gondoltam
pensaron	gondolat
pensaron	ők
troques	helyett
troques	ehelyett
troques	helyette
instrucións	utasítás
instrucións	utasításokat
instrucións	utasítások
instrucións	útmutató
chamábase	neve
chamábase	név
chamábase	volt
chamábase	hívott
pluma	pen
pluma	tollat
pluma	toll
pluma	toll
murray	murray
espido	meztelenül
espido	meztelen
técnicos	technikusok
técnicos	műszaki
técnicos	technikai
verbas	szavakat
verbas	szavak
deixalos	engedd
deixalos	ők
deixalos	őket
vanme	ők
conclusión	ez
conclusión	következtetés
conclusión	következtetések
orgullosos	büszke
converterse	váljon
chegarán	will
chegarán	fog
chegarán	akarat
chegarán	ők
escoitou	hallott
escoitou	hallottam
músculos	izmok
músculos	izom
demostración	bemutató
demostración	demonstrációs
demostración	tüntetés
