hostince	inns
matematické	mathematical
žlutý	yellow
rusi	rus
oleje	oil
oleje	oils
přáteli	friends
dopad	impact
grant	grant
časy	times
margaret	margaret
panna	virgo
panna	virgin
pomocné	auxiliary
jules	jules
audio	audio
cestoval	travelled
cestoval	traveled
winter	winter
rick	rick
turisty	tourists
končetiny	limb
končetiny	limbs
končetiny	extremities
akademické	academic
kaplan	chaplain
kaplan	kaplan
nárůst	increase
nárůst	surge
poezii	poetry
pozor	attention
kino	kino
kino	cinema
ovlivněn	influenced
ovlivněn	affected
sester	sisters
relevantní	relevance
relevantní	relevant
relevantní	pertinent
novak	novak
starosti	worries
starosti	worry
dorazil	arrived
fin	fin
léčbě	treat
poskytnout	provide
masivní	massive
zachránil	rescued
zachránil	saved
guvernér	governor
autorství	authorship
předpokládat	assume
demokracii	democracy
celoživotní	lifetime
řetězce	chains
řetězce	strings
posádku	crew
china	chin
úvahu	consideration
vložit	insert
vložit	paste
věděl	knew
konečný	finite
konečný	final
odpoledne	afternoon
dagmar	dagmar
vědců	scientists
subsp	subsp
karta	tab
karta	card
johan	johan
cooper	cooper
stráže	guards
afghánistánu	afghanistan
robot	robot
via	via
výchozí	default
kilometr	kilometre
kilometr	kilometer
evropu	europe
provizorní	provisional
provizorní	makeshift
psycholog	psychologist
převzetí	takeovers
převzetí	takeover
nález	finding
nález	discovery
tanku	tank
likvidaci	disposal
likvidaci	liquidation
gen	gene
gen	gen
protest	protest
okrsku	precinct
kvete	blooms
kvete	blooming
pasivní	passive
fotky	photos
fotky	pictures
výrobci	producers
výrobci	manufacturer
výrobci	manufacturers
graf	graph
graf	chart
graf	graf
jedenáct	eleven
kůži	skin
léčba	treatment
léčba	treatments
prefektura	prefecture
sokolov	sokolov
issn	issn
western	western
playoff	playoff
playoff	playoffs
zkušenost	experience
komunikační	communication
komunikační	communications
pátá	fifth
husa	goose
svědomí	conscience
cítí	feels
učit	teach
uzavřít	close
houby	mushrooms
houby	sponges
houby	mushroom
houby	fungi
vzorec	formula
vzorec	pattern
sigma	sigma
listina	charter
spravedlnost	justice
lgbt	lgbt
milion	million
slabě	weakly
saxofon	sax
