অভিনব	الهوى
ভেজা	الرطب
ভেজা	رطب
কুমির	تمساح
কুমির	التمساح
খুনের	القتل
মিছিলে	الموكب
মিছিলে	موكب
আর্কিটেকচার	عمارة
আর্কিটেকচার	العمارة
করন	كاران
তেহরান	تهران
তেহরান	طهران
প্রার্থীদের	المرشحين
প্রার্থীদের	المرشحون
প্রার্থীদের	مرشحين
ম্যাজিক	السحر
ম্যাজিক	سحر
আগ্রাসন	عدوان
আগ্রাসন	العدوان
পেনিসিলিন	البنسلين
শাহীন	الشاهين
শাহীন	شاهين
রোমানদের	الرومان
একশ	مائة
একশ	hundred
হোল	ثقب
হোল	الحفرة
হোল	حفرة
হোল	فتحة
ট্রানজিস্টর	الترانزستور
স্প্রিং	ربيع
স্প্রিং	الربيع
ক্রেইগ	كريغ
ক্রেইগ	كريج
অর্থনৈতিকভাবে	اقتصاديا
কীট	حشرة
কীট	الحشرة
সারসংক্ষেপ	الموجز
সারসংক্ষেপ	الملخص
সারসংক্ষেপ	ملخص
সারসংক্ষেপ	موجز
শিক্ষাগত	التعليمية
শিক্ষাগত	تعليمية
শিক্ষাগত	تربوية
তাক	رف
তাক	الرف
তাক	الرفوف
সুড়ঙ্গ	نفق
সুড়ঙ্গ	النفق
সুড়ঙ্গ	انفاق
সুড়ঙ্গ	الانفاق
জুল	جولز
যখনই	كلما
ফ্যাক্টর	العامل
ফ্যাক্টর	عامل
তুই	انت
তুই	انتي
ডেল্টা	دلتا
লুসিয়া	لوسيا
নৈতিকতা	اخلاقيات
নৈতিকতা	الاخلاق
নৈতিকতা	اخلاق
নৈতিকতা	اخلاقي
নৈতিকতা	الاخلاقية
নৈতিকতা	اخلاقية
নৈতিকতা	الاخلاق
নৈতিকতা	اخلاق
নৈতিকতা	الاخلاق
নৈতিকতা	اخلاق
রাজহাঁস	غوس
গ্যালিলিও	غاليليو
গাদ্দাফি	القذافي
উষ্ণতা	الدفء
স্টকহোম	استكهولم
স্টকহোম	ستوكهولم
ভাবতে	فكر
ভাবতে	فكري
প্রসারণ	التوسع
প্রসারণ	وسع
প্রসারণ	توسع
প্রসারণ	توسيع
প্রসারণ	تمديد
প্রসারণ	امتداد
প্রসারণ	التمديد
আংটি	الخاتم
আংটি	خاتم
আংটি	الحلقات
আংটি	خواتم
আংটি	حلقات
আংটি	الخواتم
পশ্চিমী	غربي
পশ্চিমী	غربية
পশ্চিমী	الغربية
পশ্চিমী	غرب
নন্দ	ناندا
দিচ্ছে	العطاء
দিচ্ছে	اعطاء
উট	الابل
উট	الجمل
উট	جمل
জামা	قمصان
জামা	القمصان
জামা	قميص
জামা	القميص
গ্রীষ্মের	صيفي
গ্রীষ্মের	الصيف
গ্রীষ্মের	صيف
গ্রীষ্মের	سمر
ইউয়ান	يوان
গল	الغال
বাঁচতে	تعيش
বাঁচতে	يعيش
বাঁচতে	مباشر
বাঁচতে	عيش
বাঁচতে	العيش
বাঁচতে	عش
কলম্বাস	كولومبوس
বিনোদ	فينود
ট্যাঙ্ক	تانك
ট্যাঙ্ক	دبابة
ট্যাঙ্ক	الدبابة
ট্যাঙ্ক	خزان
ট্যাঙ্ক	دبابات
ট্যাঙ্ক	الدبابات
ট্যাঙ্ক	الخزانات
স্বাভাবিকভাবেই	طبيعيا
আরোগ্য	شفاء
আরোগ্য	علاج
আরোগ্য	شفاء
আরোগ্য	الشفاء
কোকিল	وقواق
ক্রোয়েশীয়	الكرواتي
ক্রোয়েশীয়	الكرواتية
হতাশ	خاب
বাহরাইনের	البحريني
উত্পাদন	الصنع
উত্পাদন	تصنيع
উত্পাদন	التصنيع
উত্পাদন	الانتاج
উত্পাদন	انتاج
উত্পাদন	تصنيع
উত্পাদন	التصنيع
ফাতিমা	فاطمة
ক্রিসেন্ট	هلال
ক্রিসেন্ট	الهلال
ভিক্ষুদের	الرهبان
নেচার	طبيعة
নেচার	الطبيعة
প্লাটুন	فصيلة
প্লাটুন	الفصيلة
প্লাটুন	فصيل
লিখুন	كتابة
লিখুন	اكتب
লিখুন	الكتابة
লিখুন	ادخال
মরিশাস	موريشيوس
ফাঁদ	محو
ফাঁদ	الفخ
ফাঁদ	مصيدة
ফাঁদ	فخ
ফাঁদ	الفخاخ
গ্যালারী	المعارض
গ্যালারী	معارض
গুণাবলী	صفات
গুণাবলী	الصفات
বোস্টন	بوسطن
সুইফট	سويفت
অপশন	خيارات
অপশন	الخيارات
মার্কস	علامات
পকেট	الجيب
পকেট	جيب
পকেট	جيبي
পকেট	الجيوب
পকেট	جيوب
আনুষঙ্গিক	ملحقات
আনুষঙ্গিক	الملحقات
কাঁধ	الكتف
কাঁধ	كتف
স্পিরিট	ارواح
স্পিরিট	الارواح
স্পিরিট	الروح
স্পিরিট	روح
টিকেট	تذكرة
টিকেট	التذكرة
টিকেট	التذاكر
ডিজেল	الديزل
মোস্ট	معظم
মোস্ট	الاكثر
মোস্ট	اغلب
স্নেহ	المودة
শান	شان
ছোঁয়া	تلمس
ছোঁয়া	لمس
ছোঁয়া	لمسة
ছোঁয়া	اللمس
ছোঁয়া	المس
অঙ্গীকার	عدني
অঙ্গীকার	الوعد
অঙ্গীকার	دك
অঙ্গীকার	وعد
অঙ্গীকার	الالتزام
অঙ্গীকার	التزام
অঙ্গীকার	التعهد
অঙ্গীকার	تعهد
হোস্ট	المضيف
হোস্ট	مضيف
হোস্ট	المضيفة
হোস্ট	يستضيف
হোস্ট	تستضيف
ইভা	ايفا
ইভা	عشية
ইভা	حواء
ইভা	ايف
বিস্ফোরিত	انفجر
সরানো	انتقلت
সরানো	تحركت
ড্রাম	طبل
ড্রাম	الطبل
দড়ি	حبل
দড়ি	الحبل
টিউটোরিয়াল	تعليمي
পাসপোর্ট	الجواز
পাসপোর্ট	جواز
ফেরি	فيري
ফেরি	العبارة
ফেরি	عبارة
উল্লম্ব	الراسي
উল্লম্ব	راسي
উল্লম্ব	عمودي
উল্লম্ব	عمودية
অগ্রগামী	رائدا
অগ্রগামী	بايونير
অগ্রগামী	رائدة
অগ্রগামী	الرائدة
প্রিন্টার	الطابعة
প্রিন্টার	طابعة
প্রিন্টার	الطابعات
জাস্টিস	العدل
জাস্টিস	عدالة
জাস্টিস	العدالة
মার্টিনেজ	مارتينيز
ফুসফুসের	الرئة
ফুসফুসের	رئة
গোলন্দাজ	مدفعي
রেসিং	السباق
রেসিং	سباق
রেসিং	سباقات
রেসিং	السباقات
যাদু	السحر
যাদু	سحر
জুবায়ের	الزبير
সাম	المبلغ
সাম	مبلغ
পিস্তল	مسدس
কেরি	كيري
দুধের	لبن
দুধের	ميلك
দুধের	اللبن
দুধের	حليب
দুধের	الحليب
মুন্না	مونا
পরজীবী	الطفيلية
পরজীবী	الطفيلي
জ্যাজ	جاز
জ্যাজ	الجاز
