kategória	kategorya
roku	taon
ako	paano
ako	pano
ako	parang
ako	like
ako	gustuhin
bol	bol
bol	ay
pozri	makita
pozri	see
pozri	makakita
pozri	tingnan
pozri	tumingin
pozri	look
obce	communes
obce	villages
obce	nayon
mba	mba
obyvateľov	naninirahan
obyvateľov	residente
obec	commune
obec	munisipalidad
obec	munisipyo
obec	nayon
jeho	kanyang
ktorá	aling
ktorá	alin
bod	puntong
bod	punto
bod	point
pri	pri
bola	ay
ktoré	aling
ktoré	alin
ktorý	aling
ktorý	alin
zoznam	listahang
zoznam	listahan
odkazy	links
socorro	socorro
externé	panlabas
ale	ngunit
ale	pero
iné	iba
the	mga
the	ang
the	yung
počet	bilang
miesto	spot
miesto	lugar
miesto	pook
miesto	kinalalagyan
miesto	lokasyon
miesto	lugar
miesto	venue
miesto	site
bolo	ay
obcí	communes
obci	commune
jej	her
jej	kanya
jej	siya
ich	kanilang
ich	kanila
ich	sila
ich	silang
ich	ich
medzi	pagitan
projekty	proyekto
team	team
byť	pagiging
francúzska	pransiya
francúzska	france
najvyšší	supreme
najvyšší	kataas
najvyšší	pinakamataas
však	subalit
však	gayunman
však	gayunpaman
pod	ibaba
pod	pod
pred	pre
pred	noon
pred	dati
pred	bago
vývoj	development
vývoj	pagpapaunlad
vývoj	unlad
vývoj	evolution
vývoj	ebolusyon
vývoj	developments
graf	grapo
graf	tsart
graf	chart
najnižší	pinakamababa
najnižší	pinakamababang
kde	kde
kde	saan
kde	asan
môže	mayo
môže	maaaring
môže	pwede
môže	maari
nasledujúci	sinusubaybayan
nasledujúci	sumusunod
nasledujúci	sinusundan
nasledujúci	kasunod
nasledujúci	susunod
nasledujúci	next
zobrazuje	nagpapakita
zobrazuje	ipinapakita
zobrazuje	nagpapakita
keď	kapag
keď	kailan
len	lang
len	lamang
len	lng
len	nalang
len	basta
mesto	bayan
mesto	lungsod
mesto	siyudad
mesto	city
tiež	rin
tiež	din
usa	usa
rokov	taon
nie	hinde
nie	hindi
september	setyembre
úmrtia	kamatayan
úmrtia	fatalities
úmrtia	pagkamatay
neskôr	mamaya
slovenský	eslobako
aby	gumawa
aby	gawing
storočia	siglo
storočia	daantaon
storočia	siglo
storočia	century
utc	utc
jpg	jpg
časti	parts
stránka	pahinang
stránka	pahina
stránka	page
stránka	site
skupiny	grupo
skupiny	pangkat
skupiny	group
html	html
roka	taon
ktorú	aling
ktorú	alin
časť	section
časť	seksyon
časť	seksiyon
časť	bahagi
časť	part
časť	parte
ngc	ngc
október	oktubre
október	oktubre
mesta	bayan
mesta	lungsod
mesta	siyudad
mesta	city
marec	marso
august	august
august	agosto
august	aug
skupina	grupo
skupina	pangkat
skupina	group
veľmi	napaka
potom	then
potom	pagkatapos
oficiálna	official
oficiálna	opisyal
narodenia	kapanganakan
tento	ito
tento	nito
osobnosti	personalities
osobnosti	personalidad
osobnosti	pagkatao
bratislava	bratislava
november	nobyembre
november	november
november	nobyembre
december	december
