ve	وال
bir	احد
bir	واحدة
bir	واحد
bir	واحده
bu	هذا
bu	هذه
bu	هذا
bu	ذلك
de	قل
de	نقول
de	قولي
de	قول
de	اقول
ile	with
ile	مع
için	لاجل
en	مفضلة
en	المفضلة
daha	المزيد
daha	اكتر
daha	اكثر
daha	مزيد
sonra	اذن
sonra	بعدها
sonra	ثم
sonra	اذا
sonra	بعدما
sonra	بعد
sonra	لاحقا
sonra	لاحق
ilk	اول
ilk	اولا
ilk	الاول
ilk	الاولى
utc	utc
çok	جدا
çok	ماتش
yer	المكان
yer	مكان
yer	المكان
yer	موقع
yer	الموقع
yer	المكان
gibi	مثل
gibi	لايك
dış	المفرزة
dış	ديس
büyük	كبيرة
büyük	الكبير
büyük	كبيرة
büyük	كبيره
büyük	كبير
büyük	ضخم
büyük	ضخمة
bağlantılar	الصلات
bağlantılar	الارتباطات
bağlantılar	الوصلات
bağlantılar	الصلات
bağlantılar	روابط
bağlantılar	الروابط
bağlantılar	وصلات
bağlantılar	الاتصالات
bağlantılar	اتصالات
türkiye	تركيا
iki	اثنين
iki	اثنان
iki	اثنتان
center	سنتر
center	المركز
center	المنتصف
center	الوسط
center	مركز
arasında	بين
ayrıca	ايضا
ayrıca	كمان
ayrıca	بجانب
ayrıca	بالاضافة
istanbul	اسطنبول
türk	الترك
türk	تورك
türk	التركي
türk	التركية
türk	تركية
türk	تركي
diğer	اخرى
yeni	جديد
yeni	جدد
yeni	جديدة
yeni	الجديد
un	الطحين
un	الدقيق
aynı	نفس
aynı	نفسه
kulüp	النادي
kulüp	ناد
kulüp	نادى
kulüp	نادي
kulüp	كلوب
bağlı	يعتمد
bağlı	متصلة
bağlı	متصل
bağlı	مرتبطة
bağlı	مرتبط
bağlı	مرتبط
bağlı	مرتبطة
iyi	خير
iyi	الخير
iyi	طيب
iyi	جيد
iyi	بخير
iyi	الغرامة
iyi	بخير
iyi	غرامة
ne	ما
ne	ماذا
ne	ايش
ne	شنو
ilgili	المهتمة
ilgili	مهتمة
ilgili	مهتم
ilgili	مهتما
son	الاخيرة
son	اخر
son	اخير
son	تدوم
son	الاخير
son	نهاية
son	النهاية
alan	الميدان
alan	حقل
alan	الحقل
alan	ميدان
alan	النطاق
alan	مجال
alan	المجال
alan	الن
alan	مساحة
alan	المساحة
alan	منطقة
alan	المنطقة
dünya	عالم
dünya	العالمي
dünya	الدنيا
dünya	العالم
dünya	world
dünya	الارض
abd	امريكا
birlikte	سويا
birlikte	سوية
birlikte	معا
eski	قديمه
eski	عجوز
eski	قديمة
eski	قديم
eski	القديم
and	الانديز
önemli	ابرز
önemli	هام
önemli	مهمة
önemli	مهم
önemli	المهم
madde	مادة
madde	الجوهر
madde	بند
madde	مادة
madde	المواد
madde	مواد
madde	المادة
madde	مسالة
madde	المسالة
madde	مقالة
madde	مقال
madde	المقالة
madde	المادة
sağlık	العافية
sağlık	عافية
sağlık	الطبي
sağlık	طبية
sağlık	طبي
sağlık	الطبية
sağlık	الصحة
sağlık	صحة
genel	اجمالا
genel	عموما
genel	عام
genel	لواء
genel	اللواء
genel	جنرال
genel	عامة
genel	الجنرال
mart	مارت
mart	المسيرة
mart	مارس
mart	مسيرة
mart	اذار
adı	اسم
adı	الاسم
film	الافلام
film	افلام
film	الفيلم
film	فيلم
film	الفلم
film	الفيلم
film	فيلم
film	الافلام
film	افلام
haziran	حزيران
haziran	يونيو
mayıs	قد
mayıs	ماي
