que	той
per	для
les	лез
les	ле
les	лес
les	лесь
els	на
com	подобається
com	зразок
com	like
més	більше
bar	bar
bar	бар
bar	смужка
seu	штаб
van	van
van	ван
van	фургон
era	епоха
text	текстовий
text	текст
també	також
entre	поміж
entre	між
fou	був
fou	була
fou	було
anys	роки
any	рік
població	населення
però	але
aquest	цей
aquest	ця
altres	інший
altres	інша
altres	інші
altres	інше
altres	інших
altres	інших
altres	інші
altres	іншими
estat	стан
estat	держава
estat	був
estat	було
estat	були
després	після
són	надаються
fins	доки
fins	до
fins	поки
des	des
des	дез
aquesta	цей
aquesta	ця
eren	були
estats	стани
estats	штати
persones	народ
persones	людей
persones	люди
from	від
part	частина
cap	жодного
cap	відсутнє
cap	немає
cap	жодних
cap	відсутній
sobre	конвертів
sobre	конверт
gran	великий
gran	чудово
durant	підчас
durant	дюран
tot	everything
tot	все
tot	усе
enllaços	лінки
enllaços	посилання
enllaços	посиланнями
enllaços	посилань
dos	два
dos	дві
dos	двоє
dos	двох
dos	двійка
externs	зовнішнє
externs	зовнішні
externs	зовнішній
externs	зовнішня
família	сімейство
família	сімейний
família	сімейні
família	родина
ciutat	місто
quan	коли
habitatges	будинках
habitatges	доми
habitatges	будинки
habitatges	будинків
habitatges	домів
qual	какой
qual	який
qual	які
qual	яке
qual	яка
molt	дуже
nord	північна
nord	норт
nord	північний
nord	північ
habitants	мешканці
barcelona	барселона
dones	жінок
dones	жінки
res	nothing
res	ніщо
res	небуття
res	нічого
segons	сек
segons	секундах
segons	секунд
segons	секунди
primer	перше
primer	перша
primer	перший
segle	ст
segle	століття
segle	century
nom	назва
tres	три
tres	втрьох
tres	трійка
sud	південна
sud	південь
sud	південний
lloc	місце
nova	нові
nova	нове
nova	нова
nova	новий
nova	створити
nova	нова
homes	чоловіки
primera	перше
primera	перша
primera	перший
dues	два
dues	дві
dues	двоє
dues	двох
dues	двійка
guerra	війна
següent	наступний
següent	наступна
següent	next
següent	наступне
següent	далі
sense	без
això	цей
això	ця
general	загальні
general	генерал
general	загальний
general	загальне
municipi	муніципалітет
municipi	край
catalunya	каталонії
forma	форму
forma	форма
forma	форму
forma	форма
mateix	збігається
mateix	однаковий
mateix	однакові
mateix	same
mateix	самий
fet	зроблено
fet	закінчили
fet	виконано
fet	готово
fet	done
han	хан
han	хана
encara	still
encara	ще
encara	надалі
encara	досі
mort	death
mort	смерть
mort	смерті
dades	дані
dades	data
només	лише
només	тільки
només	просто
només	щойно
regió	ділянку
regió	регіон
temps	тайм
temps	час
empreses	компанії
empreses	компаній
empreses	компаніями
troba	пошук
troba	знайти
troba	знайдіть
troba	find
grup	група
grup	групова
grup	груповий
grup	групу
grup	спільнота
contra	проти
admin	адміністрування
admin	адмін
admin	адміністратор
properes	наступних
properes	майбутні
famílies	сімей
famílies	родин
famílies	родини
frança	франції
frança	франція
frança	францію
fills	діти
fills	дітьми
fills	дітей
rei	кінг
rei	король
rei	цар
francès	френч
francès	французька
francès	французькою
francès	французький
mentre	поки
nombre	число
nombre	кількість
nombre	номер
nombre	номера
tots	усі
tots	всі
tots	все
tots	всіх
edició	редагування
edició	монтаж
edició	видавництво
edició	оприлюднення
edició	публікацією
edició	публікація
edició	публікування
isbn	isbn
renda	оренду
quatre	четвірка
quatre	чотирьох
quatre	чотири
partit	вечірка
partit	партії
partit	вечірки
partit	партія
partit	party
alguns	дехто
alguns	деякі
alguns	якесь
alguns	якийсь
alguns	трохи
aquests	ці
fill	сина
fill	сину
fill	син
nou	нові
nou	нове
nou	нова
nou	новий
nou	створити
març	березні
març	березень
març	березня
setembre	вересня
setembre	вересні
setembre	вересень
principal	головний
principal	основне
principal	головна
principal	головні
principal	головне
menys	менше
color	колір
color	кольорова
color	колір
color	кольорова
món	світовий
món	світ
món	світе
món	world
octubre	жовтень
octubre	жовтня
octubre	жовтні
empresa	компанія
abans	перед
abans	before
edat	віці
edat	вік
edat	ера
edat	доба
web	web
web	веб
jpg	jpg
dins	inside
dins	всередині
església	церква
església	костел
maig	травнева
maig	травня
maig	травневі
maig	травні
maig	травень
terme	терме
casa	хати
casa	будинок
història	публікації
història	історія
història	сюжет
història	розповідь
història	публікація
història	журнал
història	історія
història	історії
país	країни
país	країна
país	кантрі
segona	другий
segona	друге
segona	друга
segona	секунда
joan	джон
joan	іоанн
joan	іван
joan	іванна
joan	джоан
final	завершити
final	кінець
final	закінчити
final	закінчиться
final	закінчення
govern	правління
govern	уряд
est	схід
est	est
vida	життя
vida	лайф
poder	влада
poder	живлення
poder	сила
poder	power
totes	усі
totes	всі
totes	все
totes	всіх
gener	січні
gener	січень
gener	січня
tipus	типу
tipus	тип
habitatge	житло
juny	червня
juny	червні
juny	червень
diferents	different
diferents	інше
diferents	різні
diferents	різних
diferents	відмінні
parelles	пари
parelles	звернення
parelles	пари
parelles	пар
diversos	декілька
català	каталонська
fitxa	аркуш
insee	insee
títol	назва
títol	заголовок
títol	титул
oest	захід
oest	вест
desembre	грудень
desembre	грудня
desembre	грудні
què	що
què	яка
què	чим
san	сан
nacional	національна
nacional	націонал
nacional	національне
nacional	національний
nacional	національні
nacional	насьйональ
abril	квітень
abril	квітня
abril	квітні
major	мажор
major	майор
agost	серпні
agost	серпня
agost	серпень
vivint	живі
poble	село
centre	центр
centre	центр
perquè	адже
perquè	бо
aquestes	ці
riu	річка
riu	ріка
disc	диск
mostra	зразки
mostra	зразок
mostra	приклад
mostra	зразка
mostra	показати
mostra	шоу
mostra	показувати
mostra	show
novembre	листопаді
novembre	листопад
novembre	листопада
obres	працює
millor	кращий
millor	найкраща
millor	найкращий
millor	найкраще
millor	найкращі
espanya	іспанію
espanya	іспанія
espanya	іспанії
sistema	система
sistema	системи
sistema	системний
sistema	системне
sistema	системна
santa	санта
juliol	липень
juliol	липні
juliol	липня
diverses	декілька
total	усього
total	всього
total	загалом
total	загальна
total	загальний
universitat	університет
dia	день
dia	дню
dia	дня
mitjà	середній
mitjà	носій
mitjà	середня
mitjà	середні
data	дату
data	дата
data	датою
world	світовий
world	світ
world	світе
world	world
departament	департамент
departament	відділ
construcció	будівництво
construcció	будівництва
vol	польоту
vol	переліт
vol	рейс
vol	політ
premi	премія
premi	нагорода
exemple	приклад
exemple	прикладу
febrer	лютому
febrer	лютий
febrer	лютого
escola	школа
escola	училище
espècie	виді
espècie	вид
espècie	види
principals	головний
principals	основне
principals	головна
principals	головні
principals	головне
madrid	madrid
madrid	мадрид
font	джерело
font	джерела
zona	зона
los	лос
grans	великі
grans	великих
banda	band
banda	гурт
banda	банда
central	central
central	центральний
central	центральна
província	провінція
oficial	наглядач
oficial	офіцер
superfície	поверхні
superfície	поверхня
maria	марія
molts	багато
molts	багатьох
cens	перепис
equip	команда
amèrica	америка
amèrica	америки
amèrica	америка
ara	ара
ara	тепер
ara	зараз
qui	хто
qui	who
dir	dir
punt	точка
punt	точку
punt	point
cest	cest
iii	ііі
iii	iii
algunes	дехто
algunes	деякі
algunes	якесь
algunes	якийсь
algunes	трохи
regne	царство
regne	kingdom
regne	королівство
john	джон
john	іоанн
john	іван
actualment	зараз
actualment	наразі
cas	регістр
cas	справа
cas	випадок
cas	випадку
unitats	одиниці
causa	спричинити
causa	причина
causa	причиною
activitats	заняття
activitats	діяльності
activitats	діяльність
president	президент
president	президенти
article	стаття
article	статтю
exèrcit	армії
exèrcit	армія
exèrcit	військо
exèrcit	армійський
música	музика
música	музики
música	музик
música	музиці
música	музику
aigua	вода
aigua	водні
aigua	водяний
aigua	водяне
increment	збільшити
increment	підвищити
llavors	потім
llavors	тоді
llavors	насіння
conegut	відома
conegut	відоме
conegut	відомі
conegut	знайомі
terra	землею
terra	earth
terra	землі
terra	земля
gray	сірий
gray	сірі
saint	святий
saint	saint
saint	сен
època	епоха
època	епохи
època	епоху
barra	bar
barra	бар
barra	смужка
sèrie	серія
sèrie	серії
sèrie	ряд
sèrie	ряди
art	арт
art	мистецтво
art	художня
club	club
club	клуб
càrrec	заряд
etapa	стадія
rgb	rgb
república	республіка
parís	paris
parís	париж
ordre	наказую
ordre	командний
ordre	команда
ordre	замовити
ordre	ордер
ordre	наказ
ordre	порядок
donar	віддам
donar	дайте
donar	надати
cosa	фішка
cosa	річ
cosa	затори
ell	нього
ell	постане
ell	йому
ell	ним
ell	його
llista	перелік
llista	list
llista	список
cet	cet
important	важлива
important	важливі
important	важливий
important	важливе
important	важливо
segon	другий
segon	друге
segon	друга
segon	секунда
europa	європу
europa	європа
europa	європі
cal	cal
servei	служби
servei	service
servei	служба
servei	послуга
servei	сервіс
gridcolor	gridcolor
serveis	послуги
serveis	служби
morir	загине
morir	die
morir	померти
alemanya	німеччини
alemanya	німеччині
alemanya	німеччина
alemanya	німеччину
piràmide	піраміда
lightgrey	lightgrey
darkgrey	darkgrey
sfondo	sfondo
antic	старі
antic	старе
antic	старим
antic	стара
antic	старий
plaça	квадратний
plaça	площа
plaça	квадрат
plaça	площа
plaça	plaza
plaça	плаза
comtat	графство
comtat	повіт
comtat	жупанія
pare	батька
pare	батько
pare	батьку
pare	отець
pare	батьківські
pare	батьки
pare	батьківського
pare	батьківський
informació	відомості
informació	інформація
mar	море
actual	поточні
actual	поточний
actual	поточна
actual	течія
actual	струм
serie	серія
castell	замок
castell	кастелл
castell	кастель
york	йорк
països	країн
països	країни
moment	момент
moment	мить
anglès	англійською
anglès	англійська
tal	таль
illa	острів
període	строк
període	період
territori	територія
londres	лондонський
londres	london
londres	лондон
internacional	міжнародний
internacional	міжнародна
internacional	міжнародні
internacional	інтернаціонал
internacional	міжнародне
premis	нагороди
premis	призи
josep	джозеф
josep	йосип
josep	жозеф
josep	йозеф
center	центр
museu	museum
museu	музей
establiments	прийду
edats	віки
districte	улус
districte	округ
districte	нохія
districte	район
pàgina	сторінку
pàgina	сторінка
pàgina	сторінки
pàgina	пейдж
dies	днів
dies	дні
havien	мали
havien	мав
camp	поля
camp	поле
camp	табір
llengua	язик
llengua	язика
llengua	мова
llengua	мови
llengua	мову
base	основа
base	базова
base	база
base	основою
base	базовий
base	базис
llarg	довгий
llarg	хай
llarg	лонг
llarg	long
llarg	довга
llarg	довгі
capital	капітал
capital	столиця
alt	високий
alt	висока
alt	значне
alt	високе
alt	високі
alt	ал
alt	alt
diagrama	діаграма
diagrama	діаграма
diagrama	діаграми
edifici	будівля
edifici	будівництво
edifici	будуємо
edifici	будівельні
edifici	будівлі
línia	лінія
línia	рядок
línia	рядка
línia	пряма
política	правила
política	політики
política	policy
política	політика
política	політикою
política	політика
metres	метрах
metres	метрів
metres	метри
metres	метрів
metres	метри
finalment	нарешті
francisco	франсіско
francisco	франциско
costat	збоку
costat	сторона
costat	бічна
costat	бік
costat	сторони
planta	завод
planta	рослини
planta	садити
planta	рослина
gènere	жанр
gènere	стать
gènere	статі
gènere	гендерна
mateixa	збігається
mateixa	однаковий
mateixa	однакові
mateixa	same
mateixa	самий
vegades	таймс
vegades	час
vegades	часи
vegades	times
majoria	більшість
majoria	більшістю
natural	натуральний
natural	натуральна
natural	натуральні
natural	природний
natural	природні
unió	union
unió	союз
unió	юніон
tard	запізнюється
tard	пізно
tard	запізно
aconseguir	отримати
aconseguir	get
veure	подивитися
veure	див
veure	бачите
veure	бачу
veure	переглянути
director	режисер
director	директор
director	директор
força	міцність
força	інтенсивність
força	сили
força	сила
força	примусово
força	примусити
força	сила
força	force
codi	код
distribució	розподіл
origen	джерело
origen	походження
catalana	catalana
persona	особа
persona	особи
cos	тіло
cos	тіла
primers	перше
primers	перша
primers	перший
espècies	виді
espècies	вид
espècies	види
william	вільям
cases	будинках
cases	доми
cases	будинки
cases	будинків
cases	домів
batalla	battle
batalla	битва
batalla	бій
sol	нд
sol	сонця
sol	сонцю
sol	sun
sol	сонце
suport	підтримка
suport	підтримую
suport	підтримати
classificació	класифікація
itàlia	італії
itàlia	італія
itàlia	італію
comarca	шир
pere	петро
pere	пітер
top	згори
top	вгорі
top	топ
top	верхній
top	найпопулярніші
top	зверху
califòrnia	каліфорнію
califòrnia	california
califòrnia	каліфорнія
cop	коп
cop	поліцейський
fitxer	файл
peix	риб
peix	риба
peix	рибу
peix	рибка
peix	риби
militar	військові
militar	військовий
costa	коста
popular	популярні
popular	популярне
popular	популярна
popular	популярний
anomenat	названий
anomenat	назвали
anomenat	названо
temporada	season
temporada	сезон
temporada	сезону
treball	завдання
treball	робота
treball	роботи
treball	робота
treball	працюю
treball	працюють
treball	роботу
treball	робочий
vila	vila
mare	матір
mare	мати
mare	матері
estudis	студій
estudis	вивчає
estudis	дослідження
eleccions	вибори
articles	статті
articles	статтями
articles	статей
discussió	дискусії
discussió	дискусія
discussió	обговорення
polític	політик
conjunt	комплект
conjunt	встановити
conjunt	набір
conjunt	встановлено
conjunt	множина
posteriorment	послідовно
llibre	книжка
llibre	книжечки
llibre	книга
llibre	книги
roma	рим
estil	стиль
moviment	рух
imperi	імперія
divisió	ділення
divisió	дивізіон
divisió	поділ
membre	член
membre	учасник
membre	учасника
membre	члена
sempre	завжди
porta	вивіз
porta	двері
porta	порта
teatre	театрі
teatre	театр
teatre	театр
membres	учасники
membres	члени
ells	їх
ells	їм
ells	комплектів
resta	віднімання
moltes	багато
moltes	багатьох
acord	угода
acord	угоду
jocs	ігор
jocs	games
jocs	ігри
rebre	отримувати
rebre	отримання
illes	острови
illes	іль
illes	isles
avui	сьогодні
http	http
alta	високий
alta	висока
alta	значне
alta	високе
alta	високі
alta	альта
posició	розташування
posició	позиція
posició	положення
posició	позиції
format	формат
format	форматування
espanyol	іспанською
espanyol	іспанської
espanyol	іспанська
sovint	часто
comte	кількість
comte	рахувати
comte	відлік
jersey	джерсі
canvi	зміна
canvi	change
canvi	змінити
opció	варіант
opció	пункт
opció	параметр
germà	брат
germà	брата
germà	братик
comunes	спільними
comunes	поширені
comunes	спільне
comunes	загальні
comunes	common
material	матеріал
material	матеріали
superior	начальство
pas	крок
pas	кроком
nivell	рівень
valència	валенсія
crear	створення
crear	створити
consell	рада
consell	ради
consell	натяк
consell	підказка
creu	хрест
creu	хрестик
creu	крос
ben	бене
ben	бен
ben	ben
futbol	футбол
antiga	колишні
antiga	колишній
volta	вольта
josé	жозе
josé	хосе
paper	папір
entorn	середовища
entorn	середовище
únic	унікальний
únic	унікальне
únic	унікальні
institut	інститут
àfrica	африка
cultura	культура
baix	низький
baix	низька
baix	low
mitjançant	крізь
mitjançant	наскрізь
mitjançant	через
mitjançant	передивився
espai	простору
espai	пробіл
espai	простір
equips	команди
pau	миру
pau	мир
pau	пау
qualsevol	якісь
civil	цивільно
civil	цивільний
civil	громадянська
civil	цивільних
civil	цивільний
torre	вежа
torre	tower
torre	башта
comerç	торгівлі
comerç	торгівля
carrer	стріт
carrer	вулиця
etc	тощо
etc	etc
direcció	напрям
direcció	напрямок
nens	діти
nens	дітям
nens	дітьми
nens	дітлахи
nens	дітки
nens	діти
nens	дітьми
nens	дітей
elements	елементів
elements	пункти
elements	елементи
elements	елементи
mapa	карта
mapa	мапа
especialment	особливо
procés	процес
procés	обробити
procés	процесу
versió	версія
dret	правий
dret	права
dret	право
dret	праворуч
occidental	оксиденталь
municipal	муніципальна
municipal	муніципальний
vall	долина
local	локальні
local	місцеві
local	локальна
local	локальний
local	місцевий
guanyar	win
guanyar	переможе
ibn	ібн
desenvolupament	розвитку
desenvolupament	розвиток
desenvolupament	розробка
vertical	вертикальна
vertical	вертикальне
vertical	вертикальні
vertical	вертикально
vertical	вертикаль
vertical	вертикальний
set	сім
set	сімка
set	пити
grups	групи
grups	груп
grups	спільноти
campionat	чемпіонський
campionat	чемпіонат
diu	діу
pla	плануємо
pla	спланувати
pla	планувати
pla	план
classificades	оголошення
classificades	класифікованих
original	оригінал
original	оригінальна
original	оригінальне
original	початкове
original	оригінальний
déu	божі
déu	боже
déu	бога
déu	бог
déu	богу
projecte	project
projecte	проект
vers	вірш
situació	ситуацію
situació	ситуація
situació	становище
situació	ситуації
carrera	кар
carrera	каррера
