den	the
och	dan
med	med
med	dgn
med	dengan
som	like
som	ibarat
runt	sekeliling
runt	keliling
runt	disekeliling
runt	sekitar
runt	pusingan
runt	bulat
månaden	bulanan
månaden	bulan
ligger	lies
ligger	terletak
ligger	bohong
ligger	bertempat
ingår	disertakan
ingår	termasuk
ingår	termasuk
ingår	merangkumi
att	bahawa
ett	satu
ett	one
över	over
familjen	family
familjen	keluarga
för	untuk
inga	tiada
inga	inga
delen	bahagian
släktet	genus
underarter	subspesies
life	life
life	hidup
life	kehidupan
life	hidupan
listade	disenaraikan
listade	disenarai
listade	tersenarai
landet	country
landet	negara
meter	semeter
meter	meter
meter	meter
meter	meter
meter	meter
huvudstaden	capitol
huvudstaden	modal
huvudstaden	capital
havet	sea
havet	laut
havet	samudera
havet	lautan
havet	ocean
varmaste	terhangat
invånare	penduduk
invånare	warganegara
januari	januari
millimeter	millimeter
millimeter	milimeter
millimeter	milimeter
genomsnitt	purata
genomsnittlig	purata
var	var
var	ws
var	were
var	mana
juli	julai
juli	juli
han	han
har	telah
har	mempunyai
har	has
har	mempunyai
per	per
vattendrag	sungai
från	dari
från	daripada
kanada	kanada
kanada	canada
provinsen	wilayah
provinsen	provinsi
men	tapi
men	tetapi
högsta	supreme
högsta	maksimum
högsta	maksima
högsta	tertinggi
augusti	ogos
kan	could
kan	mampukah
kan	mampukah
kan	boleh
länkar	pautan
länkar	link
externa	luaran
läge	lokasi
läge	location
läge	mod
även	genap
även	juga
februari	februari
under	bawah
under	dibawah
under	under
lake	tasik
lake	lake
sjö	tasik
sjö	lake
sjö	sea
sjö	laut
inte	tidak
inte	bukan
inte	tak
sig	sig
kommun	munisipaliti
kommun	perbandaran
två	dua
lac	lac
long	panjang
long	long
juni	juni
juni	june
juni	jun
lat	lat
lat	malas
december	disember
växer	berkembang
växer	membesar
växer	membesar
växer	membesar
många	banyak
efter	selepas
nära	dekat
nära	tutup
nära	berhampiran
nära	near
nära	dekat
väster	west
väster	barat
provins	wilayah
provins	provinsi
öster	timur
först	pertama
först	first
först	dulu
först	dahulu
berg	gunung
berg	mountain
berg	pergunungan
berg	berg
berg	ganang
berg	banjaran
berg	pergunungan
indonesien	indonesia
usa	usa
mars	mac
mars	march
mars	marikh
mars	mars
mindre	minor
mindre	kurang
mindre	kurangkan
mindre	less
norr	utara
norr	north
oktober	oktober
oktober	october
man	lelaki
september	september
större	pengkhususan
större	mejar
större	major
större	greater
centrala	pusat
andra	second
andra	kedua
