河岸	flussufer
遲	late
遲	späte
遲	spät
詞語	worte
詞語	wörter
詞語	worten
生物學	biologischer
生物學	biologische
生物學	biologischen
生物學	biologisch
生物學	biologie
債務	verbindlichkeiten
債務	schulden
債務	schuld
債務	verschuldung
債務	schulden
光芒	leuchten
光芒	schein
光芒	glühen
塾	sook
俄語	russisch
俄語	russischen
俄語	russen
穿梭	shuttle
穿梭	pendelverkehr
渲染	rendering
按鈕	buttons
按鈕	schaltflächen
按鈕	knöpfen
按鈕	knöpfe
按鈕	tasten
按鈕	taste
按鈕	knopf
按鈕	button
按鈕	knöpfe
按鈕	schaltfläche
陣線	front
陣線	vorderseite
陣線	vorne
陣線	vorn
陣線	vor
分化	kluft
分化	aufteilen
分化	teilung
分化	teilen
分化	spaltung
氨基	aminosäuren
氨基	amino
週日	sunday
週日	sonntag
週日	sonntags
跆拳道	taekwondo
跆拳道	kickboxen
題目	themenbereich
題目	thema
題目	themenbereiche
題目	themen
高知	kōchi
高知	kochi
忙	fleißig
忙	belegt
忙	beschäftigt
忙	besetzt
半導體	halbleiter
半導體	halbleiter
評分	rating
評分	einstufung
評分	wertung
評分	bewerten
評分	bewertung
評分	bewertungen
評分	bewertete
評分	bewertet
評分	bewertungen
評分	quoten
評分	berechtigungen
評分	ratings
評分	zinssatz
評分	satz
評分	steuersatz
附件	befestigung
附件	anlage
附件	anhang
泡沫	blasen
泡沫	schaum
泡沫	blase
泡沫	blasen
狀元	gelehrten
狀元	gelehrter
動員	mobilisierung
動員	inanspruchnahme
動員	mobilisierung
動員	mobilisieren
動員	mobilisiert
動員	mobilisierung
動員	mobilisieren
動員	mobilisierung
動員	mobilisieren
倉庫	lager
倉庫	lagerhaus
倉庫	warehouse
倉庫	lagerung
倉庫	lagerraum
發電機	erzeuger
發電機	generatoren
發電機	stromerzeuger
發電機	generatoren
發電機	generator
發電機	stromerzeuger
比喻	gleichnis
比喻	metapher
比喻	analog
比喻	analogie
齋藤	saito
埋葬	begraben
埋葬	beerdigen
埋葬	beerdigung
埋葬	begräbnis
埋葬	vergraben
埋葬	vergraben
埋葬	beerdigen
埋葬	begraben
埋葬	vergraben
埋葬	begraben
埋葬	bestattet
埋葬	beerdigt
松鼠	eichhörnchen
松鼠	eichhörnchen
衫	hemden
衫	shirt
衫	hemd
塵	stäube
塵	staub
相撞	aufprall
相撞	kollision
相撞	kollisionen
相撞	zusammenstoß
相撞	kollidieren
多多	toto
臨床	klinischen
臨床	klinische
臨床	klinisch
臨床	klinischer
臨床	klinisch
繞道	umweg
繞道	umleitung
繞道	abstecher
繞道	umgehen
繞道	umgehung
繞道	umgehungsstraße
繞道	bypass
住院	krankenhausaufenthalt
自願	freiwillige
自願	freiwilligkeit
自願	freiwillig
自願	freiwilliger
輸	verlor
輸	verirrt
輸	verloren
輸	verlorene
輸	lost
輸	verlieren
輸	verliert
林子	wald
林子	wäldern
林子	woods
林子	wälder
方形	square
方形	rechteck
方形	quadratisch
方形	quadrat
方形	platz
岡田	okada
猜想	vermutung
猜想	spekulation
猜想	mutmaßungen
猜想	vermutungen
愛國	patriot
愛國	patriotische
祝福	segnen
祝福	segen
祝福	segnen
祝福	segnungen
祝福	segen
祝福	selig
祝福	gesegnet
祝福	gesegneten
人類學	anthropologische
陷阱	falle
陷阱	fallen
倒數	countdown
編纂	kompilieren
編纂	sammlung
編纂	zusammenstellung
編纂	erstellung
編纂	kodifizierung
編纂	codierung
遺傳	genetische
遺傳	genetisch
遺傳	genetischen
遺傳	gentechnik
遺傳	genetik
遺傳	gentechnik
遺傳	erblichen
遺傳	vererbt
雨水	regenwasser
雨水	rain
雨水	regen
雨水	regenwasser
無數	unzählige
無數	zahllosen
無數	zahllose
無數	unzähligen
干預	eingriffe
干預	störungen
干預	einmischung
干預	störung
干預	interferenzen
干預	einschreiten
干預	intervenieren
干預	eingreifen
干預	eingriffe
干預	interventionen
干預	intervention
崩潰	unfall
崩潰	abstürzen
崩潰	abgestürzt
崩潰	crash
崩潰	absturz
崩潰	einsturz
崩潰	zusammenbruch
崩潰	zusammenbrechen
崩潰	kollaps
手球	handball
車票	tickets
車票	karten
車票	eintrittskarten
車票	fahrkarten
車票	fahrkarte
車票	ticket
車票	eintrittskarte
車票	flugticket
射箭	bogenschießen
牛頓	newton
糖尿病	diabetischen
糖尿病	diabetiker
糖尿病	diabetes
糖尿病	diabetiker
糖尿病	diabetes
訂購	bestellungen
訂購	bestellung
訂購	bestellen
訂購	reihenfolge
訂購	bestellten
訂購	befohlen
訂購	bestellte
訂購	bestellt
訂購	bestellungen
訂購	ordnung
訂購	auftrag
訂購	reihenfolge
訂購	bestellung
鋁	alu
鋁	aluminium
鋁	aluminium
鋁	alu
謀殺	morde
謀殺	ermordung
謀殺	mord
師傅	meister
師傅	master
探測器	detektor
探測器	detektoren
探測器	sonde
探測器	probe
探測器	sonden
探測器	detektoren
探測器	sonden
可靠性	zuverlässig
可靠性	zuverlässigkeit
可靠性	verlässlichkeit
托馬斯	thomas
壟斷	monopole
壟斷	monopol
壟斷	monopole
壟斷	monopol
壟斷	monopolstellung
變數	variable
變數	variabler
變數	unterschiedlich
變數	variabel
變數	variablen
變數	variable
變數	variablen
切割	schnitt
切割	zerlegen
切割	schneiden
切割	zuschnitt
雙胞胎	doppelzimmer
雙胞胎	twin
雙胞胎	zwillinge
雙胞胎	zwilling
雙胞胎	zwillinge
聰明	schlau
聰明	clever
聰明	intelligent
聰明	klug
聰明	smart
語文	programmiersprachen
語文	fremdsprachen
語文	sprachen
語文	sprache
語文	amtssprache
語文	sprachen
語文	sprache
法西斯	faschistischen
法西斯	faschistische
法西斯	faschismus
法西斯	faschisten
大主教	erzbischof
量化	quantitativer
量化	quantitative
量化	quantitativ
量化	quantifizierung
量化	quantifiziert
量化	beziffert
量化	quantifizieren
量化	quantifizierung
鯉魚	karpfen
有時候	manchmal
有時候	mitunter
有時候	zuweilen
曼哈頓	manhattan
植被	pflanzen
植被	pflanzenwelt
植被	vegetation
老大	chef
老大	boss
老大	chefin
解答	antworten
解答	antwort
同居	zusammenleben
同居	zusammenlebens
大象	elefanten
大象	elefanten
大象	elefant
遊樂場	spielfeld
遊樂場	spielplatz
遊樂場	kinderspielplatz
遊樂場	spielplätze
遊樂場	spielplatz
會場	veranstaltungsort
會場	ort
會場	gerichtsstand
會場	austragungsort
閻	yan
回覆	erwiderung
回覆	antworte
回覆	antworten
回覆	antwort
回覆	beantwortung
回覆	antworten
回覆	antwort
衰變	verfallen
衰變	zerfall
衰變	zerfallen
衰變	verfall
感應	vibe
感應	schwingungen
感應	induktion
感應	einarbeitung
塑膠	kunststoffen
塑膠	kunststoff
塑膠	plastische
塑膠	kunststoffe
塑膠	plastik
塑膠	kunststoff
塑膠	plastische
塑膠	kunststoffe
塑膠	plastik
排斥	ausschluss
排斥	ausgrenzung
