profetët	ศาสดา
kapitull	บท
spartak	spartak
beatrix	beatrix
shoqatat	สมาคม
juli	juli
volumi	ปริมาตร
alam	alam
qdo	ทุกๆ
qdo	ทุก
konsull	กงสุล
kuzhina	ทำครัว
kuzhina	ครัว
portnoy	portnoy
simbolik	สัญลักษณ์
zyrë	สำนักงาน
zyrë	ออฟฟิศ
selami	สันติภาพ
selami	สันติ
selami	สันติสุข
formulën	นมผง
formulën	สูตร
pseudonimi	ฉายา
daja	ลุง
porositur	สั่ง
porositur	ลำดับ
gjeneratat	มวล
gjeneratat	มวลชน
gjeneratat	รุ่น
inteligjenca	ปัญญา
kapitujt	บท
gjyqtar	ตัดสิน
kronikat	อบอุ่น
themeli	รากฐาน
themeli	foundation
themeli	มูลนิธิ
bagdad	แบกแดด
dixhitale	ดิจิตอล
dixhitale	digital
zones	fens
osbe	osce
misionet	ทูต
misionet	ภารกิจ
ekstrem	สุดขีด
cache	แคช
frengjisht	ฝรั่งเศส
ofertë	ประมูล
ofertë	เสนอ
dritat	ไฟ
dritat	แสง
këmba	เท้า
këmba	ตีน
këmba	ขา
deputetët	mps
slloven	slovene
xhejms	james
xhejms	เจมส์
morali	คุณธรรม
morali	จริยธรรม
karburantit	น้ำมัน
skemë	แผนผัง
shkas	ไก
bus	รถเมล์
kujtimi	memory
çelsat	กุญแจ
tigri	tiger
tigri	เสือ
tigri	เสือก
iucn	iucn
kryej	ก่อ
kromit	chrome
kromit	โครม
veshi	หู
gropat	รู
bijë	ลูกสาว
besnike	ซื่อสัตย์
besnike	ภักดี
besnike	ศรัทธา
luksoze	ฟุ่มเฟือย
luksoze	หรูหรา
luksoze	หรู
luksoze	แฟนซี
luksoze	condo
luksoze	หรูหรา
orientales	orientales
kafka	กะโหลก
kafka	กะโหลก
tmerrshëm	แย่
tmerrshëm	สาหัส
punonjësit	ลูกจ้าง
punonjësit	พนักงาน
mujer	mujer
stockholm	สตอกโฮล์ม
engjëll	เทวดา
engjëll	นางฟ้า
ecin	เดิน
legal	กฎหมาย
dokumenta	เอกสาร
dokumenta	เอกสาร
koreane	เกาหลี
mishin	เนื้อ
mishin	เนื้อ
drejtorinë	directorate
porte	ฮับ
porte	พอร์ต
porte	ท่าเรือ
semundje	โรค
lëngshme	ฉ่ำ
edhepse	แม้ว่า
lejua	อนุญาต
ars	ars
firmë	มั่นคง
cekët	ตื้นๆ
cekët	ตื้น
ferrit	ยมโลก
panairi	แฟร์
panairi	ยุติธรรม
numëruar	นับ
komunistë	คอมมิวนิสต์
memorial	อนุสรณ์
krenaria	ศักดิ์ศรี
gegen	gegen
regjistrim	ติดตาม
regjistrim	สมัคร
premtimin	สัญญา
përplasje	คว่ำ
përplasje	ตก
mpj	mfa
çelësat	กุญแจ
frikësuar	กลัว
iranian	อิหร่าน
përvojat	ประสบการณ์
belge	เบลเยียม
belge	เบลเยี่ยม
liberty	เสรีภาพ
liberty	liberty
shëmtuar	ขี้เหร่
sfida	ท้าทาย
sfida	ท้าทาย
sfida	ท้า
agjenti	ตัวแทน
agjenti	เอเย่นต์
dyqanet	ร้าน
megjithese	แม้ว่า
iraniane	อิหร่าน
hetuar	สืบสวน
koncerti	concert
koncerti	คอนเสิร์ต
potenciali	ศักยภาพ
ghz	ghz
performancë	ประสิทธิภาพ
komunikojnë	สื่อสาร
piacenza	piacenza
motoja	คติพจน์
motoja	คำขวัญ
shiten	ขาย
seksi	sexy
seksi	เซ็กซี่
seksi	ร้อนๆ
seksi	ร้อน
seksi	hot
trafiku	จราจร
renditje	อันดับ
dimension	มิติ
shijen	รส
shijen	ชิม
shijen	รสนิยม
shijen	รสชาติ
zogj	นก
nafta	น้ำมัน
pronën	คุณสมบัติ
pronën	ทรัพย์สิน
pronën	ทรัพย์
jin	จิน
savonia	savonia
rrezatim	การแผ่รังสี
rrezatim	รังสี
zwischen	zwischen
fatkeqësi	หายนะ
undef	undef
presim	รอ
autentike	authentic
ritëm	จังหวะ
flokë	ขน
flokë	เส้นผม
pagan	นอกรีต
krishna	กฤษณะ
breshka	เต่า
breshka	เต่า
bull	กระทิง
përrallë	เทพนิยาย
faj	ตำหนิ
hijet	เงามืด
hijet	เงา
urta	สำนวน
urta	สุภาษิต
virtytet	คุณธรรม
jay	เจย์
jay	jay
nderkohe	ขณะ
balenat	วาฬ
balenat	ปลาวาฬ
votat	โหวต
ceremoninë	พิธีการ
ceremoninë	พิธี
kartelat	โฟลเดอร์
subjekte	วิชา
peshq	ปลาทอง
spider	แมงมุม
mbulohet	ครอบคลุม
mbulohet	ปกคลุม
studente	นักเรียน
studente	นักศึกษา
famëkeq	ฉาวโฉ่
famëkeq	ฉาวโฉ่
pëlqyer	ถูกใจ
sfidat	ท้าทาย
turp	ละอาย
turp	เสียดาย
kabinetin	ตู้
fia	fia
vasari	vasari
rossi	รอสซี่
ganga	ganga
zemëruar	โมโห
zemëruar	โกรธ
ndërkombëtarisht	นานาชาติ
presë	โฮสต์
presë	จัด
wikidata	wikidata
shukri	shukri
fole	nest
fole	รัง
alkool	เหล้า
alkool	แอลกอฮอล์
shpiku	คิดค้น
rebelët	rebels
rebelët	กบฏ
kapital	พระนคร
kapital	ทุน
lirshëm	หลวมๆ
ftesë	เชิญ
lopez	lopez
lopez	โลเปซ
brigadën	กองพล
balena	วาฬ
balena	ปลาวาฬ
balena	วาฬ
balena	ปลาวาฬ
gishtat	นิ้ว
balta	โคลน
balta	เคลย์
balta	ดิน
nënkuptuar	นัย
pula	เจี๊ยบ
pula	ไก่
zakone	นิสัย
mariana	มาเรียนา
ilo	ilo
fluturuese	ลอย
getargs	getargs
moshat	อายุ
moshat	ยุค
moshat	วัย
kurth	ดัก
neue	neue
perimet	ผัก
perimet	ผัก
perimet	ผัก
luanit	สิงโต
luanit	ราชสีห์
ash	แอช
arabinë	ซาอุดิอาระเบีย
gjyshja	ยาย
gjyshja	ยาย
mëlçisë	ตับ
fibra	ไฟเบอร์
vfl	vfl
pranoj	สารภาพ
pranoj	ยอมรับ
thelluar	กระชับ
hunter	hunter
selassie	selassie
kitaristi	กีตาร์
sad	เศร้าๆ
sad	เศร้า
kub	ลูกบาศก์
kub	ลูกบาศก์
ferrer	ferrer
martohej	วิวาห์
martohej	พุธ
shërimin	รักษา
lagështi	ความชื้น
lakuar	โค้ง
kimia	เคมี
qira	เช่า
elegante	หรูหรา
macja	แคท
macja	แมว
alkooli	เหล้า
alkooli	แอลกอฮอล์
atributet	คุณลักษณะ
qymyri	ถ่าน
qymyri	ถ่านหิน
qymyri	ถ่าน
gja	โลหิต
gja	เลือด
mbretëritë	อาณาจักร
sevilla	sevilla
luang	หลวง
kuzhinë	ทำครัว
kuzhinë	ครัว
hoteli	โรงแรม
pmid	pmid
viruset	ไวรัส
tours	ทัวร์
disqet	แผ่น
disqet	ดิสก์
buza	ลิป
buza	lip
gjinitë	เพศ
ngusht	แน่น
ngusht	แคบ
diktatura	เผด็จการ
lulëzuar	บาน
syte	นัยน์ตา
syte	ดวงตา
syte	สายตา
syte	ตา
tai	ไท
tai	ไท่
tai	ต่าย
tai	ไต้
çelsi	chelsea
peshqit	ฟิช
peshqit	ปลา
arkitektët	สถาปนิก
banesë	แบน
banesë	แฟลต
kolumbiane	โคลอมเบีย
kolumbiane	โคลัมเบีย
kalorësve	อัศวิน
lapland	lapland
edu	edu
kampionë	แชมเปี้ยน
autostrada	ทางด่วน
autostrada	ทางด่วน
autostrada	ทางด่วน
autostrada	ทางหลวง
autostrada	ไฮเวย์
eja	มา
çudi	แปลกๆ
çudi	แปลก
çudi	แปลกๆ
çudi	แปลก
çudi	แปลก
çudi	สงสัย
çudi	wonder
kapërcyer	เอาชนะ
perveç	ยกเว้น
uroj	หวัง
udhëzues	คู่มือ
udhëzues	แนวทาง
tan	ตาล
theksonte	เครียด
turkish	ตุรกี
ndërmjetës	คนกลาง
ndërmjetës	ตัวกลาง
trekëndëshi	สามเหลี่ยม
trekëndëshi	สามเหลี่ยม
mjekësia	เวชศาสตร์
mjekësia	ยา
ftohte	หนาว
ftohte	เย็น
ftohte	เย็นๆ
urave	สะพาน
straboni	strabo
pasionin	กิเลส
pasionin	ตัณหา
ndjekje	เชด
ndjekje	เชส
lesh	ฝอย
schleswig	schleswig
pjekura	อบ
hane	ทาน
hane	กิน
shpjegoi	ชี้แจง
pink	pink
pink	ชมพู
pink	สีชมพู
pata	ห่าน
stemën	crest
godit	แย็บ
godit	ตี
godit	ถล่ม
godit	ชน
godit	จีบ
nacionalizmit	ชาตินิยม
akute	เฉียบพลัน
njofton	แถลง
ikonave	ไอคอน
nip	nip
nip	หลาน
kopsht	สวน
kopsht	garden
kopsht	ระเบียง
kopsht	ลาน
kopsht	นอกชาน
palacio	palacio
ngjitja	ปีน
reagimet	ปฏิกิริยา
engjejt	เทวดา
ltd	ltd
shitja	ขาย
shitja	จำหน่าย
shitja	ขาย
parajsa	สวรรค์
parajsa	พาราไดซ์
parajsa	สวรรค์
parajsa	พาราไดส์
kitare	กีตาร์
kitare	กีต้าร์
roy	รอย
mina	เหมือง
qiejt	สวรรค์
qiejt	ท้องฟ้า
dre	กวาง
folësit	ลำโพง
errësirë	เข้ม
errësirë	มืด
rrufe	ฟ้าผ่า
rrufe	สายฟ้า
fondet	กองทุน
fondet	ทุน
landes	landes
roja	องครักษ์
papritmas	ทันใด
fol	คุย
fol	พูด
fol	พูด
mba	mba
musical	มิวสิค
yves	yves
shtyllë	เสา
cep	มุม
kode	รหัส
biologji	ชีววิทยา
morfinë	มอร์ฟีน
rrok	rock
rrok	ร็อค
rrok	โยก
rrok	หิน
qaboos	qaboos
ritual	พิธีกรรม
kursi	หลักสูตร
kursi	คอร์ส
prerjen	รู้สึก
prezantimi	บทนำ
ace	ace
valladolid	valladolid
specifikuar	ระบุ
evolucioni	วิวัฒนาการ
mbani	เก็บ
sean	ฌอน
sean	ชอน
extremadura	extremadura
avionët	อากาศยาน
concat	concat
zgjidh	เลือก
zgjidh	เลือก
tok	ต๊อก
zier	ต้ม
departament	แผนก
departament	กรม
djemt	หนุ่มๆ
emigrantë	ต่างด้าว
mekanizmat	กลไก
bela	bella
realist	สมจริง
pëllumbi	พิราบ
pëllumbi	พิราบ
krahasimi	เทียบ
unazat	วงแหวน
unazat	แหวน
oriz	ข้าว
urrejtje	เกลียด
tronditur	ช็อก
tronditur	ตกใจ
kënde	มุม
sat	นั่ง
çaste	moments
kompjuterë	คอมพิวเตอร์
maung	หม่อง
kërcimi	เต้นรำ
kërcimi	เต้น
kërcimi	กระโดด
kërcimi	เต้นรำ
kërcimi	เต้น
hohenzollern	hohenzollern
totalisht	สุดๆ
flores	ฟลอเรส
lyer	วาด
lyer	ทาสี
bark	ท้อง
bark	พุง
bark	สะดือ
animalia	animalia
pistë	รันเวย์
pistë	สกปรก
kupat	cups
kupat	ถ้วย
vlerësimet	คะแนน
kocka	กระดูก
kocka	โบนส์
tufë	พวง
reve	เมฆ
ritmin	จังหวะ
fitimi	กำไร
phoenix	ฟีนิกซ์
thesari	สมบัติ
gora	gora
fitimet	กำไร
përfitimet	ประโยชน์
rrahje	ทุบตี
krenare	ภูมิใจ
krenare	proud
rregullore	ระเบียบ
aleatë	พันธมิตร
shëruar	หาย
