carter	carter
enterrament	begravelse
rodrigo	rodrigo
michigan	michigan
kazakhstan	kasakhstan
esquerres	venstreorienteret
esquerres	venstreorienterede
designa	udpeger
designa	betegner
girar	roterer
girar	rotere
miss	savn
miss	frøken
miss	savne
miss	savner
diagonal	diagonal
degradació	nedbrydning
degradació	forringelse
afectats	påvirkede
afectats	berørt
afectats	påvirket
afectats	berørte
borda	borda
cantata	kantate
emergència	nødstilfælde
emergència	nødsituationer
emergència	nødsituation
emergència	akut
núria	nuria
aplicada	anvendte
aplicada	anvendt
aplicada	ansøgt
aplicada	ansøgte
sarah	sarah
canya	sukkerrør
canya	rørsukker
canya	stok
misteri	mysterie
misteri	mystik
misteri	mysterium
misteri	mystisk
campbell	campbell
wolf	wolf
wolf	ulven
wolf	ulve
wolf	ulv
aïllament	isolation
aïllament	isolering
faune	faun
reforços	forstærkning
reforços	forstærkninger
estudiat	studeret
estudiat	undersøgt
estudiat	studerede
xah	shah
pur	rene
pur	ren
pur	rent
clot	blodprop
clot	størkne
bissau	bissau
herois	helte
partícula	partikel
miracle	mirakel
miracle	miraklet
guix	gips
guix	puds
nerviós	nervøse
nerviós	nervøst
nerviós	nervøs
segment	segment
segment	indslag
violoncel	cello
premier	premier
febre	feber
caracteritzen	karakterisere
abasta	overtræk
abasta	omslag
abasta	dækker
treva	våbenhvile
treva	våbenstilstand
tortuga	turtle
tortuga	skildpadde
irregulars	uregelmæssig
irregulars	uregelmæssigt
irregulars	uregelmæssige
pan	pande
pan	pan
comissions	bestillinger
comissions	underudvalg
comissions	provision
comissions	kommissioner
comissions	provisioner
comissions	udvalg
comissions	udvalgene
rebutjat	afviste
rebutjat	afvist
rebutjat	afslået
rebutjat	forkastet
rebutjat	afviste
rebutjat	afvist
virginia	virginia
fils	tråde
benito	benito
gaèlic	gælisk
confirmat	konfirmeret
confirmat	bekræftede
confirmat	bekræftet
centrat	centreret
balls	danser
danses	danser
txecoslovàquia	tjekkoslovakiet
prefecte	præfekt
troballes	fund
troballes	undersøgelsesresultater
mississipí	mississippi
conjunta	joint
conjunta	fælles
rodó	valset
rodó	rullede
rodó	rullet
rodó	valsede
nationalgoals	nationalgoals
