dhe	en
një	one
një	één
një	een
një	eén
nga	van
nga	uit
nga	vanaf
për	voor
edhe	zelfs
tij	zijn
nuk	niet
ishte	was
janë	zijn
shumë	zeer
por	maar
pas	na
pas	after
këtë	dit
këtë	deze
parë	gezien
tyre	hun
tyre	hen
mund	kan
mund	kon
mund	kan
mund	kunt
mund	kunnen
gjatë	lang
gjatë	lange
gjatë	long
disa	enkele
disa	sommigen
disa	sommige
lidhje	links
lidhje	relatie
lidhje	aansluiting
lidhje	verbinding
lidhje	connectie
lidhje	link
lidhje	koppeling
kjo	dit
kjo	deze
kjo	dat
kur	wanneer
mbi	over
mbi	hierboven
mbi	boven
deri	till
deri	tot
jashtme	extern
jashtme	uitwendig
jashtme	externe
jashtme	buitenkant
saj	its
saj	haar
kishte	hadden
kishte	had
kishte	gehad
ajo	ze
ajo	zij
vetëm	alone
vetëm	alleen
vetëm	alleen
vetëm	enkel
vetëm	slechts
vetëm	gewoon
ata	hen
ata	ze
ata	zij
tjera	overige
tjera	andere
tjera	ander
tjera	overig
pjesë	onderdelen
pjesë	delen
pjesë	deel
pjesë	gedeelte
atë	hem
shqiptare	albanese
shqiptare	albanees
madhe	big
madhe	groot
madhe	grote
rreth	ongeveer
rreth	over
rreth	rondom
rreth	rond
para	geld
para	cash
para	voordat
para	vóór
ishin	waren
per	ongeveer
per	over
per	voor
këto	deze
banorë	inwoners
banorë	bewoners
banorë	inwoners
banorë	bewoners
banorë	ingezetenen
komuna	gemeenten
cila	welke
nje	one
nje	één
nje	een
nje	eén
kundër	counter
kundër	teller
kundër	toonbank
kundër	tegen
madh	immense
madh	immens
lista	lijstje
lista	lijst
lista	lijstjes
lista	lijsten
kantoni	kanton
gjithashtu	ook
ndërsa	terwijl
cilat	welke
ndryshme	verschillend
ndryshme	verschillende
ndryshme	anders
ndryshme	uiteenlopende
etj	etc
etj	enz
duhet	nood
duhet	need
duhet	nodig
duhet	noodzaak
duhet	behoefte
duhet	moeten
duhet	moet
sipërfaqe	oppervlakken
sipërfaqe	oppervlakten
sipërfaqe	bovengronds
sipërfaqe	oppervlak
ato	hen
ato	ze
ato	zij
përgjithshëm	algemene
përgjithshëm	generaal
përgjithshëm	algemeen
tjetër	overige
tjetër	andere
tjetër	ander
tjetër	overig
tjetër	volgende
tjetër	volgend
njohur	vertrouwd
njohur	bekend
njohur	herkende
njohur	erkende
njohur	herkend
njohur	erkend
njohur	erkende
njohur	herkend
njohur	erkend
njohur	bekende
njohur	gekend
njohur	gekende
njohur	bekend
shqiptar	albanese
shqiptar	albanees
style	stijl
style	style
dytë	tweede
mirë	lekker
mirë	goed
fundit	laatste
fundit	nieuwste
fundit	laatste
pasi	na
pasi	after
shiko	zien
shiko	zie
shiko	kijk
nën	onder
nën	hieronder
nën	sub
nën	onder
nën	under
jpg	jpg
herë	vouwen
herë	vouw
herë	plooi
herë	tijden
herë	times
viti	jaar
sot	vandaag
çdo	elk
çdo	ieder
çdo	iedere
çdo	elke
çdo	elke
lartë	high
lartë	hoog
lartë	hoge
popullsi	bevolking
popullsi	populatie
kosovës	kosovo
jetë	life
jetë	leven
president	president
president	voorzitter
bërë	gedaan
bërë	done
bërë	klaar
mes	middelste
mes	middle
mes	midden
mes	midden
mes	tussen
vonë	late
vonë	laat
vend	land
vend	plaats
shqipëri	albanië
pak	kleine
pak	weinig
pak	little
pak	klein
pak	lichtjes
pak	enigszins
pak	lichtelijk
francë	frankrijk
fshat	platteland
fshat	dorpje
fshat	dorp
zyrtare	ambtenaar
zyrtare	officiële
zyrtare	officieel
kryetari	speaker
kryetari	luidspreker
kryetari	spreker
kryetari	voorzitter
vendosur	gelokaliseerd
pasur	hadden
pasur	had
pasur	gehad
pasur	rijk
pasur	rijken
pasur	rich
sepse	want
sepse	omdat
sepse	veroorzaken
sepse	oorzaak
kishin	hadden
kishin	had
kishin	gehad
vitet	jaar
vitet	jaren
tre	drieling
tre	drie
tre	three
fund	rok
fund	rokken
fund	rokje
fund	einde
fund	eindigend
fund	einde
fund	beëindigen
fund	eind
marrë	genomen
marrë	meegenomen
tjerë	overige
tjerë	andere
tjerë	overigen
tjerë	anderen
harta	plattegrond
harta	kaart
harta	kaarten
harta	kaart
mbreti	konings
mbreti	king
mbreti	koning
midis	tussen
vogël	piepklein
vogël	tiny
kosovë	kosovo
vjet	jaar
vjet	jaren
pastaj	dan
pastaj	daarna
shtetit	staat
shtetit	state
tiranë	tirana
kombëtare	nationaal
kombëtare	nationale
emrin	naam
mori	ontvangen
mori	nam
filloi	begonnen
filloi	gestart
filloi	begon
filloi	opgestart
ish	voormalig
ish	voormalige
mars	maart
mars	marcheren
mars	mars
file	dossier
file	bestand
presidenti	president
presidenti	voorzitter
lindur	born
lindur	geboren
lindi	lindi
lindi	lindy
lindi	geboorte
kryesore	belangrijkste
kryesore	voornaamste
kryesore	main
aktualisht	momenteel
qyteti	stad
qyteti	stad
politike	politiek
politike	politieke
qershor	juni
qershor	june
pse	waarom
maj	mogen
maj	may
maj	mei
maj	mag
maj	moge
vetë	self
vetë	zelf
nëntor	november
janar	januari
thotë	zegt
shtator	september
vet	zijn
brenda	brenda
brenda	binnen
brenda	binnenkant
shteteve	staten
kryesisht	voornamelijk
kryesisht	hoofdzakelijk
kryesisht	voornamelijk
kryesisht	hoofdzakelijk
kryesisht	meestal
kryesisht	vooral
shqiptarë	albanezen
prill	april
ditë	dag
ditë	dagje
ditë	dagen
ditë	days
tetor	oktober
tetor	october
shkurt	februari
shkurt	kort
shkurt	short
shkurt	korte
bëhet	wordt
bëhet	word
bëhet	worden
bëhet	wordt
vjetër	ouwe
vjetër	oude
vjetër	oud
bën	doet
bën	maakt
kodi	wetboek
kodi	code
monark	monarch
dhjetor	december
dhjetor	decimale
dhjetor	decimaal
mbret	konings
mbret	king
mbret	koning
aktuale	huidig
aktuale	huidige
aktuale	actueel
gjuhën	tongue
gjuhën	tong
gjuhën	taal
gjuhën	taalgebruik
tani	nu
frëngjisht	frans
frëngjisht	fransen
frëngjisht	franse
km²	km²
shtetet	staten
shtetet	landen
informacion	gegevens
informacion	informatie
shume	zeer
shume	veel
shume	much
gusht	august
gusht	augustus
pranë	naast
top	top
top	bovenste
top	bovenkant
korrik	juli
katër	four
katër	vier
rëndësishme	belangrijke
rëndësishme	belangrijk
fillim	begin
prishtinë	pristina
jashtë	buiten
jashtë	buitenkant
jashtë	eruit
jashtë	uit
jashtë	out
përbërja	compositie
përbërja	samenstelling
shën	heilige
qytet	stad
qytet	stad
këtu	hier
dhënë	gegeven
dhënë	verleend
dhënë	toegekend
përdorur	gebruikt
përdorur	gebruikte
faqja	bladzijde
faqja	pagina
aty	daar
aty	er
krijuar	aangemaakt
krijuar	gecreëerd
krijuar	gemaakt
krijuar	geschapen
del	del
zona	gebied
zona	zone
zona	gebied
zona	oppervlakte
këshilltarëve	raadsleden
vit	jaar
shpesh	regelmatig
shpesh	veelvuldig
