die	το
van	επίθετο
van	επώνυμο
van	απο
van	από
het	έχει
wat	τι
wat	αυτό
wat	ότι
wat	that
word	γίνε
word	γίνετε
met	με
was	ήταν
vir	για
vir	for
nie	όχι
nie	οχι
dit	αυτο
dit	αυτό
deur	πορτα
deur	πόρτα
ook	επισης
ook	επίσης
dat	αυτό
dat	ότι
dat	that
hulle	τους
suid	νότιο
suid	νοτια
suid	νότια
suid	νότος
uit	έξω
uit	out
uit	εξω
jaar	ετος
jaar	έτος
jaar	χρονιά
jaar	έτο
eerste	πρώτο
eerste	πρώτον
eerste	πρώτη
eerste	πρώτα
eerste	πρώτος
maar	αλλά
maar	αλλα
maar	μα
kan	can
kan	μπορεί
hierdie	αυτο
hierdie	αυτό
ander	λοιπά
ander	αλλα
ander	άλλες
ander	άλλα
soos	όπως
soos	οπως
soos	like
soos	σαν
afrika	αφρικη
afrika	αφρική
afrika	αφρικής
afrika	αφρικανική
oor	περίπου
oor	αυτί
oor	αφτί
oor	παραμένοντας
oor	απομένουν
oor	απομένει
een	ένας
een	ενα
een	μία
een	ένα
een	μια
gebruik	χρήση
gebruik	χρησιμοποίηση
afrikaanse	αφρικής
afrikaanse	αφρικανική
groot	τέλεια
groot	υπέροχα
meer	λίμνη
meer	περισσότερο
meer	περισσότεροι
meer	πιο
meer	περισσότερες
meer	περισσότερα
onder	κατωτέρω
onder	κάτω
onder	παρακάτω
onder	κατω
onder	πάτος
onder	βυθό
twee	δυο
twee	two
twee	δύο
kerk	kerk
kerk	τσερτς
kerk	εκκλησία
kerk	εκκλησια
duimnael	μικρογραφία
tussen	ανάμεσα
tussen	μεταξύ
tussen	μεταξυ
gemeente	εκκλησίασμα
gemeente	συναρμολόγηση
gemeente	συνέλευση
baie	πολυ
baie	πολύ
baie	πολλά
baie	πολλοι
baie	πολλοί
baie	πολλές
baie	πολλα
begin	αρχή
begin	ξεκινήστε
begin	ξεκίνα
begin	εκκίνηση
begin	έναρξη
waar	όπου
waar	πού
waar	αληθές
waar	αληθεια
waar	αληθινή
waar	αλήθεια
dié	αυτο
dié	αυτό
eeu	αιώνα
eeu	αιώνας
eksterne	εξωτερική
eksterne	εξωτερικά
eksterne	εξωτερικό
eksterne	εξωτερικός
sien	δείτε
sien	βλέπεις
sien	βλέπε
sien	δειτε
nuwe	νεα
nuwe	νέο
nuwe	νέα
nuwe	νέος
leë	άδειο
leë	κενό
leë	κενή
leë	άδεια
leë	κενός
leë	κενό
leë	κενή
hom	αυτόν
voor	μπροστινό
voor	μπροστά
voor	μέτωπο
voor	πρίν
voor	πριν
stad	πολη
stad	πόλη
stad	city
land	χωρα
land	χώρα
skakels	σύνδεσμοι
skakels	δεσμοί
skakels	συνδέσεις
skakels	συνδέσμους
later	αργότερα
later	αργοτερα
nog	νογκάι
nog	περισσότερο
nog	περισσότεροι
nog	πιο
nog	περισσότερες
nog	περισσότερα
net	μόνον
net	μόνο
net	μονο
net	απλα
net	απλά
net	απλώς
naam	ονομασία
naam	όνομα
naam	ονομα
deel	share
deel	κοινοποίηση
deel	μετοχή
deel	μερίδιο
deel	μέρος
deel	μεροσ
drie	τρεις
drie	three
drie	τρία
drie	τρια
egter	ωστόσο
egter	εντούτοις
pous	πάπας
pous	πάπα
pous	πόουπ
sal	γουίλ
sal	will
sal	θα
ons	μας
mense	ατομα
mense	ανθρωποι
mense	άνθρωποι
mense	κόσμος
mense	άτομα
mense	ανθρώπους
bestaan	υπάρχεις
bestaan	υπάρχω
svg	svg
nasionale	εθνικός
nasionale	εθνικό
nasionale	εθνικη
nasionale	εθνική
kom	ελα
kom	έλα
noord	βορρά
noord	βορεια
noord	βόρεια
noord	βορράς
jpg	jpg
gebied	έδαφος
gebied	επικράτεια
gebied	έκταση
gebied	εμβαδόν
gebied	περιοχή
gebied	περιοχη
vanaf	απο
vanaf	από
laat	αργά
saam	μαζί
saam	μαζι
style	στυλ
style	στάιλς
terwyl	ενώ
terwyl	ενω
veral	ειδικά
veral	ιδιαίτερα
moet	πρέπει
weer	πάλι
weer	ξανά
weer	παλι
weer	καιρός
werk	έργο
werk	δουλειά
werk	εργασίες
werk	εργασία
werk	δουλεια
werk	δουλειά
klein	μικρή
klein	μικρό
klein	μικρές
klein	μικρός
klein	μικρά
klein	ανήλικος
klein	μικροσκοπική
klein	μικροσκοπικό
klein	μικροσκοπικά
oos	ανατολή
oos	ανατολική
oos	ανατολικά
oos	ανατολικό
oos	ιστ
hier	εδω
hier	εδώ
tyd	χρόνος
tyd	χρονος
tyd	ώρα
tyd	φορά
tyd	ωρα
tyd	χρόνο
geword	γίνε
geword	γίνετε
vlag	σημαία
verskeie	διάφορες
verskeie	διάφορα
verskeie	διαφορα
verenigde	united
verenigde	ενωμένη
verenigde	ενωμένοι
verenigde	ηνωμένο
mei	μάη
mei	μάιος
mei	μέι
mei	μάης
wes	δυτικά
wes	δυτική
wes	γουέστ
wes	δύση
vorm	σχήμα
staan	όρθια
staan	όρθιος
staan	όρθιοι
staan	στέκεται
