iustinian	justinianos
mingea	bóng
mingea	banh
boleslav	bolesław
agnes	agnes
trimiterea	gửi
trimiterea	phái
masculii	nam
tabără	camp
tabără	trại
kai	kai
zola	zola
infobox	infobox
ușă	cửa
hector	hector
ibm	ibm
theodore	theodore
excelent	đan
lozère	lozère
căsători	marry
căsători	cưới
quercus	quercus
hannibal	hannibal
musca	fly
musca	ruồi
musca	bay
musca	bit
musca	đớp
musca	táp
musca	cắn
kara	kara
vecinii	xóm
sara	sara
muntean	highlander
iubita	girlfriend
iubita	bồ
colaborări	collaborations
navigare	duyệt
navigare	cường
teresa	têrêsa
teresa	teresa
treisprezece	thirteen
gnu	gnu
maritimes	maritimes
eliberează	release
eliberează	nhả
lemnul	gỗ
lemnul	củi
satisface	satisfy
simeon	simeon
dostoievski	dostoyevsky
dostoievski	dostoevsky
bela	bela
hauteville	hauteville
bibliografia	bibliography
latino	latino
benfica	benfica
bang	đục
bang	bang
bang	boom
geometrice	geometrical
connor	connor
vagoane	toa
messina	messina
hat	mũ
hat	xịt
hat	nón
xylopia	xylopia
corvin	corvin
termic	nhiệt
edwards	edwards
mataram	mataram
dificile	khó
oskar	oskar
gottorp	gottorp
încărcat	laden
liguria	liguria
croce	croce
bon	bon
venind	đến
venind	tới
bea	uống
bea	ly
bea	bea
lagăr	camp
lagăr	trại
chola	chola
dietrich	dietrich
israelul	israel
reputația	đồn
hagi	hagi
estetică	aesthetic
vecin	xóm
replică	replica
lin	lin
lin	lâm
pole	cực
pole	pole
pole	cột
micro	micro
maya	maya
subfamilia	subhọ
închide	close
închide	đóng
închide	gần
închide	kín
vista	vista
bolile	benh
bolile	bệnh
mitul	myth
mato	mato
selecția	chọn
afacere	thuận
moravia	moravia
hanna	hanna
bit	bit
bit	cắn
voice	voice
voice	giọng
peters	peters
osul	xương
osul	bone
uta	uta
afonso	afonso
antarctica	antarctic
premiat	điệm
chei	keys
chei	phím
prietena	girlfriend
prietena	bồ
fontaine	fontaine
dialecte	dialects
market	chợ
adunate	đọt
luciano	luciano
fețe	mặt
evitarea	tránh
evitarea	avoidance
pericolul	nguy
mall	mall
clay	clay
chitara	guitar
chitara	ghita
eroii	heroes
ședința	ngồi
theridion	theridion
russo	russo
ghirai	giray
primirea	nhận
sondaj	survey
prusac	phổ
bafta	bafta
cristos	christ
olympic	olympic
intrări	mục
căldura	nhiệt
căldura	ấm
fanilor	fans
fanilor	fan
ceai	trà
ceai	tea
haakon	haakon
joel	joel
poli	poli
poli	poly
coreeană	hàn
judetul	quận
judetul	hạt
domenico	domenico
clinică	clinic
imens	huge
aprecieri	thích
lennon	lennon
bran	bran
poeziile	thơ
detroit	detroit
gustul	nếm
gustul	hương
miklós	miklós
chen	chen
chen	trần
yang	dương
yang	yang
bagdad	baghdad
bagdad	bagdad
cristi	cristi
electricitate	điện
speranță	mong
speranță	xoa
gorica	gorica
buganda	buganda
indice	index
chan	chan
chan	trần
lucy	lucy
tenor	tenor
zum	zum
balcanică	balkan
doom	doom
angajează	tuyển
geoffrey	geoffrey
internazionale	internazionale
ninja	ninja
ninja	ninja
mainz	mainz
metan	mêtan
metan	metan
metan	methane
monedele	xu
grame	gam
grame	gram
inelul	ring
inelul	nhẫn
kill	giết
kid	nhóc
kid	bé
kid	kid
fsn	fsn
imn	ca
fidesz	fidesz
vincenzo	vincenzo
dobrici	dobrich
burton	burton
berna	bern
sudan	sudan
păreri	views
arn	rna
arn	arn
arn	arn
byron	byron
tub	ống
fotomodel	model
fosile	fossils
fosile	fossil
fidel	fidel
mușchi	muscle
mușchi	mose
mușchi	rêu
teză	thesis
teză	câu
minune	marvel
minune	diệu
minune	wonder
clanul	clan
clanul	tộc
verdi	verdi
aka	aka
albumele	album
albumele	albums
cartierele	neighbourhoods
doisprezece	twelve
rico	rico
nas	mũi
semnătura	ký
gottfried	gottfried
ruth	ruth
triumf	triumph
xavier	xavier
michelangelo	michelangelo
profetul	tri
siegfried	siegfried
teodora	teodora
teodora	theodora
chirilic	cyrillic
forever	forever
forever	mải
odeon	odeon
trăia	kiêng
ureche	ear
ureche	tai
declarate	tuyên
calvin	calvin
zala	zala
olivier	olivier
adina	adina
leader	leader
coast	coast
semnătură	ký
raid	raid
ngc	ngc
lucius	lucius
frederik	frederik
sandra	sandra
vienna	viên
vienna	vienna
rotaru	rotaru
poster	poster
borussia	borussia
messier	messier
inteligent	minh
inteligent	khôn
moi	moi
moi	soft
moi	mềm
wikidata	wikidata
int	int
meta	meta
sidney	sidney
borgo	borgo
polje	polje
costum	costume
costum	dress
țesut	mô
țesut	dệt
helena	helena
focuri	phát
moderat	vừa
raul	raul
kings	kings
kings	vua
provizii	supplies
umberto	umberto
césar	césar
nasir	nasir
unix	unix
leone	leone
wiener	wiener
vândută	bán
bianca	bianca
gmt	utc
gmt	gmt
orizontală	ngang
somn	ngủ
somn	ngự
shaw	shaw
băuturi	uống
tito	tito
joão	joão
kassel	kassel
sincer	túc
ascunsă	phone
ascunsă	ẩn
erwin	erwin
amedeo	amedeo
recuperare	recovery
ist	ist
oglindă	gương
oglindă	mirror
degli	degli
determinate	quyết
segmentul	đoạn
blake	blake
divin	liêng
divin	divine
irene	irene
finalist	finalist
piauí	piauí
cutia	hộp
cutia	box
cutia	bốc
explorator	explorer
femela	nữ
cecilia	cecilia
umar	vai
sulla	sulla
alberta	alberta
rouen	rouen
zhang	trương
drake	drake
troyes	troyes
hohenstaufen	hohenstaufen
dictionnaire	dictionnaire
usman	usman
bel	bel
dreams	mơ
dreams	dreams
imediată	tức
corn	sừng
corn	kèn
corn	horn
sparta	sparta
genera	tạo
singuri	độc
durerea	đau
birmingham	birmingham
noir	noir
armean	armenia
mieszko	mieszko
fum	hút
