rodzeństwa	兄妹
zniszczyć	消滅
zniszczyć	摧毀
zniszczyć	毀滅
dialogu	對話
odkrywa	揭示
missisipi	密西西比
missisipi	密西西比州
christine	christine
marynarka	海軍
marynarka	夾克
marynarka	外套
stężenia	濃度
stężenia	濃度
wyjaśnienie	解釋
wyjaśnienie	澄清
czynne	積極
czynne	活躍
odbiór	收據
odbiór	接收
odbiór	接待
odbiór	接收
odbiór	招待會
represji	壓迫
represji	打壓
represji	鎮壓
represji	壓制
wicehrabia	子爵
czeskie	捷克
ashley	ashley
obywatele	市民
obywatele	公民
obywatele	國民
obywatele	市民
obywatele	公民
piętro	下限
piętro	地板
salon	休息室
salon	沙龍
ekspozycji	照射
ain	ain
mięsa	肉
mięsa	肉食
mięsa	肉類
czynnik	因子
czynnik	因數
mechaniczne	機械
nbc	nbc
podłoże	基底
podłoże	地面
mauzoleum	皇陵
mauzoleum	陵
mauzoleum	陵墓
butler	管家
obserwuje	觀測
obserwuje	觀看
paliwo	燃料
paliwo	燃油
paliwo	汽油
piłsudski	piłsudski
skuteczności	成效
skuteczności	有效性
skuteczności	效能
skuteczności	功效
zatrudnienia	就業
ren	任
ren	萊茵河
grey	灰色
grey	灰
grey	grey
tokyo	東京
okno	窗戶
okno	窗
okno	視窗
odzyskać	檢索
kolumbia	哥倫比亞
cameron	cameron
germain	germain
glenn	glenn
treningi	培訓
treningi	訓練
leeds	利茲
kwiat	花
kwiat	花兒
kwiat	花朵
wieki	年齡
council	安理會
camp	露營
camp	難民營
camp	營
camp	營地
ręczny	手持
komiksów	漫畫
mann	曼
zwykły	定期
zwykły	經常
zwykły	普通
zwykły	平凡
misje	任務
rycerzy	騎士
demokratów	民主黨
norm	規範
norm	標準
norm	規範
peugeot	標緻
standardy	標準
węgiel	煤礦
węgiel	煤炭
węgiel	煤
węgiel	炭
węgiel	木炭
węgiel	碳
węgiel	炭
bass	低音
bass	bass
automatyczna	自動
prosto	直直
prosto	直
prezentacji	介紹
domeny	網域
domeny	域
domeny	藩
domeny	網域
domeny	域
pracujący	工作
wzory	模型
wzory	模特
wzory	型號
wzory	模特兒
wzory	格局
wzory	模式
wzory	設計
wzory	公式
zatonął	沈沒
joel	joel
porównanie	對比
porównanie	比較
porównanie	比較
dell	dell
ewy	夏娃
ewy	eve
fra	fra
osobisty	個人
carmen	carmen
kompozytorów	作曲家
oun	cns
jądro	核心
jądro	核
jądro	核心
jądro	睪丸
jądro	核心
jądro	core
następcę	繼任者
następcę	繼任
salomona	所羅門
pearl	明珠
pearl	珍珠
wywołało	引發
wywołało	觸發
wiktoria	維多利亞
wiktoria	victoria
przodków	祖先
przodków	祖先
chińskie	中文
chińskie	漢語
chińskie	華人
lodu	冰塊
lodu	冰
lodu	ice
przydatne	實用
przydatne	有用
jowisza	木星
zaangażowanie	互動
zaangażowanie	參與
zaangażowanie	訂婚
zaangażowanie	參與
zaangażowanie	承諾
wer	wer
rzemiosła	工藝
rzemiosła	手工藝
rzemiosła	工藝品
rzemiosła	手工藝品
zapach	氣味
zapach	味道
zapach	聞
zapach	芳香
zapach	香氣
zapach	芬芳
zapach	香味
zapach	香水
żyjący	生活
rozszerzenie	擴大
rozszerzenie	膨脹
rozszerzenie	擴建
rozszerzenie	擴張
rozszerzenie	拓展
rozszerzenie	擴大
rozszerzenie	擴展
rozszerzenie	延伸
rozszerzenie	擴展
rozszerzenie	延長
rozszerzenie	延期
mercury	水星
mercury	水銀
mercury	汞
konsulat	領事館
prezentowane	精選
uroczyste	莊嚴
uroczyste	喜慶
greckie	希臘文
greckie	希臘
venus	維納斯
venus	金星
armata	大炮
armata	砲
armata	大砲
armata	炮
ciemne	黑
ciemne	暗
ciemne	黑暗
lokalnie	當地
lokalnie	本地
metry	公尺
metry	米
metry	公尺
bit	bit
bomba	炸彈
tunelu	地道
tunelu	隧道
ekspertów	專家
ekspertów	專家
misjonarz	傳教士
misjonarz	傳教
dorosłe	成人
dorosłe	成年人
ściana	壁
ściana	牆壁
ściana	圍牆
ściana	牆
konstytucyjnego	憲政
newton	牛頓
pzl	pzl
pliki	文件
pliki	檔案
personelu	人員
personelu	人事
con	con
tylny	後方
wiązanie	裝訂
wiązanie	保證金
wiązanie	鍵
wiązanie	債券
wiązanie	龐德
liverpool	利物浦
emanuel	emanuel
przeglądu	審查
andre	andre
andre	andré
niebie	天國
niebie	天堂
niebie	天空
niebie	sky
nocny	夜行
nocny	夜晚
nocny	晚上
nocny	夜
gleb	土壤
umysłu	頭腦
umysłu	心靈
josh	josh
gwatemali	瓜地馬拉
zastrzeżenia	保留
sądy	法庭
sądy	法院
jasności	清晰度
jasności	清晰
jasności	亮度
sobota	星期六
sobota	週六
zajęte	忙
zajęte	繁忙
zajęte	忙碌
zajęte	忙著
wrogów	仇人
chirurgii	手術
chirurgii	外科手術
uczucia	感受
uczucia	感情
elektronów	電子
nintendo	任天堂
cezar	凱撒
zainteresowań	興趣
zainteresowań	利益
klasycznego	古典
podłogi	地板
podłogi	地板
komety	彗星
komety	彗星
piasku	沙
piasku	沙子
piasku	砂
prowadzące	領先
prowadzące	領導
sodu	鈉
leśnictwa	林業
tempo	節奏
tempo	拍子
konfrontacji	對抗
