bagdad	bagdad
cago	iadul
cago	iad
cervo	cerbi
cervo	căprioare
cervo	cerb
cervo	căprioară
cervo	cerb
matarme	ucide
matarme	kill
matarme	omoară
atacaron	au
atacaron	ei
atacaron	ele
atacaron	atacată
atacaron	atacat
quixeches	ai
quixeches	te
quixeches	tu
quixeches	dorit
quixeches	dorită
quixeches	vrut
xenerosa	generoasă
xenerosa	generos
xenerosa	generoase
culto	cult
culto	cultul
culto	sectă
irlandesa	irlandezi
irlandesa	irish
irlandesa	irlandez
irlandesa	irlandeză
sicilia	sicilia
reich	reich
déronme	au
déronme	ei
déronme	ele
lagoa	laguna
lagoa	lagună
meniña	mic
meniña	puțin
meniña	fată
meniña	fata
católicos	catolici
católicos	catolicii
católicos	catolică
católicos	catolica
católicos	catolic
pasear	plimbare
pasear	walk
pasear	pentru
clans	clan
clans	clanul
clans	clanurile
clans	clanuri
hmong	hmong
leland	leland
klaus	klaus
pablo	pablo
marquesa	marchiză
yoshizawa	yoshizawa
nomura	nomura
nis	nis
cuarteto	cvartet
dionís	dionis
estivesen	au
estivesen	ei
estivesen	ele
estivesen	erau
corría	rularea
corría	rulează
corría	alergând
ensino	predau
ensino	preda
ensino	predau
ensino	predare
informática	calculator
informática	computer
informática	calculatorul
técnicas	tehnici
veterinarios	veterinari
confesión	spovedanie
confesión	mărturisire
confesión	confesiune
confesión	confesiunea
estanse	sunt
loitan	lupta
loitan	sunt
loitan	luptă
loitan	lupta
medicinas	medicament
medicinas	medicina
medicinas	medicină
perden	pierzi
perden	pierd
perden	pierde
culturas	culturile
culturas	culturi
interpretación	interpretarea
interpretación	interpretare
escoitan	ascultând
escoitan	ascult
escoitan	ascultare
dinámica	dinamica
dinámica	dinamice
dinámica	dinamică
dinámica	dinamic
dinámica	dinamica
dinámica	dynamics
populares	popular
populares	populare
populares	populara
populares	populară
aumenta	will
aumenta	va
aumenta	crește
aumenta	creștere
sida	sida
similar	asemanator
similar	similar
similar	asemănător
similar	asemănătoare
similar	similară
similar	similare
espectadores	telespectatori
espectadores	telespectatorii
espectadores	spectatori
decateime	realizat
saibas	știu
saibas	ai
saibas	te
saibas	tu
garantía	garanția
garantía	garanție
garantía	garanta
ken	ken
bambú	bambus
falsos	fals
falsos	falsa
falsos	falsă
falsos	false
sexades	ai
sexades	te
sexades	tu
pensaban	gândit
pensaban	crezut
pensaban	au
pensaban	ei
pensaban	ele
pódense	pot
pódense	can
coñecida	cunoscut
coñecida	cunoscută
coñecida	cunoscute
emocionante	interesant
emocionante	incitant
xulgado	tribunal
xulgado	curtea
xulgado	court
xulgado	curte
xulgado	instanță
extensión	extensie
extensión	prelungirea
extensión	extindere
extensión	prelungire
extensión	extensia
expansión	expansiune
expansión	extinderea
expansión	expansiunea
expansión	extindere
azar	sansa
azar	șanse
azar	sanse
azar	șansă
necesitan	nevoie
necesitan	au
necesitan	ei
necesitan	ele
senon	dar
organizacións	organizații
organizacións	organizatii
individual	individuală
individual	individ
individual	individual
individual	individuale
web	website
web	web
intres	momentele
intres	clipe
intres	momente
específico	specific
específico	specifică
específico	specifice
ordenadores	calculatoare
ordenadores	calculatoarele
ordenadores	computere
ordenadores	calculator
ordenadores	computer
ordenadores	calculatorul
estatísticas	statistici
estatísticas	statistică
estatísticas	statisticile
estatísticas	statistica
fiel	credincios
fiel	credincioasă
capturado	capturat
capturado	capturată
capturado	capturate
trece	treisprezece
trece	thirteen
características	caracteristici
características	trăsături
características	caracteristici
características	caracteristicile
residencia	resedinta
residencia	reședință
residencia	reședința
paran	au
paran	ei
paran	ele
pensara	gandeste
pensara	gândiți
pensara	gândit
pensara	crezut
calefacción	caldura
calefacción	heat
calefacción	căldură
calefacción	căldura
calefacción	incalzire
calefacción	încălzire
décadas	decenii
décadas	decade
enfermos	bolnav
enfermos	bolnava
enfermos	bolnavi
enfermos	bolnavă
compartimos	distribuie
compartimos	cota
compartimos	share
compartimos	partajate
compartimos	distribuit
compartimos	distribuite
compartimos	distribuită
redución	reducere
redución	reducerea
arder	ard
arder	ardere
arder	arzând
arder	ard
arder	arsură
arder	burn
arder	arde
volcán	vulcanul
volcán	vulcan
kg	kilograme
oriental	orientale
oriental	oriental
oriental	orientală
violín	vioară
violín	vioara
sufriu	suferit
roubei	furat
usado	folosit
usado	utilizate
usado	folosite
usado	folosită
usado	utilizată
usado	utilizat
explorar	explorează
explorar	explora
explorar	explorarea
explorar	explorare
teléfonos	telefoane
teléfonos	telefoanele
estruturas	structurile
estruturas	structuri
estruturas	structurilor
fusión	fuziune
suma	sum
suma	sumă
suma	suma
mentais	mintală
mentais	mentale
mentais	mental
mentais	mentală
tanque	tank
tanque	rezervor
tanque	tanc
eventos	evenimentele
eventos	evenimente
america	america
america	americii
axenda	agendă
axenda	agenda
bancos	banks
bancos	bancile
bancos	banci
bancos	bănci
bancos	băncile
pensaron	gândit
pensaron	crezut
pensaron	au
pensaron	ei
pensaron	ele
instrucións	instrucțiunile
instrucións	instrucțiuni
instrucións	instructiuni
chamábase	lui
chamábase	nume
chamábase	numele
chamábase	denumire
chamábase	name
chamábase	numit
pluma	pen
pluma	stilou
pluma	pană
murray	murray
espido	gol
espido	goala
espido	dezbrăcată
espido	goală
espido	dezbrăcat
técnicos	tehnicienii
técnicos	tehnicieni
técnicos	tehnică
técnicos	tehnice
técnicos	tehnic
verbas	cuvintele
verbas	cuvinte
verbas	vorbe
deixalos	lasă
deixalos	ei
vanme	au
vanme	ei
vanme	ele
conclusión	că
conclusión	asta
conclusión	aia
conclusión	concluzii
conclusión	concluzia
conclusión	concluzie
orgullosos	mândră
orgullosos	mandra
orgullosos	mândra
orgullosos	mandru
orgullosos	mândru
converterse	devin
chegarán	will
chegarán	va
chegarán	au
chegarán	ei
chegarán	ele
escoitou	auzit
músculos	muschi
músculos	muschii
demostración	demonstrație
computador	calculator
computador	computer
computador	calculatorul
xogadores	jucători
xogadores	jucatori
xogadores	jucătorii
gañando	câștigătoare
quedaron	au
quedaron	ei
quedaron	ele
preguntando	întrebând
supostamente	presupus
facelos	ei
facelos	face
violación	viol
violación	violuri
violación	rapiță
violación	violul
violación	încălcare
violación	încălcarea
violación	violare
escribiume	scria
gustoume	ca
gustoume	like
gustoume	plăcea
gustoume	plăcut
xefa	cap
xefa	capul
vestida	îmbrăcat
vestida	îmbrăcată
neveira	frigider
potente	puternica
potente	puternic
hanoi	hanoi
islam	islamul
islam	islamului
islam	islam
profeta	prophet
profeta	profet
profeta	profetul
chámanlle	sună
chámanlle	suna
chámanlle	apel
chámanlle	call
cas	cu
devanceiros	stramosii
perigosa	periculoasa
perigosa	periculoasă
perigosa	periculos
perigosa	periculoase
categoría	categoria
categoría	categorii
categoría	categorie
estatal	stare
estatal	stat
estatal	state
estatal	statul
amargo	amar
amargo	amare
amargo	amară
equivocado	gresit
equivocado	greșit
representante	procură
representante	proxy
representante	reprezentativ
representante	reprezentativă
representante	reprezentantul
representante	reprezentative
representante	reprezentant
levárono	el
levárono	au
levárono	ei
levárono	ele
xogamos	jucate
xogamos	jucat
xogamos	joacă
xogamos	joaca
feitas	făcute
feitas	made
feitas	făcută
feitas	făcut
renunciar	dând
logro	realizare
estranxeira	străine
estranxeira	străină
estranxeira	strain
estranxeira	străin
estranxeira	străinătate
estranxeira	strain
estranxeira	străin
favorita	preferat
favorita	favorita
favorita	favorite
favorita	favorit
favorita	preferata
favorita	preferate
seguranza	antreprenor
seguranza	contractor
ciclo	ciclul
ciclo	ciclu
dirán	au
dirán	ei
dirán	ele
dirán	spune
viaxa	călătorii
viaxa	călătorie
néboa	ceață
néboa	ceata
néboa	ceată
ducia	duzină
ducia	duzina
localización	localizare
localización	locație
localización	locația
localización	locaţia
levado	luată
levado	luat
levado	luate
cidadás	cetățenii
cidadás	cetateni
cidadás	cetățeni
satisfacer	satisface
parker	parker
pioneiros	pionieri
esperan	speranta
esperan	sper
esperan	speranța
esperan	speranță
esperan	aștept
esperan	astept
esperan	așteptare
taza	cupa
taza	cupă
taza	ceașcă
brincar	glumesc
brincar	glumesc
lote	lot
metais	metale
metais	metalele
lixeiro	lumină
lixeiro	light
lixeiro	lumina
acumulación	acumularea
acumulación	acumulare
manchester	manchester
raíces	rădăcini
raíces	rădăcinile
raíces	radacini
evidentemente	evident
tina	tină
tina	tinei
tina	tina
prometín	promise
prometín	promisă
prometín	promis
condena	timp
condena	ora
condena	timpul
defunto	tarziu
defunto	întârziat
defunto	târziu
defunto	moartă
defunto	dead
defunto	mort
fuga	membrelor
fantasma	trăsura
fantasma	trăsură
fantasma	ghost
fantasma	stafie
fantasma	fantoma
fantasma	fantomă
regrese	înapoi
regrese	inapoi
regrese	back
regrese	spate
escapou	departe
escapou	din
escapou	evadat
tumbas	mormintele
tumbas	graves
tumbas	morminte
amada	iubit
cooperativas	cooperant
cooperativas	cooperativelor
jenny	jenny
colgar	atârnă
óesme	ai
óesme	te
óesme	tu
óesme	auzi
internado	spitalul
internado	spital
molesto	suparat
molesto	supărată
molesto	supărat
pensado	gândit
pensado	crezut
sabas	foi
sermón	predica
sermón	predică
barriga	burtă
barriga	burta
barriga	belly
refires	medie
gustaríalle	ca
gustaríalle	like
gustaríalle	ar
parado	stand
mátote	ucide
mátote	kill
mátote	omoară
mátote	ai
mátote	te
mátote	tu
esperas	ai
esperas	te
esperas	tu
esperas	aștept
esperas	astept
esperas	așteptare
caín	fell
escravo	sclavă
escravo	sclava
escravo	sclav
socorro	ajutor
socorro	ajută
mandou	trimisă
mandou	trimis
mandou	trimise
joseph	joseph
joseph	iosif
seda	mătase
seda	matase
secreta	secretă
secreta	secret
secreta	secreta
secreta	secrete
secreta	secretul
xusta	doar
vido	vino
ombreiro	umăr
ombreiro	umar
ombreiro	umărul
dispararon	shot
dispararon	împușcat
dispararon	impuscat
dispararon	au
dispararon	ei
dispararon	ele
potencia	putere
potencia	puterea
potencia	power
terlle	au
terlle	el
prometo	promit
prometo	promite
planos	planurile
planos	planuri
polis	polițiști
seguirá	will
seguirá	va
seguirá	inca
seguirá	încă
seguirá	tot
deixaría	lasă
vervos	vezi
vervos	ai
vervos	te
vervos	tu
sóltame	ia
sóltame	obține
sóltame	lasă
ataques	atacuri
ataques	atacurile
celosa	geloasa
celosa	geloasă
celosa	gelos
cometer	comite
cometer	comit
estabades	erau
estabades	ai
estabades	te
estabades	tu
interesada	interesate
interesada	interesat
interesada	interesați
interesada	interesată
escoitaches	ai
escoitaches	te
escoitaches	tu
escoitaches	auzi
escoitaches	auzit
fálame	despre
vendas	vând
vendas	vind
vendas	vand
vendas	vânzările
vendas	vanzari
vendas	vânzări
parezo	uite
vinnie	vinnie
permíteme	may
pague	plateste
colar	colier
colar	colierul
levarte	ai
levarte	te
levarte	tu
levarte	ia
levarte	luati
sacaches	ia
sacaches	obține
sacaches	ai
sacaches	te
sacaches	tu
xudea	iudeea
xudea	front
xudea	față
boh	păi
lima	lima
refíreste	ai
refíreste	te
refíreste	tu
refíreste	medie
soñando	visând
soñando	visez
adoro	iubire
adoro	iubesc
adoro	iubirea
adoro	dragoste
adoro	dragostea
dillo	el
trent	trent
jean	jean
saigón	saigon
ámoa	iubire
ámoa	iubesc
ámoa	iubirea
ámoa	dragoste
ámoa	dragostea
ámoa	ea
dakar	dakar
dylan	dylan
xastre	croitor
xastre	croitori
enxergar	înțelege
enxergar	intelege
tetas	sâni
quizabes	putea
quizabes	au
boulevard	boulevard
boulevard	bulevardul
boulevard	bulevard
autoestrada	autostradă
clermont	clermont
crucifixión	crucificare
serventa	camerista
serventa	menajera
serventa	menajeră
serventa	servitoare
melinda	melinda
clotilde	clotilde
imperfecto	imperfect
flipper	flipper
refuxiados	refugiat
refuxiados	refugiati
refuxiados	refugiați
viñan	vino
viñan	au
viñan	ei
viñan	ele
cambian	schimba
cambian	schimbare
cambian	schimbă
cambian	schimbarea
honestidade	sinceritatea
honestidade	cinstea
honestidade	onestitate
honestidade	sinceritate
granxas	ferme
granxas	fermele
mozart	mozart
dados	zaruri
mestra	profesor
mestra	profesoară
mestra	capodopera
mestra	capodoperă
occidental	occidental
occidental	vest
occidental	western
occidental	west
occidental	vest
occidental	occident
occidental	vestul
representar	reprezintă
representar	reprezinta
