категорія	kategorya
від	mula
від	vid
також	rin
також	din
про	tungkol
його	kanyang
його	kaniya
його	niya
його	siya
його	kanya
був	ay
населення	demograpiko
населення	populasyong
населення	populasyon
було	ay
він	wien
під	ilalim
або	alinman
або	either
час	times
час	beses
час	panahon
час	oras
час	time
але	ngunit
але	pero
які	aling
які	alin
при	pri
який	aling
який	alin
була	ay
осіб	persons
міста	lungsod
див	makita
див	see
див	makakita
див	tingnan
село	selo
село	nayon
район	raion
район	distrito
через	via
через	due
через	dahil
через	through
села	villages
села	nayon
села	sela
так	yeah
так	oo
так	opo
тому	nakaraan
тому	samakatuwid
рік	rick
рік	taon
відстань	layo
відстань	distansya
відстань	distansiya
ради	konseho
ради	konsilyo
сша	usa
має	has
має	dapat
область	oblast
область	lugar
область	area
область	lawak
того	togo
яка	anong
яка	anu
яка	anung
яка	ano
яка	aling
яка	alin
вони	sila
вони	nila
сайті	website
близько	close
близько	malapit
близько	isara
близько	malapit
війни	wars
файл	tipunan
файл	magsampa
файл	talaksan
файл	file
між	pagitan
роки	taon
обговорення	talakayan
обговорення	talakayan
обговорення	talakayin
обговорення	usapan
коли	kapag
коли	kailan
лише	lang
лише	lamang
список	listahang
список	listahan
вересня	setyembre
цей	ito
цей	nito
березня	marso
місце	spot
місце	lugar
місце	pook
місце	kinalalagyan
місце	lokasyon
місце	upuan
муніципалітет	munisipalidad
муніципалітет	munisipyo
україні	ukraine
серпня	august
серпня	agosto
січня	january
січня	enero
став	naging
травня	mayo
травня	maaaring
грудня	december
грудня	disyembre
інших	iba
жовтня	oktubre
жовтня	oktubre
один	isa
один	one
липня	hulyo
участь	paglahok
участь	pagsali
участь	paglahok
участь	lumahok
участь	sumali
вид	mabait
вид	species
вид	pagtingin
вид	tingnan
вид	tignan
вид	panonood
вид	view
можна	pwede
можна	maari
червня	june
червня	hunyo
місто	bayan
місто	lungsod
місто	siyudad
місто	city
життя	buhay
життя	pamumuhay
срср	ussr
квітня	april
квітня	abril
листопада	nobyembre
листопада	november
лютого	february
лютого	pebrero
опис	paglalarawan
центр	op
центр	ops
центр	center
центр	sentro
