暴君	ظالم
カースト	مقام.
バラモン	برہمن
バラモン	برہما
縮合	سُکھانا.
縮合	ست.
縮合	خلاصہ
ジオラマ	مختصر
錠剤	حب
錠剤	گولی
マンゴー	انبہ.
マンゴー	انبہ.
マンゴー	آم
ブレイズ	روشن
ブレイズ	شعلہ
ブレイズ	بھونری.
ブレイズ	تابناک
ブレイズ	تابندہ
冬眠	شتویّت
ネメシス	مکافات
ネメシス	پاداش
尿素	یوریا
守衛	دربان.
エレジー	حزنیہ
失業者	نٹھلّا.
格付	جھڑکی
格付	قسم
格付	جھاڑ.
格付	سرزنش
プロテクト	محفوظ
プロテクト	بچانا
プロテクト	محفوظ
ゴージャス	شاندار
マグネット	مقناطیس
ジャンボリー	جشن
ジャンボリー	میلہ.
象牙	دانت.
象牙	دانت.
象牙	عاج
大騒ぎ	ہنگامہ
大騒ぎ	ہلچل
大騒ぎ	سراسیمگی.
大騒ぎ	down
寛大	فیاضی
寛大	سخاوت
寛大	فیاضی
バベル	افراتفری-
ミュウ	شکروں
ミュウ	بند
ミュウ	کریزکریں.
盲人	بہانہ
ストッパー	کسنا.
縦長	خاکہ
恥辱	شے
恥辱	ذلّت
恥辱	شرمناک
恥辱	نااہل
恥辱	رُسوائی
恥辱	بدنامی
恥辱	شے
恥辱	ذلّت
恥辱	شرمناک
恥辱	نااہل
恥辱	خواری
試す	آزمانا.
レンダリング	استرکاری
レンダリング	اطاعت
レンダリング	دینا
レンダリング	کردینا
ダッジ	behind
ダッジ	جھپکی.
ダッジ	زبردستی
ダッジ	جھکائی
ダッジ	دُبکنا
プロバイダー	دینے
プロバイダー	کفیل.
プラウ	up
プラウ	ہل
プラウ	up
塩水	نمکین
塩水	شور
キセノン	زینون
十一月	نومبر.
下書き	ٹکڑی
掘る	سراہنا
掘る	چُبھونے
掘る	سمجھنا
掘る	سُرنگ
掘る	سراہنا
掘る	چُبھونے
掘る	کھودنا
掘る	سمجھنا
掘る	سُرنگ
中生代	پرندوں
スライス	روٹی
スライス	حصّہ
スライス	جھرنا.
スライス	پارچہ.
アンクル	ماموں
アンクル	چچا
アンクル	انکل
グーフィー	احمق
グーフィー	بڑدنتا
錯覚	توہمات.
錯覚	التباس
錯覚	اشتباہ
トラフ	گھاٹے
トラフ	مندی
トラフ	آبریز.
トラフ	اُتار
トラフ	پیال
難点	خامی
難点	نقص
難点	زیاں.
敵役	مخالف
敵役	حریف.
尖塔	مخروطی
ファンシー	واہمہ
ファンシー	مرصّع
ファンシー	سنک
ファンシー	دُھن
ファンシー	لگاؤ
ファンシー	خبط.
ファンシー	شوق
ファンシー	چسکا.
ファンシー	اختراع
ファンシー	دلدادہ.
くちばし	ٹونٹی.
くちばし	مجسٹریٹ.
クレッシェンド	بڑھتا
嘲笑	فضول
嘲笑	فضول
嘲笑	تضحیک
空腹	بنجر
空腹	بھوکا.
空腹	تھڑدلا
空腹	حریص
空腹	کنجوس
空腹	خواہشمند
空腹	جویا
空腹	چاہ.
空腹	اشتہا.
空腹	بھوک
治す	(غم
治す	شفادینا.
治す	بھلانا.
シチュー	ہلچل
ダール	دال
メテオ	شہابیہ
不公平	غیرمنصفانہ.
同義語	مترادف
ホイッスル	زفیل.
ホイッスル	زفیلنا
ホイッスル	پنپنانا.
ホイッスル	سیٹی
会衆	مجمع.
勤勉	محنتی
勤勉	جفاکش.
勤勉	محتاط
勤勉	محنتی
勤勉	مستعد
勤勉	کوشاں
勤勉	محتاط
勤勉	سرگرم
勤勉	محنتی
勤勉	مستعد
勤勉	کوشاں
沼地	تتربتر
エミュレータ	نقال
唯物論	مادّیت
バーニング	کھلا
バーニング	شدید
バーニング	نہایت
バーニング	ظاہر
傷跡	چوٹ
傷跡	دھاری.
傷跡	خراش
傷跡	دھاری
傷跡	داغ
傷跡	چوٹ
傷跡	دھاری.
傷跡	خراش
傷跡	دھاری
コネクト	معقول
調合	تیاری
調合	آمادگی
調合	مستعدی.
ケチ	حریص.
