lionel	ライオネル
terminal	端末
terminal	ターミナル
väljakutse	チャレンジ
väljakutse	挑戦
palace	宮殿
truudust	忠誠
üleandmine	移転
üleandmine	転送
üleandmine	乗り換え
üleandmine	譲渡
mia	mia
mia	ミア
ace	エース
eritrea	エリトリア
eritrea	エリトリア
kirjalik	筆記
tuhk	ash
pühapäev	日曜日
täpsust	精度
täpsust	正確性
täpsust	精度
fidži	フィジー
lääs	ウエスト
lääs	西部
lääs	ウェスト
cola	コーラ
lämmastik	窒素
detektiiv	刑事
vastuvõtt	レセプション
vastuvõtt	披露宴
vastuvõtt	受付
märkused	備考
märkused	注記
märkused	メモ
märkused	備考
märkused	ノート
märkused	コメント
liitlane	アライ
liitlane	アリー
magus	スウィート
magus	甘い
rongid	電車
rongid	列車
irving	アーヴィング
rebecca	レベッカ
aruanne	レポート
aruanne	報告
eksperiment	実験
akustiline	アコースティック
elekter	電力
elekter	電気
elekter	エレクトリック
elekter	電気
gibraltari	ジブラルタル
pat	パット
sünonüüm	同義語
sünonüüm	類義語
amplituud	振幅
üksikult	個別
üksikult	個別に
ultra	ultra
ultra	ウルトラ
ward	ウォード
positsioonid	ポジション
bennett	ベネット
petit	プチ
primaarne	メイン
primaarne	プライマリ
testid	テスト
tsoon	ゾーン
tsoon	zone
täiuslik	パーフェクト
täiuslik	完璧
aserbaidžaan	アゼルバイジャン
maxwell	マックスウェル
maxwell	マクスウェル
nähtused	現象
kasahstan	カザフスタン
churchill	チャーチル
diplom	ディプロマ
dag	dag
puruks	スマッシュ
aken	ウィンドウ
hills	ヒルズ
passiivne	パッシブ
eno	猿翁
dumas	デュマ
meele	mind
meele	マインド
ülalpool	上の
ülalpool	上記
pre	pre
tõestus	証明
tõestus	プルーフ
tõestus	証拠
tor	tor
kokkupuude	照射
kokkupuude	被曝
kokkupuude	露出
kasutuselevõtt	配置
kasutuselevõtt	配備
stress	ストレス
putnam	パットナム
detaili	ディテール
hoiak	姿勢
hoiak	態度
hoiak	姿勢
karp	ボックス
karp	カートン
gay	ゲイ
pausi	休止
hoidmine	持株
koostisosa	材料
koostisosa	食材
stern	スターン
stern	船尾
tõusev	ライジング
tõusev	rising
erosiooni	侵食
merkel	メルケル
kuulsus	セレブリティ
kuulsus	有名人
kuulsus	名声
elise	エリーゼ
kong	コング
attila	アッティラ
duncan	ダンカン
lahtised	ゆるい
lahtised	ルース
braun	ブラウン
issn	issn
tehingu	取引
tehingu	トランザクション
uuendused	革新
uuendused	イノベーション
uuendused	イノベーション
uuendused	アップデート
uuendused	更新
kasutegur	効率
horisontaalne	水平
kafka	カフカ
seire	モニタリング
seire	監視
terminid	規約
terminid	用語
