скијање	esquí
анастасија	anastasia
оман	oman
супстанции	substància
супстанции	substàncies
вечери	sopars
вечери	vesprades
гнездо	niu
пфалц	palatinat
кралско	royal
кралско	imperial
резерват	reserva
религиозна	religiós
математичари	matemàtics
вага	balança
вага	lliura
фрази	frases
лорен	lorena
лорен	lotaríngia
лорен	lauren
лорен	loren
кнежевство	principat
кози	cabres
карибите	carib
теологија	teologia
исклучоци	excepcions
оператор	operador
оператор	operari
јачина	intensitat
јачина	magnitud
утрински	matí
носејќи	tenint
преовладува	preval
наша	nostre
грмушки	matolls
грмушки	bush
сегменти	segments
зајак	conill
доволна	prou
доволна	suficient
наставници	mestres
наставници	professors
наставници	docents
наставници	professorat
лош	bad
кал	kal
кал	cale
кал	cal
дан	dan
дан	donen
дан	dunne
дан	dunn
дан	dun
соочи	cara
соочи	face
урбана	urban
шести	sisena
шести	sisè
предизвик	challenge
предизвик	repte
предизвик	desafiament
малтер	morter
творба	articulació
матеј	matthew
матеј	mateu
претседателството	presidència
ријана	rihanna
пенали	sancions
радиус	radi
незадоволство	descontentament
незадоволство	disconformitat
свештеникот	sacerdot
празни	buit
празни	buida
четворица	four
четворица	quatre
гледајќи	veient
гледајќи	mirant
пластика	plàstics
пластика	plàstic
јемен	iemen
уран	urà
обоени	pintat
обоени	multicolor
портрети	retrats
алба	alba
идентификува	identifica
божиќ	nadal
алгебра	àlgebra
боби	bobby
ранети	ferits
роси	rossi
учествуваше	participat
покриен	cobert
покриен	cobertes
точна	precisa
точна	precís
точна	exacte
точна	exactes
точна	corregeix
точна	corregir
точна	correctes
подот	pod
подот	pis
обемот	volum
дипломат	diplomàtic
месопотамија	mesopotàmia
должноста	deure
пури	cigar
пури	cigars
стекнува	cobrant
инцидент	incident
работеше	treballat
работеше	treballats
вторник	dimarts
вирус	virus
добиток	bestiar
добиток	boví
посредник	mediadora
посредник	mediador
состаноци	reunions
сиромаштија	pobresa
геолошки	geològiques
геолошки	geològics
шер	shere
шер	xir
шер	cher
алмати	almati
разгледува	considerant
обележани	marcat
курсеви	cursos
фокус	focus
дејан	dejan
конкретни	específics
конкретни	específic
конкретни	formigó
супстанца	substància
лејди	senyora
лејди	dama
рап	rap
скали	escales
скали	stair
раководители	gestors
раководители	directius
раководители	executius
ресурсите	recursos
очекувања	expectatives
примарна	primària
примарна	primari
времетраење	durada
времетраење	duració
лесна	fàcil
лесна	lleuger
мадагаскар	madagascar
едрене	edirne
типични	típica
типични	típic
пејџ	paige
џордан	jordà
џордан	jordània
постоечки	existent
постоечки	existents
јапонска	japonès
џузепе	giuseppe
џејсон	jason
џејсон	jàson
извршат	cometre
извршат	publica
вегас	vegas
статистичка	estadístic
големини	talles
големини	mides
признат	reconeguts
признат	reconegut
остро	fortament
остро	sharp
остро	sostingut
остро	severament
атракција	atracció
параметар	paràmetre
експлоатација	explotació
експлоатација	exploració
пештери	coves
андалузија	andalusia
вишок	excedent
вишок	excedents
вишок	redundants
вишок	excés
стенфорд	stanford
нормандија	normandie
нормандија	normandia
изложеност	exposició
антропологија	antropologia
хаити	haití
свадба	boda
свадба	casament
оценка	puntuació
сони	sony
сони	sonny
нирнберг	nuremberg
изолација	aïllament
самуил	samuel
следна	pròxima
следна	següent
следна	propera
следна	next
стравот	temor
стравот	fear
стравот	por
почитува	respecta
почитува	respecti
почитува	respectes
ритуали	rituals
интензитет	intensitat
обнови	restaurar
обнови	restaura
обнови	renovar
промовирање	promoció
поразена	derrotat
поразена	vençut
поразена	vençuts
упатува	referències
согорување	combustió
согорување	incineració
заседа	emboscada
континуирано	ininterrompudament
континуирано	continu
континуирано	contínuament
факултети	facultats
евиденција	rècords
евиденција	registres
евиденција	bitàcola
индиректно	indirectes
индиректно	indirecte
спротивни	divergent
спротивни	oposat
спротивни	contrari
кралевите	kings
кралевите	reis
пеколот	infern
пеколот	hell
пеколот	infern
сознанија	troballes
тениско	tennis
протест	protesta
рајот	cel
рајот	heaven
панорама	panorama
опасни	perillós
опасни	perillosos
почина	morí
ангели	àngels
ангели	angels
еми	emmy
еми	emmys
шеми	pautes
шеми	patrons
шеми	esquemes
среда	dimecres
врат	coll
играчки	joguines
медичи	mèdici
медичи	medicis
масовни	missa
масовни	massa
групна	multijugador
групна	grup
ник	nick
ник	nic
ник	nik
идол	ídol
витамин	vitamina
одби	rebutjat
одби	disminuït
одење	caminant
одење	trekking
граѓанин	ciutadà
материјална	material
комесар	comissionat
комесар	comissari
професионалец	professional
професионалец	professionals
професионалец	pro
декларацијата	declaració
религиски	religiós
припаѓал	pertanyia
мајмуни	micos
спартак	espartac
спартак	spartak
докторат	doctorat
верувањето	creença
моќност	potència
моќност	poder
артисти	artistes
врзани	empatat
англо	anglo
клун	bec
празен	buit
празен	buida
штајнбург	steinburg
протеини	proteïna
протеини	proteïnes
мастејн	mustaine
михаел	michael
тел	tel
стразбур	estrasburg
стразбур	strasbourg
предвидување	predicció
лил	lil
лил	lille
длабоки	deep
длабоки	profunds
длабоки	profund
барбара	bàrbara
барбара	barbara
осло	oslo
пристигнува	arriba
пристигнува	entrants
армстронг	armstrong
цветови	flors
руси	russos
бесплатно	lliure
бесплатно	gratuït
бесплатно	lliures
милтон	milton
задоволи	satisfer
фрлање	tirant
припаѓале	pertanyia
гари	garri
гари	gary
милошевиќ	milosevic
базен	piscina
грос	bruta
грос	bruts
грос	groß
учествуваа	destacat
учествуваа	participat
одраз	reflecteixen
одраз	reflecteix
одраз	reflexionar
одраз	reflectir
одраз	reflexió
шарлот	charlotte
шарлот	carlota
ататурк	ataturk
ататурк	atatürk
хумор	humor
работничка	treballador
католици	catòlics
наклон	inclina
наклон	inclinació
утро	matí
мис	miss
мис	senyoreta
сооднос	proporció
сооднос	ràtio
реми	remy
реми	rems
претставништво	representació
пазарите	mercats
планетите	planetes
клајн	klein
атлетико	atletico
атлетико	atlético
кафеава	marró
кафеава	brown
уганда	uganda
брана	presa
украси	ornaments
украси	decoracions
привремена	temporal
драстично	dràsticament
лужица	lusàcia
неопходни	necessàries
половината	cintura
половината	meitat
половината	half
изолирани	aïllat
изолирани	aïllades
изолирани	aïllats
изолирани	aïllada
откри	revelat
френклин	franklin
бродовите	naus
бродовите	vaixells
бродовите	ferries
предупредување	avís
предупредување	advertència
кршење	breaking
кршење	trencant
државјанство	ciutadania
предци	avantpassats
натписи	articles
харисон	harrison
леви	levi
обама	obama
осветлување	enllumenat
прославата	celebració
славко	slavko
експериментални	experimental
масти	fat
масти	greix
семејствата	famílies
паскал	pascal
пипин	pippin
вавилон	babilònia
скандинавија	escandinàvia
обреди	observança
обреди	socarrat
сакаше	estimat
сакаше	estimava
сакаше	volia
сакаше	volien
конкретно	específicament
конкретно	concretament
роберто	roberto
бетмен	batman
правник	advocat
запишување	escrivint
запишување	escriptura
тропски	tropical
пит	pete
ненадејно	sobtada
ненадејно	bruscament
ацо	aco
дебелина	obesitat
дебелина	gruix
евангелие	evangeli
ловат	hunt
фридман	friedman
волк	llop
волк	wolf
бањи	zepa
бањи	banys
бањи	banys
распад	decaïment
господин	mister
прилики	ocasions
грама	grams
сместување	allotjament
сместување	hostalatge
сместување	allotjament
крила	wings
крила	ales
курт	kurt
курт	curt
регионална	regional
регионална	regionals
боуви	bowie
летно	summertime
пушки	rifles
пушки	armes
пушки	guns
умерена	moderat
цивилизации	civilitzacions
цивилизации	civilisations
болни	dolorós
болни	malalts
болни	malalt
лаос	laos
отон	otho
полот	gènere
гравитација	gravetat
памук	pamuk
памук	cotó
редовна	regulars
редовна	regular
олимпија	olympia
погодни	convenient
клинтон	clinton
учеснички	participants
варна	varna
валути	divisa
валути	moneda
валути	divises
валути	monedes
дно	bottom
дно	fons
дно	bottoms
среќен	feliç
постава	alineació
азиски	asiàtics
идентични	idèntiques
