και	en
το	die
από	van
από	vanuit
από	vanaf
με	mee
με	met
που	watter
που	watse
για	vir
για	altesaam
τους	hulle
ήταν	was
ένα	een
ότι	dat
ότι	wat
ότι	dai
μια	een
έχει	het
θα	sal
αλλά	maar
μετά	then
μετά	dan
μετά	na
μετά	nadat
μετά	ná
επίσης	ook
όπως	soos
είχε	moes
ενώ	ruk
ενώ	terwyl
δύο	twee
αυτό	dit
αυτό	hierdie
αυτό	dié
αυτό	dat
αυτό	wat
αυτό	dai
αυτή	sy
όπου	waar
όπου	waarheen
όταν	wanneer
μέχρι	totdat
μία	een
μπορεί	kan
ομάδα	squad
ομάδα	groep
ομάδα	groepeer
ομάδα	span
μεταξύ	tussen
χρόνια	chroniese
χρόνια	jare
πρώτη	eerste
πρώτη	eers
πιο	nog
πιο	meer
ένας	een
πόλη	town
πόλη	stad
σύνδεσμοι	skakels
μόνο	slegs
μόνο	net
έγινε	voltooi
έγινε	gedoen
έγινε	klaar
πολύ	baie
κάθε	elke
κάθε	elk
περιοχή	streek
περιοχή	omgewing
περιοχή	gebied
περιοχή	oppervlakte
περιοχή	area
αιώνα	eeue
αιώνα	eeu
αθήνα	athene
περίοδο	periode
τότε	then
τότε	dan
όνομα	naam
όνομα	benoem
όνομα	gebruikernaam
ελλάδα	griekeland
μέρος	deel
μέρος	gedeelte
μέρος	plek
σήμερα	vandag
μέσα	binne
πως	hoe
μαζί	gekuier
μαζί	saam
διάρκεια	duur
διάρκεια	tydperk
διάρκεια	tydsduur
ιστορία	berig
ιστορία	geskiedenis
ιστορία	history
πρωτάθλημα	liga
πρωτάθλημα	championship
αργότερα	later
νέα	nuut
νέα	nuwe
νέα	nuus
περίπου	oor
περίπου	ongeveer
πριν	voor
πριν	before
χωρίς	sonder
εθνική	nasionale
εθνική	national
εθνική	nasionaal
συζήτηση	gesprek
συζήτηση	bespreking
συζήτηση	debate
συζήτηση	debat
αρχείο	argief
αρχείο	argiveer
πρέπει	moet
φορά	tyd
φορά	tydstip
πάνω	upstairs
έλληνες	grieke
ομάδες	spanne
πρώτο	eerste
πρώτο	eers
έργο	projek
έργο	werk
κυρίως	meestal
όχι	nie
ελληνική	griekse
έως	totdat
ταινία	fliek
ταινία	rolprent
ταινία	tape
ταινία	rolprent
άλλα	ander
τμήμα	departement
τμήμα	seksie
τμήμα	afdeling
σαν	soos
ωστόσο	egter
άλλες	ander
τέλος	uiteindelik
τέλος	einde
τέλος	beëindig
σειρά	reeks
σειρά	series
σειρά	orde
σειρά	bestel
σειρά	volgorde
σειρά	bestelling
σειρά	rangskik
σειρά	blaai
σειρά	ry
σειρά	row
στοιχεία	elemente
στοιχεία	data
εκτός	tensy
εκτός	unless
εκτός	behalwe
εκτός	except
εκτός	uitgesonderd
συνέχεια	volgehoue
συνέχεια	deurlopende
συνέχεια	voortdurende
κάτω	ondertoe
κάτω	neer
κάτω	af
κάτω	laer
κάτω	kleinletters
κάτω	verlaag
κάτω	sagter
κάτω	elektrisiteit
κάτω	onder
κάτω	hieronder
κάτω	onderstaande
πολλές	vele
πολλές	baie
όλα	alles
όλα	alle
όλα	alles
όλα	all
όλα	almal
όλα	al
όλα	als
σύστημα	lêerstelsel
σύστημα	sisteem
σύστημα	stelsel
ακόμα	steeds
ακόμα	nogsteeds
