subisce	ondergaat
vocali	klinkers
vocali	vocal
vocali	klinker
vocali	klinkers
lentamente	traag
lentamente	langzaam
responsabili	verantwoord
responsabili	verantwoordelijke
responsabili	verantwoordelijk
legend	legende
legend	legend
cleveland	cleveland
strumentale	instrumentale
madagascar	madagaskar
madagascar	madagascar
hit	hits
hit	treffers
hit	hit
hit	treffer
hit	geraakt
perdono	vergeving
perdono	vergiffenis
progettata	ontworpen
julian	julian
julian	julián
partigiani	partijdige
partigiani	partijdig
partigiani	partizanen
collaboratore	collega
collaboratore	collaborateur
edgar	edgar
raffaello	raphael
raffaello	raphaël
raffaello	raffaello
memorial	herdenking
memorial	memorial
memorial	gedenkteken
berlusconi	berlusconi
aurelio	aurelio
aurelio	aurelius
difficili	lastig
difficili	moeilijk
difficili	moeilijke
tifosi	fans
tifosi	ventilatoren
tifosi	voorstanders
tifosi	supporters
tifosi	aanhangers
ucraino	oekraïens
ucraino	oekraïense
franchigia	franchise
giù	down
giù	omlaag
tessuti	tissue
tessuti	weefsel
tessuti	stoffen
tessuti	weefsels
tessuti	stof
tessuti	weefsel
josef	josef
martínez	martínez
finalisti	finalist
finalisti	finalisten
allan	allan
mina	mina
incrociatore	kruiser
incrociatore	cruiser
nacional	nacional
antonino	antonino
essenziale	essentiële
essenziale	onmisbaar
essenziale	essentieel
essenziale	essentials
duello	duel
immediato	onmiddellijk
immediato	onmiddellijke
leggeri	light
leggeri	lichte
leggeri	licht
leggeri	lichtgewicht
accade	gebeurt
coinvolti	betrokken
suicidio	zelfmoord
suicidio	zelfdoding
local	lokale
local	plaatselijk
local	lokaal
carbone	steenkool
carbone	kolen
carbone	kool
carbone	houtskool
carbone	carbon
carbone	koolstof
credito	krediet
credito	credit
adriatico	adriatische
adriatico	adriatico
adrian	adrian
regolari	regelmatige
regolari	regulier
regolari	reguliere
regolari	regelmatig
famose	beroemde
famose	beroemd
fiamme	vlam
fiamme	vlammen
fiamme	vlammen
august	august
august	augustus
comunisti	communisten
comunisti	communistische
comunisti	communist
comunisti	communistisch
organismi	organisme
organismi	organismen
pienamente	volledig
terribile	vreselijk
terribile	verschrikkelijk
terribile	afschuwelijk
terribile	vreselijk
terribile	verschrikkelijk
hell	hel
hell	hell
kiss	zoen
kiss	kus
kiss	kusje
kiss	kiss
kiss	kussen
gestita	beheerde
gestita	beheerd
seattle	seattle
nathan	nathan
topolino	mickey
topolino	muizen
topolino	muis
wang	wang
sedici	zestien
sedici	sixteen
anticipo	voorschot
anticipo	oprukken
philadelphia	philadelphia
levi	levi
crimine	misdrijf
crimine	misdaad
crimine	crime
crimine	criminaliteit
ispirata	inspirerend
ispirata	bezield
ispirata	geïnspireerd
ispirata	geïnspireerde
empire	keizerrijk
empire	rijk
empire	imperium
empire	empire
iscritti	ingeschreven
teatri	theaters
teatri	bioscopen
taglia	knippen
taglia	cut
taglia	snijden
taglia	grootte
taglia	afmeting
taglia	omvang
taglia	formaat
taglia	maat
orange	sinaasappel
orange	oranje
rettangolare	rechthoek
rettangolare	rechthoekig
rettangolare	rechthoekig
rettangolare	rechthoekige
riposo	rusten
riposo	rust
riposo	uitrusten
riposo	rusten
riposo	rest
riposo	rust
intensa	intensief
intensa	intens
intensa	heftig
intensa	intense
laser	laser
laser	lasers
mentale	mentaal
mentale	mentale
mentale	geestelijk
mentale	geestelijke
allenamento	workout
allenamento	training
allenamento	praktijk
allenamento	oefenen
allenamento	beoefenen
allenamento	oefening
ritratti	portretten
sergente	sarge
sergente	sergeant
sergente	sergeant
divenire	wordt
divenire	word
divenire	worden
divenire	worden
invenzione	uitvinding
invenzione	verzonnen
invenzione	uitgevonden
porti	havens
porti	poorten
lemmon	lemmon
marchi	merken
marchi	brands
marchi	merken
marchi	handelsmerken
marchi	marken
marchi	merktekens
borghese	borghese
borghese	burgerlijk
borghese	bourgeois
channel	kanaal
indipendentemente	zelfstandig
indipendentemente	onafhankelijk
