вчителі	מורים
заявила	הוכרזה
заявила	הכריז
заявила	הוכרז
однакові	זהים
однакові	זהה
секс	מין
секс	סקס
чутки	שמועות
чутки	שמועות
чутки	שמועה
несуть	נשא
несуть	נשאו
несуть	סחב
крістофер	כריסטופר
методика	טכניקה
методика	טכניקת
пейзаж	לרוחב
пейзаж	נוף
уельсу	ויילס
уельсу	ווילס
сантиметрів	סנטימטרים
сантиметрів	סנטימטרים
едді	אדי
едді	אדי
бомби	פצצות
закладено	מספק
закладено	מספקת
віки	גילאים
способами	מלטף
німеччину	גרמניה
менеджмент	ניהול
менеджмент	הנהלה
говард	האוורד
говард	הווארד
течія	זרם
течія	הנוכחית
течія	נוכחית
течія	נוכחי
течія	שטף
робітники	עובדים
робітники	פועלות
робітники	פועלים
розмови	שיחות
розмови	שיחה
розмови	השיחה
розмови	שיחת
відмовляється	מסרבת
відмовляється	מסרב
відмовляється	מסרב
бойовиків	מיליטנטים
біженців	פליטה
біженців	פליטים
біженців	פליט
біженців	פליטים
біженців	הפליטים
корона	הכתר
корона	כתר
корона	קראון
фотографій	תצלומים
сантьяго	סנטיאגו
змій	נחשים
комуністична	הקומוניסטית
комуністична	קומוניסטית
комуністична	קומוניסט
тропічні	טרופית
тропічні	טרופי
етимологія	אטימולוגיה
преса	עיתונות
ціль	מטרה
ціль	אובייקטיבי
ціль	המטרה
ціль	מטרה
ціль	יעד
ціль	פילוח
ціль	המטרה
добровільно	ברצון
добровільно	מרצון
добровільно	בהתנדבות
добровільно	מרצון
добровільно	בכוונה
добровільно	במתכוון
добровільно	במכוון
добровільно	בהתנדבות
добровільно	מרצון
підтримується	תמיכה
підтримується	נתמכת
підтримується	נתמך
підтримується	תמך
пізно	מאחרת
пізно	איחור
пізно	באיחור
пізно	מאוחר
вдвічі	פעמיים
вдвічі	הוכפל
вдвічі	הכפיל
переселенців	מובילים
переселенців	העקורים
блакитний	כחולה
блакитний	בלו
блакитний	כחול
блакитний	תכלת
тель	תל
тель	טל
коди	קודים
коди	קוד
коди	צפנים
пенсії	פרישה
пенсії	פנסיה
бойове	קרב
бойове	קרבית
бойове	קרבי
гурток	עיגול
гурток	המעגל
гурток	מעגל
гурток	חוג
моменти	moments
моменти	הרגעים
моменти	רגעים
затемнення	ליקוי
лавки	ספסלים
наближення	קירוב
трудова	הלייבור
тріо	שלישייה
тріо	שלישיית
гагаріна	גגארין
читача	חסיד
читача	עוקב
трави	גראס
трави	דשא
трави	עשב
діагностики	אבחון
еволюція	האבולוציה
еволюція	אבולוציה
інтелектуальної	אינטלקטואלי
інтелектуальної	אינטלקטואלית
груповий	חבורה
груповий	הקבוצה
груповий	קבוצה
церковної	הכנסייתי
викладає	מלמדת
викладає	מלמד
амстердам	אמסטרדם
порушує	מפר
перебіг	השפעה
вимагав	דרש
вимагав	דרשה
вимагав	דרשו
жуків	באגים
жуків	חרקים
жуків	באגס
клієнт	לקוחה
клієнт	הלקוח
клієнт	לקוח
клієнт	לקוחה
клієнт	הלקוח
клієнт	לקוח
сервіс	שרות
сервіс	שירות
сервіс	השירות
придбати	לרכישה
придбати	קנייה
придбати	רכישה
придбати	קנה
придбати	קנייה
придбати	תקנה
придбати	קונים
придбати	לקנות
гвардійська	שומרים
мінську	מינסק
тварина	בהמה
тварина	חיה
різдво	המולד
декоративні	נוי
молитви	תפילה
молитви	תפילות
проста	פשוטות
проста	פשוט
проста	פשוטה
проста	פשוטים
собаки	כלבים
фантастичний	פנטסטית
фантастичний	פנטסטי
виробника	הספק
студію	אולפן
студію	סטודיו
царі	האמגושים
реставрація	שיקום
реставрація	שחזור
проникнення	חדירה
проникнення	הסתננות
презентація	הצגה
презентація	מצגת
презентація	המצגת
диких	פראי
диких	פרוע
диких	פרא
маркса	מרקס
отриманий	התקבלה
отриманий	שהתקבלו
отриманий	התקבל
отриманий	קיבל
отриманий	התקבלו
ново	נובו
бад	באד
бад	ניצן
обстрілу	הפגזות
чоловічого	גבריות
чоловічого	גברי
чоловічого	גברית
феодосія	פאודוסיה
перевірка	בודק
перевірка	בודקת
перевірка	מוודא
перевірка	מאמת
перевірка	מאמת
перевірка	אימות
перевірка	טסט
перевірка	מבחן
перевірка	בדיקה
перевірка	אימות
заяви	הצהרות
схем	מזימות
сидіння	מושבי
сидіння	כסאות
сидіння	מושבים
сидіння	מושב
гості	אורחים
представив	הציג
представив	הציגה
розбіжності	diff
турецька	טורקית
турецька	טורקי
міфів	מיתוסים
барон	הברון
барон	ברון
операціях	תמרונים
відправляється	עוזב
відправляється	עוזבת
відправляється	עוזבים
відправляється	עזיבה
бруно	ברונו
північне	צפון
напруга	מתח
напруга	מתיחות
залишитися	תשאר
залишитися	תישאר
залишитися	הישאר
міссурі	מיזורי
піраміди	הפירמידות
додавати	הוסף
додавати	להוסיף
додавати	הוספה
вектор	וקטור
братство	אחווה
братство	אחווה
ланцюг	שרשרת
довів	הוכיח
довів	הוכחת
довів	הוכיחה
паспорт	דרכון
позитивно	חיובית
позитивно	חיובי
позитивно	חיוביות
внутрішнє	פנימית
внутрішнє	פנימיות
внутрішнє	פנימי
практична	מעשית
практична	מעשי
кетрін	קתרין
кетрін	קתרין
панель	פנל
панель	פאנל
панель	לוח
вихідні	סופשבוע
вихідні	יוצא
вихідні	היוצא
вихідні	יוצאות
лавка	הספסל
лавка	ספסל
стрічці	להאכיל
настає	שובר
настає	הפסקות
покинули	נחטף
покинули	חטף
оцінкою	דירוג
зазначає	רשום
зазначає	רשומה
венесуели	ונצואלה
шанс	הזדמנות
шанс	סיכוי
арнольд	ארנולד
підпілля	מחתרת
евакуації	לפנות
евакуації	להתפנות
виправлення	תיקונים
збільшує	מגביר
збільшує	הגדל
збільшує	הגדלה
гаїті	האיטי
заборона	אסורים
заборона	אסור
заборона	אסורה
пакистан	פקיסטן
легіон	הלגיון
легіон	לגיון
полотна	בד
позначають	מסמל
механік	מכונאי
хронологія	כרונולוגיה
вебер	ובר
вебер	וובר
стилів	סטיילס
стилів	סגנונות
консультант	יועץ
консультант	יועצת
консультант	ייעוץ
багатих	אחוזות
багатих	אמיד
фінанси	פיננסי
фінанси	מימון
фінанси	כספים
сталь	פלדה
шахи	שחמט
шахи	שח
темні	אפל
темні	אפלה
темні	חושך
темні	כהה
інженери	טכנאים
інженери	מהנדסים
інженери	הנדסה
вюртемберг	וירטמברג
вивести	פלט
стандартна	סטנדרטים
стандартна	סטנדרט
стандартна	סטנדרטי
стандартна	תקן
ізраїлі	ישראל
куба	קובה
соціологія	סוציולוגיה
флоренція	פלורנס
флоренція	פירנצה
шкіра	עור
шкіра	מעור
шкіра	העור
шкіра	עור
записано	נכתב
записано	כתובה
записано	נכתבה
записано	כתובים
записано	כתוב
записано	הוקלט
записано	הקליט
записано	מוקלט
визначений	מוגדרים
визначений	מוגדר
поклоніння	לסגוד
поклоніння	סוגדים
поклоніння	פולחן
комети	שביט
щоденник	יומן
щоденник	יומני
щоденник	יומן
делі	דלהי
договорів	עסקאות
договорів	מבצעים
римляни	רומאים
римляни	הרומאים
промислова	תעשייתית
промислова	תעשייתי
вимогою	דרישה
вимогою	דרישת
міллер	מילר
спільна	מפרק
бідності	עוני
центрами	מרכזי
правова	חוקי
правова	משפטי
правова	חוקית
правова	חוקיים
правова	חוקיות
феномен	תופעת
феномен	התופעה
феномен	תופעה
турецький	טורקית
турецький	טורקי
союзники	ברית
моріс	מוריס
сіра	אפורה
сіра	גריי
сіра	אפור
симптоми	תסמינים
симптоми	תסמין
симптоми	התסמינים
симптоми	סימפטומים
індіанці	אינדיאנים
індіанці	הודים
індіанці	האינדיאנים
присвоєння	משימה
присвоєння	מטלה
необхідне	דרושה
необхідне	נדרשת
необхідне	דרושים
необхідне	חובה
необхідне	נדרש
необхідне	דרוש
галактик	גלקסיות
галактик	גלקסיה
власна	נאות
власна	יאה
власна	סלף
власна	עצמי
любителів	הערכה
вінніпег	ויניפג
попов	פופוב
вікон	windows
вікон	חלון
вікон	חלונות
хребетних	זואולוגיה
рівно	יציבה
рівно	יציב
старша	אלדר
старша	חונך
стани	מדינות
розряд	רווקים
казав	סעיד
казав	אמרה
казав	אמר
казав	סיפר
казав	סיפרה
штурм	סער
фестивалів	פסטיבלים
замінили	החליף
замінили	הוחלף
замінили	הוחלפו
роберто	רוברטו
шари	שכבות
кадри	מסגרות
цех	גילדה
максимальний	מרבי
максимальний	מירבי
максимальний	מקסימום
максимальний	מקסימלי
максимальний	המקסימום
площ	הקמעונאי
нахил	הטה
трупи	גופות
трупи	גוויות
легкі	בקלות
легкі	קל
легкі	קלות
легкі	לאט
діалект	ניב
афганістан	אפגניסטן
хіп	היפ
хіп	ירך
хіп	הירך
блог	בלוג
термінології	מינוח
проголосували	הצביע
проголосували	הצבעת
проголосували	הצביעה
проголосували	הצביעו
проголосували	הצבעתי
інструкції	הדרכות
інструкції	הנחיות
інструкції	הוראות
атлетика	אתלטיקה
фантастика	פנטסטית
фантастика	פנטסטי
фантастика	בדיונית
фантастика	בדיוני
фантастика	בדוי
фантастика	בדיוני
фантастика	בדיה
сорти	מגוון
сорти	גיוון
зникла	נעלמה
зникла	הלכה
зникла	נעלמו
зникла	הלך
зникла	נעלם
виконавці	משאבים
виконавці	אומנים
виконавці	אמנים
виконавці	אמני
бульвар	שדרות
євангеліє	הבשורה
борець	מתאבק
самиць	נקבות
величин	כמויות
профспілок	האיגודים
польську	פוליש
польську	לק
польську	פולני
польську	הברקה
спадкоємець	יורש
негативні	שליליות
негативні	שלילי
негативні	שלילית
луцій	לוציוס
луцій	לושיוס
луцій	לוסיוס
заряд	חיוב
загроза	איום
духовна	ליטורגי
перегони	מרוץ
перегони	גזע
перегони	מירוץ
перегони	הגזע
перегони	מרוץ
перегони	מירוץ
перегони	מירוצים
молодим	צעירה
молодим	צעירות
молодим	צעירים
молодим	יאנג
молодим	צעיר
демонструє	מדגים
ходи	תנועות
ходи	מהלכים
монету	מטבע
кімната	חדר
кімната	החדר
кімната	חדרה
альянс	הברית
альянс	ברית
корпорація	תאגיד
штук	תקועים
штук	תקועה
штук	תקוע
штук	נתקע
мок	מוק
кінь	סוס
сенат	הסנאט
батьківщина	המולדת
батьківщина	מולדת
коробка	ארגז
коробка	קופסא
коробка	תיבה
коробка	קופסה
коробка	gearbox
ланка	לנקה
запалення	דלקת
поразку	נכשל
поразку	כושל
гази	גזים
гази	לעזה
гази	עזה
оцінювання	ניקוד
оцінювання	הערכה
важливість	חשיבות
важливість	חומרת
важливість	דחיפות
виживання	הישרדות
дизель	דיזל
недоліків	המגרעות
недоліків	פגמים
написала	כתבה
написала	כתבתי
написала	כתב
написала	כתבת
багатство	עושר
винограду	ענב
винограду	ענבים
винограду	ענבים
судану	סודאן
загреб	זאגרב
сидить	יושב
сидить	יושבים
сидить	יושב
сидить	יושבת
персонал	סגל
персонал	צוות
обмежені	מוגבלות
обмежені	מוגבלת
обмежені	מוגבל
мухаммед	מוחמד
мухаммед	מוחמד
мухаммед	מוחמד
обрані	בהשתתפות
обрані	נבחרים
обрані	נבחר
обрані	נבחרים
обрані	שנבחר
обрані	נבחרו
обрані	נבחרה
нафта	שמן
нафта	נפט
нафта	נפט
сигнали	אותות
розділити	פורק
розділити	המזלג
розділити	מזלג
розділити	לפצל
розділити	פיצול
сибір	סיביר
міссісіпі	מיסיסיפי
конрад	קונראד
конрад	קונרד
род	רוד
