مالاوی	malawi
ژرمن	germain
کلاید	clyde
برهنه	naket
برهنه	naken
برهنه	nakna
برهنه	naket
برهنه	naken
برهنه	nakna
برهنه	blotta
برهنه	strumpa
لوکاس	lucas
لوکاس	lukas
کوت	kut
کوت	cot
کوت	barnsäng
خاطره	minnen
خاطره	minnen
خاطره	minnet
خاطره	minne
خاطره	memory
داوید	david
وجودی	existentiella
نوزادان	spädbarn
نوزادان	spädbarn
یوزف	joseph
یوزف	josef
تورات	tora
مولد	generator
مولد	generatorn
امامت	imamer
تجسمی	visualisering
پنالتی	påföljd
پنالتی	straff
یکنواخت	stadig
یکنواخت	stadigt
تاسمانی	tasmansk
تاسمانی	tasmanien
رحمت	barmhärtighet
رحمت	mercy
رحمت	nåd
رحمت	kast
ضمیمه	innesluten
ضمیمه	slutna
ضمیمه	inneslutna
ضمیمه	bifogade
درجات	leden
مجرای	canal
مجرای	kanal
مجرای	kanalen
مجرای	kanal
مجرای	channel
مجرای	kanalen
اورتون	everton
سولفات	sulfat
ارس	juniperus
ارس	aras
نامنظم	oregelbunden
نامنظم	oregelbundet
نامنظم	oregelbundna
قوت	hållfasthet
قوت	styrka
مجالس	passera
ابری	molnen
ابری	moln
ابری	cloud
ابری	moln
تایم	tid
تایم	tidpunkt
تایم	dags
تایم	klockslag
تایم	tiden
سومی	tredje
سومی	trea
سومی	third
سومی	tredjedel
کوپر	coopers
کوپر	cooper
جانداران	fauna
جولی	julie
ساختگی	docka
ساختگی	dummer
شارلوت	charlotte
اتوماتیک	automat
اتوماتیک	automatiskt
اتوماتیک	automatiska
اتوماتیک	automatisk
لوید	lloyd
گاندی	gandhi
ثانی	sani
ثانی	thani
گریه	gråt
گریه	gråta
گریه	gråter
گریه	gråta
گریه	gråtande
گریه	gråt
گریه	gråter
واگن	vagn
لئونارد	leonard
راد	rad
راد	stång
راد	rod
راد	spö
هفتگی	veckans
هفتگی	veckan
هفتگی	veckovis
هفتگی	vecka
مستمر	kontinuerlig
مستمر	kontinuerliga
مستمر	fortlöpande
مستمر	kontinuerligt
مستمر	yrken
مارسی	marseille
مارسی	marcy
مارسی	marci
مارسی	marseille
درامز	trummor
مرتکب	begå
مرتکب	arkivera
مرتکب	begår
تدریجی	gradvis
مستندات	dokumentation
مستندات	dokumentationen
رقابتی	konkurrenskraftigt
رقابتی	konkurrenskraftig
رقابتی	konkurrenskraftiga
کسری	underskott
نخ	garn
نخ	tråden
نخ	tråd
میلیمتر	millimeter
میلیمتر	millimeters
میلیمتر	millimeter
شاعری	poet
شاعری	poeten
سیارات	planetens
سیارات	planeterna
سیارات	planeter
روشنفکران	intellektuella
غلات	spannmål
غلات	flingor
پاسکال	pascal
مقدونی	makedonska
ترغیب	övertalning
ترغیب	övertala
عطر	parfym
هجده	eighteen
هجده	arton
آندری	andrej
آندری	andrej
عنکبوت	spindel
عنکبوت	spindeln
عنکبوت	spider
قیاس	monumental
قیاس	analogi
بازیافت	återvinna
بازیافت	återvinning
بازیافت	återanvändning
موس	älg
مؤسسات	institutioner
مؤسسات	institut
مؤسسات	institutionerna
دیگو	diego
کریستینا	christina
کریستینا	cristina
آران	aran
تجربیات	upplevelser
تجربیات	erfarenheter
ریاضیدان	matematiker
خونین	blodigt
خونین	blodiga
کافه	kafé
کافه	cafe
کافه	caféet
کافه	café
کافه	kafé
کافه	caféet
کافه	kaféet
کافه	café
لیل	lil
لیل	lille
دستان	händer
دستان	hands
فروشی	handla
فروشی	butiken
فروشی	butik
دریک	drake
مراسمی	ceremoni
مراسمی	ceremonin
مراسمی	ceremonier
مراسمی	ceremonier
گشتی	patrullen
گشتی	patrullera
گشتی	patrull
مرجان	koraller
مرجان	coral
مرجان	korall
مرجان	marjan
پلاسما	plasma
سقراط	sokrates
بوتان	bhutan
باردار	dräktiga
باردار	gravida
باردار	gravid
مالیاتی	skatt
مالیاتی	beskatta
مالیاتی	skatt
مالیاتی	skatter
تداوم	envishet
تداوم	ihärdighet
تداوم	uthållighet
تداوم	beständighet
سینت	sint
آریا	aria
آریا	arya
گزیده	biten
گزیده	bitit
گزیده	selektivt
گزیده	selektiv
گزیده	selektiva
بره	arietis
بره	aries
دیوارها	murar
دیوارها	väggarna
دیوارها	väggar
افراطی	extrem
افراطی	extrema
افراطی	extremt
آژاکس	ajax
فرشتگان	änglar
فرشتگان	angels
جیوه	mercury
جیوه	kvicksilver
فاضلاب	avlopp
فاضلاب	kloak
فاضلاب	avlopp
فاضلاب	avloppsvatten
فاضلاب	avlopp
فاضلاب	kloakerna
وادی	wadi
لیاقت	förtjänar
لیاقت	meriter
لیاقت	förtjänster
لیاقت	merit
جودی	judy
حفر	gräv
حفر	gräver
حفر	gräva
حفر	gräver
حفر	gräva
حفر	grävt
شعله	låga
شعله	flamma
شعله	flamman
شعله	flammor
شعله	lågor
کوچولو	little
کوچولو	lilla
کوچولو	litet
کوچولو	liten
تلفیق	samgående
تلفیق	fusion
تلفیق	sammanslagning
تلفیق	blandning
فک	käken
فک	käke
زعفران	saffran
زعفران	crocus
تعاریف	definitioner
دامن	kjol
دامن	kjolen
دامن	kjolar
گیلمور	gilmour
گیلمور	gilmore
مفصلی	artrit
گیتاریست	gitarrist
گوینده	talare
حرام	olagliga
حرام	olaglig
حرام	olagligt
حرام	olaga
حرام	förbjudna
حرام	förbjuden
حرام	förbjudet
حرام	förbjudna
حرام	förbjuden
حرام	förbjudet
محراب	altaret
محراب	altare
محراب	tillflyktsort
محراب	fristad
محراب	helgedom
اقیانوسی	oceanic
اقیانوسی	oceanen
اقیانوسی	havet
اقیانوسی	hav
اقیانوسی	ocean
گیتی	universum
گیتی	kosmos
رید	reid
رید	reed
عموی	onkel
عموی	morbror
عموی	uncle
عموی	farbror
جودو	judo
پژو	peugeot
مسائلی	problem
بالاتری	högre
تامیل	tamilska
نوسنگی	neolitisk
کورت	curt
کورت	kurt
خطبه	predikan
نزاع	tvister
نزاع	tvist
نزاع	dispyt
نزاع	stridigheter
نزاع	konflikten
نزاع	konflikter
نزاع	konflikt
نزاع	gräla
نزاع	gräl
داروین	darwin
غواصی	dykning
غواصی	dykt
غواصی	dyker
غواصی	dyka
غواصی	dyka
غواصی	dyk
بلوط	chestnut
بلوط	ekollon
بلوط	kastanjer
بلوط	oak
بلوط	ek
دستورات	beställningar
دستورات	order
تقارن	symmetri
رونمایی	presenterade
اسراییل	israel
اسراییل	israelisk
اسراییل	israeliska
اشباع	mättad
اشباع	mättade
کوئین	quinn
پلاتین	platina
پشتیبان	support
پشتیبان	stöd
پشتیبان	stötta
پشتیبان	stödja
پشتیبان	säkerhetskopiering
پشتیبان	förstärkning
اسکندریه	alexandria
مرکوری	mercury
مرکوری	kvicksilver
پخت	kokning
پخت	matlagning
پخت	bakar
پخت	baka
موری	maury
موری	murray
تضعیف	undergräva
تضعیف	dämpning
تضعیف	försvagas
تضعیف	försvagning
تضعیف	försvagad
خزانه	finansdepartementet
خزانه	statskassan
شهروندی	medborgarskap
شهروندی	medborgaren
شهروندی	medborgare
فین	finn
زانو	knä
زانو	knäet
زانو	knän
زانو	knäna
آرنا	arena
آرنا	arenan
فلش	flash
فلش	blixt
ناتمام	oavslutade
ناتمام	ofärdiga
ناتمام	ofullständig
ناتمام	ofullständiga
ناتمام	ofullständigt
ورنر	werner
تنبیه	straffad
تنبیه	bestraffas
تنبیه	straffas
تنبیه	straffade
تنبیه	bestraffning
تنبیه	straff
اشتباهات	misstagen
اشتباهات	misstag
ویدئوی	filmklipp
ویدئوی	videon
ویدئوی	video
ویدئوی	videoklipp
مناره	minaret
تقلب	fuskar
تقلب	fusk
تقلب	fuska
تقلب	fuskar
تقلب	fusk
تقلب	fuska
تقلب	bedrägerier
تقلب	bedrägeri
نشینی	reträtt
نشینی	retirera
موزامبیک	moçambique
ایرویز	luftvägarna
ایرویز	airways
حقایق	fakta
رواندا	rwanda
مونترآل	montréal
تامسون	thompson
تامسون	thomson
تامسون	thomson
انتقادات	kritik
مانکن	supermodell
پاور	kraft
پاور	makt
پاور	power
پاور	driven
پاور	drivs
پاور	motordrivna
پاور	drivna
جنجال	polemik
جنجال	kontroverser
تبت	tibetanska
تبت	tibet
میتسوبیشی	mitsubishi
نورد	vagn
نورد	ekipage
نورد	nord
اهلی	tama
اهلی	ahli
اهلی	inhemsk
اهلی	inhemskt
اهلی	inhemska
اهلی	inrikes
خاکستر	ash
خاکستر	aska
اساطیری	avatarer
میانجی	medlare
میانجی	medling
میانجی	medlingen
میانجی	mellannivå
میانجی	mellanliggande
میانجی	medlare
استریت	gatan
استریت	street
استریت	gata
تکاملی	evolutionär
گوجه	tomater
گوجه	tomat
زرهی	panzer
زرهی	bepansrad
قندهار	kandahar
خروس	kuk
خروس	tuppen
خروس	tupp
کاریکاتور	karikatyr
توت	tut
اطاعت	lyda
نمادین	symboliskt
نمادین	symboliska
نمادین	symbolisk
آگهی	annons
آگهی	reklam
آگهی	annonsering
آگهی	annonsera
آگهی	reklam
آگهی	annonsering
واکسن	vacciner
واکسن	vaccin
واکسن	vacciner
واکسن	vaccin
منفرد	manfred
نیجر	niger
تامی	tommy
وارن	warren
سیلندر	cylinder
رستاخیز	domedagen
رستاخیز	återuppståndelse
رستاخیز	uppståndelse
حشره	insekt
بیوگرافی	biografier
بیوگرافی	biografi
امانوئل	emanuel
امانوئل	emanuele
امانوئل	emmanuel
امانوئل	emmanuelle
جبری	algebraisk
شورشی	rebell
شورشی	rebeller
شورشی	rebellerna
شکوفایی	blomma
شکوفایی	bloom
شکوفایی	blom
منطبق	identiskt
منطبق	identisk
منطبق	identiska
عهدنامه	fördrag
عهدنامه	fördraget
اقتصاددان	ekonom
کنش	aktion
کنش	åtgärder
کنش	åtgärd
کنش	handling
کنش	agerande
کنش	åtgärder
کنش	insatser
پاهای	fot
پاهای	fötterna
پاهای	fötter
آرون	aaron
آرون	aron
تنظیمات	anpassningar
تنظیمات	justeringar
تنظیمات	preferenser
تنظیمات	inställningar
تنظیمات	inställningar
آمیخته	blandningar
آمیخته	blandning
آمیخته	blandningar
لیسبون	lissabon
لیسبون	lissabons
لیسبون	lisbon
دانیال	daniel
دانیال	danne
خوانی	skäl
حماس	hamas
دوز	dos
دوز	dosering
دوز	dos
دوز	dosen
فرانکو	franco
تحقیقی	stipendium
تحقیقی	stipendiet
فمینیسم	feminism
حلب	aleppo
سکولار	sekulära
تأخیر	fördröjning
تأخیر	försening
تأخیر	förseningar
تأخیر	dröjsmål
آشوب	tumult
آشوب	uppståndelse
آشوب	kaos
آشوب	kaoset
پارکر	parker
بالقوه	potentiella
بالقوه	potential
بالقوه	potentiell
بالقوه	potentiellt
بالقوه	potentiellt
نخاعی	spinal
ادموند	edmund
زینتی	dekorativa
زینتی	prydnad
سقط	missfall
سقط	aborter
سقط	abort
تاتنهام	tottenham
دیزل	diesel
محفل	sammankomster
محفل	montering
محفل	församling
محفل	församlingen
ناسیونال	nationale
ناسیونال	nacional
تماشای	tittar
دوبلین	kungälv
دوبلین	dublin
الکترونی	electron
یاهو	yahoo
درآمدی	inkomster
درآمدی	intäkter
درآمدی	inkomst
قطره	drop
قطره	droppe
قطره	släpp
قطره	droppar
باطل	falsk
باطل	false
باطل	falska
باطل	falskt
باطل	tomrum
باطل	annullera
باطل	fåfänga
نیرومند	kraftfull
نیرومند	mäktiga
نیرومند	mäktig
نیرومند	mäktigt
خداحافظی	farväl
خداحافظی	adjö
آنالوگ	analogt
آنالوگ	analoga
آنالوگ	analog
جونگ	jong
جونگ	jeong
جونگ	jung
رون	ron
اصابت	impact
اصابت	effekter
اصابت	inverkan
اصابت	påverkan
عاطفی	känslomässiga
عاطفی	känslomässigt
عاطفی	emotionell
عاطفی	känslomässig
عاطفی	emotionellt
دوندگان	löpare
اسکن	skanna
اسکن	scanna
اسکن	scan
مایعات	vätskor
مایعات	vätskor
وات	watt
عدسی	lins
عدسی	objektiv
الجزیره	alger
کریستیان	kristet
کریستیان	christian
کریستیان	kristna
کریستیان	kristen
کریستیان	cristian
امارت	emirat
مستطیل	rektangel
پورشه	porsche
کرنل	cornell
کرنل	cornel
کاج	pinus
کاج	kaj
کاج	tall
کاج	pine
بایت	byte
بایت	bytes
تسلیحات	stridsspetsar
باروک	barock
تبخیر	roterande
تبخیر	rotary
تبخیر	avdunstning
انقلابیون	revolutionärer
کاتالونیا	catalunya
کاتالونیا	katalonien
برفی	vinterdäck
برفی	snö
برفی	snöfall
برفی	milou
مهربان	snäll
مهربان	barmhärtige
مهربان	barmhärtig
سوالات	frågor
رنگین	färgade
رنگین	färgat
رنگین	färgad
راکی	rocky
نوسازی	förnyat
نوسازی	förnyelse
نوسازی	renovering
نوسازی	rehabilitering
نوسازی	återställande
نوسازی	återuppbyggnad
ریموند	raymond
شوک	chock
شوک	stöt
میخی	kilskrift
ابتکار	improvisation
ابتکار	initiativ
ابتکار	initiative
ابتکار	initiativet
ابتکار	improvisation
نمادی	symboliskt
نمادی	symboliska
نمادی	symbolisk
ورد	stava
ورد	förtrollning
ورد	besvärjelse
ورد	stavar
ورد	trollformel
ورد	verde
زدایی	avreglering
زدایی	avregleringar
امیلی	emelie
امیلی	emily
بور	bor
بور	bohr
بور	burr
بور	bor
اسپورت	sporten
اسپورت	sport
اسپورت	idrott
اسپورت	idrotten
اسپورت	sporter
اسپورت	sport
اسپورت	idrott
اسپورت	sports
آرت	art
آرت	konsten
آرت	konst
موانع	hinder
موانع	spärrar
موانع	barriärer
موانع	bakslag
موانع	motgångar
موانع	hinder
احادیث	avläsning
تاخیر	fördröjning
تاخیر	försening
تاخیر	förseningar
تاخیر	dröjsmål
کولی	zigenare
ناتوانی	oförmåga
ناتوانی	handikapp
ناتوانی	funktionshinder
ناتوانی	funktionsnedsättning
تاکسی	taxi
تاکسی	taxi
تاکسی	cab
تاکسی	hytt
کلیوی	njurar
زشت	fuling
زشت	ful
زشت	fult
زشت	fula
فرید	farid
ماهر	kunniga
ماهر	duktiga
ماهر	skickliga
ماهر	maher
پایانه	terminal
پایانه	terminalen
توس	björk
توس	birch
مصادف	sammanfaller
مصادف	sammanfalla
عجایب	underverk
تعدیل	justering
تعدیل	anpassning
زراعت	odlingar
زراعت	gröda
زراعت	grödor
زراعت	odling
زراعت	jordbruk
