oli	இருந்தது
eesti	எஸ்டோனியா
eesti	eesti
ning	மற்றும்
ning	இன்னும்
mis	என்ன
mis	என்னென்ன
mis	எந்த
kui	எப்போது
kui	பொழுது
kui	இருக்கும்போது
kui	போது
või	வெண்ணை
või	பட்டர்
või	வெண்ணெய்
aasta	ஆண்டு
aasta	வருடம்
aasta	வருடமும்
see	இந்த
see	இது
see	அந்த
see	என்று
oma	சொந்த
oma	சொந்தம்
oma	அதன்
tema	தன்
tema	அவருடைய
tema	அவனது
tema	அவரின்
tema	அவரது
tema	அவளை
tema	அவர்
tema	அவளின்
tema	அவளது
tema	அவரது
selle	இந்த
selle	இது
sai	சாய்
sai	ஆனார்
sai	கிடைத்தது
sai	கிடைத்த
kuid	ஆனாலும்
kuid	ஆனா
kuid	ஆனால்
kes	யார்
kes	யாரால்
kes	யாரென்று
seda	இந்த
seda	இது
seda	அந்த
seda	என்று
aga	ஆனாலும்
aga	ஆனா
aga	ஆனால்
pärast	பிறகும்
pärast	பின்பும்
pärast	பிறகு
pärast	பின்
kuni	அதுவரை
kuni	வரை
kuni	வரையில்
kus	எங்கே
kus	எங்கு
välja	அவுட்
välja	வெளியில்
välja	வெளியே
ehk	இருக்கலாம்
ehk	ஒருவேளை
ehk	வரலாம்
usa	usa
olid	இருந்தன
olid	இருந்தனர்
olid	இருந்த
üle	over
üle	ஓவர்
nende	அவர்களின்
nende	அவர்களது
nende	தங்கள்
saksa	ஜெர்மன்
siis	பின்னர்
siis	அப்பொழுது
siis	பிறகு
siis	அப்போது
siis	பின்பு
mida	என்ன
mida	என்னென்ன
inglise	ஆங்கிலம்
vaata	பார்
vaata	பார்க்க
vaata	காண்கிறேன்
vaata	பார்க்கவும்
vaata	காணுங்கள்
vaata	காணவும்
vaata	கைக்கடிகாரம்
vaata	கவனி
vaata	பார்
vaata	தோற்றம்
üks	ஒன்று
üks	ஒன்றை
üks	ஒரு
vene	ரஷ்ய
vene	ரஷியன்
jpg	jpg
ajal	உடலுறவில்
ajal	போது
järgi	பின்தொடர்
nad	அவர்கள்
vastu	எதிராக
vastu	எதிர்த்து
vastu	எதிரான
vastu	எதிரானது
vald	பரிஸ்
vald	நகராட்சி
alates	இருந்து
alates	விட்டும்
alates	அனுப்புநர்
alates	முதல்
koos	குல
koos	கொண்டு
koos	இதனால்
koos	உடன்
koos	ஒன்றாய்
koos	ஒன்றாக
aastad	ஆண்டுகள்
aastad	வருடங்கள்
sündinud	பிறந்தது
sündinud	பிறப்பு
sündinud	பிறந்து
august	ஆகஸ்ட்
august	ஆகஸ்டு
euroopa	ஐரோப்பா
euroopa	ஐரோப்பிய
euroopa	ஐரோப்பியர்
ameerika	அமெரிக்கன்
ameerika	அமெரிக்கர்
ameerika	அமெரிக்க
ameerika	அமெரிக்கா
ameerika	அமெரிக்கா
ameerika	அமெரிக்காவின்
asub	அமைந்துள்ள
asub	அமைந்துள்ளது
asub	அமைந்திருக்கும்
venemaa	ரஷ்யா
esimene	முதலாவது
esimene	முதலில்
esimene	முதல்
nagu	போல்
nagu	போல
