oli	இருந்தது
hän	இவள்
hän	அவளுக்கு
hän	அவள்
vuonna	ஆண்டு
vuonna	வருடம்
vuonna	வருடமும்
myös	also
myös	அத்துடன்
myös	கூட
joka	யார்
joka	யாரால்
joka	யாரென்று
joka	எந்த
kello	பார்க்கவும்
kello	காணுங்கள்
kello	காணவும்
kello	கைக்கடிகாரம்
kello	கவனி
kello	கடிகாரம்
että	அந்த
että	என்று
ovat	இருக்கிறார்கள்
mutta	ஆனாலும்
mutta	ஆனா
mutta	ஆனால்
sen	அதன்
kanssa	குல
kanssa	கொண்டு
kanssa	இதனால்
kanssa	உடன்
hänen	தன்
hänen	அவருடைய
hänen	அவனது
hänen	அவரின்
hänen	அவரது
hänen	அவளை
hänen	அவர்
hänen	அவளின்
hänen	அவளது
hänen	அவரது
jälkeen	பிறகும்
jälkeen	பின்பும்
jälkeen	பிறகு
jälkeen	பின்
suomen	பின்னிஷ்
vuoden	ஆண்டு
vuoden	வருடம்
vuoden	வருடமும்
muualla	எங்கும்
kun	எப்போது
kun	பொழுது
kun	இருக்கும்போது
kun	போது
kuin	போல்
kuin	போல
kuin	விரும்பு
kuin	விருப்பம்
kuin	பிடித்திருக்கிறது
mukaan	குல
mukaan	கொண்டு
mukaan	இதனால்
mukaan	உடன்
jonka	யாருடைய
jonka	யாருடையது
jonka	எந்த
jossa	எங்கே
jossa	எங்கு
voi	மே
voi	முடியும்
noin	அறிமுகம்
noin	பற்றி
noin	குறித்து
noin	சுமார்
sai	கிடைத்தது
sai	கிடைத்த
vain	மட்டுமே
vain	மட்டும்
vain	வெறும்
vain	சும்மா
olivat	இருந்தன
olivat	இருந்தனர்
olivat	இருந்த
lisäksi	also
lisäksi	அத்துடன்
lisäksi	கூட
lisäksi	பிளஸ்
lisäksi	ப்ளஸ்
jotka	எந்த
tavua	அசைகள்
tavua	பைட்டுகள்
kaksi	இரண்டு
kaksi	இருவர்
aikana	உடலுறவில்
aikana	போது
hänet	அவருக்கு
hänet	அவனுக்கு
hänet	அவர்
hänet	அவரை
hänet	அவனை
tuli	தீ
tuli	நெருப்பு
tuli	வந்த
tuli	வந்ததும்
tuli	வந்தான்
tuli	வந்தேன்
tuli	வந்தது
yksi	ஒன்று
yksi	ஒன்றை
yksi	ஒரு
voitti	வெற்றி
voitti	வென்றது
voitti	வெற்றிபெற்று
voitti	வென்று
tulos	முடிவுகள்
tulos	விடைகள்
tulos	முடிவு
tulos	விளைவு
tulos	பலன்
suomalainen	பின்னிஷ்
suomalainen	ஃபின்
kuten	போல்
kuten	போல
kuten	விரும்பு
kuten	விருப்பம்
kuten	பிடித்திருக்கிறது
myöhemmin	பின்னர்
myöhemmin	பிறகு
myöhemmin	பிற்பகுதியில்
myöhemmin	பின்னாளில்
toimi	செயலை
toimi	செயல்
toimi	ஆக்ஷன்
toimi	நடவடிக்கை
toimi	அதிரடி
toimi	சட்டம்
toimi	செயல்படுங்கள்
wikipedia	விக்கிப்பீடியா
ensimmäinen	முதலாவது
ensimmäinen	முதலில்
ensimmäinen	முதல்
ennen	முன்பு
ennen	முன்
ennen	முன்னர்
tämä	இந்த
tämä	இது
tämän	இந்த
tämän	இது
osa	பாகம்
osa	பகுதி
osa	சில
tammikuuta	ஜனவரி
tammikuuta	சனவரி
yhteensä	மொத்த
yhteensä	மொத்தம்
php	php
syyskuuta	செப்டம்பர்
vastaan	எதிராக
vastaan	எதிர்த்து
vastaan	எதிரான
vastaan	எதிரானது
eri	வித்தியாசமான
eri	வித்தியாசமாக
eri	வெவ்வேறு
eri	எமி
eri	emi
keskustelu	உரையாடல்
keskustelu	கலந்துரையாடலை
keskustelu	விவாதம்
keskustelu	கலந்துரையாடல்
keskustelu	அரட்டை
koska	ஏனென்றால்
koska	ஏனெனில்
koska	காரணம்
koska	பாதையில்
maaliskuuta	மார்ச்
teki	செய்தார்கள்
teki	செய்தார்
huhtikuuta	ஏப்
huhtikuuta	ஏப்ரல்
huhtikuuta	ஏப்ரல்
elokuuta	ஆகஸ்ட்
elokuuta	ஆகஸ்டு
kesäkuuta	ஜூன்
toukokuuta	மே
