variasjoner	warianty
legend	legendę
legend	legendy
legend	legend
legend	legenda
kambodsja	kambodży
malcolm	marcin
malcolm	malcolm
malcolm	malcolma
brooklyn	brooklyn
brooklyn	brooklynu
brooklyn	brooklynie
fabrikker	fabryk
fabrikker	fabryki
mod	mod
guangdong	guangdong
ruth	ruth
tsar	car
tsar	cara
rund	okrągła
rund	okrągły
rund	okrągłe
rund	runda
løftet	zniesione
inntekt	dochód
inntekt	przychód
inntekt	przychody
inntekt	dochody
inntekt	dochód
inntekt	przychód
inntekt	przychody
inntekt	dochodów
inntekt	dochody
astronom	astronom
raf	raf
terrenget	teren
terrenget	tereny
terrenget	terenu
slam	slam
atlantic	atlantyku
atlantic	atlantic
atlantic	atlantyk
atlantic	atlantycki
div	div
gjeld	długi
gjeld	długi
gjeld	długu
gjeld	dług
gjeld	zadłużenie
hobbs	hobbs
nansen	nansen
sittet	siedzenie
sittet	siedzący
sittet	siedzi
sittet	siedział
sittet	usiadł
sittet	sat
opprinnelsen	początki
opprinnelsen	pochodzenie
sheffield	sheffield
württemberg	wirtembergia
tel	tel
departement	wydział
departement	departament
departement	dział
departement	ministerstwa
departement	ministerstwo
rgb	rgb
hong	hong
kjæreste	dziewczyna
kjæreste	dziewczynę
kjæreste	chłopaku
kjæreste	chłopak
kjæreste	chłopaka
mikhail	michaił
avhandlingen	rozprawę
forhånd	zaliczki
miste	przegrać
miste	stracić
box	box
box	pole
box	pudełko
box	skrzynia
box	ramka
enorm	ogromny
enorm	ogromna
enorm	ogromne
enorm	ogromny
enorm	ogromne
primære	podstawowy
primære	pierwotne
primære	podstawowej
primære	podstawowe
primære	podstawowa
chang	chang
torp	torp
poul	poul
angola	angoli
varmt	gorąco
varmt	hot
varmt	gorące
varmt	gorąca
varmt	gorący
varmt	ciepła
varmt	ciepło
varmt	ciepły
halsen	gardło
halsen	gardła
biter	ugryzienia
biter	gryzie
biter	kawałki
saturn	saturn
southampton	southampton
seine	seine
avla	zabrał
avla	wzięła
avla	wziął
hinder	przeszkody
hinder	przeszkodę
hinder	przeszkoda
blomstene	kwiaty
blomstene	kwiatki
paraguay	paragwaju
protester	protesty
båret	niósł
båret	przewożonych
båret	przewożone
båret	ponoszone
gress	trawę
gress	trawka
gress	trawy
gress	trawa
gress	trawka
gress	trawa
gress	zioło
haag	hadze
sahara	sahara
barndom	dzieciństwa
barndom	dzieciństwo
barndom	dzieciństwie
dedikert	poświęcone
dedikert	oddany
dedikert	poświęcona
dedikert	poświęcony
dedikert	oddani
renessansen	renesansu
nagano	nagano
ulv	wolf
ulv	wilka
ulv	wilk
utmerkelse	nagród
utmerkelse	nagrody
utmerkelse	wyróżnienie
utmerkelse	nagrodę
utmerkelse	nagroda
utmerkelse	nagrody
medarbeidere	pracowników
medarbeidere	pracownicy
medarbeidere	współpracowników
medarbeidere	współpracownicy
medarbeidere	wspólnicy
medarbeidere	współpracownicy
medarbeidere	współpracowników
farget	kolorowe
farget	kolorowy
farget	kolorowych
ted	ted
dick	dick
dick	fiut
oppvekst	wychowanie
folkeavstemning	referendum
lidelse	cierpienia
lidelse	cierpienie
territorier	terytoriów
territorier	terytoria
westminster	westminster
mislyktes	nieudane
mislyktes	niepowodzenie
sub	sub
kontrast	przeciwieństwie
kontrast	kontrast
separat	osobno
separat	oddzielnie
separat	osobne
separat	odrębne
separat	oddzielne
patriark	patriarcha
konferansen	konferencje
konferansen	konferencję
konferansen	konferencja
konferansen	konferencji
økonom	ekonomista
hunter	łowca
hunter	hunter
hunter	myśliwy
isabella	izabela
isabella	isabella
alberto	alberto
fan	fana
fan	wachlarz
fan	wiatrak
fan	fan
fan	wentylator
befolket	zaludnionych
sjøs	morza
sjøs	morze
motivet	motyw
eter	jedz
eter	jeść
eter	eter
eter	eteru
rase	rasy
rase	rasa
rase	wyścig
rase	rasy
rase	race
rase	rasa
kristendom	chrześcijaństwo
kristendom	chrześcijaństwa
institusjon	instytucja
institusjon	instytucji
institusjon	instytucje
lena	lena
høydepunkt	wyróżnienie
høydepunkt	podkreślić
høydepunkt	podkreślenie
høydepunkt	wyróżnić
nancy	nancy
keeper	opiekun
keeper	bramkarz
bent	bent
protest	sprzeciw
protest	protest
protest	protestu
protest	protesty
court	dwór
court	sądu
court	sąd
court	court
court	trybunał
troen	wiara
troen	wierzenia
konsentrert	skoncentrowany
konsentrert	koncentrat
konsentrert	skoncentrowane
konsentrert	skoncentrowany
konsentrert	skupiona
konsentrert	skupiony
verre	gorzej
verre	gorszy
verre	gorsze
doktor	doktorze
doktor	lekarz
moldova	mołdawii
moldova	mołdawia
male	farba
male	farby
romeo	romeo
ordbok	słownik
ordbok	słownika
danskene	danes
kanadisk	kanady
kanadisk	kanadyjski
overlevd	przeżył
overlevd	przetrwał
overlevd	przetrwały
atlas	atlas
hud	skóry
hud	skórę
hud	skóra
area	teren
area	powierzchnia
area	obszarze
area	obszar
tirol	tirol
tirol	tyrol
olof	olof
innflytelsesrike	wpływowych
sarajevo	sarajewie
eik	dąb
eik	oak
bataljon	batalion
bataljon	batalionu
bologna	bolonii
connecticut	connecticut
meksikansk	meksykanie
meksikansk	meksykańskie
meksikansk	meksykański
meksikansk	meksykańska
kristi	kristi
effektive	efektywne
effektive	skuteczne
effektive	efektywny
effektive	sprawny
effektive	efektywne
effektive	skuteczny
effektive	efektywna
effektive	efektywny
effektive	skuteczne
søsken	rodzeństwo
søsken	rodzeństwa
søsken	rodzeństwo
filer	pliki
filer	plików
plasseringer	lokalizacji
plasseringer	lokalizacje
plasseringer	miejsca
plasseringer	umiejscowienia
plasseringer	umiejscowienie
holdeplass	posterunek
holdeplass	stacji
holdeplass	stacja
holdeplass	dworzec
manuskript	rękopis
vang	vang
oppførsel	zachowanie
oppførsel	zachowania
oppførsel	zachowanie
oppførsel	zachowania
oregon	oregon
beklager	przepraszam
unik	unikalne
unik	unikatowe
unik	unikalny
unik	wyjątkowy
unik	niepowtarzalny
innvandrere	imigrantów
innvandrere	imigranci
samarbeider	współpracujący
samarbeider	współpracujących
samarbeider	współpracujące
vakker	piękne
vakker	piękna
vakker	pięknie
vakker	śliczna
stiger	drabiny
stiger	rośnie
kommunistisk	komunistycznej
kommunistisk	komunistą
kommunistisk	komunistyczna
kommunistisk	komuniści
kanten	edge
kanten	krawędź
kanten	krawędzi
relasjoner	związki
relasjoner	relacje
relasjoner	relacje
relasjoner	relacji
relasjoner	stosunków
relasjoner	stosunki
bus	autobusem
bus	autobus
besetning	ekipa
besetning	załogi
besetning	załoga
besetning	ekipy
julian	julian
julian	juliana
kobber	miedzi
kobber	miedź
rør	touch
rør	dotyk
rør	rura
rør	fajkę
rør	rury
kritiserte	skrytykował
edwin	edwin
vill	wild
vill	dziki
vill	dziko
vill	dzika
vill	dzikie
antiokia	antiochii
jagerfly	zawodnicy
jagerfly	myśliwce
jagerfly	wojownicy
jagerfly	bojowników
hale	ogon
hale	tail
hale	ogonie
hale	hale
ireland	irlandii
ireland	irlandia
alexandra	alexandra
alexandra	aleksandra
bebodd	zamieszkana
mestere	mistrzowie
mestere	mistrzów
intellektuelle	intelektualistów
intellektuelle	intelektualnej
adrian	adrian
bosetninger	osiedla
bosetninger	osady
bosetninger	ugody
torbjørn	torbjørn
rydde	czysty
rydde	czysta
rydde	czyste
prøvd	próbowano
prøvd	usiłowanie
prøvd	próbowałem
prøvd	próbowałeś
mtv	mtv
avgang	wyjazd
avgang	wylot
avgang	odjazd
avgang	odlot
carsten	carsten
pistol	pistolet
pistol	broń
pistol	pistolet
pistol	gun
brigade	brygada
brigade	brygady
fisher	fisher
fisher	fishera
primær	podstawowy
primær	pierwotne
primær	podstawowej
primær	podstawowe
primær	podstawowa
odense	odense
strategiske	strategicznych
strategiske	strategiczne
strategiske	strategiczny
mathisen	mathisen
rico	rico
thoresen	thoresen
tydeligvis	ewidentnie
tydeligvis	najwidoczniej
tydeligvis	najwyraźniej
tydeligvis	widocznie
tydeligvis	wyraźnie
tydeligvis	najwyraźniej
skjell	skorupy
skjell	muszle
oppmerksom	uważny
blogg	blog
blogg	bloga
blogg	blogu
ansiktet	twarz
ansiktet	face
say	powiedz
beat	beat
beat	pokonać
jomfru	dziewica
jomfru	dziewicze
jomfru	maiden
jomfru	panieńskie
ferdige	skończony
ferdige	zakończone
ferdige	skończone
camilla	camilla
punk	śmieć
punk	punk
bagdad	bagdadu
bagdad	bagdadzie
elst	elst
sum	sum
sum	sumę
sum	sumy
sum	kwota
sum	suma
ruiner	ruin
ruiner	ruiny
fabrikk	fabrykę
fabrikk	fabryce
fabrikk	fabryki
fabrikk	fabryka
designer	projektant
designer	projektowanie
sjuende	siódmy
sjuende	siódmego
sjuende	siódmej
sjuende	siódme
sjuende	siódma
viggo	viggo
religioner	religie
small	małych
small	mały
small	małe
small	niewielkie
small	mała
small	male
elektroniske	elektroniczne
elektroniske	elektroniczna
elektroniske	elektroniczny
ronny	rona
ronny	ron
ronny	ronny
myspace	myspace
skytter	strzelec
familiene	rodziny
familiene	rodzin
inspirerte	inspiracja
inspirerte	zainspirowany
inspirerte	inspirujące
rick	rick
rick	ricka
düsseldorf	düsseldorf
perry	perry
oppføringer	zapisy
oppføringer	wpisy
helene	helene
helene	helena
helene	helen
hart	hart
opposisjon	opozycja
opposisjon	opozycji
opposisjon	sprzeciw
seven	siódemka
seven	siedmiu
seven	siedem
farlige	niebezpiecznie
farlige	niebezpieczne
farlige	niebezpieczna
farlige	niebezpieczny
bachelor	kawaler
bokstav	list
bokstav	pismo
bokstav	litera
sean	sean
sean	seana
helle	helle
anmeldelse	recenzja
anmeldelse	przeglądu
anmeldelse	przegląd
anmeldelse	rewizja
konsekvens	konsekwencje
konsekvens	konsekwencją
konsekvens	skutki
konsekvens	konsekwencje
konsekvens	następstwa
konsekvens	spójności
konsekvens	spójność
hop	hop
gjest	goście
gjest	gość
rise	powstań
pater	ojcze
pater	ojciec
aage	aage
pearl	perły
pearl	perła
pearl	pearl
negativt	negatywne
negativt	negatywny
böhmen	czechy
irish	irlandczycy
irish	irlandzkie
irish	irlandzki
irish	irlandczyk
