인피니티	nieskończoność
호흡	oddech
호흡	oddychać
호흡	oddechowych
호흡	oddychanie
호흡	oddycha
호흡	oddychać
호흡	oddech
호흡	oddychanie
호흡	oddech
경쟁력	konkurencyjna
경쟁력	konkurencyjne
경쟁력	konkurencyjny
경쟁력	konkurencyjnych
경쟁력	konkurencyjność
경쟁력	konkurencyjności
경쟁력	konkurencyjność
불완전한	niedoskonałe
캐럴	carol
캐럴	carroll
파이브	pięciu
파이브	pięć
루피	rupii
루피	rupia
사라예보	sarajewie
침대	łóżka
침대	łoże
침대	łóżka
침대	łóżko
침대	łóżku
모닝	rano
모닝	poranek
카린	karin
페루자	perugia
악당	łotr
인디언스	indian
인디언스	indianie
사노	sano
합법적인	legalnie
합법적인	legalny
합법적인	legalna
합법적인	legalne
합법적인	legalnie
합법적인	prawny
합법적인	prawne
합법적인	legalne
나미비아	mołdawia
나미비아	namibii
휴식	break
휴식	przerwa
휴식	złamać
휴식	spoczynku
휴식	odpoczywa
휴식	wypoczynek
휴식	odpoczynek
휴식	relaksu
휴식	wypoczynek
휴식	odpoczynek
휴식	relaks
리코	ricoh
북극	arktyce
퀄컴	qualcomm
똑바로	prosto
캘거리	calgary
친절한	rodzaj
로테르담	rotterdam
빌드	zbudować
빌드	budować
빌드	budowanie
빌드	buduje
학술지	dziennik
학술지	czasopismo
학술지	journal
학술지	pamiętnik
실리콘	krzemu
생선	ryby
생선	ryba
생선	ryb
생선	rybka
생선	rybki
레프	lew
히로코	hiroko
리에주	liège
브루나이	brunei
쌓인	ułożone
냉방	chłodzenie
냉방	chłodzenia
급속한	szybkie
급속한	rapid
정화	oczyszczenie
정화	oczyszczania
정화	oczyszczanie
나카타	nakata
원고	powód
원고	powodów
크리스티	christie
해외로	zamorskich
해외로	zagranicą
해외로	zagranicy
유리코	yuriko
엑스포	expo
엑스포	expos
컴파일러	kompilacji
컴파일러	kompilatory
컴파일러	kompilatora
시체	body
시체	ciało
시체	nadwozia
