友善	friendly
山麓	piemonte
山麓	piedmont
甜蜜	sweet
甜蜜	matamis
瘦	payat
瘦	slim
瘦	lean
瘦	manipis
瘦	ginhawa
瘦	payat
學界	academia
甲烷	methane
優質	kalidad
優質	quality
書法	calligraphy
船員	crew
前衛	vanguard
稀少	gipit
稀少	salat
稀少	sparse
山羊	kambing
丟	throw
丟	ihagis
雪梨	sydney
批量	bulk
批量	maramihang
消化	panunaw
消化	digestive
成效	bisa
樹木	puno
樹木	puno
陶器	palayok
租賃	rental
租賃	lease
凱撒	caesar
馬達加斯加	madagascar
告別	paalam
胖	taba
胖	mataba
狹窄	makipot
狹窄	paliitin
狹窄	makitid
裁決	verdict
裁決	namumuno
節省	savings
節省	saving
磚	brick
磚	brick
利率	rate
高大	tangkad
高大	matangkad
水下	lunod
意向	hangarin
意向	pagkahilig
意向	intention
壓制	repression
壓制	suppress
壓制	suppression
進度	progreso
重溫	balikan
指稱	paratang
哺乳動物	mamalya
哺乳動物	mammals
爺爺	lolo
突襲	raid
情侶	couples
情侶	lovers
示範	model
示範	pakita
示範	demo
示範	pagpapakita
保全	panatilihin
保全	pagaalaga
保全	pangangalaga
宮殿	palasyo
智力	katalinuhan
智力	intelektuwal
智力	intellectual
爆破	mapanira
渡口	ferry
糾紛	alitan
糾紛	alitan
糾紛	pagtutol
發光	shine
發光	kumikinang
發光	luminous
發光	glow
結盟	alyansa
阿拉伯語	arabic
阿拉伯語	arabe
阿拉伯語	arabo
異議	pagtutol
係數	coefficient
抱怨	nagrereklamo
抱怨	magreklamo
抱怨	nagrereklamo
窮	mahirap
窮	kawawang
投球	itayo
投球	pitch
銀色	pilak
銀色	silver
鞘	sheath
小牛	calf
訪談	interview
訪談	panayam
訪談	pakikipanayam
訪談	panayam
訪談	interbyu
口味	flavors
揚州	yangzhou
就職	inauguration
就職	pagtatalaga
人性	sangkatauhan
饒	rao
失誤	pagkakamali
溶解	dissolved
溶解	tunawin
桃源	taoyuan
天平	scales
外國人	alien
外國人	foreigner
外國人	dayuhan
反感	nadismaya
神仙	fairy
李子	sirwelas
腸	sausage
腸	longganisa
腸	bituka
腸	isaw
鹼	alkali
鹼	alkalina
石板	slate
石板	tablet
秋山	akiyama
液晶	lcd
福爾摩斯	holmes
君主制	monarkiya
野心	ambisyoso
野心	ambisyon
別墅	villa
印地安人	indians
籠	cage
監管	binabantayan
顯示器	ipakita
顯示器	ipapakita
顯示器	display
顯示器	sinusubaybayan
有害	nakakasama
銀河系	galaxy
罰款	fines
葡萄糖	glucose
鋰	lityo
千秋	chiaki
劍橋	cambridge
詛咒	sumpa
達拉斯	dallas
草莓	strawberry
奶奶	lola
蚊	lamok
補償	compensation
補償	sweldo
教父	ninong
蝙蝠俠	batman
輕微	slight
肽	peptide
廁所	cr
廁所	palikuran
廁所	banyo
葉子	dahon
葉子	dahon
葉子	yoko
激進	radical
乙醇	ethanol
有罪	guilty
大塚	otsuka
禮拜	pagsamba
樣式	styles
樣式	istilo
樣式	estilo
樣式	istilo
樣式	style
樣式	estilo
遷徙	paglilipat
遷徙	migration
海倫	helen
螢	ying
讀音	pagbigkas
讀音	bigkas
聖殿	basilika
聖殿	templo
郵票	stamp
郵票	stamps
多瑙河	danubio
阿爾及利亞	algeria
騷擾	panggugulo
騷擾	pananakot
騷擾	panliligalig
冷卻	pampalamig
攝影機	kamera
攝影機	camera
皇宮	palasyo
法老	paraon
微小	tiny
出版商	publisher
精美	katangi
溫和	magiliw
溫和	pagkontrol
溫和	mild
溫和	banayad
公升	litre
公升	litro
公升	litrong
公升	litro
相對論	relatibidad
對面	kabaliktaran
香料	pampalasa
香料	pampalasa
悼念	tributes
悼念	pagluluksa
辣椒	chilli
辣椒	paminta
賭場	sugalan
賭場	kasino
賭場	casino
國徽	sagisag
國徽	emblem
悲劇	tragic
悲劇	trahedya
鎖定	lock
鎖定	locked
租金	rental
租金	umupa
租金	upahan
租金	rent
租金	upa
光輝	nagniningning
喀麥隆	cameroon
誤解	pagkakaunawaan
彎曲	curved
彎曲	bend
溫暖	maiinit
溫暖	mainit
溫暖	init
溫暖	kainitan
解剖	anatomiya
手套	guwantes
手套	mittens
硬幣	barya
硬幣	barya
硬幣	coin
朝代	awan
你好	hello
皂	sabon
承包商	kontratista
承包商	kontratista
草坪	lawn
草坪	damuhan
方舟	kaban
編譯	naipon
編譯	compilation
鉛	lead
鉛	humantong
鉛	tingga
鉛	pamunuan
鞭	hagupit
錐	cone
界定	tukuyin
氣溫	temperatura
概括	paglalahat
日光	daylight
馬賽	marsella
彈性	flexible
彈性	nababaluktot
彈性	flexibility
彈性	elastisidad
彈性	nababanat
長老	elder
長老	elders
野牛	kalabaw
野牛	bison
特許	konsesyon
盾牌	kalasag
盾牌	shields
走私	pagdadala
紀念館	memorial
