분류	categoría
토론	debates
토론	discusións
토론	discusión
토론	debate
선수	músicos
선수	entidades
바깥	do
바깥	fóra
바깥	fora
고리	aneis
축구	fútbol
영화	filmes
영화	película
영화	filme
영화	cine
영화	cinema
영화	película
영화	filme
영화	filmes
영화	cinema
다른	outra
다른	outros
다른	outro
다른	outras
같은	mesmo
같은	mesmas
같은	mesma
이후	desde
이후	xa
이후	que
이후	dende
그는	el
그는	que
그는	está
함께	con
함께	coa
함께	co
함께	xuntos
또한	tamén
현재	actual
현재	actuais
현재	que
현재	súa
현재	corrente
현재	estamos
현재	actualmente
현재	neste
현재	momento
현재	presentar
현재	actual
현재	presente
현재	presentes
현재	agasallo
같이	xuntos
사람	persoa
사람	alguén
사람	home
사람	meu
사람	xente
사람	persoas
사람	a
사람	pobo
배우	actores
배우	actriz
배우	actor
일본	xapón
일본	xaponés
일본	xaponeses
또는	ou
그리고	e
미국	nos
미국	nós
미국	eua
그러나	porén
그러나	con
그러나	todo
그러나	sen
그러나	embargo
그러나	pero
그러나	aínda
그러나	pero
그러나	mais
그의	o
그의	seu
그의	súa
그의	seus
그의	a
보기	vista
보기	opinión
보기	punto
보기	visión
파일	arquivos
많은	moitos
많은	cantas
많은	moitas
많은	cantos
다시	outra
다시	vez
다시	máis
다시	novo
다시	de
다시	volver
다시	volta
다시	atrás
출신	de
출신	da
출신	do
출신	dende
통해	través
통해	a
통해	por
모두	todo
모두	todos
모두	todas
모두	todo
모두	o
모두	mundo
모두	todos
클럽	clube
클럽	salvavidas
클럽	club
공식	fórmula
공식	oficial
세기	séculos
세기	século
세기	xiii
세계	mundo
세계	mundos
하지만	pero
하지만	mais
작품	funciona
작품	traballa
게임	partido
게임	xogo
게임	videoxogos
게임	de
게임	xogos
게임	xogar
게임	videoxogos
게임	os
텔레비전	a
텔레비전	televisión
텔레비전	tele
텔레비전	da
텔레비전	programa
텔레비전	tv
텔레비전	televisión
텔레비전	tele
감독	director
감독	dirección
감독	de
감독	dirixida
웹사이트	sitio
웹사이트	web
웹사이트	páxina
관련	relevante
관련	relevantes
관련	coa
시즌	tempada
시즌	de
시즌	estacións
드라마	drama
학교	escolas
학교	as
학교	nas
학교	instituto
학교	escola
학교	colexio
사용자	usuario
사용자	de
참고	nota
참고	a
설립	fundou
참가	participación
연도	ano
경기	partido
경기	xogo
경기	videoxogos
경기	de
특히	especialmente
특히	neno
특히	moi
특히	particularmente
특히	sobre
특히	todo
특히	particular
특히	especialmente
특히	sobre
특히	todo
위치	posición
위치	lugares
대학교	universidade
대학교	de
대학교	da
대학교	universidades
대학교	universitaria
대학교	universidade
대학교	na
대학교	estudantes
대학교	facultade
대학교	que
대학교	college
대학교	colexio
문서	documentos
문서	documento
그림	as
그림	imaxes
그림	foto
그림	imaxe
그림	fotografía
그림	imaxe
그림	figura
그림	que
그림	descubrir
그림	pensar
매우	moi
지역	área
지역	zona
지역	rexión
지역	do
지역	sudeste
지역	rexións
목록	lista
목록	listaxe
한국	corea
주로	principalmente
주로	maioría
주로	sobre
주로	todo
주로	maiormente
주로	maioritariamente
많이	moita
많이	moreas
많이	moitas
많이	moito
많이	moitos
많이	canto
많이	grazas
많이	moito
많이	máis
많이	tanto
도시	cidade
도시	pobo
도시	vila
도시	aldea
도시	city
도시	cidade
도시	da
도시	cidades
도시	nas
음악	música
프랑스	franceses
프랑스	francés
프랑스	francesa
프랑스	francesas
프랑스	francia
프랑스	franza
가수	cantante
도쿄	tokio
중국	china
죽음	a
죽음	morte
죽음	mortes
전쟁	guerra
전쟁	a
전쟁	guerras
전쟁	guerra
독일	alemán
독일	alemana
독일	alemaña
독일	alemáns
독일	alemaña
다음	próxima
다음	ao
다음	seguinte
다음	lado
다음	próximo
다음	o
직업	carreira
직업	súa
직업	profesión
직업	traballo
직업	traballos
직업	traballo
대학	universidades
대학	universidade
대학	de
대학	da
대학	universidades
대학	universitaria
대학	universidade
대학	na
대학	estudantes
대학	facultade
대학	que
대학	college
대학	colexio
동안	mentres
동안	tempo
주의	atención
여자	muller
여자	unha
여자	mulleres
여자	as
자료	datos
자료	puntos
자료	información
이름	nome
이름	se
이름	nomes
이름	nome
이름	os
음반	ubicación
일부	algúns
일부	algunhas
일부	algo
일부	de
일부	un
영국	a
영국	británico
영국	británica
영국	británicos
영국	británicas
영국	inglesa
학급	clase
학급	da
야구	béisbol
프로그램	programas
프로그램	aplicación
프로그램	programa
프로그램	de
프로그램	programar
역사	históricos
역사	histórico
역사	histórica
역사	historia
역사	da
시간	horas
시간	hora
시간	momento
시간	tempo
시간	vez
시간	hora
졸업	estudante
노선	ruta
기타	guitarra
기타	outra
기타	outros
기타	outro
기타	outras
기타	aos
기타	outros
기타	demais
기타	outras
기타	máis
구역	área
구역	zona
로마	roma
거의	case
우승	gañar
제작	producida
제작	produción
제작	de
제작	producción
수도	capital
수도	capitais
수도	capitol
수도	o
국제	international
국제	internacional
국제	internacionais
청소년	xuventude
청소년	mozos
청소년	a
청소년	mocidade
청소년	francia
청소년	de
영어	inglés
영어	ingleses
영어	inglesa
남자	homes
남자	os
남자	home
남자	meu
프로	profesionais
프로	profesional
프로	un
결과	resultado
결과	resultados
결과	consecuencia
결과	resultado
아들	fillo
활동	acción
활동	actividades
활동	activa
활동	a
활동	activo
활동	activos
활동	activas
활동	militante
활동	as
활동	accións
활동	actividade
역시	comisaría
역시	estación
이미	xa
이상	ideal
이상	ideais
국가	país
국가	estado
혹은	ou
철도	tren
언어	idiomas
언어	linguaxes
언어	linguas
언어	as
언어	faladas
언어	idioma
언어	linguaxe
언어	a
언어	lingua
그룹	grupo
그룹	de
그룹	dous
그룹	grupos
스포츠	deporte
스포츠	deportes
스포츠	deporte
마지막	último
마지막	últimos
마지막	pasado
마지막	última
마지막	o
마지막	onte
설명	explicación
설명	explicar
설명	explicarllo
설명	describir
설명	descrición
시대	período
시대	periodo
시대	tempo
시대	a
시대	adolescencia
시대	era
대통령	presidente
대통령	vicepresidente
대통령	o
가운데	media
가운데	medio
가운데	oriente
교통	tráfico
계속	seguir
계속	continuar
계속	continúan
계속	continúe
계속	continuaremos
러시아	rusia
직접	directa
정보	información
날짜	cita
날짜	a
날짜	día
날짜	data
날짜	datas
인물	carácter
인물	retrato
유럽	europa
유럽	en
싱글	cada
싱글	simple
싱글	soa
싱글	só
싱글	única
싱글	único
요청	petición
라디오	radio
노래	cantar
노래	canta
노래	cante
노래	cancións
노래	canción
노래	escribir
노래	cantando
노래	canta
노래	cantar
노래	que
노래	canción
노래	cantiga
노래	cantar
노래	canto
이탈리아	italia
이탈리아	italiano
이탈리아	italiana
이탈리아	italianos
차단	mazás
차단	de
차단	mazá
차단	bloque
차단	bloquear
차단	acceso
차단	barracón
처음	primeiro
처음	primeira
관계	relación
관계	relacións
관계	relación
관계	relacións
관계	relación
불교	budistas
채널	canal
채널	canle
시리즈	serie
시리즈	de
공화국	república
삭제	se
삭제	e
삭제	quitar
삭제	quitamos
각각	entre
각각	cada
각각	uns
각각	un
경력	carreira
경력	súa
항공	aire
항공	ar
이전	máis
이전	vella
이전	vello
이전	os
이전	maior
이전	ancián
이전	sexa
이전	maiores
이전	crecen
이전	anteriores
이전	de
이전	antes
만든	fixen
만든	fixo
만든	feito
전투	batalla
전투	de
전투	combate
전투	combates
전투	postos
전투	batallas
전투	combates
아버지	pai
아버지	o
아버지	padre
어느	que
어느	cal
변경	cambiar
변경	cambiando
변경	muda
변경	a
변경	mudando
변경	de
변경	cambio
변경	cambios
변경	cambia
변경	os
변경	muda
변경	cambiar
변경	mudar
변경	cambio
최신	últimos
최신	último
최신	últimas
작곡	por
작곡	composicións
설치	aparello
설치	instalación
기록	de
기록	gravar
기록	disco
기록	historia
기록	da
앨범	ubicación
운영	as
운영	operacións
받은	recibín
받은	recibiron
받은	recibimos
받은	recibiu
편집	editar
편집	edit
최고	máis
최고	mellores
최고	mellor
외국인	estranxeira
선거	elección
선거	eleccións
선거	electoral
선거	eleccións
현대	modernos
현대	moderna
현대	as
현대	modernas
현대	moderno
디지털	dixital
디지털	dixitais
비디오	vídeo
비디오	video
비디오	videoxogos
비디오	vídeos
기간	período
기간	periodo
기간	tempo
기간	a
기간	adolescencia
내용	contido
내용	dóeme
그를	el
그를	o
그를	lle
교장	director
교장	principal
정부	goberno
정부	do
일반적으로	normalmente
일반적으로	xeral
일반적으로	normalmente
일반적으로	normalmente
원래	orixinalmente
보고	informe
보고	informar
보고	reportando
보고	información
전에	de
전에	antes
보통	habitualmente
보통	normalmente
보통	adoita
보통	xeral
보통	adoitan
보통	regularmente
보통	normal
보통	típica
보통	de
보통	taxis
보통	regular
보통	normal
보통	normais
어떻게	como
어떻게	que
어떻게	canto
기업	empresa
기업	compañía
링크	enlace
링크	enlaces
링크	ligazóns
대부분의	a
대부분의	maioría
대부분의	parte
대부분의	máis
지방	rexión
지방	do
지방	sudeste
지방	graxos
지방	graxa
지방	gorda
지방	gordo
지방	gordos
지방	o
교육	ensinar
교육	ensino
교육	ensinanza
교육	educación
교육	a
교육	educativo
교육	educativas
일반	xeral
일반	xeneral
일반	o
대신	en
대신	vez
대신	lugar
대신	no
대신	canto
대신	diso
교수	mestre
교수	profesor
고려	conta
고려	considerade
고려	considerar
고려	consideren
고려	os
고려	en
고려	consideraría
외부	do
외부	fóra
외부	fora
그리스	grego
그리스	grecia
사이트	zona
사이트	lugar
정치	política
정치	a
정치	políticas
정치	políticas
정치	políticos
정치	político
정치	política
사용	uso
사용	usamos
사용	usar
사용	usan
사용	adoitaba
사용	antes
사용	usa
초기	cedo
초기	primeiras
고대	antiga
고대	antigas
고대	antigo
고대	antigos
국제공항	aeroporto
순위	última
대사관	embaixada
먼저	primeiro
먼저	primeira
컴퓨터	ordenador
컴퓨터	computador
