keiserlik	imperial
lineaarne	linier
lineaarne	linear
traadita	wireless
traadita	nirkabel
muda	mud
muda	lumpur
mõõtmine	pengukuran
mõõtmine	mengukur
mõõtmine	pengukuran
mõõtmine	pengukuran
krull	krull
lõhna	penciuman
lõhna	bau
lõhna	parfum
lõhna	wewangian
lõhna	keharuman
lõhna	wangi
õnnetus	kecelakaan
õnnetus	hse
suurused	ukuran
kommunismi	komunisme
babüloonia	babilonia
semper	semper
tragöödia	tragedi
meeli	indera
meeli	indra
eeldused	persyaratan
eeldused	asumsi
václav	václav
valdkond	domain
valdkond	ranah
valdkond	daerah
valdkond	wilayah
valdkond	luas
valdkond	kawasan
valdkond	area
konkurentsi	kompetisi
konkurentsi	persaingan
konkurentsi	lomba
vulgaris	vulgaris
vicente	vicente
liu	liu
johansson	johansson
jälgib	memonitor
jälgib	pantau
jälgib	monitor
marge	marge
stein	stein
pen	pen
pen	pulpen
pen	pena
germain	germain
kommentaar	comment
kommentaar	komen
kommentaar	komentari
kommentaar	komentar
sean	sean
shanghai	shanghai
armastaja	pencinta
armastaja	pecinta
armastaja	kekasih
armastaja	lover
orange	orange
orange	jingga
orange	jeruk
orange	oranye
sõnaraamat	kamus
tuld	fire
tuld	api
tuld	kebakaran
viimasena	last
viimasena	terakhir
ilmaliku	sekuler
odavam	termurah
edge	edge
edge	tepi
edge	tepian
kiili	dragonfly
kiili	capung
individuaalne	individu
individuaalne	individual
individuaalne	perorangan
myspace	myspace
robot	robot
pilv	awan
pilv	cloud
autosid	cars
autosid	mobil
litsents	lisensi
litsents	sim
litsents	lisensi
kristlus	kekristenan
kristlus	kristen
java	jaktim
java	jawa
java	java
opel	opel
esinemise	kejadian
nero	nero
pakkumise	tender
thorpe	thorpe
mir	mir
konsul	konsul
allavoolu	hilir
rõõm	kesenangan
rõõm	joy
rõõm	sukacita
olümpia	olympic
olümpia	olimpiade
dünaamiline	dynamic
dünaamiline	dinamis
owen	owen
järg	sekuel
seen	jamur
thor	thor
agentuuri	agency
agentuuri	agen
agentuuri	agensi
agentuuri	badan
sang	sang
terav	sharp
terav	tajam
foorum	forum
luuletus	puisi
õpetab	mengajarkan
väidetud	mengklaim
väidetud	diklaim
traditsioonilised	traditional
traditsioonilised	tradisional
sõnumid	pesan
timothy	timotius
timothy	timothy
cat	cat
cat	kucing
gnu	gnu
faktid	fakta
täpsed	akurat
pete	pete
diameeter	diameter
gloria	gloria
kursused	kursus
suomen	suomen
constantin	constantin
horisontaalselt	horisontal
horisontaalselt	horizontal
horisontaalselt	mendatar
suurenemine	naikkan
suurenemine	tingkatkan
suurenemine	meningkat
suurenemine	meningkatkan
suurenemine	peningkatan
vassiljev	vasiliev
strauss	strauss
institutsioonid	institusi
institutsioonid	lembaga
romantiline	romantis
romantiline	romantic
uhke	bangga
uhke	proud
uhke	mewah
uhke	fancy
kirjutades	mengetikkan
kirjutades	mengetik
haruldased	langka
