kategória	categorie
roku	jaar
ako	hoe
ako	zoals
ako	like
bol	bol
bol	was
pozri	zien
pozri	zie
pozri	kijk
obce	gemeenten
obce	dorpen
obce	dorpjes
mba	mba
obyvateľov	inwoners
obyvateľov	bewoners
obyvateľov	inwoners
obyvateľov	bewoners
obyvateľov	ingezetenen
obec	commune
obec	dorpje
obec	dorp
pre	voor
jeho	zijn
jeho	its
ktorá	welke
bod	punt
bod	point
pri	pri
bola	was
ktoré	welke
ktorý	welke
zoznam	lijstje
zoznam	lijst
odkazy	verwijzingen
odkazy	referenties
odkazy	links
socorro	socorro
externé	extern
externé	uitwendig
externé	externe
ale	maar
iné	overige
iné	andere
iné	ander
iné	overig
iné	overige
iné	andere
iné	overigen
iné	anderen
the	het
the	de
počet	nummer
počet	aantal
počet	getal
boli	waren
podľa	onder
podľa	under
miesto	spot
miesto	plaats
miesto	lokatie
miesto	locatie
miesto	ligging
miesto	site
bolo	was
obcí	gemeenten
obci	commune
jej	its
jej	haar
ich	hun
ich	hen
ich	ich
medzi	tussen
projekty	projecten
team	team
francúzska	frans
francúzska	fransen
francúzska	franse
francúzska	frankrijk
najvyšší	supreme
najvyšší	opperste
najvyšší	hoogst
najvyšší	hoogste
však	echter
pod	onder
pod	hieronder
pod	pod
pod	onder
pod	under
pred	pre
pred	voordat
pred	vóór
vývoj	ontwikkeling
vývoj	evolution
vývoj	ontwikkeling
vývoj	evolutie
vývoj	ontwikkelingen
graf	grafiek
graf	grafiek
najnižší	laagste
najnižší	laagst
kde	kde
kde	waar
môže	mogen
môže	may
môže	mei
môže	mag
môže	moge
môže	kan
môže	kunt
môže	kunnen
nasledujúci	volgende
nasledujúci	volgend
zobrazuje	displays
zobrazuje	toont
zobrazuje	toont
zobrazuje	shows
keď	wanneer
len	alleen
len	enkel
len	slechts
len	gewoon
mesto	stad
mesto	stad
počas	tijdens
počas	gedurende
tiež	ook
rokov	jaar
rokov	jaren
nie	niet
september	september
úmrtia	dood
úmrtia	doods
úmrtia	overlijden
úmrtia	sterfte
úmrtia	sterfgevallen
neskôr	later
neskôr	straks
slovenský	slowaaks
slovenský	slowaakse
slovenský	slowaaks
aby	maken
aby	maak
storočia	eeuwenlang
storočia	eeuwen
storočia	eeuw
nad	nad
nad	hierboven
nad	boven
utc	utc
jpg	jpg
časti	onderdelen
časti	delen
stránka	bladzijde
stránka	pagina
stránka	site
skupiny	groep
skupiny	fractie
skupiny	groepen
html	html
roka	jaar
ktorú	welke
časť	afdeling
časť	sectie
časť	deel
časť	gedeelte
ngc	ngc
október	oktober
október	october
október	lgo
mesta	stad
mesta	stad
marec	maart
marec	marcheren
august	august
august	augustus
august	aug
skupina	groep
skupina	fractie
veľmi	zeer
potom	dan
potom	daarna
oficiálna	ambtenaar
oficiálna	officiële
oficiálna	officieel
