तुर्कमेनिस्तान	turkmenistánu
देखिए	viz
रॉबर्ट्स	roberts
क्लाइंट	klienta
क्लाइंट	zákazník
क्लाइंट	klient
क्लाइंट	klienti
क्लाइंट	klienty
गर्भाधान	oplodnění
डायरी	deník
डायरी	diář
अपडेट	aktualizace
अपडेट	aktualizovat
अपडेट	aktualizace
चैम्पियन	šampion
चैम्पियन	šampion
चैम्पियन	šampión
डेनिस	denise
डेनिस	denisa
डेनिस	dennis
डेनिस	denis
डेनिस	denis
जोएल	joel
मैगज़ीन	časopisy
सीमाएं	omezení
शंघाई	šanghaji
वाइस	vice
किट	kite
किट	souprava
किट	kit
भ्रमित	zmatená
भ्रमित	zmatený
भ्रमित	zmatení
संस्मरण	paměti
बाप	otče
बाप	otec
थाली	talíř
थाली	deska
नग्न	nazí
नग्न	nahý
नग्न	nahé
नग्न	nahá
नग्न	nahý
नग्न	nahé
नग्न	nahá
कार्यभार	úkoly
कार्यभार	úkol
कार्यभार	přidělení
कार्यभार	zadání
कार्यभार	přiřazení
एनालॉग	analogové
रुकावट	překážka
रुकावट	maření
प्रतिबिंब	odraz
प्रतिबिंब	zamyšlení
प्रतिबिंब	zrcátko
प्रतिबिंब	zrcadla
प्रतिबिंब	zrcadlo
ब्लेड	ostří
ब्लेड	blade
ब्लेड	čepel
ब्लेड	čepele
ब्लेड	lopatky
सदिश	vektor
सदिश	vektory
स्थगित	pozastaví
स्थगित	pozastavit
स्थगित	odložili
स्थगित	odložena
स्थगित	odložil
स्थगित	odloženo
स्थगित	čekající
गिरोह	gang
दायित्वों	závazky
दायित्वों	povinnosti
पावन	svatý
पावन	svaté
पावन	svatá
मर्यादा	důstojnosti
मर्यादा	důstojnost
बैले	baletu
बैले	balet
बैले	baletní
बसंत	jarní
बसंत	jaro
शर्ट	triko
शर्ट	košili
शर्ट	tričko
शर्ट	košile
शर्ट	trička
शर्ट	košile
न्यायाधीशों	rozhodčí
न्यायाधीशों	porotci
न्यायाधीशों	soudců
न्यायाधीशों	soudci
तेरी	teri
सेंसर	senzory
सेंसर	čidla
सेंसर	snímače
सेंसर	snímač
सेंसर	senzor
सेंसर	snímače
स्टैंड	stát
स्टैंड	stánky
स्टैंड	stojí
उपनिवेशों	kolonií
उपनिवेशों	kolonie
बहुवचन	plurál
एकाधिकार	monopol
एकाधिकार	monopoly
विनाशकारी	katastrofální
विनाशकारी	ničivé
विनाशकारी	zničující
मिसौरी	missouri
बहुराष्ट्रीय	nadnárodní
मारी	marie
मारी	mari
कार्गो	náklad
शुभारंभ	spuštění
शुभारंभ	zahájení
शुभारंभ	spouštění
आमेर	amer
दारा	darius
दारा	dara
फ़्रांसीसी	francouzština
फ़्रांसीसी	francouzské
फ़्रांसीसी	francouzsky
फ़्रांसीसी	francouzská
फ़्रांसीसी	francouz
जादूगर	kouzelník
जादूगर	čaroděj
जादूगर	čaroději
जादूगर	kouzelníci
जादूगर	kouzelník
जादूगर	mág
प्रतिमान	vzor
प्रतिमान	vzorec
प्रतिमान	paradigmatu
सच्चा	pravda
सच्चा	true
सच्चा	pravdivé
वोल्ट	volt
अमोनिया	amoniaku
विश्लेषणात्मक	analytické
विश्लेषणात्मक	analytická
प्रतिबद्धता	závazek
प्रतिबद्धता	odhodlání
डू	doo
विधायिका	zákonodárce
पकड़ा	popadl
कॉफ़ी	odpojení
कॉफ़ी	kávy
कॉफ़ी	kávu
कॉफ़ी	kafe
कॉफ़ी	káva
उल्टा	reverzní
उल्टा	obrátit
उल्टा	zvrátit
उल्टा	zpětný
उल्टा	obrácené
एलेन	ellen
किराए	tarify
किराए	nájemné
किराए	pronájem
किराए	nájem
किराए	pronajmout
न्यायालयों	soudy
एस्टन	aston
मांसपेशी	svaly
मांसपेशी	sval
विषाक्त	toxické
विषाक्त	toxická
विषाक्त	toxický
तूफ़ान	bouře
तूफ़ान	bouřky
तूफ़ान	tajfun
तूफ़ान	bouře
तूफ़ान	storm
तूफ़ान	bouřka
कड़ा	těsné
कड़ा	pevně
कड़ा	tvrdá
कड़ा	těžce
कड़ा	tvrdé
कड़ा	těžké
कड़ा	tvrdý
कड़ा	tvrdě
बदली	zataženo
पड़ाव	milník
एंजाइम	enzymu
एंजाइम	enzymy
एंजाइम	enzym
मूसा	mojžíš
पिंक	pink
पिंक	růžový
पिंक	růžová
पिंक	růžové
बैरी	barry
बैरी	barryho
बैरी	antagonista
कॉमर्स	komerční
जीप	jeep
चलाना	exec
चलाना	poprava
चलाना	vykonání
चलाना	provedení
चलाना	popravu
दादी	babičky
दादी	babička
दादी	babičky
दादी	babička
कमिश्नर	komisař
कमिश्नर	komisaře
कमिश्नर	komisaři
पहाड़ियाँ	hills
पहाड़ियाँ	kopců
पहाड़ियाँ	kopce
मैथ्यू	matthew
मैथ्यू	matěj
गंधक	síra
गंधक	síry
गंधक	síra
षड्यंत्र	konspirace
षड्यंत्र	spiknutí
प्रशस्त	dlážděné
अंडमान	andamanské
दूषित	zkažená
दूषित	poškozen
पश्च	zadní
रीडर	čtenář
रीडर	čtenáře
मिर्ज़ा	mirza
क्रांतिकारियों	revolucionáři
