सीना	cena
मिथक	mito
मिथक	myth
श्रृंगार	makeup
श्रृंगार	pampaganda
अर्ल	earl
वेदान्त	vedanta
निर्देशिका	directory
निर्देशिका	direktoryo
निर्देशिका	index
आंग्ल	anglo
समता	paridad
एवेन्यू	avenue
एवेन्यू	abenida
बेरोजगारी	unemployment
लत	addiction
जुर्माना	fine
जुर्माना	fines
क़ुरान	quran
पूर्णता	pagkumpleto
ओमान	oman
मार्केटिंग	pamimili
मार्केटिंग	marketing
पीड़ितों	biktima
शक्तियां	kapangyarihan
शक्तियां	pwersa
शक्तियां	sandatahan
बादलों	ulap
चतुर्भुज	kuwadrilateral
चतुर्भुज	parihaba
चीता	leopardo
मूक	tahimik
मूक	mute
लीन	lyn
प्रतिभाशाली	genius
प्रतिभाशाली	henyo
प्रतिभाशाली	talentadong
पनीर	keso
स्मार्ट	matalino
स्मार्ट	smart
नियोक्ता	employer
पश्तो	pashto
मैडोना	madonna
बराक	barack
बराक	barak
चमकदार	luminous
चमकदार	makintab
नाड़ी	pulso
नाड़ी	tibok
स्पीकर	speaker
स्पीकर	nagsasalita
स्पीकर	tagapagsalita
सहभागिता	engagement
गतिविधियाँ	gawain
गतिविधियाँ	aktibidades
कल्कि	kalki
इसराइल	israel
वाट	watt
वाट	wat
कोच्चि	kochi
कृषक	magsasaka
इंडीज़	indies
ब्राउजर	browser
गुदा	anus
गुदा	anal
टीकाकरण	bakuna
मूर्तिकला	iskultura
शाश्वत	eternity
वैश्वीकरण	globalisasyon
पूना	poona
बैग	supot
बैग	bag
बैग	bag
नर्तक	dancer
नर्तक	mananayaw
नर्तक	dancer
ग्लूकोज	glucose
नीतियाँ	patakaran
दत्ता	datta
पढ़ना	pagbabasa
पढ़ना	binabasa
आपरेशन	operation
आपरेशन	operasyong
आपरेशन	operasyon
ब्रॉडबैंड	broadband
मैनुअल	manual
दर्जन	dosenang
दर्जन	dosena
दर्जन	dozen
सस्ती	mura
सस्ती	murang
सस्ती	cheap
गन्ना	tubo
बेखम	beckham
स्याही	tinta
स्याही	ink
रॉस	ross
हवाओं	winds
परम्पराओं	tradisyon
पूछे	nagtatanong
पूछे	itinanong
पूछे	nagtanong
पूछे	tinanong
सेब	apple
सेब	mansanas
रो	rho
रो	iyak
रो	umiiyak
पुस्तकालयों	aklatan
पुस्तकालयों	library
बहनों	sis
बहनों	sisters
अश्लील	porn
आपात	emerhensiyang
आपात	emerhensiya
आपात	emergency
रेसलमेनिया	wrestlemania
नामीबिया	namibia
स्त्रियाँ	kababaihan
एनी	annie
मामा	mama
मामा	tito
मामा	tiyuhin
मामा	uncle
मामा	tiyo
रूपांतर	variant
नगरीय	urbano
जैकी	jackie
जैकी	jacky
क्रोधित	sinamantala
क्रोधित	furious
क्रोधित	nagagalit
क्रोधित	magalit
क्रोधित	galit
क्रोधित	nagagalit
तात्कालिक	urgent
तात्कालिक	napipintong
तात्कालिक	agarang
तात्कालिक	kagyat
हुक्म	tumango
कमांड	utos
कमांड	command
कमांड	utos
कोबेन	cobain
बुराई	evil
बुराई	masama
बुराई	kasamaan
टाइपिंग	typing
दशमलव	decimal
काई	kai
क्रूर	malupit
क्रूर	brutal
जोनाथन	jonathan
गढ़ी	garhi
फ्लाइट	flight
फ्लाइट	lipad
सैर	promenade
