kategória	kategori
roku	tahun
roku	year
ako	bagaimana
ako	how
ako	suka
ako	sukai
ako	seperti
ako	like
bol	bol
bol	euy
bol	was
bol	been
pozri	lihat
pozri	look
pozri	lihat
pozri	lihatlah
obce	komune
obce	desa
mba	mba
obyvateľov	penghuninya
obyvateľov	penduduk
obyvateľov	warga
obyvateľov	penghuni
obec	komune
obec	kotamadya
obec	munisipalitas
obec	kampung
obec	dusun
obec	desa
obec	village
pre	untuk
jeho	his
jeho	nya
jeho	menta
jeho	its
bod	poin
bod	titik
bod	point
pri	pri
bola	euy
bola	was
bola	been
zoznam	daftar
zoznam	list
odkazy	referensi
odkazy	rujukan
odkazy	taut
odkazy	pranala
odkazy	link
odkazy	tautan
odkazy	links
socorro	socorro
externé	eksternal
ale	tapi
ale	tetapi
iné	lain
iné	lainnya
iné	lain
iné	lainnya
the	the
počet	angka
počet	nomor
počet	bilangan
počet	nomer
boli	were
podľa	under
podľa	dibawah
miesto	spot
miesto	tempatkan
miesto	place
miesto	tempat
miesto	lokasi
miesto	situs
miesto	site
bolo	euy
bolo	was
obcí	komune
obci	komune
jej	menta
jej	its
jej	nya
jej	her
ich	mereka
ich	ich
medzi	antara
medzi	diantara
projekty	proyek
team	tim
team	team
byť	being
byť	menjadi
francúzska	prancis
francúzska	perancis
francúzska	prancis
francúzska	france
francúzska	perancis
najvyšší	supreme
najvyšší	agung
najvyšší	tertinggi
však	namun
pod	dibawah
pod	pod
pod	kelopak
pod	under
pod	dibawah
pred	pre
pred	pra
pred	sebelum
pred	sebelumnya
pred	before
vývoj	pengembangan
vývoj	perkembangan
vývoj	pembangunan
vývoj	evolusi
vývoj	evolution
vývoj	perkembangan
graf	grafik
graf	graf
graf	grafik
graf	diagram
graf	bagan
najnižší	terendah
kde	kde
kde	mana
kde	dimana
môže	may
môže	mei
môže	dapat
môže	can
môže	bisa
nasledujúci	sbb
nasledujúci	mengikuti
nasledujúci	selanjutnya
nasledujúci	berikutnya
nasledujúci	next
zobrazuje	memperlihatkan
zobrazuje	menunjukkan
zobrazuje	menampilkan
zobrazuje	pertunjukan
keď	kapan
keď	saat
keď	apabila
keď	ketika
len	only
len	saja
len	hanya
len	cuma
len	hanya
mesto	kotamadya
mesto	town
mesto	kota
mesto	city
mesto	kota
počas	selama
tiež	juga
usa	as
usa	usa
rokov	tahun
nie	not
nie	bukan
nie	tidak
september	september
úmrtia	kematian
úmrtia	death
úmrtia	maut
úmrtia	mati
úmrtia	kematian
neskôr	kemudian
neskôr	nanti
