மற்றும்	og
ஒரு	one
ஒரு	en
ஒரு	ett
ஒரு	én
இந்த	this
இந்த	dette
இந்த	denne
இந்த	detta
இந்த	desse
இந்த	disse
ஆம்	yes
ஆம்	ja
இது	this
இது	dette
இது	denne
இது	detta
மக்கள்	mennesker
மக்கள்	personer
மக்கள்	personar
மக்கள்	folk
என்ற	the
என்ற	den
என்ற	avledet
ஆண்டு	årsmodell
ஆண்டு	året
ஆண்டு	år
என்று	det
என்று	at
தமிழ்	tamil
இந்திய	indianer
இந்திய	inder
இந்திய	indisk
இருந்து	fra
இருந்து	from
இருந்து	frå
பல	mangt
பல	many
பல	mangen
பல	mange
பல	flere
பல	multippel
முதல்	fra
முதல்	from
முதல்	frå
முதல்	første
முதல்	først
முதல்	forst
முதல்	first
மேலும்	fleire
மேலும்	fler
மேலும்	flere
மேலும்	mer
மேலும்	meir
மேலும்	mere
தொகை	mengde
தொகை	beløp
சில	fåtall
சில	some
சில	noen
சில	enkelte
உள்ளது	tilgjengelige
உள்ளது	tilgjengeleg
உள்ளது	ledig
உள்ளது	tilgjengelig
உள்ளது	finnes
உள்ளது	eksisterer
அவர்	ham
அவர்	him
அவர்	hennes
அவர்	henne
இருக்கும்	eksisterende
வெளி	outsourcing
வெளி	ekstern
வெளி	eksternt
வெளி	eksterne
வெளி	rom
வெளி	space
வெளி	verdensrommet
வெளி	plass
மூலம்	kilde
மூலம்	originalt
மூலம்	originalen
மூலம்	opprinnelig
மூலம்	originale
மூலம்	opprinnelige
மூலம்	original
கொண்ட	inneholdt
வரை	draw
வரை	trekk
வரை	uavgjort
வரை	tegne
வரை	until
வரை	inntil
பின்னர்	deretter
பின்னர்	så
பின்னர்	da
பின்னர்	senere
பின்னர்	seinere
பின்னர்	seinare
ஆனால்	men
வேண்டும்	trenge
வேண்டும்	treng
வேண்டும்	need
வேண்டும்	behov
வேண்டும்	trenger
வேண்டும்	ønsker
வேண்டும்	lyst
வேண்டும்	want
வேண்டும்	vil
வேண்டும்	skulle
வேண்டும்	bør
வேண்டும்	burde
கொண்டு	brakte
கொண்டு	brakt
கொண்டு	bragt
கொண்டு	bring
கொண்டு	bringe
கொண்டு	med
கொண்டு	with
பட்டியல்	spilleliste
பட்டியல்	liste
பட்டியல்	list
பட்டியல்	listen
அதன்	dets
அதன்	sine
அதன்	sin
அதன்	its
பெண்கள்	hunner
பெண்கள்	kvinner
பெண்கள்	girls
பெண்கள்	jentene
பெண்கள்	jenter
பெண்கள்	kvinner
பெண்கள்	kvinnfolk
கொண்டுள்ளது	har
கொண்டுள்ளது	inneholder
கொண்டுள்ளது	inneheld
கொண்டுள்ளது	innholder
போது	when
போது	når
இணைப்புகள்	tilknytninger
இணைப்புகள்	tilkoblinger
இணைப்புகள்	forbindelser
இணைப்புகள்	vedlegg
இணைப்புகள்	koblinger
இணைப்புகள்	linker
இணைப்புகள்	lenker
இரண்டு	to
இரண்டு	two
தகவல்	info
தகவல்	informasjon
தகவல்	informasjon
தகவல்	informasjonen
தகவல்	opplysninger
தகவல்	melding
தகவல்	budskap
தகவல்	beskjed
மாவட்ட	distriktet
மாவட்ட	distrikt
மொத்த	totalt
மொத்த	totale
மொத்த	total
வளர்ச்சி	utvikling
வளர்ச்சி	vekst
மாவட்டம்	distriktet
மாவட்டம்	distrikt
அந்த	det
அந்த	at
மிகவும்	svært
மிகவும்	very
மிகவும்	meget
மிகவும்	veldig
திட்டம்	project
திட்டம்	prosjekt
திட்டம்	planlegge
திட்டம்	plan
தேசிய	nasjonale
தேசிய	national
தேசிய	nasjonal
தேசிய	nasjonalt
கலந்து	deltar
இலங்கை	ceylon
இங்கு	her
கி	kyi
அமெரிக்க	amerikaner
அமெரிக்க	amerikanske
அமெரிக்க	american
அமெரிக்க	amerikansk
அடிப்படை	grunnlag
அடிப்படை	basis
அடிப்படை	base
அடிப்படை	basen
அடிப்படை	grunnleggende
அடிப்படை	basic
பெயர்	namn
பெயர்	navnet
பெயர்	navn
பெயர்	etikett
மூன்று	tre
மூன்று	three
ஆண்கள்	hanner
ஆண்கள்	mannfolk
ஆண்கள்	menn
ஆண்கள்	gubber
ஆண்கள்	mens
ஒன்று	samle
ஒன்று	samles
ஒன்று	heller
ஒன்று	enten
ஒன்று	one
ஒன்று	en
ஒன்று	ett
ஒன்று	én
ஐக்கிய	forent
ஐக்கிய	united
புதிய	ny
புதிய	nyhet
புதிய	nye
புதிய	new
புதிய	nytt
புதிய	ferske
புதிய	fresh
புதிய	friskt
புதிய	fersk
புதிய	ferskt
அவரது	hans
அவரது	sin
அவரது	hennes
அவரது	henne
மொத்தம்	totalt
மொத்தம்	totale
மொத்தம்	total
இவை	desse
இவை	disse
சிறந்த	flott
சிறந்த	supert
சிறந்த	flotte
சிறந்த	kjempefint
சிறந்த	best
சிறந்த	beste
சிறந்த	ypperlig
சிறந்த	glimrende
சிறந்த	utmerket
சிறந்த	excellent
அரசு	regjering
வசதிகள்	anlegg
வசதிகள்	fasiliteter
இந்தியா	india
பெரிய	flott
பெரிய	supert
பெரிய	flotte
பெரிய	kjempefint
பெரிய	big
பெரிய	store
பெரிய	stor
பெரிய	stort
பெரிய	large
பெரிய	stor
பெரிய	stort
ஊரக	landlige
ஊரக	bygd
நாள்	dag
நாள்	dagen
நாள்	day
பிறப்பு	generisk
பிறப்பு	born
பிறப்பு	født
பிறப்பு	fødsel
பிறப்பு	fødselen
பிறப்பு	hatch
பிறப்பு	luken
பிறப்பு	klekkes
இருந்தது	var
முக்கிய	main
முக்கிய	hoved
