pete	ピート
cska	cska
objektivní	目的
kometa	彗星
optimální	最適
obydlí	住居
servery	サーバ
servery	サーバー
libanonu	レバノン
překvapení	驚き
překvapení	サプライズ
minimum	最低限
minimum	最低
minimum	最小
galaxií	銀河
galaxií	銀河系
prach	ダスト
prach	砂塵
prach	ほこり
prach	粉末
prach	パウダー
blesk	flash
blesk	フラッシュ
blesk	ライトニング
edgar	エドガー
koni	ウマ
chu	chu
mir	ミール
lorenzo	ロレンツォ
lorenzo	ロレンソ
maximum	最大
maximum	maximum
třináct	thirteen
melo	メロ
diskografie	作品
diskografie	ディスコグラフィ
optické	光学
úpadek	辞退
úpadek	拒否
úpadek	却下
úpadek	破産
úpadek	倒産
vystaven	露出
hollywood	ハリウッド
houston	ヒューストン
pokaždé	毎回
molekulární	分子
tvrdě	一生懸命
tvrdě	ハード
tvrdě	難しい
jámy	ピット
gott	ゴット
vlasů	ヘアー
vlasů	髪の毛
vlasů	ヘア
vlasů	毛髪
izolace	隔離
izolace	孤立
kyslík	酸素
nápisy	碑文
riga	リガ
money	お金
money	貨幣
money	マネー
money	金銭
colin	コリン
skotské	スコッチ
sochu	彫像
indonésie	インドネシア
synagogy	シナゴーグ
umožnit	許可
předávání	伝送
slovinské	スロベニア
loďstvo	艦隊
loďstvo	フリート
koupit	買う
koupit	購入
standardy	基準
standardy	規格
had	ヘビ
had	サーペント
štíty	シールド
využívané	搾取
eseje	随筆
eseje	エッセイ
eseje	エセー
nemožné	インポッシブル
nemožné	不可能
domény	ドメイン
domény	ドメイン
infrastruktury	インフラストラクチャー
šedá	灰色
šedá	グレイ
šedá	グレー
šedá	灰色
šedá	グレイ
šedá	グレー
glasgow	グラスゴー
muslimové	イスラム教
muslimové	ムスリム
učitelka	教員
učitelka	教師
učitelka	先生
vzdálená	遠い
vzdálená	リモート
prototypy	プロトタイプ
bonus	ボーナス
ryba	魚類
ryba	フィッシュ
rádio	ラジオ
samantha	サマンサ
jeskyni	洞窟
tenor	テナー
eugen	オイゲン
polskem	ポーランド
měny	通貨
měny	通貨
guillaume	ギヨーム
ich	ich
maxe	マックス
maxe	max
synonymum	同義語
synonymum	類義語
melodie	メロディ
melodie	メロディ
melodie	メロディー
melodie	メロディ
melodie	チューン
kostýmy	コスチューム
kostýmy	衣装
kostýmy	装束
kostýmy	コスチューム
kostýmy	仮装
kostýmy	衣装
kostýmy	装束
kostýmy	服飾
dinosaurů	恐竜
sultán	スルタン
sultán	スルターン
fra	フラ
gravitační	グラビテーション
gravitační	重力
gravitační	グラビティ
gravitační	重力
likvidace	処分
likvidace	廃棄
likvidace	弁済
likvidace	清算
parker	パーカー
dinosaura	恐竜
bezpečí	安全
bezpečí	セーフティ
účty	紙幣
účty	アカウント
elektřiny	電力
elektřiny	電気
brigáda	旅団
watson	ワトソン
otroctví	緊縛
registrace	登録
registrace	登録
registrace	登記
becker	ベッカー
trhy	マーケット
novinářka	ジャーナリスト
návštěvníci	ビジター
rovná	等しい
chorvatska	クロアチア
pravidelný	レギュラー
munice	弾薬
munice	弾薬
zábradlí	rails
zábradlí	手すり
čtyřicet	四十
justice	正義
justice	司法
podrobnosti	詳細
ruda	鉱石
výměnu	交換
bojovníků	戦士
bojovníků	ウォリアーズ
bojovníků	ファイターズ
anonymní	アノニマス
anonymní	匿名
čte	読み込み
africké	アフリカ
dary	ギフト
dary	贈り物
dary	募金
dary	寄付
greg	グレッグ
malajsie	マレーシア
malajsie	マレーシア
náčelníka	酋長
pacific	パシフィック
odznak	バッジ
shodné	同一
klienta	クライアント
příjezdu	到着
kompaktní	コンパクト
úlohy	タスク
úlohy	役割
magdalena	マグダレナ
magdalena	マグダレーナ
platformy	プラットフォーム
platformy	プラットフォーム
platformy	プラットホーム
dramatický	ドラマチック
vektor	ベクター
vektor	ベクトル
molekul	分子
morris	モーリス
morris	モリス
walker	ウォーカー
pokoje	部屋
pokoje	ルーム
mléko	牛乳
mléko	ミルク
malíři	画家
malíři	画家
vyobrazení	描写
ralph	ラルフ
kvantové	量子
oblíbená	人気
oblíbená	ポピュラー
oblíbená	お気に入り
oblíbená	お気に入り
kamery	カメラ
příloha	付け合せ
příloha	差押え
příloha	添付
příloha	愛着
příloha	別館
bass	バス
bass	ベース
helsinkách	ヘルシンキ
jupiter	ジュピター
jupiter	木星
kazachstán	カザフスタン
dobývání	征服
kolegů	同僚
android	android
android	アンドロイド
koření	調味料
koření	味付け
koření	香辛料
koření	スパイス
koření	調味料
koření	香辛料
koření	スパイス
abstraktní	抽象
maxima	マクシムス
maxima	マキシム
maxima	マクシム
maxima	マクシマ
krvi	血液
krvi	ブラッド
mozart	モーツァルト
laurent	ローラン
mini	ミニ
happy	ハッピー
happy	幸せ
vinci	ビンス
vinci	ヴィンス
vinci	ヴィンチ
zaplatit	支払う
zaplatit	支払い
sigmund	ジークムント
hunter	狩人
hunter	ハンター
postupné	プログレッシブ
termíny	日付
termíny	規約
termíny	用語
termíny	納期
termíny	締め切り
jezdce	ライダー
bordeaux	ボルドー
tbilisi	トビリシ
loďstva	艦隊
putování	旅行
putování	journey
putování	放浪
putování	さまよう
nacional	ナシオナル
kapitál	資本
kapitál	首都
kapitál	キャピタル
navigační	nav
stack	スタック
okamžik	moment
okamžik	瞬間
okamžik	モーメント
dědeček	おじいちゃん
dědeček	おじいさん
dědeček	祖父
střechu	屋上
střechu	屋根
pen	pen
pen	ペン
sodný	ナトリウム
prázdné	空っぽ
prázdné	空欄
prázdné	ブランク
etapy	舞台
etapy	ステージ
abú	アブー
nepřetržitě	常時
nepřetržitě	絶えず
dominika	ドミニク
dominika	ドミニカ
dutiny	虫歯
dutiny	虫歯
ponožky	ソックス
ponožky	靴下
ponožky	socks
nahrazení	置換
nahrazení	置換
nahrazení	置換
mechaniky	力学
rozsudek	判断
rozsudek	審判
rozsudek	評決
rozsudek	判断
rozsudek	判決
rozsudek	宣告
rozsudek	センテンス
rozsudek	文章
pokoj	部屋
pokoj	ルーム
soc	soc
bush	ブッシュ
sofia	ソフィア
náhrobek	墓石
náhrobek	墓石
odmítnutí	拒否
odmítnutí	拒絶
odmítnutí	拒絶
přijímat	受け取る
přijímat	受信
stalin	スターリン
babička	おばあさん
babička	祖母
babička	おばあさん
evoluce	進化
evoluce	evolution
přítelkyně	ガールフレンド
přítelkyně	ガールフレンド
costa	コスタ
účinné	効率
účinné	実効
houba	スポンジ
houba	菌類
houba	キノコ
houba	マッシュルーム
byty	アパート
zneužití	誤用
zneužití	誤用
zneužití	虐待
kapitol	キャピトル
kapitol	チャプター
prachu	ダスト
prachu	砂塵
prachu	ほこり
havárie	アクシデント
havárie	事故
havárie	クラッシュ
havárie	クラッシュ
havárie	事故
kennedy	ケネディ
miles	マイル
vlhké	しっとり
vlhké	湿気
poslání	ミッション
křížek	十字架
křížek	クロス
křížek	cross
křížek	十字
rozměr	ディメンション
rozměr	次元
rozměr	寸法
spojence	アライ
spojence	アリー
kotle	ボイラー
vězeň	捕虜
vězeň	囚人
vězeň	受刑者
vězeň	囚人
mléka	牛乳
mléka	ミルク
lloyd	ロイド
oslo	オスロ
cohen	コーヘン
cohen	コーエン
homer	ホーマー
proměnných	変数
maxim	マキシム
maxim	マクシム
kláštery	修道院
kláštery	僧院
rovné	まっすぐ
rovné	ストレート
rovné	等しい
rovné	イコール
sekvence	シーケンス
sekvence	シーケンス
prohlížeč	ビューア
prohlížeč	ブラウザー
prohlížeč	ブラウザ
marion	マリオン
zažil	経験
propagační	プロモーション
binární	バイナリ
meče	刀剣
jeskyní	洞窟
seznamů	リスト
seminář	ワークショップ
seminář	作業場
seminář	セミナー
fanoušky	ファン
výkonný	エグゼクティブ
požadované	必須
oltáři	祭壇
politici	政治家
uzavřený	閉店
zakládající	創設
terminál	端末
terminál	ターミナル
ffa	ffa
čaj	お茶
čaj	紅茶
operátor	オペレーター
železnic	鉄道
připomínky	観測
připomínky	コメント
námitky	異議
čištění	クリーニング
čištění	洗浄
čištění	清掃
čištění	掃除
originál	オリジナル
irc	irc
minulost	過去
vinice	葡萄園
přispěla	寄稿
mírné	軽度
mírné	中道
závislý	中毒
závislý	依存
strážce	キーパー
strážce	ガーディアン
strážce	後見人
pravopis	つづり
pravopis	スペル
pravopis	スペリング
bílí	白目
past	トラップ
konkurence	競技
konkurence	コンペ
konkurence	競争
konkurence	コンペティション
konkurence	コンテスト
nákup	購入
nákup	ショッピング
nákup	買い物
nákup	買物
nákup	購入
nákup	購買
nákup	購入
nákup	購入
peklo	ヘル
peklo	地獄
objevení	発見
honda	本多
honda	ホンダ
honda	本田
napadl	襲撃
personální	人材
personální	職員
bach	バッハ
vězni	囚人
fish	魚類
fish	フィッシュ
haly	ホール
roztok	ソリューション
roztok	溶液
susan	スーザン
rozum	理由
rozum	理性
cukru	砂糖
rotace	回転
rotace	ローテーション
rotace	回転
blogu	ブログ
beat	beat
beat	ビート
sdílení	共有
sdílení	シェア
sdílení	共有
sdílení	シェア
sdílení	株式
sdílení	シェア
kresba	図面
kresba	描画
kresba	ドローイング
propagace	プロモーション
propagace	広報
propagace	宣伝
propagace	プロモーション
propagace	宣伝
postižení	ハンディ
postižení	障害
postižení	苦悩
číslice	ディジット
etiopie	エチオピア
divoká	ワイルド
divoká	野生
pavilon	パビリオン
api	api
api	api
luxusní	デラックス
luxusní	贅沢
tch	tch
gilbert	ギルバート
magie	magic
magie	魔法
magie	マジック
étienne	エティエンヌ
palace	宮殿
simone	シモーネ
simone	シモーヌ
simone	シモン
simone	サイモン
čistý	クリア
čistý	ピュア
čistý	純粋
čistý	クリーン
čistý	きれい
vládci	ルーラー
vládci	定規
keř	ブッシュ
keř	低木
hus	ガチョウ
pokračovalo	続き
pokračovalo	継続
nicholas	ニコラス
terénní	地形
pákistánu	パキスタン
maine	メイン
dell	デル
dell	dell
ovzduší	大気
ovzduší	大気圏
ovzduší	雰囲気
ovzduší	空気
ovzduší	航空
ovzduší	エア
craig	クレイグ
boty	ブーツ
modlitby	祈り
plavidlo	船舶
plavidlo	工芸
plavidlo	クラフト
podrobný	詳細
skvrny	しみ
skvrny	斑点
náhradník	交互
puška	小銃
puška	ライフル
schody	歩数
schody	手順
schody	ステップ
schody	階段
pochybnosti	疑念
pochybnosti	疑念
salzburg	ザルツブルク
jezdit	乗る
jezdit	配車
pec	オーブン
pec	pec
živý	アライブ
sezení	セッション
sezení	セッションズ
sezení	セッション
hladké	スムーズ
hladké	スムース
hladké	滑らか
nastavit	セットアップ
nastavit	設定
nastavit	集合
nastavit	セット
nastavit	configure
nastavit	設定
mluvící	トーキング
fan	ファン
archeologie	考古学
archeologie	考古学
vyráběné	製造
rezidence	住居
rezidence	居所
rezidence	住居
rezidence	邸宅
klasifikaci	分類
zvyšování	増加
zvyšování	レイジング
sada	集合
sada	セット
parkoviště	駐車
výzvu	チャレンジ
výzvu	挑戦
zneužívání	誤用
zneužívání	虐待
château	シャトー
pánev	骨盤
pánev	パン
atomů	原子
konceptu	概念
