নাগরী	nagari
ডেটা	dades
গ্রাস	herba
প্লাজা	plaça
পাল্টে	canvia
পাল্টে	canvi
ওরফে	àlies
এট	ate
ক্যাপ	gorra
ট্যাংক	tanc
ট্যাংক	tancs
ইউরেনিয়াম	urani
গিল্ড	gremio
গিল্ড	gremi
আফজাল	afzal
অবাধ	rebel
আকর্ষণের	atracció
মনিকা	monika
মনিকা	mònica
মনিকা	monica
ঝামেলা	molestar
সমীর	samir
জজ	jutge
জজ	jutjar
বেথুন	bethune
আয়েশা	aisha
আয়েশা	ayesha
সামঞ্জস্যপূর্ণ	compatible
সামঞ্জস্যপূর্ণ	compatibles
মণি	moni
ঐতিহ্যগতভাবে	tradicionalment
মিখাইল	mikhaïl
ব্রুনাই	brunei
অনুদিত	traduït
দোষ	culpa
গঠনমূলক	constructiu
গঠনমূলক	constructives
অন্যায়	injustícia
ছদ্মনাম	pseudònim
স্টেইন	stein
স্টেইন	steyn
চিকন	fina
রূপা	plata
শিখা	flama
সোমালি	somali
মুফতি	mufti
সমর	samar
জেরি	jerry
অপেক্ষায়	esperant
নিবেদিত	dedicat
নিবেদিত	dedicada
ইতি	ja
ইতি	iti
বারি	bari
আভিধানিক	lèxica
রিচার্ডসন	richardson
অমল	amol
দামী	car
এডি	eddie
আংশিকভাবে	parcialment
ইয়াকুব	jacob
কভার	portada
কভার	caràtula
কভার	abasta
কভার	caràtules
কভার	fundes
প্রতিযোগীতা	concurs
প্রতিযোগীতা	certamen
গর্ভবতী	embarassada
গর্ভবতী	embarassades
বারাক	barack
বারাক	barak
কবে	quan
পরিদর্শক	revisor
সিয়াচেন	siachen
ব্যতিক্রমী	excepcionals
ব্যতিক্রমী	excepcional
শ্রীনগর	srinagar
ভূমধ্যসাগরীয়	mediterrània
ভূমধ্যসাগরীয়	mediterrani
প্রতিনিয়ত	constantment
পেইজ	paige
পেল	poma
পেল	apple
এবিসি	abc
গাইতে	cantar
গাইতে	sing
সার্কাস	circ
প্রতীকী	simbòlica
প্রতীকী	simbòlics
প্রতীকী	simbòlic
গিনেস	guinness
ফর্মুলা	fórmula
ফান	phan
আইভরি	ivori
ভিসা	visats
ভিসা	visat
কমিকস	còmic
কমিকস	còmics
আঙুল	dit
আঙুল	dits
সভ্য	civilitzada
লক্ষাধিক	milions
ইউটিউব	youtube
মোক্ষ	moksha
মান্না	mannà
শাল	xal
ঠাণ্ডা	fred
ঠাণ্ডা	glaçada
ঠাণ্ডা	fresquet
আরোপিত	imposat
আরোপিত	imposades
আরোপিত	imposada
কোকা	coca
আরু	aru
শিশুরা	nens
শিশুরা	fills
শিশুরা	infants
শিশুরা	nens
শিশুরা	nadons
প্রত্যেকে	tothom
বাদাম	nut
বাদাম	ametlles
বাদাম	anous
ভালবাসার	amor
অগণিত	innombrables
মাল্টি	multi
দাবির	reivindicació
দাবির	reclamació
দাবির	exigències
দাবির	demandes
দাবির	reclamacions
দাবির	pretensions
দত্তক	adopció
হ্যারল্ড	harold
প্রোগ্রামার	programadors
প্রোগ্রামার	programador
টিকিট	bitllets
টিকিট	entrades
টিকিট	bitllet
অ্যালুমিনিয়াম	alumini
অ্যালুমিনিয়াম	alumini
চক	chowk
ময়ূর	peacock
রতন	ponticola
হুগো	hugo
রুটি	pa
ভয়ঙ্কর	horrible
কারারুদ্ধ	empresonat
মুলার	müller
পুঁজি	capitalisme
প্রিক্স	prix
বমি	vòmit
বমি	vòmits
বিসর্জন	sacrifici
বেটা	beta
পাগলা	boig
আইনী	jurídic
আইনী	legal
আইনী	legals
ডেম	dem
ডেম	dame
কূটনীতিবিদ	diplomàtic
মুষ্টিযুদ্ধ	boxa
ল্যান্ড	land
সাথী	companys
সিনা	cena
সিনা	sina
শামুক	caragols
শামুক	cargol
পাইন	pi
পাইন	pine
লিঃ	ltd
কম্পন	vibra
কম্পন	vibracions
কম্পন	vibració
ক্রু	tripulació
নীহারিকা	nebulosa
কম্পানি	companyia
কম্পানি	empresa
সাবমেরিন	submarí
সীমারেখা	fronteres
যাকাত	zakat
যাকাত	caritat
আরবরা	àrabs
বিক্রেতা	venedor
বিক্রেতা	venedor
মিসাইল	míssils
মিসাইল	míssil
বেবি	baby
বেবি	nadó
সুফিয়ান	sufyan
থানে	gentilhome
অনানুষ্ঠানিক	informals
পরীক্ষক	examinador
পরীক্ষক	testers
ক্লোরাইড	clorur
আক্রমণকারী	atacants
ক্যাম্ব্রিয়ান	cambrià
ডিপ	dip
ডিপ	deep
ডিপ	profunds
ডিপ	profund
রাজনৈতিকভাবে	políticament
ফুসফুস	pulmó
ফুসফুস	pulmons
ট্রাম্প	trump
মাইক্রোপ্রসেসর	microprocessador
প্রফুল্ল	alegre
অবিবাহিত	single
কেন্দ্রীভূত	centralitzada
অপরাজেয়	invencibles
অপরাজেয়	invencible
অপরাজেয়	inigualable
সত্যিকারের	real
সত্যিকারের	cert
সত্যিকারের	true
মাদাগাস্কার	madagascar
আইপিএল	ipl
অসন্তোষ	descontentament
লেহ	leh
নেটিভ	nadiu
নেটিভ	natiu
ইমপ্রেস	impressionar
আইফোন	iphone
আনসার	ansar
সাল্লাম	sallam
দিয়া	diya
একত্রীকরণ	mer
ছাই	cendres
ছাই	cendra
ফিজি	fiji
শিখদের	sikhs
সম্রাজ্ঞী	emperadriu
চর্বি	greixos
জুলফিকার	zulfikar
জুনিয়র্স	juniors
ধারন	capturats
ধারন	captades
ধারন	capturat
পোর্টাল	portal
সতেরো	disset
ঘৃণা	odi
