kategória	類別
roku	年度
roku	年份
roku	年
ako	如何
ako	讚
ako	就像
ako	像
ako	喜歡
bol	bol
pozri	見
obce	公社
obce	市鎮
obce	市政府
obce	市鎮
obce	鄉村
obce	村莊
mba	mba
obyvateľov	居民
obec	公社
obec	市
obec	村
obec	鄉村
obec	村莊
obec	村落
obec	村子
jeho	他的
bod	角
bod	點
pri	pri
zoznam	名單
zoznam	清單
zoznam	列表
ale	但
ale	不過
ale	但是
iné	其他
iné	其他
počet	數字
počet	數
počet	號碼
počet	編號
miesto	spot
miesto	斑點
miesto	地方
miesto	地點
miesto	所在地
miesto	位置
miesto	地點
miesto	地點
miesto	場地
miesto	會場
miesto	網站
miesto	工地
obcí	公社
obcí	市鎮
obcí	市政府
obcí	市鎮
obci	公社
jej	她的
projekty	項目
team	團隊
team	球隊
team	隊伍
francúzska	法文
francúzska	法語
francúzska	法國
najvyšší	最高
najvyšší	最高
však	然而
pod	下方
pod	以下
pred	以前
pred	前
pred	之前
vývoj	發展
vývoj	演化
vývoj	演變
vývoj	進化
vývoj	演進
graf	圖表
graf	圖形
graf	圖
graf	圖表
graf	圖
najnižší	最低
kde	kde
môže	may
môže	梅
môže	五月份
môže	五月
nasledujúci	下一步
zobrazuje	顯示
keď	當
len	只
len	只有
len	只是
len	只要
mesto	城鎮
mesto	鎮
mesto	城市
mesto	市
mesto	城
tiež	還
tiež	也
rokov	歲月
rokov	年份
september	九月份
september	九月
úmrtia	死亡
úmrtia	死神
neskôr	後來
neskôr	稍後
neskôr	以後
storočia	世紀
nad	河畔
nad	上方
nad	以上
utc	utc
jpg	jpg
časti	部件
časti	零件
stránka	網站
stránka	工地
skupiny	群組
skupiny	群
skupiny	群組
skupiny	團體
html	html
roka	年度
roka	年份
roka	年
ngc	ngc
október	十月
október	十月份
október	十月
mesta	城鎮
mesta	鎮
mesta	城市
mesta	市
mesta	城
marec	三月
august	八月
august	八月份
august	八月
skupina	群組
skupina	群
veľmi	非常
potom	那
potom	然後
potom	那麼
narodenia	出生
tento	這
tento	這個
osobnosti	人格
osobnosti	人格
osobnosti	性格
osobnosti	個性
november	十一月
november	十一月
december	十二月
december	dec
december	十二月
iba	只
iba	只有
iba	只是
iba	只要
roky	歲月
roky	年份
oblasti	面積
oblasti	地區
oblasti	區域
oblasti	區
oblasti	地區
január	一月
súbor	文件
súbor	檔案
apríl	四月
apríl	四月份
sveta	世界
najmä	尤其
najmä	尤其是
viac	多
viac	更多
viac	更
február	二月
február	二月
mužov	男性
mužov	男人
mužov	男子
názov	名字
názov	名稱
názov	姓名
názov	標題
okolo	圍繞著
okolo	圍繞
okolo	周圍
ešte	然而
prvý	首先
prvý	第一
text	文字
text	案文
máj	may
máj	梅
máj	五月份
máj	五月
spolu	共計
spolu	總計
spolu	在一起
spolu	一起
tom	tom
majstrovstvá	錦標賽
saint	聖人
saint	聖
okrem	除了
okrem	除外
bar	酒吧
bar	bar
americký	美式
júl	七月
júl	七月份
cez	通過
cez	經由
cez	透過
cez	通過
asi	猜猜
asi	猜
jeden	一
jeden	one
jeden	一個
vojny	戰
vojny	戰爭
vojny	戰爭
rok	年度
rok	年份
rok	年
ulica	街頭
ulica	街道
ulica	街
album	相簿
album	專輯
dátum	日期
dátum	約會
žien	女
žien	女性
žien	婦女
žien	女性
tieto	這些
januára	一月
toto	這
toto	這個
toto	多多
ktorí	誰
všetky	全部
všetky	所有
všetky	all
francúzsky	法文
francúzsky	法語
mestá	城鎮
mestá	城市
český	捷克
často	常常
často	經常
často	頻繁
často	時常
často	常常
často	經常
ján	jan
ján	楊
ján	揚
ján	john
okres	區
okres	地區
jún	淳
jún	俊
jún	六月份
jún	六月
šablóny	樣板
šablóny	模板
šablóny	樣板
šablóny	模板
dnes	今日
dnes	今天
slovensko	斯洛伐克
pretože	因為
nové	新
nové	新的
všetkých	全部
všetkých	所有
všetkých	all
štátu	國家
štátu	州
ďalšie	附加
ďalšie	下一步
ďalšie	其他
ďalšie	進一步
ďalšie	多
ďalšie	更多
ďalšie	更
tým	團隊
tým	球隊
tým	隊伍
meno	名字
meno	名稱
meno	姓名
dve	兩
dve	兩個
dve	二
dva	兩
dva	兩個
dva	二
style	style
style	樣式
style	風格
približne	關於
táto	這
táto	這個
prvé	首先
prvé	第一
martin	martin
martin	馬丁
http	http
tri	三
tri	三個
praha	布拉格
film	電影
film	影片
film	電影
film	膠片
film	影片
spoločnosti	公司
spoločnosti	公司
peter	彼得
peter	peter
strany	頁
svg	svg
prvá	首先
prvá	第一
van	貨車
van	梵
van	範
nemecký	德文
nemecký	德語
storočí	世紀
hlavne	尤其
hlavne	尤其是
hlavne	大多
astronóm	天文學家
rod	杖
bude	將
bude	威爾
titul	標題
kostol	教會
kostol	教堂
týchto	這些
republiky	共和國
republiky	共和
možno	或許
možno	或許
možno	也許
ženy	女性
ženy	婦女
ženy	女性
ďalej	進一步
ďalej	下一步
kedy	當
územia	領土
územia	領地
územia	領土
systém	系統
ide	ide
potok	流
potok	溪流
latinsky	拉丁
latinsky	拉丁文
góly	目標
spisovateľ	作家
spisovateľ	作者
spisovateľ	編劇
európy	歐洲
pôvodne	最初
pôvodne	原本
súhvezdie	星座
známy	已知
známy	相識
známy	熟人
veľkosť	大小
veľkosť	體積
veľkosť	尺寸
john	john
klub	幫會
klub	club
klub	俱樂部
objektov	物體
objektov	天體
objektov	物件
isbn	isbn
portál	門戶
ľudí	人類
ľudí	人
ľudí	人們
ľudí	人民
územie	領地
územie	領土
možné	可能
niektoré	一些
niektoré	有些
hudobné	音樂
