harvey	ஹார்வி
ismail	இஸ்மாயில்
korisne	பயனுள்ள
korisne	பயனுள்ளது
korisne	பயனுள்ளதாக
virgin	கன்னித்
srednjih	இரண்டாம்
srednjih	இரண்டாவது
vijetnamski	வியட்நாமிய
nikozija	நிக்கோசியா
grace	கருணை
grace	கிரேஸ்
grace	அருளும்
tamne	டார்க்
tamne	இருள்
tamne	இருண்ட
tamne	இருட்டு
definisati	வரையறுக்க
platon	பிளேட்டோ
rfc	rfc
tata	அப்பாவும்
tata	அப்பா
tata	அப்பா
kapital	மூலதனம்
kapital	தலைநகரம்
desktop	மேசை
desktop	டெஸ்க்டாப்
nosač	கேரியர்
počinio	செய்து
uzela	எடுத்த
snimljene	பதிவுசெய்யப்பட்டது
ulaganja	முதலீடுகள்
staljin	ஸ்டாலின்
katastrofa	பேரழிவு
katastrofa	பேரிடர்
otkrivene	கண்டுபிடிக்கப்பட்ட
otkrivene	கண்டுபிடிக்கப்பட்டது
amy	ஆமி
amy	ஏமி
brooks	ப்ரூக்ஸ்
izazov	சவால்
čarobnjaka	வழிகாட்டி
tropske	வெப்பமண்டல
webb	வெப்
sen	சென்
sfera	கோளம்
sfera	கோலம்
sfera	உருளை
sfera	கோளங்கள்
mikroskop	நுண்ணோக்கி
jetra	கல்லீரல்
robot	தானியங்கி
robot	ரோபாட்
robot	ரோபோ
umre	இறந்தாலும்
cvijeće	பூக்கள்
cvijeće	பூக்களை
cvijeće	மலர்கள்
cvijeće	மலர்களை
galileo	கலிலியோ
mahmud	மஹ்மூத்
mahmud	கசினி
sportsko	விளையாட்டுகள்
sportsko	விளையாட்டு
sportsko	விளையாட்டுக்கள்
svinje	பன்றிகள்
najniža	குறைந்த
tretmana	சிகிச்சைகள்
metale	உலோகம்
metale	மெட்டல்
metale	உலோகங்கள்
prijateljstva	நட்பு
poslali	அனுப்பிய
poslali	அனுப்பி
poslali	அனுப்பப்பட்டது
poslali	அனுப்பியது
generali	தளபதிகள்
otrovan	விஷ
otrovan	உணவான
denver	டென்வர்
standardi	தரநிலைகளை
standardi	தரநிலைகளைப்
standardi	தரநிலைகள்
